Cluster Name,RA_J2000,Dec_J2000,Z,Gal_Long,Gal_Lat,Lx,VST,AAOzs,DECam,SPLUS,SPLUS comments,Comments
Abell S1101,348.494,-42.734,0.056,348.329,-64.811,1.988,N,0,DR9,SPLUS not obs,,"Detected in ACT, overlaps NGC 7582 group, LoVoCCS HIFLUGCS"
A4038,356.929,-28.142,0.028,025.136,-75.861,1.127,N,0,DR10,SPLUS partial,1 SPLUS-main tile needs observing,MeerKAT HIFLUGCS
A2877,017.501,-45.923,0.024,293.051,-70.867,0.195,N,0,DR9,SPLUS not obs,10 SPLUS-main tiles need observing,
Fornax,054.616,-35.448,0.005,236.712,-53.639,0.016,N,0,DR9,SPLUS obs,,PGC13418 HIFLUGCS
NGC1453,056.613,-03.968,0.013,191.776,-42.289,0.000,N,0,DR9,NO,,
NGC1550,064.908,+02.409,0.012,190.977,-31.848,0.754,N,0,DR10,NO,,HIFLUGCS
Antlia,157.514,-35.323,0.012,272.948,+19.187,0.080,N,0,NO,SPLUS obs,,Abell S0636
Hydra,159.174,-27.524,0.012,269.596,+26.488,0.334,N,0,DR10,SPLUS obs,,A1060 cluster(PGC31478) HIFLUGCS
MKW4,181.115,+01.895,0.02,276.914,+62.369,0.975,N,0,DR9,SPLUS obs?,3 SPLUS-main tiles need observing,HIFLUGCS
A3526,192.199,-41.308,0.011,302.399,+21.561,0.751,N,0,DR10,NO,,Centaurus cluster(PGC43296) HIFLUGCS MeerKAT
NGC5044,198.850,-16.389,0.009,311.233,+46.095,0.110,N,0,DR10,SPLUS obs,,PGC46247 HIFLUGCS
NGC5084,199.392,-21.565,0.006,311.753,+40.549,0.000,N,0,DR10,SPLUS not obs,4 SPLUS-main tiles need observing,
NGC5153,201.976,-29.618,0.014,312.341,+32.586,0.000,N,0,DR10,Shapley,,
A3565,204.019,-34.225,0.013,313.567,+28.098,0.000,N,0,DR10,Shapley,,
A3581,211.867,-27.015,0.023,323.138,+32.855,0.381,N,0,DR10,NO,,HIFLUGCS
MKW8,220.176,+03.472,0.027,355.509,+54.776,1.974,N,0,DR9,SPLUS not obs,7 SPLUS-main tiles need observing,HIFLUGCS
NGC1407,055.049,-18.580,0.006,209.635,-50.384,0.000,N,0,DR9,NO,,PGC13505 BCG
Dorado,064.266,-56.128,0.003,266.044,-43.472,0.000,N,0,DR9,SPLUS obs,,WALLABY HI group(PGC14765)
NGC3078,149.602,-26.927,0.008,261.781,+21.802,0.000,N,0,DR10,NO,,PGC28806
NGC4636,190.709,+02.692,0.004,297.752,+65.477,0.058,N,0,DR9,SPLUS not obs,,BCG HIFLUGCS
NGC5128,201.365,-43.019,0.002,309.516,+19.417,0.000,N,0,NO,NO,,Centaurus A group(PGC46957)
M83,204.254,-29.865,0.002,314.584,+31.973,0.000,N,0,DR10,Shapley,,WALLABY HI group(PGC48082)
NGC7162,329.913,-43.306,0.007,356.381,-51.890,0.000,N,0,DR9,SPLUS not obs,,WALLABY HI group
NGC7232,333.908,-45.850,0.006,351.127,-54.025,0.000,N,0,DR9,SPLUS not obs,,WALLABY HI group
