|            chances | eromapper_idx |        ra |       dec | best_z | best_zerr | best_z_type | lambda | lambda_e | dist (arcmin) | dist (Mpc) | dist (r200) |
|         Abell 0520 |        739784 |  73.73694 |   2.90079 | 0.2227 |    0.0082 |     photo_z |    9.6 |      4.3 |         13.10 |       2.71 |        1.31 |
|         Abell 0520 |        404914 |  73.55883 |   3.18749 | 0.2013 |    0.0033 | spec_z_boot |    5.4 |      1.3 |         13.66 |       2.83 |        1.37 |
|         Abell 0520 |        504922 |  73.30751 |   3.03842 | 0.1962 |    0.0033 | spec_z_boot |    3.8 |      1.0 |         13.93 |       2.89 |        1.39 |
|         Abell 0520 |       2819386 |  73.31570 |   2.84352 | 0.2006 |    0.0012 | spec_z_boot |    6.9 |      1.6 |         14.52 |       3.01 |        1.45 |
|         Abell 0520 |       1844969 |  73.45283 |   2.71063 | 0.1992 |    0.0013 | spec_z_boot |    3.8 |      1.8 |         15.73 |       3.26 |        1.57 |
|         Abell 0520 |         63852 |  73.36325 |   2.69461 | 0.1970 |    0.0018 | spec_z_boot |    6.2 |      2.1 |         18.81 |       3.90 |        1.88 |
|         Abell 0520 |       1776211 |  73.25795 |   2.79192 | 0.2003 |    0.0007 | spec_z_boot |    6.3 |      3.0 |         19.09 |       3.95 |        1.91 |
|         Abell 0520 |       1442281 |  73.55750 |   2.62838 | 0.1832 |    0.0069 |     photo_z |    4.6 |      1.0 |         20.10 |       4.16 |        2.01 |
|         Abell 0520 |         27094 |  73.65706 |   3.32640 | 0.2012 |    0.0007 | spec_z_boot |   20.9 |      2.2 |         23.21 |       4.81 |        2.32 |
|         Abell 0520 |       1040359 |  73.33965 |   3.32100 | 0.2286 |    0.0076 |     photo_z |    3.1 |      1.2 |         24.29 |       5.03 |        2.43 |
|         Abell 0520 |        282090 |  73.22042 |   2.68973 | 0.2016 |    0.0079 |     photo_z |    4.6 |      1.6 |         24.59 |       5.09 |        2.46 |
|         Abell 0520 |       2431650 |  73.46568 |   3.40001 | 0.2289 |    0.0062 |     photo_z |   16.5 |      2.3 |         26.54 |       5.50 |        2.66 |
|         Abell 0520 |       1432469 |  73.11960 |   2.74678 | 0.2076 |    0.0067 |     photo_z |    9.2 |      1.6 |         27.62 |       5.72 |        2.77 |
|         Abell 0520 |       1688574 |  73.11841 |   2.72451 | 0.1703 |    0.0074 |     photo_z |    3.4 |      1.2 |         28.33 |       5.87 |        2.84 |
|         Abell 0520 |         59006 |  73.49721 |   3.43826 | 0.2113 |    0.0064 |     photo_z |    3.6 |      1.6 |         28.63 |       5.93 |        2.87 |
|         Abell 0520 |       1565274 |  73.64934 |   3.49200 | 0.2016 |    0.0075 |     photo_z |    4.6 |      1.1 |         32.63 |       6.76 |        3.27 |
|         Abell 0520 |       1997907 |  72.95687 |   2.74232 | 0.2378 |    0.0113 |     photo_z |    5.6 |      1.5 |         36.62 |       7.59 |        3.67 |
|         Abell 0520 |       2306677 |  72.86656 |   2.80989 | 0.1690 |    0.0077 |     photo_z |    3.3 |      1.0 |         40.62 |       8.42 |        4.07 |
|         Abell 0520 |       1600955 |  72.96886 |   2.57184 | 0.1781 |    0.0080 |     photo_z |    5.2 |      2.5 |         40.83 |       8.46 |        4.09 |
|         Abell 0520 |       1790154 |  73.78998 |   2.33089 | 0.2155 |    0.0078 |     photo_z |    4.5 |      2.3 |         41.01 |       8.50 |        4.11 |
|         Abell 0520 |       3005599 |  73.97410 |   2.42980 | 0.2138 |    0.0075 |     photo_z |    4.6 |      1.2 |         41.68 |       8.64 |        4.17 |
|         Abell 0520 |        414764 |  72.82127 |   2.92178 | 0.2089 |    0.0067 |     photo_z |    3.8 |      0.9 |         42.36 |       8.78 |        4.24 |
|         Abell 0520 |       3422984 |  73.38014 |   3.68594 | 0.2055 |    0.0057 |     photo_z |   11.0 |      1.7 |         44.32 |       9.18 |        4.44 |
|         Abell 0520 |        358626 |  73.92358 |   2.33646 | 0.2046 |    0.0066 |     photo_z |    3.9 |      1.0 |         44.42 |       9.20 |        4.45 |
|         Abell 0520 |        106841 |  73.57832 |   3.70129 | 0.1992 |    0.0055 |     photo_z |   13.3 |      1.9 |         44.46 |       9.21 |        4.45 |
|         Abell 0520 |       1017567 |  73.78148 |   3.72078 | 0.2222 |    0.0088 |     photo_z |    6.3 |      1.6 |         48.01 |       9.95 |        4.81 |
|         Abell 0520 |          4793 |  72.83116 |   2.55241 | 0.2026 |    0.0051 |     photo_z |   26.3 |      2.5 |         48.41 |      10.03 |        4.85 |
|         Abell 0521 |          2884 |  73.52875 | -10.22354 | 0.2475 |    0.0006 | spec_z_boot |  113.6 |      4.9 |          1.07 |       0.26 |        0.16 |
|         Abell 0521 |       1648390 |  73.65301 | -10.14245 | 0.2785 |    0.0098 |     photo_z |    6.9 |      1.7 |          8.93 |       2.15 |        1.33 |
|         Abell 0521 |       3485561 |  73.69808 | -10.25211 | 0.2454 |    0.0096 |     photo_z |    6.1 |      2.3 |          9.49 |       2.28 |        1.41 |
|         Abell 0521 |       2114078 |  73.32551 | -10.22034 | 0.2628 |    0.0162 |     photo_z |    3.2 |      1.0 |         12.59 |       3.03 |        1.87 |
|         Abell 0521 |        516291 |  73.79841 | -10.18781 | 0.2402 |    0.0093 |     photo_z |    4.6 |      4.1 |         15.69 |       3.77 |        2.33 |
|         Abell 0521 |         36744 |  73.47113 |  -9.97647 | 0.2509 |    0.0074 |     photo_z |   13.3 |      2.3 |         16.24 |       3.90 |        2.41 |
|         Abell 0521 |        123391 |  73.74333 | -10.43672 | 0.2338 |    0.0075 |     photo_z |    6.5 |      1.1 |         16.96 |       4.08 |        2.52 |
|         Abell 0521 |         58148 |  73.54185 |  -9.89612 | 0.2523 |    0.0075 |     photo_z |   14.9 |      3.0 |         20.57 |       4.95 |        3.05 |
|         Abell 0521 |       1152456 |  73.15626 | -10.40886 | 0.2517 |    0.0107 |     photo_z |    4.7 |      1.0 |         24.73 |       5.94 |        3.67 |
|         Abell 0521 |       2132942 |  73.65874 |  -9.82654 | 0.2453 |    0.0100 |     photo_z |    4.1 |      1.3 |         25.76 |       6.19 |        3.82 |
