|            chances | eromapper_idx |        ra |       dec | best_z | best_zerr | best_z_type | lambda | lambda_e | dist (arcmin) | dist (Mpc) | dist (r200) |
|         Abell 1689 |       2727421 | 197.82662 |  -0.66760 | 0.2191 |    0.0004 |   cg_spec_z |    3.2 |      0.9 |         40.15 |       7.65 |        3.70 |
|         Abell 1689 |         38516 | 198.58210 |  -1.45720 | 0.1788 |    0.0016 | spec_z_boot |   31.5 |     10.3 |         43.04 |       8.20 |        3.96 |
|         Abell 1689 |         18824 | 198.60246 |  -1.46483 | 0.1727 |    0.0004 |   cg_spec_z |   44.2 |     11.2 |         44.32 |       8.45 |        4.08 |
|         Abell 1689 |       1072913 | 198.59154 |  -1.69304 | 0.2195 |    0.0074 |     photo_z |    4.4 |      1.1 |         48.05 |       9.16 |        4.42 |
|         Abell 1689 |        337832 | 197.18968 |  -0.78836 | 0.1884 |    0.0004 |   cg_spec_z |    6.3 |      1.0 |         52.59 |      10.02 |        4.84 |
|         Abell 1835 |          4894 | 210.24610 |   2.93366 | 0.2527 |    0.0005 | spec_z_boot |  132.2 |     13.9 |          3.74 |       0.91 |        0.46 |
|         Abell 1835 |        566563 | 210.13247 |   2.91199 | 0.2511 |    0.0003 | spec_z_boot |   22.5 |      2.4 |          5.51 |       1.34 |        0.68 |
|         Abell 1835 |        751908 | 210.28905 |   2.96973 | 0.2445 |    0.0004 |   cg_spec_z |   10.4 |      2.9 |          6.96 |       1.69 |        0.86 |
|         Abell 1835 |        696257 | 210.24467 |   2.74289 | 0.2506 |    0.0027 | spec_z_boot |    4.2 |      1.2 |          8.26 |       2.01 |        1.03 |
|         Abell 1835 |       1822612 | 210.13282 |   2.76953 | 0.2532 |    0.0027 | spec_z_boot |    4.0 |      1.2 |          8.27 |       2.01 |        1.03 |
|         Abell 1835 |         63783 | 210.24919 |   3.03121 | 0.2550 |    0.0235 | spec_z_boot |    3.7 |      1.5 |          9.38 |       2.28 |        1.16 |
|         Abell 1835 |          4217 | 210.31729 |   2.75363 | 0.2469 |    0.0013 | spec_z_boot |   16.0 |      2.4 |          9.55 |       2.32 |        1.18 |
|         Abell 1835 |         19832 | 210.36843 |   2.81572 | 0.2476 |    0.0013 | spec_z_boot |    8.5 |      2.1 |          9.76 |       2.37 |        1.21 |
|         Abell 1835 |       2961417 | 210.19432 |   3.05753 | 0.2508 |    0.0019 | spec_z_boot |    3.5 |      1.1 |         10.86 |       2.64 |        1.35 |
|         Abell 1835 |         77448 | 210.38898 |   2.93861 | 0.2624 |    0.0004 |   cg_spec_z |   12.6 |      2.0 |         10.88 |       2.64 |        1.35 |
|         Abell 1835 |       2824069 | 210.45774 |   2.88908 | 0.2508 |    0.0005 | spec_z_boot |    4.9 |      1.2 |         14.39 |       3.50 |        1.78 |
|         Abell 1835 |       1334677 | 209.97181 |   2.90148 | 0.2489 |    0.0016 | spec_z_boot |    3.8 |      0.9 |         14.81 |       3.60 |        1.84 |
|         Abell 1835 |       2359123 | 210.23200 |   2.59460 | 0.2425 |    0.0004 |   cg_spec_z |    6.3 |      1.2 |         17.02 |       4.14 |        2.11 |
|         Abell 1835 |       2386299 | 209.99625 |   2.68974 | 0.2580 |    0.0006 | spec_z_boot |    3.5 |      1.0 |         17.44 |       4.24 |        2.16 |
|         Abell 1835 |        175848 | 210.59552 |   2.80959 | 0.2469 |    0.0005 | spec_z_boot |   17.1 |      1.8 |         23.00 |       5.59 |        2.85 |
|         Abell 1835 |       2170686 | 210.14384 |   2.50154 | 0.2483 |    0.0153 | spec_z_boot |    4.4 |      1.6 |         23.02 |       5.60 |        2.86 |
|         Abell 1835 |         24564 | 210.35892 |   2.49322 | 0.2469 |    0.0019 | spec_z_boot |   21.9 |      2.0 |         24.58 |       5.98 |        3.05 |
|         Abell 1835 |       2786889 | 210.58082 |   3.11370 | 0.2538 |    0.0036 | spec_z_boot |    3.6 |      1.0 |         25.94 |       6.31 |        3.22 |
|         Abell 1835 |          9799 | 210.38550 |   2.46732 | 0.2782 |    0.0004 |   cg_spec_z |    4.1 |      1.5 |         26.61 |       6.47 |        3.30 |
|         Abell 1835 |         48572 | 210.17322 |   2.43324 | 0.2448 |    0.0037 | spec_z_boot |   13.2 |      1.9 |         26.82 |       6.52 |        3.33 |
|         Abell 1835 |       1936101 | 209.94527 |   2.49774 | 0.2355 |    0.0004 |   cg_spec_z |    3.1 |      0.9 |         28.06 |       6.82 |        3.48 |
|         Abell 1835 |       2834089 | 210.03132 |   3.33993 | 0.2524 |    0.0004 |   cg_spec_z |    6.1 |      1.5 |         29.89 |       7.27 |        3.71 |
|         Abell 1835 |       2596090 | 209.71325 |   2.98286 | 0.2146 |    0.0004 |   cg_spec_z |    8.8 |      1.4 |         30.89 |       7.51 |        3.83 |
|         Abell 1835 |        101255 | 209.68468 |   3.02582 | 0.2620 |    0.0004 |   cg_spec_z |    8.2 |      1.5 |         33.16 |       8.06 |        4.11 |
|         Abell 1835 |       2308628 | 209.78053 |   2.52870 | 0.2507 |    0.0121 |     photo_z |    3.4 |      1.2 |         33.56 |       8.16 |        4.16 |
|         Abell 1835 |        148392 | 210.46571 |   2.37093 | 0.2517 |    0.0004 |   cg_spec_z |    7.9 |      1.5 |         33.86 |       8.23 |        4.20 |
|         Abell 1835 |         48967 | 209.87348 |   2.37213 | 0.2616 |    0.0004 |   cg_spec_z |   15.8 |      1.8 |         36.71 |       8.93 |        4.55 |
|         Abell 1835 |       1777233 | 209.68260 |   2.53945 | 0.2565 |    0.0004 |   cg_spec_z |    9.8 |      1.8 |         37.97 |       9.23 |        4.71 |
|         Abell 1835 |       2015256 | 210.69836 |   2.43831 | 0.2564 |    0.0121 |     photo_z |    3.7 |      1.1 |         39.05 |       9.50 |        4.85 |
|         Abell 1835 |       2321216 | 210.05303 |   2.24667 | 0.2216 |    0.0073 |     photo_z |    4.3 |      0.9 |         39.15 |       9.52 |        4.86 |
|         Abell 1835 |        173189 | 209.95949 |   2.27768 | 0.2929 |    0.0004 |   cg_spec_z |    3.3 |      1.3 |         39.21 |       9.53 |        4.86 |
|         Abell 1835 |        547470 | 210.31445 |   2.21782 | 0.2623 |    0.0090 |     photo_z |    5.5 |      1.5 |         40.03 |       9.73 |        4.97 |
|         Abell 2163 |           171 | 243.95404 |  -6.14488 | 0.1998 |    0.0016 | spec_z_boot |  212.7 |      6.6 |          0.43 |       0.09 |        0.04 |
|         Abell 2163 |       2588157 | 243.96899 |  -6.22959 | 0.2355 |    0.0077 |     photo_z |    5.9 |      0.9 |          4.73 |       0.99 |        0.46 |
|         Abell 2163 |       1686088 | 244.02336 |  -6.24980 | 0.1874 |    0.0058 |     photo_z |    7.6 |      1.8 |          7.15 |       1.49 |        0.69 |
|         Abell 2163 |         10373 | 243.74804 |  -6.18897 | 0.1933 |    0.0053 |     photo_z |    7.0 |      2.2 |         12.54 |       2.62 |        1.22 |
|         Abell 2163 |        868737 | 243.76655 |  -6.04142 | 0.1806 |    0.0050 |     photo_z |   12.2 |      2.2 |         13.05 |       2.73 |        1.27 |
|         Abell 2163 |        765246 | 244.04285 |  -5.94770 | 0.1860 |    0.0049 |     photo_z |   10.4 |      1.8 |         13.33 |       2.78 |        1.29 |
|         Abell 2163 |       1638026 | 243.86625 |  -5.94651 | 0.1913 |    0.0069 |     photo_z |    3.2 |      1.3 |         13.42 |       2.80 |        1.30 |
|         Abell 2163 |       1524558 | 243.91910 |  -6.39777 | 0.1775 |    0.0064 |     photo_z |    3.9 |      1.3 |         14.90 |       3.11 |        1.45 |
|         Abell 2163 |       1513602 | 244.22881 |  -6.09901 | 0.1800 |    0.0063 |     photo_z |    4.5 |      1.4 |         16.64 |       3.47 |        1.62 |
|         Abell 2163 |       2974943 | 243.64607 |  -6.10988 | 0.2244 |    0.0086 |     photo_z |    4.8 |      1.1 |         18.60 |       3.88 |        1.81 |
|         Abell 2163 |       1497686 | 243.65505 |  -6.31277 | 0.1893 |    0.0059 |     photo_z |    8.2 |      3.5 |         20.33 |       4.24 |        1.97 |
|         Abell 2163 |       3257361 | 244.14628 |  -5.85774 | 0.1850 |    0.0055 |     photo_z |    7.5 |      1.2 |         21.02 |       4.39 |        2.04 |
|         Abell 2163 |       3329322 | 243.84646 |  -5.78908 | 0.2319 |    0.0088 |     photo_z |    3.8 |      1.3 |         22.72 |       4.74 |        2.21 |
|         Abell 2163 |          6167 | 243.57601 |  -6.03906 | 0.1817 |    0.0045 |     photo_z |   22.2 |      2.2 |         23.60 |       4.93 |        2.29 |
|         Abell 2163 |       2963572 | 244.32507 |  -5.97942 | 0.1924 |    0.0059 |     photo_z |    8.2 |      1.3 |         24.39 |       5.09 |        2.37 |
|         Abell 2163 |        379792 | 243.58419 |  -5.95847 | 0.2176 |    0.0074 |     photo_z |    3.7 |      1.0 |         24.99 |       5.22 |        2.43 |
|         Abell 2163 |       1878678 | 244.18823 |  -6.54656 | 0.2273 |    0.0060 |     photo_z |   11.0 |      2.1 |         27.46 |       5.73 |        2.67 |
|         Abell 2163 |       2679531 | 244.36631 |  -6.42501 | 0.2019 |    0.0068 |     photo_z |    5.3 |      1.1 |         29.50 |       6.16 |        2.86 |
|         Abell 2163 |       2206137 | 244.46119 |  -6.09180 | 0.1744 |    0.0051 |     photo_z |   11.8 |      3.0 |         30.41 |       6.35 |        2.95 |
|         Abell 2163 |        803997 | 243.64911 |  -6.58197 | 0.2242 |    0.0071 |     photo_z |    3.3 |      1.1 |         31.60 |       6.60 |        3.07 |
|         Abell 2163 |       1397822 | 244.18688 |  -6.64502 | 0.2287 |    0.0083 |     photo_z |    3.3 |      1.1 |         32.65 |       6.82 |        3.17 |
|         Abell 2163 |       2062030 | 243.36701 |  -6.16251 | 0.1951 |    0.0058 |     photo_z |    6.8 |      1.5 |         35.08 |       7.32 |        3.41 |
|         Abell 2163 |       1041590 | 243.61047 |  -6.66193 | 0.2328 |    0.0079 |     photo_z |    4.3 |      1.0 |         36.85 |       7.69 |        3.58 |
|         Abell 2163 |       1316014 | 244.66258 |  -6.28898 | 0.1900 |    0.0063 |     photo_z |    3.4 |      0.7 |         43.00 |       8.98 |        4.17 |
|         Abell 2163 |        332873 | 244.44256 |  -5.58504 | 0.2181 |    0.0071 |     photo_z |    3.5 |      1.2 |         44.77 |       9.34 |        4.35 |
|         Abell 2163 |        668455 | 244.03462 |  -6.89775 | 0.2203 |    0.0056 |     photo_z |   14.8 |      2.1 |         45.00 |       9.39 |        4.37 |
|         Abell 2163 |        280271 | 244.50939 |  -5.63021 | 0.1865 |    0.0046 |     photo_z |   22.4 |      1.9 |         45.55 |       9.51 |        4.42 |
|         Abell 2163 |       1793955 | 243.32663 |  -6.65254 | 0.1688 |    0.0062 |     photo_z |    3.7 |      1.1 |         48.02 |      10.02 |        4.66 |
|         Abell 2163 |        715513 | 243.43149 |  -6.77857 | 0.2292 |    0.0073 |     photo_z |    4.6 |      1.0 |         48.86 |      10.20 |        4.74 |
|         Abell 2163 |        421629 | 243.70520 |  -5.35244 | 0.1827 |    0.0053 |     photo_z |    9.2 |      1.4 |         50.24 |      10.49 |        4.88 |
|         Abell 2420 |          4580 | 332.57818 | -12.17062 | 0.0841 |    0.0020 | spec_z_boot |   95.1 |      4.5 |          0.65 |       0.06 |        0.03 |
|         Abell 2420 |        189375 | 332.84235 | -11.99353 | 0.0868 |    0.0097 |     photo_z |    9.4 |      1.4 |         19.44 |       1.93 |        0.99 |
|         Abell 2420 |       1496437 | 332.59939 | -11.84896 | 0.0758 |    0.0156 |     photo_z |    4.9 |      1.2 |         19.76 |       1.96 |        1.01 |
|         Abell 2420 |       1243253 | 332.78108 | -12.43752 | 0.0842 |    0.0121 |     photo_z |    3.6 |      1.1 |         19.97 |       1.98 |        1.02 |
|         Abell 2420 |        706407 | 332.62196 | -12.57558 | 0.0945 |    0.0112 |     photo_z |    4.8 |      1.3 |         24.11 |       2.39 |        1.23 |
|         Abell 2420 |       2221946 | 332.61583 | -12.71155 | 0.0714 |    0.0004 |   cg_spec_z |   13.3 |      4.7 |         32.19 |       3.19 |        1.64 |
|         Abell 2420 |        170781 | 332.06239 | -12.46406 | 0.0706 |    0.0002 |   cg_spec_z |    5.7 |      1.6 |         34.34 |       3.40 |        1.75 |
|         Abell 2420 |        331220 | 333.18006 | -12.36455 | 0.0795 |    0.0002 |   cg_spec_z |    6.2 |      1.5 |         37.54 |       3.72 |        1.92 |
|         Abell 2420 |       1717530 | 333.12766 | -11.85071 | 0.0933 |    0.0122 |     photo_z |    3.9 |      1.2 |         38.18 |       3.78 |        1.95 |
|         Abell 2420 |       1772824 | 332.34837 | -12.79580 | 0.1124 |    0.0079 |     photo_z |    4.7 |      1.2 |         39.32 |       3.90 |        2.01 |
|         Abell 2420 |        897684 | 332.68940 | -11.49583 | 0.0831 |    0.0004 |   cg_spec_z |    5.3 |      2.9 |         41.48 |       4.11 |        2.12 |
|         Abell 2420 |       1159096 | 333.18678 | -12.55891 | 0.0957 |    0.0111 |     photo_z |    5.1 |      1.4 |         42.84 |       4.24 |        2.19 |
|         Abell 2420 |        104861 | 331.91737 | -12.60806 | 0.1076 |    0.0004 |   cg_spec_z |    6.8 |      1.5 |         46.13 |       4.57 |        2.36 |
|         Abell 2420 |        679869 | 332.49709 | -12.95785 | 0.0760 |    0.0004 |   cg_spec_z |    5.8 |      1.4 |         47.04 |       4.66 |        2.40 |
|         Abell 2420 |        365651 | 333.02445 | -12.96826 | 0.1118 |    0.0081 |     photo_z |    8.3 |      2.0 |         54.45 |       5.39 |        2.78 |
|         Abell 2420 |       2901849 | 332.92202 | -13.03338 | 0.1122 |    0.0075 |     photo_z |    8.0 |      1.6 |         55.38 |       5.49 |        2.83 |
|         Abell 2420 |       2730876 | 331.56334 | -12.66683 | 0.1116 |    0.0004 |   cg_spec_z |    4.9 |      1.2 |         65.86 |       6.53 |        3.36 |
|         Abell 2420 |       1329360 | 331.60297 | -11.48875 | 0.1109 |    0.0090 |     photo_z |    4.3 |      1.0 |         70.18 |       6.95 |        3.58 |
|         Abell 2420 |       1591806 | 333.29231 | -13.13750 | 0.1147 |    0.0084 |     photo_z |    4.2 |      1.3 |         71.51 |       7.09 |        3.65 |
|         Abell 2420 |       2434588 | 333.20267 | -13.21133 | 0.1205 |    0.0082 |     photo_z |    5.7 |      2.4 |         72.29 |       7.16 |        3.69 |
|         Abell 2420 |       1216990 | 333.37842 | -13.18771 | 0.1088 |    0.0091 |     photo_z |    7.3 |      3.8 |         76.95 |       7.62 |        3.93 |
|         Abell 2420 |        979180 | 332.09537 | -13.44870 | 0.1138 |    0.0085 |     photo_z |    3.3 |      0.8 |         81.18 |       8.04 |        4.15 |
|         Abell 2420 |         24059 | 332.61967 | -10.73674 | 0.0906 |    0.0087 |     photo_z |   10.3 |      3.6 |         86.47 |       8.57 |        4.42 |
|         Abell 2420 |       2536467 | 331.76357 | -10.86280 | 0.0693 |    0.0159 |     photo_z |    3.7 |      0.7 |         91.98 |       9.11 |        4.70 |
|         Abell 2420 |        216234 | 333.87569 | -13.10709 | 0.0561 |    0.0008 | spec_z_boot |    3.9 |      1.2 |         94.68 |       9.38 |        4.84 |
|         Abell 2420 |        881635 | 331.08678 | -11.49799 | 0.1017 |    0.0002 |   cg_spec_z |   11.5 |      2.1 |         96.11 |       9.52 |        4.91 |
|         Abell 2420 |        241052 | 332.00708 | -13.70772 | 0.0949 |    0.0114 |     photo_z |    4.5 |      1.3 |         97.55 |       9.67 |        4.98 |
|         Abell 2744 |          2029 |   3.58624 | -30.40014 | 0.2992 |    0.0004 |   cg_spec_z |  156.1 |      5.1 |          0.79 |       0.22 |        0.09 |
|         Abell 2744 |       1162967 |   3.54968 | -30.49426 | 0.2838 |    0.0135 |     photo_z |    4.4 |      1.3 |          6.48 |       1.82 |        0.76 |
|         Abell 2744 |       2949715 |   3.46358 | -30.33553 | 0.3136 |    0.0152 |     photo_z |    5.4 |      1.4 |          6.73 |       1.89 |        0.78 |
|         Abell 2744 |       1720755 |   3.78294 | -30.33335 | 0.3175 |    0.0138 |     photo_z |    8.9 |      1.4 |         11.13 |       3.13 |        1.30 |
|         Abell 2744 |        465544 |   3.37786 | -30.27465 | 0.3066 |    0.0004 |   cg_spec_z |    6.3 |      1.4 |         12.43 |       3.49 |        1.45 |
|         Abell 2744 |        110394 |   3.73150 | -30.55204 | 0.2656 |    0.0004 |   cg_spec_z |    7.3 |      1.8 |         12.60 |       3.54 |        1.47 |
|         Abell 2744 |        795501 |   3.80738 | -30.58788 | 0.3124 |    0.0176 |     photo_z |    3.8 |      1.1 |         16.83 |       4.73 |        1.96 |
|         Abell 2744 |       1734635 |   3.31565 | -30.16702 | 0.2711 |    0.0098 |     photo_z |    8.3 |      1.8 |         19.03 |       5.34 |        2.22 |
|         Abell 2744 |       1891236 |   3.22875 | -30.56327 | 0.3079 |    0.0109 |     photo_z |   12.2 |      1.7 |         20.86 |       5.86 |        2.43 |
|         Abell 2744 |       1979400 |   4.01488 | -30.31449 | 0.3195 |    0.0133 |     photo_z |    5.8 |      1.4 |         23.06 |       6.48 |        2.69 |
|         Abell 2744 |         59216 |   3.38570 | -30.74588 | 0.2707 |    0.0004 |   cg_spec_z |    8.3 |      1.4 |         23.60 |       6.63 |        2.75 |
|         Abell 2744 |       2702487 |   3.99792 | -30.21248 | 0.3075 |    0.0161 |     photo_z |    4.9 |      1.2 |         24.20 |       6.80 |        2.82 |
|         Abell 2744 |        280330 |   3.34294 | -29.99070 | 0.3221 |    0.0183 |     photo_z |    3.8 |      0.9 |         26.83 |       7.53 |        3.13 |
|         Abell 2744 |        716608 |   3.24191 | -30.78742 | 0.2900 |    0.0163 |     photo_z |    5.4 |      1.8 |         29.54 |       8.30 |        3.44 |
|         Abell 2744 |       2529584 |   4.14296 | -30.18963 | 0.3316 |    0.0182 |     photo_z |    6.1 |      1.5 |         31.62 |       8.88 |        3.69 |
|         Abell 2744 |        437696 |   2.95801 | -30.60607 | 0.3257 |    0.0181 |     photo_z |    3.2 |      1.0 |         34.59 |       9.72 |        4.03 |
|         Abell 2744 |       1432804 |   4.27226 | -30.17770 | 0.3113 |    0.0163 |     photo_z |    3.9 |      1.0 |         38.14 |      10.71 |        4.45 |
|         Abell 2744 |       2559287 |   4.21546 | -30.02747 | 0.3349 |    0.0202 |     photo_z |    3.3 |      1.2 |         39.54 |      11.11 |        4.61 |
|         Abell 2744 |        937580 |   3.05296 | -29.90016 | 0.2935 |    0.0161 |     photo_z |    3.5 |      1.0 |         40.03 |      11.24 |        4.67 |
|         Abell 2744 |        284855 |   4.35779 | -30.25812 | 0.3017 |    0.0096 |     photo_z |   15.5 |      2.0 |         41.15 |      11.56 |        4.80 |
|         Abell 2744 |       1580955 |   3.25663 | -29.75554 | 0.2736 |    0.0133 |     photo_z |    5.8 |      1.0 |         41.51 |      11.66 |        4.84 |
|         Abell 2744 |       2007612 |   3.94553 | -29.77022 | 0.2877 |    0.0165 |     photo_z |    3.2 |      1.1 |         41.75 |      11.73 |        4.87 |
|         Abell 2811 |           563 |  10.53704 | -28.53574 | 0.1074 |    0.0004 | spec_z_boot |   59.1 |      3.4 |          0.07 |       0.01 |        0.00 |
|         Abell 2811 |         19378 |  10.84323 | -28.48390 | 0.1064 |    0.0005 | spec_z_boot |   17.0 |      2.4 |         16.51 |       2.02 |        1.16 |
|         Abell 2811 |       1079528 |  10.27089 | -28.81376 | 0.1085 |    0.0004 |   cg_spec_z |    5.8 |      1.4 |         21.73 |       2.66 |        1.53 |
|         Abell 2811 |       2441133 |  10.61429 | -28.05431 | 0.1056 |    0.0041 | spec_z_boot |    7.3 |      1.1 |         29.20 |       3.57 |        2.05 |
|         Abell 2811 |       3212893 |   9.95308 | -28.82468 | 0.1123 |    0.0005 | spec_z_boot |   26.5 |      4.2 |         35.23 |       4.31 |        2.48 |
|         Abell 2811 |         97079 |  11.06479 | -28.05531 | 0.1123 |    0.0006 | spec_z_boot |   10.3 |      1.2 |         40.16 |       4.91 |        2.82 |
|         Abell 2811 |       1486143 |  10.88604 | -29.17870 | 0.1147 |    0.0057 | spec_z_boot |    3.4 |      0.9 |         42.73 |       5.23 |        3.00 |
|         Abell 2811 |        503809 |  10.71750 | -29.28786 | 0.1279 |    0.0004 |   cg_spec_z |    3.3 |      1.0 |         46.11 |       5.64 |        3.24 |
|         Abell 2811 |        808836 |  11.12686 | -29.14806 | 0.1133 |    0.0010 | spec_z_boot |    4.1 |      0.9 |         48.10 |       5.89 |        3.38 |
|         Abell 2811 |       2571042 |  11.44197 | -28.75061 | 0.1077 |    0.0010 | spec_z_boot |    6.7 |      1.1 |         49.42 |       6.05 |        3.48 |
|         Abell 2811 |       2243346 |   9.67947 | -28.05327 | 0.1083 |    0.0004 |   cg_spec_z |    3.7 |      1.1 |         53.72 |       6.57 |        3.78 |
|         Abell 2811 |       1412884 |   9.62877 | -29.08164 | 0.1122 |    0.0008 | spec_z_boot |   20.0 |      2.4 |         57.84 |       7.08 |        4.07 |
|         Abell 2811 |       1091228 |  11.50015 | -29.03323 | 0.0761 |    0.0019 | spec_z_boot |    3.8 |      0.7 |         58.83 |       7.20 |        4.14 |
|         Abell 2811 |       1822894 |   9.38674 | -28.53347 | 0.1117 |    0.0005 | spec_z_boot |   32.8 |      2.6 |         60.57 |       7.41 |        4.26 |
|         Abell 2811 |        332353 |   9.42633 | -28.08408 | 0.1110 |    0.0029 | spec_z_boot |    5.4 |      0.9 |         64.58 |       7.90 |        4.54 |
|         Abell 2811 |        178636 |   9.37874 | -28.93130 | 0.1151 |    0.0016 | spec_z_boot |    3.8 |      0.9 |         65.33 |       7.99 |        4.59 |
|         Abell 2811 |        516943 |   9.31142 | -28.23817 | 0.0853 |    0.0182 | spec_z_boot |    6.7 |      1.9 |         67.06 |       8.21 |        4.72 |
|         Abell 2811 |       2055430 |  10.25337 | -29.63856 | 0.1144 |    0.0084 | spec_z_boot |    4.3 |      1.0 |         67.79 |       8.30 |        4.77 |
|         Abell 2813 |            37 |  10.85271 | -20.62820 | 0.2924 |    0.0004 |   cg_spec_z |  104.3 |      4.7 |          1.00 |       0.27 |        0.15 |
|         Abell 2813 |            67 |  10.80846 | -20.57129 | 0.3221 |    0.0070 |     photo_z |   10.7 |      2.6 |          4.23 |       1.14 |        0.64 |
|         Abell 2813 |       2511735 |  10.96147 | -20.62063 | 0.2695 |    0.0077 |     photo_z |   17.0 |      2.1 |          5.37 |       1.45 |        0.81 |
|         Abell 2813 |        193192 |  10.70317 | -20.55285 | 0.3224 |    0.0115 |     photo_z |    8.4 |      1.6 |          9.91 |       2.68 |        1.49 |
|         Abell 2813 |       1398464 |  10.70069 | -20.42478 | 0.2943 |    0.0166 |     photo_z |    5.4 |      1.1 |         14.80 |       4.00 |        2.22 |
|         Abell 2813 |       2580637 |  10.63232 | -20.34925 | 0.3350 |    0.0187 |     photo_z |    4.0 |      1.7 |         20.74 |       5.61 |        3.11 |
|         Abell 2813 |       3096893 |  11.13550 | -20.86671 | 0.3323 |    0.0170 |     photo_z |    5.3 |      1.2 |         21.29 |       5.76 |        3.20 |
|         Abell 2813 |       1659508 |  10.47207 | -20.68495 | 0.2788 |    0.0148 |     photo_z |    4.1 |      1.0 |         22.48 |       6.08 |        3.38 |
|         Abell 2813 |       2997346 |  10.47455 | -20.83160 | 0.3233 |    0.0146 |     photo_z |    6.4 |      1.3 |         25.45 |       6.88 |        3.82 |
|         Abell 2813 |       2311176 |  10.34956 | -20.52557 | 0.2906 |    0.0138 |     photo_z |    7.1 |      1.5 |         29.52 |       7.98 |        4.43 |
|         Abell 2813 |       2888871 |  10.87202 | -20.08661 | 0.3253 |    0.0172 |     photo_z |    3.8 |      1.2 |         31.83 |       8.60 |        4.78 |
|         Abell 3048 |           770 |  41.62540 | -20.53676 | 0.3424 |    0.0084 |     photo_z |   13.4 |      3.0 |          0.59 |       0.17 |        0.09 |
|         Abell 3048 |       3583960 |  41.58813 | -20.61124 | 0.3242 |    0.0064 |     photo_z |   59.7 |      4.1 |          4.82 |       1.36 |        0.77 |
|         Abell 3048 |         21952 |  41.64558 | -20.45357 | 0.3184 |    0.0120 |     photo_z |    4.3 |      1.6 |          5.18 |       1.46 |        0.83 |
|         Abell 3048 |         63235 |  41.57904 | -20.43714 | 0.3125 |    0.0084 |     photo_z |    9.9 |      2.7 |          6.21 |       1.75 |        0.99 |
|         Abell 3048 |          1734 |  41.49206 | -20.48772 | 0.3153 |    0.0062 |     photo_z |   62.8 |      3.8 |          7.47 |       2.11 |        1.19 |
|         Abell 3048 |        802251 |  41.80788 | -20.63795 | 0.3181 |    0.0176 |     photo_z |    4.1 |      1.0 |         12.47 |       3.52 |        1.99 |
|         Abell 3048 |       2024052 |  41.42517 | -20.42336 | 0.3214 |    0.0096 |     photo_z |    8.4 |      1.9 |         12.60 |       3.56 |        2.01 |
|         Abell 3048 |         18208 |  41.33558 | -20.52526 | 0.3258 |    0.0084 |     photo_z |   25.6 |      2.8 |         15.71 |       4.44 |        2.51 |
|         Abell 3048 |        154311 |  41.92558 | -20.49434 | 0.3476 |    0.0196 |     photo_z |    5.1 |      1.3 |         17.62 |       4.97 |        2.81 |
|         Abell 3048 |       1840427 |  41.83408 | -20.25082 | 0.2943 |    0.0155 |     photo_z |    3.5 |      1.1 |         21.04 |       5.94 |        3.36 |
|         Abell 3048 |        699648 |  41.24391 | -20.45602 | 0.3232 |    0.0090 |     photo_z |   17.1 |      2.3 |         21.39 |       6.04 |        3.41 |
|         Abell 3048 |         28057 |  41.69596 | -20.89523 | 0.2902 |    0.0106 |     photo_z |    7.8 |      2.0 |         22.09 |       6.23 |        3.52 |
|         Abell 3048 |       2124887 |  41.62707 | -20.93262 | 0.3361 |    0.0087 |     photo_z |   25.3 |      2.8 |         23.87 |       6.74 |        3.81 |
|         Abell 3048 |       1803652 |  41.17096 | -20.58084 | 0.3005 |    0.0143 |     photo_z |    5.6 |      1.3 |         25.10 |       7.08 |        4.00 |
|         Abell 3048 |       1065911 |  42.01312 | -20.31632 | 0.2833 |    0.0144 |     photo_z |    3.7 |      1.0 |         25.95 |       7.32 |        4.14 |
|         Abell 3048 |       1413981 |  41.17535 | -20.36539 | 0.3199 |    0.0176 |     photo_z |    4.4 |      2.1 |         26.73 |       7.55 |        4.26 |
|         Abell 3048 |        711353 |  41.73568 | -20.96665 | 0.3124 |    0.0171 |     photo_z |    3.3 |      1.3 |         26.77 |       7.56 |        4.27 |
|         Abell 3048 |        457483 |  41.33583 | -20.91423 | 0.3231 |    0.0176 |     photo_z |    4.0 |      1.3 |         27.63 |       7.80 |        4.41 |
|         Abell 3048 |       1225363 |  41.11543 | -20.44369 | 0.3191 |    0.0170 |     photo_z |    5.8 |      4.4 |         28.61 |       8.08 |        4.56 |
|         Abell 3048 |        149941 |  41.12571 | -20.38222 | 0.3364 |    0.0152 |     photo_z |    4.0 |      1.5 |         28.99 |       8.18 |        4.62 |
|         Abell 3048 |        991522 |  41.58750 | -20.03815 | 0.3150 |    0.0100 |     photo_z |   18.6 |      3.4 |         29.85 |       8.43 |        4.76 |
|         Abell 3048 |        544319 |  42.15725 | -20.52961 | 0.3299 |    0.0165 |     photo_z |    3.2 |      1.1 |         30.47 |       8.60 |        4.86 |
|         Abell 3186 |           608 |  57.89073 | -73.98266 | 0.1211 |    0.0052 |     photo_z |    7.3 |     10.9 |          3.20 |       0.45 |        0.22 |
|         Abell 3186 |         39612 |  57.60657 | -74.04555 | 0.1217 |    0.0058 |     photo_z |   16.7 |      3.2 |          7.83 |       1.10 |        0.54 |
|         Abell 3186 |       1222157 |  58.31334 | -73.89476 | 0.1200 |    0.0052 |     photo_z |   50.0 |      4.6 |          7.98 |       1.12 |        0.55 |
