|       chances | eromapper_idx |        ra |       dec | best_z | best_zerr | best_z_type | lambda | lambda_e | dist (arcmin) | dist (Mpc) | dist (r200) | vpec (km/s) | is_main |     m200 | r200 |  d200 |
|    Abell 1644 |       1563202 | 194.01661 | -19.19093 | 0.0748 |    0.0153 |     photo_z |    4.0 |      1.0 |        108.62 |       6.33 |        3.60 |        7655 |       0 | 1.43e+13 | 0.50 |  5.68 |
|    Abell 1644 |        413300 | 195.34035 | -15.48210 | 0.0613 |    0.0004 |   cg_spec_z |    4.9 |      1.5 |        129.85 |       7.56 |        4.30 |        3807 |       0 | 1.86e+13 | 0.55 |  7.46 |
|    Abell 1644 |       2525421 | 192.99702 | -15.40002 | 0.0473 |    0.0004 | spec_z_boot |   29.2 |      9.4 |        141.35 |       8.24 |        4.68 |        -189 |       0 | 2.04e+14 | 1.22 | 21.24 |
|    Abell 2399 |         25755 | 329.34754 |  -7.97055 | 0.0583 |    0.0003 | spec_z_boot |   52.3 |      3.6 |          9.58 |       0.67 |        0.46 |          95 |       1 | 4.47e+14 | 1.58 | 22.60 |
|    Abell 2399 |       2959256 | 329.39054 |  -7.45814 | 0.0678 |    0.0153 | spec_z_boot |   10.1 |      6.1 |         21.37 |       1.49 |        1.03 |        2777 |       0 | 4.96e+13 | 0.76 |  9.42 |
|    Abell 2399 |       1110105 | 329.03648 |  -8.13289 | 0.0929 |    0.0037 | spec_z_boot |    3.4 |      0.9 |         26.51 |       1.85 |        1.28 |        9878 |       0 | 1.14e+13 | 0.46 |  4.31 |
|    Abell 2399 |       2546373 | 329.33065 |  -7.05834 | 0.0859 |    0.0000 |   cg_spec_z |    5.2 |      1.6 |         45.16 |       3.16 |        2.18 |        7906 |       0 | 2.06e+13 | 0.56 |  5.63 |
|    Abell 2399 |        712965 | 330.06129 |  -7.31966 | 0.0841 |    0.0091 | spec_z_boot |    5.8 |      1.3 |         51.95 |       3.63 |        2.50 |        7397 |       0 | 2.38e+13 | 0.59 |  6.02 |
|    Abell 2399 |       2716795 | 330.16684 |  -8.14948 | 0.0919 |    0.0122 |     photo_z |    7.2 |      4.4 |         53.05 |       3.71 |        2.56 |        9602 |       0 | 3.15e+13 | 0.65 |  6.09 |
|    Abell 2399 |        959335 | 329.18239 |  -6.90315 | 0.0647 |    0.0002 | spec_z_boot |    9.4 |      2.2 |         55.29 |       3.86 |        2.66 |        1908 |       0 | 4.49e+13 | 0.73 |  9.52 |
|    Abell 2399 |       1924781 | 328.68956 |  -8.48887 | 0.0735 |    0.0006 | spec_z_boot |    5.8 |      1.4 |         56.18 |       3.93 |        2.71 |        4382 |       0 | 2.36e+13 | 0.59 |  6.82 |
|    Abell 2399 |        118742 | 328.52725 |  -8.65014 | 0.0740 |    0.0004 | spec_z_boot |   21.9 |      3.0 |         69.83 |       4.88 |        3.37 |        4532 |       0 | 1.40e+14 | 1.07 | 12.26 |
|    Abell 2399 |        695629 | 328.22481 |  -7.06721 | 0.0673 |    0.0045 | spec_z_boot |    5.9 |      1.6 |         80.06 |       5.59 |        3.86 |        2625 |       0 | 2.43e+13 | 0.60 |  7.48 |
|    Abell 2399 |       1068663 | 328.58735 |  -8.91949 | 0.0745 |    0.0057 | spec_z_boot |    4.1 |      1.3 |         80.19 |       5.60 |        3.86 |        4665 |       0 | 1.48e+13 | 0.51 |  5.76 |
|    Abell 2399 |       2377579 | 330.81322 |  -7.79636 | 0.0857 |    0.0003 | spec_z_boot |    6.0 |      1.6 |         87.46 |       6.11 |        4.21 |        7848 |       0 | 2.48e+13 | 0.60 |  6.00 |
|    Abell 2399 |        534576 | 329.47667 |  -6.33285 | 0.0890 |    0.0120 |     photo_z |    4.0 |      1.0 |         89.05 |       6.22 |        4.29 |        8789 |       0 | 1.46e+13 | 0.50 |  4.86 |
|    Abell 2399 |        175385 | 328.52154 |  -6.52651 | 0.0638 |    0.0131 |     photo_z |   11.1 |      2.2 |         91.25 |       6.38 |        4.40 |        1631 |       0 | 5.61e+13 | 0.79 | 10.40 |
|    Abell 2399 |        161882 | 328.82211 |  -9.29777 | 0.0732 |    0.0000 |   cg_spec_z |    7.0 |      2.1 |         94.39 |       6.60 |        4.55 |        4313 |       0 | 3.04e+13 | 0.64 |  7.44 |
|    Abell 2399 |        110688 | 327.93013 |  -7.03149 | 0.0642 |    0.0107 | spec_z_boot |   11.1 |      2.0 |         96.15 |       6.72 |        4.63 |        1755 |       0 | 5.62e+13 | 0.79 | 10.34 |
|    Abell 2415 |         25977 | 331.39789 |  -5.53600 | 0.0574 |    0.0004 | spec_z_boot |   28.7 |      3.0 |          3.61 |       0.25 |        0.23 |        -172 |       1 | 2.00e+14 | 1.21 | 17.56 |
|    Abell 2415 |       2484383 | 331.75665 |  -5.02193 | 0.0925 |    0.0004 |   cg_spec_z |    6.6 |      1.2 |         39.96 |       2.78 |        2.51 |        9773 |       0 | 2.80e+13 | 0.62 |  5.82 |
|    Abell 2415 |         68338 | 330.89631 |  -6.43538 | 0.0541 |    0.0039 | spec_z_boot |   13.7 |      5.3 |         59.19 |       4.12 |        3.72 |       -1094 |       0 | 7.46e+13 | 0.87 | 13.36 |
|    Abell 2415 |        818294 | 330.69093 |  -6.67700 | 0.0562 |    0.0004 |   cg_spec_z |    4.1 |      1.0 |         78.00 |       5.43 |        4.90 |        -519 |       0 | 1.48e+13 | 0.51 |  7.53 |
|    Abell 2457 |          9517 | 339.06397 |   1.40136 | 0.0582 |    0.0004 | spec_z_boot |   65.3 |     10.3 |         10.68 |       0.74 |        0.61 |          65 |       1 | 6.03e+14 | 1.75 | 25.02 |
|    Abell 2457 |        204268 | 338.84133 |   1.20547 | 0.0573 |    0.0007 | spec_z_boot |   12.2 |      5.6 |         18.64 |       1.30 |        1.06 |        -188 |       0 | 6.38e+13 | 0.83 | 12.01 |
|    Abell 2457 |       2681352 | 339.07143 |   1.21057 | 0.0842 |    0.0089 | spec_z_boot |    5.2 |      1.6 |         19.92 |       1.39 |        1.14 |        7425 |       0 | 2.03e+13 | 0.56 |  5.71 |
|    Abell 2457 |        450779 | 338.36026 |   1.90342 | 0.0603 |    0.0002 | spec_z_boot |    5.8 |      1.2 |         41.18 |       2.87 |        2.35 |         658 |       0 | 2.33e+13 | 0.59 |  8.18 |
|    Abell 2457 |        564551 | 338.72330 |   2.18826 | 0.0579 |    0.0001 |   cg_spec_z |    4.4 |      1.6 |         42.60 |       2.96 |        2.43 |         -41 |       0 | 1.62e+13 | 0.52 |  7.55 |
|    Abell 2457 |        388214 | 338.55749 |   0.60816 | 0.0880 |    0.0002 | spec_z_boot |    3.9 |      1.8 |         58.09 |       4.04 |        3.31 |        8511 |       0 | 1.39e+13 | 0.49 |  4.83 |
|    Abell 2457 |       3363490 | 340.31191 |   1.68648 | 0.0729 |    0.0125 | spec_z_boot |   10.1 |      1.3 |         84.18 |       5.86 |        4.80 |        4213 |       0 | 4.96e+13 | 0.76 |  8.80 |
|    Abell 2457 |       1631692 | 337.92365 |   2.57202 | 0.0617 |    0.0066 | spec_z_boot |    5.4 |      1.4 |         87.52 |       6.09 |        4.99 |        1056 |       0 | 2.13e+13 | 0.57 |  7.76 |
|    Abell 2717 |         13228 |   0.91287 | -35.91378 | 0.0500 |    0.0003 | spec_z_boot |   25.9 |      2.9 |          5.41 |       0.33 |        0.30 |           3 |       1 | 1.74e+14 | 1.16 | 19.10 |
|    Abell 2717 |       2491292 |   0.22159 | -35.98636 | 0.0502 |    0.0004 |   cg_spec_z |    5.5 |      1.9 |         28.47 |       1.72 |        1.58 |          51 |       0 | 2.20e+13 | 0.58 |  9.56 |
|    Abell 2717 |        281461 | 359.96943 | -34.99468 | 0.0486 |    0.0004 | spec_z_boot |    5.5 |      1.2 |         69.52 |       4.21 |        3.86 |        -401 |       0 | 2.16e+13 | 0.58 |  9.80 |
|    Abell 2717 |       3036499 |   2.51661 | -35.37967 | 0.0500 |    0.0007 | spec_z_boot |    9.1 |      5.6 |         89.84 |       5.44 |        4.99 |           4 |       0 | 4.27e+13 | 0.73 | 11.97 |
|    Abell 2734 |          9919 |   2.84849 | -28.83523 | 0.0613 |    0.0004 | spec_z_boot |   37.1 |      2.7 |          1.36 |       0.10 |        0.08 |          93 |       1 | 2.82e+14 | 1.36 | 18.48 |
|    Abell 2734 |        592544 |   1.84616 | -28.19766 | 0.0625 |    0.0062 | spec_z_boot |    8.6 |      5.6 |         65.40 |       4.79 |        3.71 |         422 |       0 | 4.00e+13 | 0.71 |  9.47 |
|    Abell 2870 |         55803 |  11.86283 | -48.23682 | 0.0501 |    0.0006 | spec_z_boot |    4.0 |      1.7 |        220.31 |       6.35 |        4.00 |        7931 |       0 | 1.44e+13 | 0.50 |  8.32 |
|    Abell 2870 |        317531 |  11.84107 | -48.24166 | 0.0518 |    0.0004 |   cg_spec_z |    4.3 |      1.2 |        221.23 |       6.38 |        4.01 |        8425 |       0 | 1.58e+13 | 0.52 |  8.31 |
|    Abell 2870 |       1599131 |  15.80454 | -42.72260 | 0.0485 |    0.0085 | spec_z_boot |   16.3 |      2.4 |        255.20 |       7.36 |        4.63 |        7468 |       0 | 9.33e+13 | 0.94 | 15.99 |
|    Abell 2870 |       2973148 |  16.10579 | -51.17074 | 0.0547 |    0.0164 |     photo_z |    3.8 |      1.2 |        258.30 |       7.45 |        4.68 |        9286 |       0 | 1.32e+13 | 0.49 |  7.42 |
|    Abell 3223 |       2944547 |  61.98170 | -30.67986 | 0.0617 |    0.0007 | spec_z_boot |   30.1 |      2.6 |         13.58 |       0.97 |        0.71 |         494 |       1 | 2.14e+14 | 1.24 | 16.74 |
|    Abell 3223 |         16552 |  62.05076 | -31.20429 | 0.0668 |    0.0119 |     photo_z |    9.3 |      2.0 |         18.64 |       1.34 |        0.97 |        1924 |       0 | 4.46e+13 | 0.73 |  9.22 |
|    Abell 3223 |        920606 |  61.33869 | -30.31908 | 0.0597 |    0.0012 | spec_z_boot |    9.1 |      2.0 |         51.04 |       3.66 |        2.65 |         -92 |       0 | 4.28e+13 | 0.72 | 10.12 |
|    Abell 3223 |        565109 |  63.06187 | -30.89516 | 0.0596 |    0.0004 |   cg_spec_z |    3.5 |      0.9 |         51.22 |       3.67 |        2.66 |        -122 |       0 | 1.18e+13 | 0.47 |  6.60 |
|    Abell 3223 |        457780 |  60.79378 | -31.29415 | 0.0656 |    0.0004 |   cg_spec_z |    3.4 |      1.1 |         69.69 |       5.00 |        3.62 |        1587 |       0 | 1.13e+13 | 0.46 |  5.94 |
|    Abell 3223 |       1079797 |  63.19253 | -31.89468 | 0.0760 |    0.0145 |     photo_z |    4.1 |      1.1 |         83.23 |       5.97 |        4.32 |        4524 |       0 | 1.48e+13 | 0.51 |  5.65 |
|    Abell 3266 |           451 |  67.83063 | -61.68466 | 0.0594 |    0.0009 | spec_z_boot |    8.5 |      2.3 |         14.10 |       0.92 |        0.50 |        1534 |       0 | 3.92e+13 | 0.70 |  9.87 |
|    Abell 3266 |       2091017 |  67.38661 | -61.24790 | 0.0596 |    0.0005 | spec_z_boot |   96.4 |      6.6 |         17.07 |       1.11 |        0.61 |        1585 |       1 | 1.02e+15 | 2.08 | 29.18 |
|    Abell 3266 |         13646 |  68.10284 | -61.20176 | 0.0585 |    0.0004 | spec_z_boot |   13.0 |      3.0 |         17.20 |       1.12 |        0.61 |        1276 |       0 | 6.92e+13 | 0.85 | 12.10 |
|    Abell 3266 |        243378 |  68.58511 | -61.58065 | 0.0574 |    0.0009 | spec_z_boot |    4.0 |      1.4 |         23.68 |       1.54 |        0.84 |         979 |       0 | 1.42e+13 | 0.50 |  7.26 |
|    Abell 3266 |       3468136 |  68.73102 | -61.40365 | 0.0570 |    0.0007 | spec_z_boot |    4.1 |      1.6 |         26.74 |       1.74 |        0.95 |         839 |       0 | 1.47e+13 | 0.51 |  7.40 |
|    Abell 3266 |       2771586 |  67.71830 | -60.77814 | 0.0616 |    0.0002 |   cg_spec_z |    4.3 |      1.4 |         40.39 |       2.63 |        1.43 |        2155 |       0 | 1.60e+13 | 0.52 |  7.07 |
|    Abell 3266 |        172199 |  66.39267 | -61.20299 | 0.0571 |    0.0002 |   cg_spec_z |    5.5 |      2.3 |         43.25 |       2.82 |        1.53 |         888 |       0 | 2.17e+13 | 0.58 |  8.40 |
|    Abell 3266 |        204338 |  69.50849 | -61.72405 | 0.0577 |    0.0143 |     photo_z |   15.1 |      5.0 |         51.36 |       3.35 |        1.82 |        1047 |       0 | 8.48e+13 | 0.91 | 13.13 |
|    Abell 3266 |       2113193 |  69.26423 | -60.80490 | 0.0562 |    0.0168 |     photo_z |    3.3 |      0.9 |         57.33 |       3.74 |        2.03 |         634 |       0 | 1.10e+13 | 0.46 |  6.81 |
|    Abell 3266 |        233140 |  68.69595 | -62.36094 | 0.0701 |    0.0149 |     photo_z |    7.1 |      3.6 |         60.18 |       3.93 |        2.13 |        4582 |       0 | 3.11e+13 | 0.65 |  7.81 |
|    Abell 3266 |       2877104 |  66.21439 | -60.79562 | 0.0689 |    0.0118 |     photo_z |   14.0 |      2.0 |         60.52 |       3.95 |        2.15 |        4234 |       0 | 7.68e+13 | 0.88 | 10.73 |
|    Abell 3266 |       1274789 |  68.12731 | -60.34689 | 0.0822 |    0.0125 |     photo_z |    4.2 |      1.4 |         66.85 |       4.36 |        2.37 |        8015 |       0 | 1.51e+13 | 0.51 |  5.29 |
|    Abell 3266 |       1468964 |  67.93517 | -62.65173 | 0.0608 |    0.0165 |     photo_z |    6.7 |      4.0 |         72.20 |       4.71 |        2.56 |        1940 |       0 | 2.84e+13 | 0.63 |  8.67 |
|    Abell 3266 |       1791453 |  70.43930 | -61.38603 | 0.0875 |    0.0121 |     photo_z |    5.6 |      1.6 |         75.73 |       4.94 |        2.68 |        9521 |       0 | 2.25e+13 | 0.58 |  5.71 |
|    Abell 3266 |       2528821 |  68.41281 | -62.71527 | 0.0798 |    0.0130 |     photo_z |    5.8 |      2.7 |         77.82 |       5.08 |        2.76 |        7329 |       0 | 2.36e+13 | 0.59 |  6.31 |
|    Abell 3266 |        255237 |  66.51831 | -60.19735 | 0.0732 |    0.0139 |     photo_z |    4.8 |      1.6 |         84.04 |       5.48 |        2.98 |        5464 |       0 | 1.85e+13 | 0.55 |  6.31 |
|    Abell 3266 |       2748052 |  66.86369 | -60.02649 | 0.0604 |    0.0011 | spec_z_boot |   12.3 |      3.1 |         89.75 |       5.85 |        3.18 |        1823 |       0 | 6.47e+13 | 0.83 | 11.48 |
|    Abell 3266 |       2298265 |  66.27229 | -63.32823 | 0.0748 |    0.0156 |     photo_z |    5.8 |      1.4 |        120.47 |       7.86 |        4.27 |        5924 |       0 | 2.34e+13 | 0.59 |  6.69 |
|    Abell 3266 |        363479 |  64.54332 | -60.18372 | 0.0638 |    0.0003 |   cg_spec_z |    3.8 |      1.2 |        121.93 |       7.95 |        4.32 |        2774 |       0 | 1.35e+13 | 0.49 |  6.47 |
|    Abell 3266 |         92181 |  69.21588 | -59.52619 | 0.0870 |    0.0098 |     photo_z |   11.9 |      2.3 |        122.73 |       8.01 |        4.35 |        9389 |       0 | 6.20e+13 | 0.81 |  8.04 |
|    Abell 3266 |        178677 |  63.28951 | -61.24005 | 0.0551 |    0.0001 |   cg_spec_z |    5.9 |      1.5 |        130.48 |       8.51 |        4.63 |         320 |       0 | 2.43e+13 | 0.60 |  9.03 |
|    Abell 3266 |       2886334 |  72.37537 | -60.84595 | 0.0527 |    0.0161 |     photo_z |    4.2 |      1.1 |        137.19 |       8.95 |        4.86 |        -370 |       0 | 1.54e+13 | 0.52 |  8.10 |
|    Abell 3301 |          4148 |  75.21091 | -38.65460 | 0.0542 |    0.0010 | spec_z_boot |   36.5 |      4.0 |          1.61 |       0.11 |        0.08 |          66 |       1 | 2.76e+14 | 1.35 | 20.63 |
|    Abell 3301 |       1715307 |  75.05371 | -38.93005 | 0.0547 |    0.0004 |   cg_spec_z |    4.1 |      1.1 |         16.49 |       1.08 |        0.83 |         205 |       0 | 1.47e+13 | 0.51 |  7.69 |
|    Abell 3301 |        214808 |  75.57449 | -38.53771 | 0.0555 |    0.0004 |   cg_spec_z |    8.7 |      1.8 |         19.72 |       1.29 |        0.99 |         415 |       0 | 4.04e+13 | 0.71 | 10.64 |
|    Abell 3301 |       1180664 |  74.48349 | -37.94808 | 0.0542 |    0.0022 | spec_z_boot |    4.1 |      1.2 |         55.11 |       3.60 |        2.77 |          46 |       0 | 1.50e+13 | 0.51 |  7.82 |
|    Abell 3341 |        119527 |  80.00230 | -30.39283 | 0.0584 |    0.0004 |   cg_spec_z |    5.0 |      0.9 |        101.55 |       4.69 |        3.91 |        6057 |       0 | 1.93e+13 | 0.56 |  7.92 |
|    Abell 3341 |        208492 |  81.61550 | -29.83827 | 0.0457 |    0.0004 |   cg_spec_z |    6.9 |      2.2 |        106.03 |       4.90 |        4.08 |        2390 |       0 | 2.96e+13 | 0.64 | 11.55 |
|    Abell 3341 |        122939 |  83.54437 | -31.15310 | 0.0506 |    0.0108 | spec_z_boot |    6.8 |      1.5 |        113.40 |       5.24 |        4.37 |        3802 |       0 | 2.91e+13 | 0.64 | 10.42 |
|    Abell 3376 |          1778 |  90.57197 | -39.94289 | 0.0468 |    0.0004 | spec_z_boot |   42.2 |      3.8 |         19.25 |       1.08 |        0.70 |         243 |       1 | 3.34e+14 | 1.44 | 25.30 |
|    Abell 3376 |       3210030 |  90.38957 | -39.08638 | 0.0460 |    0.0004 | spec_z_boot |   21.6 |      8.2 |         57.70 |       3.24 |        2.10 |          -5 |       0 | 1.36e+14 | 1.07 | 19.08 |
|    Abell 3376 |       1291505 |  91.93837 | -39.39506 | 0.0487 |    0.0020 | spec_z_boot |    4.9 |      1.7 |         90.15 |       5.06 |        3.28 |         775 |       0 | 1.89e+13 | 0.55 |  9.36 |
|    Abell 3376 |        507896 |  88.19252 | -39.92512 | 0.0587 |    0.0161 |     photo_z |    4.0 |      1.6 |         91.15 |       5.11 |        3.32 |        3626 |       0 | 1.45e+13 | 0.51 |  7.18 |
|    Abell 3391 |         43332 |  96.94305 | -53.50215 | 0.0553 |    0.0015 | spec_z_boot |   16.7 |      2.9 |         17.04 |       1.05 |        0.67 |        1231 |       1 | 9.70e+13 | 0.95 | 14.29 |
|    Abell 3391 |         26532 |  95.73152 | -53.57632 | 0.0541 |    0.0023 | spec_z_boot |    7.3 |      2.5 |         31.56 |       1.94 |        1.25 |         896 |       0 | 3.21e+13 | 0.66 | 10.08 |
|    Abell 3391 |       1191979 |  95.76025 | -53.28379 | 0.0578 |    0.0018 | spec_z_boot |   19.7 |      8.0 |         38.76 |       2.39 |        1.53 |        1949 |       0 | 1.21e+14 | 1.02 | 14.74 |
|    Abell 3391 |       3120204 |  97.28893 | -54.48301 | 0.0513 |    0.0014 | spec_z_boot |   16.8 |      6.6 |         53.11 |       3.27 |        2.10 |          82 |       0 | 9.79e+13 | 0.96 | 15.40 |
|    Abell 3391 |       1074316 |  95.00781 | -52.86971 | 0.0433 |    0.0004 |   cg_spec_z |    5.6 |      2.4 |         75.53 |       4.65 |        2.98 |       -2191 |       0 | 2.24e+13 | 0.59 | 11.08 |
|    Abell 3391 |         16182 |  97.41813 | -52.23797 | 0.0817 |    0.0152 | spec_z_boot |   38.2 |      3.4 |         92.46 |       5.70 |        3.65 |        8755 |       0 | 2.94e+14 | 1.37 | 14.32 |
|    Abell 3395 |       3120204 |  97.28893 | -54.48301 | 0.0513 |    0.0014 | spec_z_boot |   16.8 |      6.6 |         13.89 |       0.84 |        0.51 |         368 |       1 | 9.79e+13 | 0.96 | 15.40 |
|    Abell 3395 |         43332 |  96.94305 | -53.50215 | 0.0553 |    0.0015 | spec_z_boot |   16.7 |      2.9 |         55.87 |       3.38 |        2.05 |        1517 |       0 | 9.70e+13 | 0.95 | 14.29 |
|    Abell 3395 |         26532 |  95.73152 | -53.57632 | 0.0541 |    0.0023 | spec_z_boot |    7.3 |      2.5 |         65.88 |       3.98 |        2.41 |        1183 |       0 | 3.21e+13 | 0.66 | 10.08 |
|    Abell 3395 |       1191979 |  95.76025 | -53.28379 | 0.0578 |    0.0018 | spec_z_boot |   19.7 |      8.0 |         79.88 |       4.83 |        2.93 |        2237 |       0 | 1.21e+14 | 1.02 | 14.74 |
|    Abell 3395 |         39511 |  97.79852 | -56.09027 | 0.0532 |    0.0013 | spec_z_boot |   17.9 |      5.5 |        104.07 |       6.29 |        3.81 |         905 |       0 | 1.06e+14 | 0.98 | 15.28 |
|    Abell 3395 |        547031 |  97.92155 | -56.14194 | 0.0528 |    0.0025 | spec_z_boot |   11.7 |      6.3 |        108.31 |       6.55 |        3.97 |         789 |       0 | 6.03e+13 | 0.81 | 12.75 |
|    Abell 3395 |       1074316 |  95.00781 | -52.86971 | 0.0433 |    0.0004 |   cg_spec_z |    5.6 |      2.4 |        115.43 |       6.98 |        4.23 |       -1907 |       0 | 2.24e+13 | 0.59 | 11.08 |
|    Abell 3395 |       1007064 |  98.54588 | -56.15784 | 0.0540 |    0.0012 | spec_z_boot |   13.1 |      2.6 |        117.77 |       7.12 |        4.32 |        1153 |       0 | 6.98e+13 | 0.85 | 13.09 |
|    Abell 3395 |         16182 |  97.41813 | -52.23797 | 0.0817 |    0.0152 | spec_z_boot |   38.2 |      3.4 |        133.00 |       8.04 |        4.88 |        9049 |       0 | 2.94e+14 | 1.37 | 14.32 |
|    Abell 3490 |         89891 | 176.47677 | -34.44665 | 0.0692 |    0.0006 | spec_z_boot |   36.9 |      3.5 |          9.86 |       0.80 |        0.58 |          62 |       1 | 2.81e+14 | 1.35 | 16.47 |
|    Abell 3490 |        130196 | 176.61149 | -34.02586 | 0.0675 |    0.0028 | spec_z_boot |    4.5 |      1.6 |         23.04 |       1.88 |        1.36 |        -422 |       0 | 1.67e+13 | 0.53 |  6.58 |
|    Abell 3490 |       2673049 | 176.01723 | -34.85230 | 0.0686 |    0.0002 |   cg_spec_z |    5.2 |      1.3 |         34.84 |       2.84 |        2.06 |        -112 |       0 | 2.05e+13 | 0.57 |  6.94 |
|    Abell 3490 |        111282 | 176.96926 | -34.65486 | 0.0957 |    0.0105 |     photo_z |    6.1 |      0.9 |         36.92 |       3.01 |        2.18 |        7485 |       0 | 2.52e+13 | 0.60 |  5.45 |
|    Abell 3490 |       2333760 | 176.61912 | -33.72045 | 0.0536 |    0.0150 |     photo_z |    6.7 |      2.0 |         39.41 |       3.22 |        2.33 |       -4312 |       0 | 2.86e+13 | 0.63 |  9.80 |
|    Abell 3490 |       2541219 | 175.63730 | -33.78392 | 0.0835 |    0.0126 |     photo_z |    3.8 |      1.1 |         47.76 |       3.90 |        2.82 |        4064 |       0 | 1.35e+13 | 0.49 |  5.03 |
|    Abell 3490 |       3109547 | 176.17213 | -35.13746 | 0.1007 |    0.0080 |     photo_z |   11.0 |      1.7 |         48.91 |       3.99 |        2.89 |        8903 |       0 | 5.58e+13 | 0.78 |  6.78 |
|    Abell 3490 |       3424200 | 177.38614 | -34.45485 | 0.0977 |    0.0079 |     photo_z |   15.3 |      2.2 |         52.66 |       4.30 |        3.11 |        8052 |       0 | 8.68e+13 | 0.90 |  8.07 |
|    Abell 3490 |       1033011 | 176.86516 | -33.53011 | 0.0618 |    0.0155 |     photo_z |    7.4 |      1.8 |         54.98 |       4.49 |        3.25 |       -2015 |       0 | 3.26e+13 | 0.66 |  8.94 |
|    Abell 3490 |       2269347 | 177.62352 | -34.20973 | 0.0763 |    0.0002 |   cg_spec_z |    3.8 |      1.1 |         64.42 |       5.26 |        3.81 |        2042 |       0 | 1.36e+13 | 0.49 |  5.48 |
|    Abell 3490 |        234836 | 175.06484 | -33.94356 | 0.0535 |    0.0089 | spec_z_boot |    5.4 |      1.2 |         67.17 |       5.48 |        3.97 |       -4353 |       0 | 2.12e+13 | 0.57 |  8.88 |
|    Abell 3490 |        715830 | 177.62255 | -33.95454 | 0.0571 |    0.0002 |   cg_spec_z |   10.9 |      2.0 |         67.95 |       5.55 |        4.02 |       -3350 |       0 | 5.45e+13 | 0.79 | 11.45 |
|    Abell 3490 |        812346 | 177.80609 | -34.43747 | 0.0914 |    0.0100 |     photo_z |    6.8 |      1.4 |         73.21 |       5.97 |        4.33 |        6268 |       0 | 2.94e+13 | 0.63 |  5.99 |
|    Abell 3490 |        219666 | 174.66251 | -34.48302 | 0.1021 |    0.0088 |     photo_z |    8.0 |      1.3 |         83.18 |       6.79 |        4.92 |        9283 |       0 | 3.61e+13 | 0.67 |  5.79 |
|    Abell 3497 |          6086 | 180.05144 | -31.32101 | 0.0684 |    0.0006 | spec_z_boot |   30.8 |      2.9 |          4.14 |       0.33 |        0.24 |         112 |       1 | 2.20e+14 | 1.25 | 15.35 |
|    Abell 3497 |        242561 | 180.38336 | -30.99718 | 0.0681 |    0.0004 |   cg_spec_z |    4.6 |      1.2 |         29.86 |       2.40 |        1.73 |          20 |       0 | 1.75e+13 | 0.54 |  6.63 |
|    Abell 3497 |        733488 | 179.89795 | -32.01327 | 0.0999 |    0.0099 |     photo_z |    3.5 |      1.1 |         38.29 |       3.08 |        2.22 |        8965 |       0 | 1.21e+13 | 0.47 |  4.10 |
|    Abell 3497 |       2384639 | 180.72815 | -31.59224 | 0.0615 |    0.0167 |     photo_z |    3.5 |      1.1 |         38.55 |       3.10 |        2.23 |       -1814 |       0 | 1.19e+13 | 0.47 |  6.41 |
|    Abell 3497 |        666715 | 179.54611 | -32.00263 | 0.1002 |    0.0099 |     photo_z |    4.5 |      1.3 |         44.24 |       3.56 |        2.56 |        9051 |       0 | 1.70e+13 | 0.53 |  4.58 |
|    Abell 3497 |        655909 | 179.16481 | -31.58759 | 0.0673 |    0.0002 |   cg_spec_z |    9.8 |      1.7 |         45.24 |       3.64 |        2.62 |        -199 |       0 | 4.72e+13 | 0.75 |  9.33 |
|    Abell 3497 |       1109765 | 180.14992 | -30.59119 | 0.1019 |    0.0097 |     photo_z |    6.1 |      2.1 |         48.01 |       3.86 |        2.78 |        9514 |       0 | 2.53e+13 | 0.60 |  5.15 |
|    Abell 3497 |         62599 | 179.16336 | -31.76171 | 0.0677 |    0.0002 |   cg_spec_z |    4.2 |      2.5 |         49.15 |       3.95 |        2.84 |         -77 |       0 | 1.54e+13 | 0.51 |  6.39 |
|    Abell 3497 |        446831 | 179.01363 | -31.32267 | 0.1008 |    0.0099 |     photo_z |    3.5 |      1.4 |         51.48 |       4.14 |        2.98 |        9208 |       0 | 1.20e+13 | 0.47 |  4.06 |
|    Abell 3497 |       2672186 | 179.33295 | -32.09800 | 0.0629 |    0.0167 |     photo_z |    5.6 |      3.7 |         55.27 |       4.45 |        3.20 |       -1425 |       0 | 2.22e+13 | 0.58 |  7.74 |
|    Abell 3497 |       1873708 | 179.29078 | -32.15178 | 0.0689 |    0.0002 |   cg_spec_z |   13.5 |      4.3 |         59.12 |       4.76 |        3.42 |         264 |       0 | 7.31e+13 | 0.86 | 10.55 |
|    Abell 3497 |       1368142 | 178.96467 | -31.90578 | 0.1029 |    0.0089 |     photo_z |    7.4 |      1.5 |         62.18 |       5.00 |        3.60 |        9807 |       0 | 3.30e+13 | 0.65 |  5.57 |
|    Abell 3497 |        144991 | 178.77308 | -31.29397 | 0.1013 |    0.0004 |   cg_spec_z |    5.1 |      1.6 |         63.91 |       5.14 |        3.70 |        9350 |       0 | 1.98e+13 | 0.55 |  4.77 |
|    Abell 3497 |       1368274 | 178.86112 | -30.93506 | 0.0646 |    0.0002 |   cg_spec_z |    4.6 |      1.6 |         65.09 |       5.24 |        3.77 |        -943 |       0 | 1.73e+13 | 0.53 |  6.94 |
