| INDEX |     AXES | CHANCES_FIELD | 2MRS | z_LEGACY | LAMBDA | LEGACY |      z |      RA_X |     DEC_X |       Lx |      eLx |    M200c |   eM200c | R200c_Mpc | R200c_deg |
|    28 | 93192510 |       A0754   |    1 |  -1.0000 |   -1.0 |      0 | 0.0559 | 137.23423 |   -9.6581 | 5.21e+44 | 1.64e+43 | 1.10e+15 | 2.21e+13 |      2.14 |    0.5303 |
|    29 | 93190208 |       A0085   |    0 |   0.0560 |   69.0 |      1 | 0.0560 |  10.46114 |   -9.3455 | 5.24e+44 | 1.57e+43 | 1.64e+15 | 3.15e+13 |      2.44 |    0.6042 |
|    30 | 93210318 |       A0133   |    0 |   0.0571 |   45.0 |      1 | 0.0571 |  15.65726 | -21.85624 | 1.75e+44 | 1.01e+43 | 8.10e+14 | 2.97e+13 |      1.93 |    0.4687 |
|    31 | 93185914 |       A2415   |    0 |   0.0574 |   25.0 |      1 | 0.0574 | 331.38863 |  -5.59045 | 9.66e+43 | 1.04e+43 | 5.53e+14 | 3.74e+13 |      1.70 |    0.4106 |
|    32 | 93176102 |       A2457   |    0 |   0.0579 |   42.6 |      1 | 0.0579 | 338.93215 |    1.5393 | 1.01e+44 | 1.21e+43 | 5.69e+14 | 4.31e+13 |      1.72 |    0.4111 |
|    33 | 93280732 |       A3266   |    0 |   0.0581 |   38.3 |      1 | 0.0581 |  67.85413 | -61.42264 | 4.34e+44 | 7.42e+42 | 1.45e+15 | 1.59e+13 |      2.35 |    0.5601 |
|    34 | 93185904 |       A2399   |    0 |   0.0582 |   52.5 |      1 | 0.0582 | 329.34206 |  -7.81114 | 5.11e+43 | 6.50e+42 | 3.67e+14 | 2.94e+13 |      1.48 |    0.3536 |
|    35 | 93192810 |       A0970   |    0 |   0.0593 |   48.5 |      1 | 0.0593 | 154.26285 |  -10.7199 | 1.14e+44 | 7.95e+42 | 6.13e+14 | 2.72e+13 |      1.76 |    0.4121 |
|    36 | 93231018 |       A3223   |    0 |   0.0605 |   50.5 |      1 | 0.0605 |  62.08193 | -30.93788 | 6.56e+43 | 5.07e+42 | 4.30e+14 | 2.11e+13 |      1.56 |    0.3593 |
|    37 | 93273308 |       A3651   |    0 |   0.0606 |   75.4 |      1 | 0.0606 | 297.94721 | -55.09041 | 9.71e+43 | 1.40e+43 | 5.53e+14 | 4.99e+13 |      1.70 |    0.3901 |
|    38 | 93220122 |       A2734   |    1 |   0.0613 |   33.3 |      1 | 0.0611 |   2.81095 | -28.85968 | 1.08e+44 | 8.92e+42 | 4.03e+14 | 2.09e+13 |      1.53 |    0.3482 |
|    39 | 93254410 |       A3809   |    0 |   0.0626 |   41.0 |      1 | 0.0626 | 326.67346 | -43.88733 | 9.41e+43 | 8.73e+42 | 5.42e+14 | 3.18e+13 |      1.69 |    0.3756 |
|    40 | 93192904 |       A1069   |    0 |   0.0654 |   36.2 |      1 | 0.0654 | 159.92181 |  -8.70174 | 5.96e+43 | 6.69e+42 | 4.03e+14 | 2.85e+13 |      1.53 |    0.3266 |
|    41 | 93232805 |       A3497   |    0 |   0.0679 |   23.5 |      1 | 0.0679 | 180.04857 | -31.47291 | 8.81e+43 | 1.35e+43 | 5.17e+14 | 4.95e+13 |      1.66 |    0.3424 |
|    42 | 93211220 |       A0500   |    0 |   0.0689 |   46.3 |      1 | 0.0689 |   69.7129 | -22.11086 | 7.40e+43 | 1.22e+43 | 4.62e+14 | 4.74e+13 |      1.60 |    0.3253 |
|    43 | 93232702 |       A3490   |    0 |   0.0693 |   19.7 |      1 | 0.0693 | 176.33611 | -34.37943 | 9.08e+43 | 1.20e+43 | 5.27e+14 | 4.36e+13 |      1.67 |    0.3380 |
|    44 | 93192518 |       A0780   |    0 |   0.0721 |   40.9 |      1 | 0.0721 | 139.50507 | -12.14024 | 5.87e+44 | 2.11e+43 | 1.74e+15 | 3.99e+13 |      2.48 |    0.4853 |
