INDEX,AXES,CHANCES_FIELD,2MRS,z_LEGACY,LAMBDA,LEGACY,z,RA_X,DEC_X,Lx,eLx,M200c,eM200c,R200c_Mpc,R200c_deg
35,93185904,A2399,0,0.05820000171661377,52.45081329345703,1,0.05820000171661377,329.34206,-7.81114,5.1127e+43,6.5017e+42,3.67e+14,2.94e+13,1.48,0.3536
36,93192810,A0970,0,0.059300001710653305,48.499778747558594,1,0.059300001710653305,154.26285,-10.7199,1.1371e+44,7.9485e+42,6.13e+14,2.72e+13,1.76,0.4121
37,93231018,A3223,0,0.060499999672174454,50.51343536376953,1,0.060499999672174454,62.08193,-30.93788,6.5593e+43,5.0677e+42,4.30e+14,2.11e+13,1.56,0.3593
38,93273308,A3651,0,0.060600001364946365,75.36378479003906,1,0.060600001364946365,297.94721,-55.09041,9.7059e+43,1.3968e+43,5.53e+14,4.99e+13,1.70,0.3901
39,93220122,A2734,1,0.06129999831318855,33.26005554199219,1,0.06109999865293503,2.81095,-28.85968,1.0842e+44,8.9178e+42,4.03e+14,2.09e+13,1.53,0.3482
40,93254410,A3809,0,0.06260000169277191,41.04009246826172,1,0.06260000169277191,326.67346,-43.88733,9.4108e+43,8.7261e+42,5.42e+14,3.18e+13,1.69,0.3756
41,93192904,A1069,0,0.06539999693632126,36.219520568847656,1,0.06539999693632126,159.92181,-8.70174,5.9647e+43,6.6852e+42,4.03e+14,2.85e+13,1.53,0.3266
42,93232805,A3497,0,0.06790000200271606,23.512128829956055,1,0.06790000200271606,180.04857,-31.47291,8.8052e+43,1.3464e+43,5.17e+14,4.95e+13,1.66,0.3424
43,93211220,A0500,0,0.06889999657869339,46.33357238769531,1,0.06889999657869339,69.7129,-22.11086,7.3967e+43,1.2156e+43,4.62e+14,4.74e+13,1.60,0.3253
44,93232702,A3490,0,0.06930000334978104,19.744150161743164,1,0.06930000334978104,176.33611,-34.37943,9.0824e+43,1.1956e+43,5.27e+14,4.36e+13,1.67,0.3380
45,93192518,A0780,0,0.07209999859333038,40.872291564941406,1,0.07209999859333038,139.50507,-12.14024,5.8684e+44,2.1051e+43,1.74e+15,3.99e+13,2.48,0.4853
