| CHANCES_FIELD | CHANCES_z | CHANCES_M200c | CHANCES_R200c_deg |     AXES | 2MRS | z_LEGACY | LAMBDA | LEGACY |      z |      RA_X |     DEC_X |        Lx |       eLx |     M200c |    eM200c | R200c_deg | CHANCES_DIST_deg | CHANCES_DIST_R200c | VPEC_kms |
|        Fornax |    0.0045 |     6.920e+13 |            2.4995 | 93250718 |    0 |   0.0728 |  53.47 |      1 | 0.0728 |  49.46657 | -44.25519 | 3.576e+44 | 1.429e+43 | 1.225e+15 | 3.122e+13 |    0.4313 |           9.7220 |               3.89 |    20384 |
|        Fornax |    0.0045 |     6.920e+13 |            2.4995 | 93221001 |    0 |   0.1690 |  40.90 |      1 | 0.1690 |  58.47237 | -30.72206 | 2.265e+44 | 4.178e+43 | 8.436e+14 | 9.693e+13 |    0.1770 |           5.6404 |               2.26 |    49095 |
|        Fornax |    0.0045 |     6.920e+13 |            2.4995 | 93231114 |    0 |   0.2218 |  47.11 |      1 | 0.2218 |  67.37989 | -30.87459 | 2.122e+44 | 6.178e+43 | 7.725e+14 | 1.379e+14 |    0.1361 |          11.5217 |               4.61 |    64853 |
|        Fornax |    0.0045 |     6.920e+13 |            2.4995 | 93240821 |    0 |   0.1033 |  62.24 |      1 | 0.1033 |  54.30739 | -39.65326 | 1.676e+44 | 3.501e+43 | 7.345e+14 | 9.520e+13 |    0.2626 |           4.2644 |               1.71 |    29487 |
|        Fornax |    0.0045 |     6.920e+13 |            2.4995 | 93211001 |    0 |   0.1057 |  32.10 |      1 | 0.1057 |  56.43512 | -24.25947 | 1.440e+44 | 1.435e+43 | 6.649e+14 | 4.184e+13 |    0.2488 |          11.2407 |               4.50 |    30203 |
|        Fornax |    0.0045 |     6.920e+13 |            2.4995 | 93250735 |    0 |   0.0729 |  26.81 |      1 | 0.0729 |  48.55228 | -45.41057 | 1.072e+44 | 1.061e+43 | 5.647e+14 | 3.532e+13 |    0.3326 |          11.0454 |               4.42 |    20414 |
|        Fornax |    0.0045 |     6.920e+13 |            2.4995 | 93231012 |    0 |   0.0649 |  13.73 |      1 | 0.0649 |  59.92151 | -35.20507 | 1.340e+43 | 4.568e+42 | 1.494e+14 | 3.099e+13 |    0.2383 |           4.2561 |               1.70 |    18026 |
|        Fornax |    0.0045 |     6.920e+13 |            2.4995 | 93231018 |    0 |   0.0605 |  50.51 |      1 | 0.0605 |  62.08193 | -30.93788 | 6.559e+43 | 5.068e+42 | 4.159e+14 | 2.037e+13 |    0.3579 |           7.6107 |               3.04 |    16713 |
|        Fornax |    0.0045 |     6.920e+13 |            2.4995 | 93250803 |    0 |   0.0696 |  29.78 |      1 | 0.0696 |  55.33073 | -45.81920 | 6.361e+43 | 7.935e+42 | 4.049e+14 | 3.177e+13 |    0.3109 |          10.4288 |               4.17 |    19429 |
|        Fornax |    0.0045 |     6.920e+13 |            2.4995 | 93241026 |    0 |   0.0485 |   6.14 |      1 | 0.0485 |  63.54083 | -38.07468 | 6.548e+43 | 4.000e+42 | 4.194e+14 | 1.629e+13 |    0.4432 |           7.5601 |               3.02 |    13132 |
|        Fornax |    0.0045 |     6.920e+13 |            2.4995 | 93240901 |    0 |   0.0610 |  20.48 |      1 | 0.0610 |  56.47334 | -41.20910 | 5.546e+43 | 1.032e+43 | 3.733e+14 | 4.326e+13 |    0.3427 |           5.9701 |               2.39 |    16862 |
|        Fornax |    0.0045 |     6.920e+13 |            2.4995 | 93250608 |    0 |   0.0651 |  13.02 |      1 | 0.0651 |  41.70424 | -42.38289 | 1.970e+43 | 4.312e+42 | 1.914e+14 | 2.595e+13 |    0.2580 |          12.2756 |               4.91 |    18086 |
|        Fornax |    0.0045 |     6.920e+13 |            2.4995 | 93240820 |    0 |   0.0623 |  16.43 |      1 | 0.0623 |  53.56506 | -39.13069 | 2.017e+43 | 6.701e+42 | 1.947e+14 | 3.940e+13 |    0.2706 |           3.8396 |               1.54 |    17250 |
|        Fornax |    0.0045 |     6.920e+13 |            2.4995 | 93240903 |    0 |   0.0583 |  10.50 |      1 | 0.0583 |  60.37866 | -37.14006 | 2.079e+43 | 6.029e+42 | 1.991e+14 | 3.540e+13 |    0.2904 |           4.8879 |               1.96 |    16057 |
|        Fornax |    0.0045 |     6.920e+13 |            2.4995 | 93240830 |    0 |   0.0629 |  39.26 |      1 | 0.0629 |  50.58854 | -41.34304 | 5.612e+43 | 5.589e+42 | 3.756e+14 | 2.362e+13 |    0.3335 |           6.7622 |               2.71 |    17429 |
|        Fornax |    0.0045 |     6.920e+13 |            2.4995 | 93250737 |    0 |   0.0683 |  26.27 |      1 | 0.0683 |  50.47663 | -45.54817 | 2.968e+43 | 4.688e+42 | 2.483e+14 | 2.454e+13 |    0.2689 |          10.6421 |               4.26 |    19041 |
|        Fornax |    0.0045 |     6.920e+13 |            2.4995 | 93250738 |    0 |   0.0651 |  33.05 |      1 | 0.0651 |  49.48557 | -45.74779 | 2.280e+43 | 4.877e+42 | 2.101e+14 | 2.788e+13 |    0.2662 |          11.0757 |               4.43 |    18086 |
|        Fornax |    0.0045 |     6.920e+13 |            2.4995 | 93250726 |    0 |   0.1692 |  29.42 |      1 | 0.1692 |  52.94952 | -44.15175 | 5.589e+43 | 1.956e+43 | 3.432e+14 | 7.298e+13 |    0.1310 |           8.8543 |               3.54 |    49155 |
|        Fornax |    0.0045 |     6.920e+13 |            2.4995 | 93250739 |    0 |   0.0689 |  33.93 |      1 | 0.0689 |  52.35675 | -46.03772 | 5.565e+43 | 6.088e+42 | 3.718e+14 | 2.565e+13 |    0.3051 |          10.7841 |               4.31 |    19220 |
|        Fornax |    0.0045 |     6.920e+13 |            2.4995 | 93250903 |    1 |  -1.0000 |  -1.00 |      0 | 0.0035 |  60.20809 | -46.83985 | 3.751e+41 | 1.302e+41 | 1.083e+13 | 2.276e+12 |    1.7382 |          12.1574 |               4.86 |     -298 |
|        Fornax |    0.0045 |     6.920e+13 |            2.4995 | 93231006 |    1 |  -1.0000 |  -1.00 |      0 | 0.0033 |  62.70574 | -32.91530 | 1.936e+41 | 6.004e+40 | 7.097e+12 | 1.339e+12 |    1.5917 |           7.0641 |               2.83 |     -358 |
|         Hydra |    0.0140 |     2.610e+14 |            1.2614 | 93212701 |    0 |   0.1637 |  65.01 |      1 | 0.1637 | 153.23411 | -24.45823 | 1.402e+44 | 3.292e+43 | 6.225e+14 | 9.038e+13 |    0.1645 |           6.1701 |               4.89 |    44259 |
|          MKW4 |    0.0209 |     1.630e+14 |            0.7272 | 93163301 |    0 |   0.2341 |  45.86 |      1 | 0.2341 | 181.74133 |   4.41283 | 1.264e+44 | 5.427e+43 | 5.478e+14 | 1.413e+14 |    0.1160 |           2.5808 |               3.55 |    62607 |
|          MKW4 |    0.0209 |     1.630e+14 |            0.7272 | 93173326 |    0 |   0.1670 |  26.52 |      1 | 0.1670 | 180.33277 |  -0.16072 | 2.361e+44 | 3.853e+43 | 8.678e+14 | 8.853e+13 |    0.1805 |           2.2130 |               3.04 |    42903 |
|          MKW4 |    0.0209 |     1.630e+14 |            0.7272 | 93163302 |    1 |  -1.0000 |  -1.00 |      0 | 0.0226 | 181.01739 |   3.99877 | 7.250e+42 | 1.214e+42 | 7.105e+13 | 7.403e+12 |    0.5092 |           2.0933 |               2.88 |      499 |
|          MKW4 |    0.0209 |     1.630e+14 |            0.7272 | 93163303 |    0 |   0.1347 |  90.47 |      1 | 0.1347 | 180.09361 |   3.34591 | 4.139e+44 | 3.464e+43 | 1.279e+15 | 6.781e+13 |    0.2484 |           1.7654 |               2.43 |    33418 |
|          MKW8 |    0.0281 |     1.720e+14 |            0.5536 | 93164021 |    1 |  -1.0000 |  -1.00 |      0 | 0.0059 | 222.76188 |   3.46527 | 6.410e+41 | 1.803e+41 | 1.524e+13 | 2.619e+12 |    1.1522 |           2.5469 |               4.60 |    -6473 |
|          MKW8 |    0.0281 |     1.720e+14 |            0.5536 | 93163901 |    1 |   0.0292 |   7.11 |      1 | 0.0310 | 218.55270 |   3.69369 | 1.303e+43 | 2.151e+42 | 1.027e+14 | 1.055e+13 |    0.4228 |           1.6698 |               3.02 |      846 |
