|               name |         ra |       dec |     z |  gal_l |  mass | complete | lowmass |        S-PLUS |            CHANCES |       Abell |  CODEX |             ACT-DR5 |         LoVoCCS | HIFLUGCS |           MeerKAT |
| PSZ2 G214.61-22.70 |   83.10173 | -11.54308 | 0.154 | 214.61 |  5.39 |    False |    True |               |                    |  ABELL 0545 |        |                     |                 |          | MCXC J0532.3-1131 |
| PSZ2 G241.76-30.88 |   83.23167 | -37.03963 | 0.271 | 241.76 |  7.00 |    False |    True |               | PSZ2 G241.76-30.88 |             |  84952 | ACT-CL J0532.9-3701 |                 |          |                   |
| PSZ2 G262.01-32.98 |   83.27321 | -54.32454 | 0.230 | 262.01 |  3.02 |    False |   False |               |                    |             |        |                     |                 |          |                   |
| PSZ2 G274.73-32.20 |   84.30367 | -65.05840 | 0.200 | 274.74 |  3.36 |    False |   False |        MC0016 |                    |             |        |                     |                 |          |                   |
| PSZ2 G224.38-24.95 |   84.58471 | -20.64543 | 0.091 | 224.38 |  2.54 |    False |    True |               |                    |  ABELL 3358 |  73591 | ACT-CL J0538.2-2038 |                 |          |                   |
| PSZ2 G270.95-31.78 |   85.58297 | -61.87258 | 0.140 | 270.95 |  2.35 |    False |   False |               |                    |             |  97502 |                     |                 |          |                   |
| PSZ2 G241.11-28.68 |   85.73781 | -35.98426 | 0.420 | 241.11 |  7.36 |    False |    True |               | PSZ2 G241.11-28.68 |             |  81661 | ACT-CL J0542.9-3559 |                 |          |                   |
| PSZ2 G260.76-31.27 |   86.07246 | -53.18054 | 0.250 | 260.77 |  3.10 |    False |   False |               |                    |             |  92085 |                     |                 |          |                   |
| PSZ2 G254.73-30.52 |   86.35552 | -47.95765 | 0.125 | 254.74 |  2.28 |    False |   False |               |                    |  ABELL 3363 |  88689 | ACT-CL J0546.1-4752 |                 |          | MCXC J0545.5-4756 |
| PSZ2 G244.74-28.59 |   86.79434 | -39.06452 | 0.319 | 244.75 |  4.95 |    False |    True |               |                    |             |        | ACT-CL J0546.9-3904 |                 |          |                   |
| PSZ2 G236.92-26.65 |   86.90073 | -31.87297 | 0.148 | 236.93 |  4.89 |    False |    True |               |                    |  ABELL 3364 |  81557 | ACT-CL J0547.6-3152 |                 |          |                   |
| PSZ2 G271.18-30.95 |   87.34604 | -62.07272 | 0.370 | 271.18 |  7.37 |    False |    True |               | PSZ2 G271.18-30.95 |             |        |                     |                 |          |                   |
| PSZ2 G265.49-30.50 |   87.91245 | -57.17215 | 0.423 | 265.49 |  4.12 |    False |   False |               |                    | ABELL S0552 |  94980 | ACT-CL J0551.6-5709 |                 |          |                   |
| PSZ2 G226.16-21.95 |   88.21371 | -21.06502 | 0.099 | 226.16 |  3.87 |    False |    True |               |                    |  ABELL 0550 |  73599 | ACT-CL J0552.9-2103 |                 |          |                   |
| PSZ2 G239.27-26.01 |   88.34853 | -33.70195 | 0.430 | 239.27 |  8.77 |    False |    True |               |  MACS J0553.4-3342 |             |  81601 | ACT-CL J0553.4-3342 |                 |          |                   |
| PSZ2 G223.04-20.27 |   88.67915 | -17.73825 | 0.190 | 223.05 |  3.93 |    False |    True |               |                    |  ABELL 0551 |  69545 |                     |                 |          |                   |
| PSZ2 G273.54-30.28 |   88.84752 | -64.10518 | 0.345 | 273.55 |  5.64 |    False |    True |        MC0018 |                    |             |        |                     |                 |          |                   |
| PSZ2 G247.99-26.37 |   90.49739 | -41.35134 | 0.230 | 248.00 |  3.43 |    False |   False |               |                    |             |        |                     |                 |          |                   |
| PSZ2 G254.51-27.32 |   90.99444 | -47.23034 | 0.274 | 254.52 |  4.88 |    False |    True |               |                    |             |  88948 | ACT-CL J0603.9-4714 |                 |          |                   |
| PSZ2 G241.79-24.01 |   91.46955 | -35.30911 | 0.139 | 241.79 |  5.59 |    False |    True |               |                    |  ABELL 3378 |  81642 | ACT-CL J0605.7-3518 |                 |          |                   |
| PSZ2 G272.08-29.06 |   91.48696 | -62.79719 | 0.098 | 272.09 |  2.22 |    False |    True |        MC0009 |                    | ABELL S0567 |  97725 |                     |                 |          |                   |
| PSZ2 G247.69-25.06 |   92.09635 | -40.75770 | 0.344 | 247.70 |  4.32 |    False |    True |               |                    |             |  85262 |                     |                 |          |                   |
| PSZ2 G247.19-23.31 |   94.13412 | -39.83285 | 0.152 | 247.19 |  4.08 |    False |    True |               |                    | ABELL S0579 |  85242 | ACT-CL J0616.5-3947 |                 |          |                   |
| PSZ2 G255.64-25.30 |   94.23680 | -47.79069 | 0.116 | 255.65 |  2.88 |    False |    True |               |                    |             |  88833 |                     |                 |          | MCXC J0616.8-4748 |
| PSZ2 G287.56-28.32 |   94.28947 | -76.35143 | 0.363 | 287.56 |  4.80 |    False |    True |               |                    |             |        |                     |                 |          |                   |
| PSZ2 G249.87-21.65 |   97.19544 | -41.71190 | 0.176 | 249.87 |  3.84 |    False |    True |               |                    |  ABELL 3396 |  85281 | ACT-CL J0628.8-4143 |                 |          |                   |
| PSZ2 G257.32-22.19 |   99.32565 | -48.48400 | 0.203 | 257.33 |  5.31 |    False |    True |               |                    |  ABELL 3399 |  92119 | ACT-CL J0637.3-4829 |                 |          | MCXC J0637.3-4828 |
| PSZ2 G263.14-23.41 |   99.72452 | -53.98140 | 0.227 | 263.15 |  6.83 |    False |    True |               | PSZ2 G263.14-23.41 | ABELL S0592 |  95047 | ACT-CL J0638.7-5358 |                 |          | MCXC J0638.7-5358 |
| PSZ2 G263.68-22.55 |  101.36936 | -54.22940 | 0.164 | 263.68 |  7.96 |     True |   False |               | PSZ2 G263.68-22.55 |  ABELL 3404 |  95056 | ACT-CL J0645.4-5413 |                 |          | MCXC J0645.4-5413 |
| PSZ2 G266.04-21.25 |  104.63188 | -55.96172 | 0.296 | 266.04 | 13.10 |     True |   False |               |     Bullet cluster |             |  95199 | ACT-CL J0658.5-5557 |                 |          | MCXC J0658.5-5556 |
| PSZ2 G284.97-23.69 |  110.83945 | -73.43934 | 0.390 | 284.98 |  8.39 |     True |   False |               | PSZ2 G284.97-23.69 |             |        |                     |                 |          |                   |
| PSZ2 G283.16-22.91 |  111.74405 | -71.62337 | 0.450 | 283.17 |  6.75 |    False |    True |               |                    |             | 102091 |                     |                 |          |                   |
| PSZ2 G287.05-23.21 |  114.58791 | -75.12340 | 0.111 | 287.06 |  2.17 |    False |   False |               |                    |             |        |                     |                 |          | MCXC J0738.1-7506 |
| PSZ2 G222.52+20.58 |  125.44952 |   1.23018 | 0.082 | 222.53 |  2.29 |    False |    True |               |                    |  ABELL 0653 |  56837 | ACT-CL J0821.8+0111 |                 |          |                   |
| PSZ2 G219.88+22.83 |  126.28130 |   4.45637 | 0.233 | 219.88 |  5.07 |    False |    True |               |                    |  ABELL 0664 |  52258 | ACT-CL J0824.9+0426 |                 |          |                   |
| PSZ2 G220.11+22.91 |  126.44772 |   4.30362 | 0.225 | 220.11 |  4.87 |    False |    True |               |                    |             |  52264 | ACT-CL J0825.9+0414 |                 |          |                   |
| PSZ2 G227.59+22.98 |  129.86034 |  -1.67893 | 0.281 | 227.59 |  4.77 |    False |    True |               |                    |             |        | ACT-CL J0839.5-0140 |                 |          |                   |
| PSZ2 G223.47+26.85 |  131.37058 |   3.47540 | 0.327 | 223.48 |  5.27 |    False |    True |               |                    |             |  52342 | ACT-CL J0845.4+0327 |                 |          |                   |
| PSZ2 G233.05+23.67 |  133.08726 |  -5.58344 | 0.192 | 233.05 |  3.71 |    False |   False |               |                    |             |  61501 |                     |                 |          |                   |
| PSZ2 G235.56+23.29 |  134.04520 |  -7.71179 | 0.374 | 235.56 |  6.77 |    False |    True |               |                    |             |  61534 |                     |                 |          |                   |
| PSZ2 G225.48+29.41 |  134.47530 |   3.17442 | 0.203 | 225.49 |  4.60 |    False |    True |               |                    |  ABELL 0732 |  52344 | ACT-CL J0857.8+0310 |                 |          |                   |
| PSZ2 G230.73+27.70 |  135.37264 |  -1.65820 | 0.294 | 230.74 |  4.96 |    False |    True |               |                    |             |  57017 | ACT-CL J0901.5-0139 |                 |          |                   |
| PSZ2 G231.79+31.48 |  139.05800 |  -0.41180 | 0.332 | 231.79 |  4.87 |    False |    True |               |                    |  ABELL 0776 |  57004 | ACT-CL J0916.1-0024 |                 |          |                   |
| PSZ2 G228.50+34.95 |  140.56057 |   3.75289 | 0.270 | 228.50 |  5.78 |    False |    True |               |                    |             |  52413 | ACT-CL J0922.1+0346 |                 |          |                   |
| PSZ2 G250.04+24.14 |  143.06493 | -17.67143 | 0.400 | 250.05 |  6.65 |    False |    True |               |                    |             |  70167 |                     |                 |          |                   |
| PSZ2 G233.68+36.14 |  143.81963 |   0.81845 | 0.357 | 233.69 |  5.48 |    False |    True |               |                    |             |  57070 | ACT-CL J0935.2+0048 |                 |          |                   |
| PSZ2 G232.84+38.13 |  145.11100 |   2.47193 | 0.151 | 232.85 |  3.43 |    False |    True |               |                    |  ABELL 0847 |  57043 |                     |                 |          |                   |
| PSZ2 G244.71+32.50 |  146.38223 |  -8.64106 | 0.154 | 244.71 |  5.23 |    False |    True |               |                    |  ABELL 0868 |  66012 |                     |                 |          |                   |
| PSZ2 G247.97+33.52 |  148.98719 | -10.02959 | 0.163 | 247.98 |  3.22 |    False |   False |               |          Abell0901 |  ABELL 0901 |  66116 |                     |                 |          |                   |
| PSZ2 G249.38+33.26 |  149.60178 | -11.06901 | 0.167 | 249.38 |  5.41 |    False |    True |  SPLUS-n09s01 |          Abell0907 |  ABELL 0907 |  66133 |                     |                 |          |                   |
| PSZ2 G253.21+34.25 |  152.60279 | -12.64400 | 0.306 | 253.21 |  4.94 |    False |    True |  SPLUS-n10s02 |                    |             |  66237 |                     |                 |          |                   |
| PSZ2 G262.83+25.77 |  153.25770 | -24.50361 | 0.180 | 262.83 |  3.73 |    False |    True |    HYDRA_0013 |                    |  ABELL 0955 |  74549 |                     |                 |          |                   |
| PSZ2 G254.90+33.92 |  153.41402 | -13.84736 | 0.152 | 254.90 |  3.18 |    False |   False |  SPLUS-n11s03 |                    |             |  66249 |                     |                 |          |                   |
| PSZ2 G256.24+34.83 |  154.88686 | -13.92839 | 0.153 | 256.25 |  4.09 |    False |    True |  SPLUS-n11s04 |                    |  ABELL 0976 |  66251 |                     |                 |          |                   |
| PSZ2 G250.68+40.76 |  155.78638 |  -6.60545 | 0.254 | 250.69 |  4.09 |    False |   False |  SPLUS-n06s05 |                    |  ABELL 1001 |  61854 |                     |                 |          |                   |
| PSZ2 G239.43+47.95 |  155.92402 |   4.16626 | 0.285 | 239.43 |  6.53 |    False |    True |  SPLUS-n04n05 |   ZwCl 1021.0+0426 |             |  52661 | ACT-CL J1023.6+0411 |                 |          |                   |
| PSZ2 G269.02+22.27 |  155.95669 | -30.70581 | 0.357 | 269.02 |  5.08 |    False |    True |    HYDRA_0062 |                    |             |  78704 |                     |                 |          |                   |
| PSZ2 G266.83+25.08 |  155.97147 | -27.25218 | 0.254 | 266.83 |  7.37 |    False |    True |    HYDRA_0034 | PSZ2 G266.83+25.08 |  ABELL 3444 |  78664 |                     |                 |          |                   |
| PSZ2 G262.23+34.48 |  158.59145 | -17.34417 | 0.210 | 262.24 |  3.76 |    False |   False |  SPLUS-n14s07 |                    |             |  70405 |                     |                 |          |                   |
| PSZ2 G241.79+50.30 |  158.73378 |   4.38237 | 0.152 | 241.80 |  3.00 |    False |   False |  SPLUS-n04n07 |                    |  ABELL 1047 |  52716 | ACT-CL J1034.8+0424 |                 |          |                   |
| PSZ2 G268.30+28.89 |  159.59889 | -24.88419 | 0.123 | 268.30 |  2.83 |    False |    True |    HYDRA_0026 |                    |             |  74623 |                     |                 |          |                   |
| PSZ2 G256.38+44.04 |  161.13657 |  -7.05995 | 0.134 | 256.38 |  3.18 |    False |    True |  SPLUS-n06s09 |                    |  ABELL 1084 |  61933 |                     |                 |          |                   |
| PSZ2 G255.51+49.96 |  164.56971 |  -2.19055 | 0.340 | 255.52 |  4.99 |    False |    True |  SPLUS-n03s11 |                    |             |        | ACT-CL J1058.3-0210 |                 |          |                   |
| PSZ2 G272.16+33.47 |  165.30661 | -22.72895 | 0.142 | 272.17 |  3.83 |    False |    True |  SPLUS-n18s11 |                    |  ABELL 1146 |  74668 |                     |                 |          |                   |
| PSZ2 G262.95+45.74 |  165.89668 |  -8.58646 | 0.154 | 262.96 |  3.32 |    False |    True |  SPLUS-n07s12 |                    |             |  61948 |                     |                 |          |                   |
| PSZ2 G255.07+54.84 |  167.57596 |   1.65955 | 0.089 | 255.08 |  2.16 |    False |    True |  SPLUS-n02n13 |                    |             |        | ACT-CL J1110.3+0143 |                 |          |                   |
| PSZ2 G254.96+55.88 |  168.21725 |   2.48375 | 0.078 | 254.96 |  2.32 |    False |    True |  SPLUS-n03n14 |                    |  ABELL 1205 |  57368 | ACT-CL J1112.8+0229 |           A1205 |          |                   |
| PSZ2 G282.67+20.83 |  168.54960 | -38.18372 | 0.131 | 282.68 |  4.45 |    False |    True |               |                    |             |  86086 |                     |                 |          |                   |
| PSZ2 G253.13+57.49 |  168.55488 |   4.35088 | 0.229 | 253.14 |  4.84 |    False |    True |  SPLUS-n04n14 |                    |  ABELL 1208 |  52787 | ACT-CL J1114.1+0420 |                 |          |                   |
| PSZ2 G269.03+44.22 |  168.72467 | -12.20323 | 0.191 | 269.04 |  4.21 |    False |    True |  SPLUS-n10s14 |                    |  ABELL 1211 |  66445 |                     |                 |          |                   |
| PSZ2 G257.09+55.61 |  168.94930 |   1.49612 | 0.350 | 257.09 |  6.86 |    False |    True |  SPLUS-n02n14 |  MACS J1115.9+0129 |             |  57482 | ACT-CL J1115.8+0129 |                 |          |                   |
| PSZ2 G278.58+39.16 |  172.98557 | -19.91442 | 0.308 | 278.58 |  8.97 |     True |   False |  SPLUS-n16s16 |          Abell1300 |  ABELL 1300 |  74775 |                     |                 |          |                   |
| PSZ2 G272.85+48.79 |  173.30359 |  -9.45942 | 0.420 | 272.85 |  5.75 |    False |    True |  SPLUS-n08s17 |                    |             |        |                     |                 |          |                   |
| PSZ2 G279.79+39.09 |  173.87955 | -20.34029 | 0.290 | 279.79 |  6.12 |    False |    True |  SPLUS-n16s17 |                    |             |  74780 |                     |                 |          |                   |
| PSZ2 G286.68+23.18 |  173.99956 | -37.29209 | 0.300 | 286.69 |  5.04 |    False |    True |               |                    |             |  86128 |                     |                 |          |                   |
| PSZ2 G277.38+47.07 |  175.36749 | -12.29897 | 0.119 | 277.39 |  2.81 |    False |    True |  SPLUS-n10s19 |                    |  ABELL 1348 |        |                     |           A1348 |          |                   |
| PSZ2 G282.14+38.29 |  175.40513 | -21.74557 | 0.327 | 282.14 |  4.84 |    False |    True |  SPLUS-n17s18 |                    |             |        |                     |                 |          |                   |
| PSZ2 G280.17+47.83 |  177.44691 | -12.29657 | 0.156 | 280.18 |  6.06 |    False |    True |  SPLUS-n10s20 |                    |  ABELL 1391 |  66531 |                     |                 |          |                   |
| PSZ2 G286.98+32.90 |  177.70615 | -28.08548 | 0.390 | 286.99 | 14.69 |     True |   False |               | PSZ2 G286.98+32.90 |             |        |                     |                 |          |                   |
| PSZ2 G287.25+34.96 |  178.57339 | -26.16398 | 0.349 | 287.25 |  5.42 |    False |    True |  SPLUS-n20s10 |                    |             |        |                     |                 |          |                   |
| PSZ2 G273.59+63.27 | -179.89090 |   3.34847 | 0.134 | 273.59 |  5.54 |    False |    True |  SPLUS-n03n23 |                    |  ABELL 1437 |  52985 |                     |                 |          |                   |
| PSZ2 G292.56+21.97 | -179.70002 | -39.88369 | 0.300 | 292.57 |  7.93 |    False |    True |               |                    |             |  86157 |                     |                 |          |                   |
| PSZ2 G282.12+54.04 | -179.27024 |  -6.85829 | 0.127 | 282.12 |  4.65 |    False |    True |  SPLUS-n06s24 |                    |  ABELL 1448 |  62255 |                     |                 |          |                   |
| PSZ2 G288.27+39.97 | -179.17457 | -21.52479 | 0.199 | 288.27 |  7.16 |    False |    True |  SPLUS-n17s22 |          Abell1451 |  ABELL 1451 |  74869 |                     |                 |          |                   |
| PSZ2 G284.41+52.45 | -178.43779 |  -8.78873 | 0.441 | 284.41 | 11.18 |     True |   False |  SPLUS-n08s23 |  MACS J1206.2-0847 |             |  66566 |                     |                 |          |                   |
| PSZ2 G292.74+33.49 | -176.81203 | -28.61211 | 0.082 | 292.75 |  2.07 |    False |    True |               |                    |  ABELL 3506 |  78939 |                     |                 |          |                   |
| PSZ2 G295.34+23.34 | -176.10917 | -38.99294 | 0.119 | 295.35 |  4.23 |    False |    True |               |                    |             |  86198 |                     | RXCJ1215.4-3900 |          |                   |
| PSZ2 G287.54+58.63 | -175.09304 |  -3.28409 | 0.305 | 287.54 |  4.23 |    False |    True |  SPLUS-n03s26 |                    |             |  62201 | ACT-CL J1219.6-0318 |                 |          |                   |
| PSZ2 G289.16+55.27 | -174.98830 |  -6.75688 | 0.410 | 289.16 |  5.37 |    False |    True |  SPLUS-n06s27 |                    |             |  62254 |                     |                 |          |                   |
| PSZ2 G286.39+64.06 | -174.29679 |   2.11578 | 0.229 | 286.39 |  4.10 |    False |   False |  SPLUS-n03n27 |                    |  ABELL 1530 |  57654 |                     |                 |          |                   |
| PSZ2 G301.11+60.05 | -168.04714 |  -2.80029 | 0.180 | 301.12 |  4.42 |    False |    True |  SPLUS-n03s31 |                    |  ABELL 1612 |  57790 |                     |                 |          |                   |
| PSZ2 G303.54+36.49 | -166.58924 | -26.36936 | 0.221 | 303.55 |  4.21 |    False |    True |  SPLUS-n20s20 |                    |  ABELL 1633 |  79014 |                     |                 |          |                   |
| PSZ2 G306.66+61.06 | -165.33460 |  -1.74965 | 0.084 | 306.67 |  4.45 |     True |   False |  SPLUS-n02s33 |          Abell1650 |  ABELL 1650 |  57829 | ACT-CL J1258.7-0145 |           A1650 |    A1650 |                   |
| PSZ2 G306.77+58.61 | -165.13268 |  -4.20094 | 0.084 | 306.78 |  5.07 |     True |   False |  SPLUS-n04s33 |          Abell1651 |  ABELL 1651 |  62335 | ACT-CL J1259.3-0410 |           A1651 |    A1651 |                   |
| PSZ2 G308.64+60.26 | -164.30705 |  -2.48397 | 0.085 | 308.65 |  2.22 |    False |    True |  SPLUS-n03s34 |                    |  ABELL 1663 |  57834 | ACT-CL J1302.8-0230 |                 |          |                   |
| PSZ2 G306.02+34.47 | -164.24824 | -28.32998 | 0.221 | 306.02 |  5.00 |    False |    True |               |                    |             |        |                     |                 |          |                   |
| PSZ2 G306.50+38.50 | -164.07220 | -24.28065 | 0.129 | 306.51 |  4.28 |    False |    True |  SPLUS-n19s22 |                    |  ABELL 3541 |  75079 |                     |                 |          |                   |
| PSZ2 G313.33+61.13 | -162.13967 |  -1.33635 | 0.183 | 313.33 |  8.77 |     True |   False |  SPLUS-n02s36 |          Abell1689 |  ABELL 1689 |  57879 | ACT-CL J1311.5-0119 |                 |    A1689 |                   |
| PSZ2 G312.94+55.38 | -161.43160 |  -7.04120 | 0.189 | 312.94 |  3.83 |    False |    True |  SPLUS-n06s37 |                    |  ABELL 1698 |  62425 |                     |                 |          |                   |
| PSZ2 G309.49+37.31 | -161.36873 | -25.26572 | 0.244 | 309.50 |  6.72 |    False |    True |  SPLUS-n20s24 |   RXC J1314.4-2515 |             |  75021 |                     |                 |          | MCXC J1314.4-2515 |
| PSZ2 G308.44+24.24 | -160.72201 | -38.35577 | 0.255 | 308.45 |  6.29 |    False |    True |               |                    |             |  86325 |                     |                 |          |                   |
| PSZ2 G317.52+59.94 | -159.88680 |  -2.09961 | 0.316 | 317.53 |  5.08 |    False |    True |  SPLUS-n03s37 |                    |             |        |                     |                 |          |                   |
| PSZ2 G318.62+58.55 | -159.01811 |  -3.31892 | 0.220 | 318.62 |  4.42 |    False |    True |  SPLUS-n03s38 |                    |  ABELL 1729 |  62393 | ACT-CL J1324.2-0319 |                 |          |                   |
| PSZ2 G313.55+41.93 | -158.73344 | -20.24106 | 0.193 | 313.56 |  4.04 |    False |    True |  SPLUS-n16s36 |                    |  ABELL 1732 |        |                     |                 |          |                   |
| PSZ2 G323.30+63.66 | -158.25223 |   2.21185 | 0.259 | 323.30 |  6.42 |    False |    True |  SPLUS-n03n39 |                    |  ABELL 1733 |  57842 | ACT-CL J1327.0+0212 |                 |          |                   |
| PSZ2 G322.77+59.52 | -157.22286 |  -1.80554 | 0.085 | 322.78 |  3.23 |    False |    True |  SPLUS-n02s39 |                    |  ABELL 1750 |  57957 |                     |           A1750 |          |                   |
| PSZ2 G324.69+62.17 | -157.17114 |   0.99570 | 0.359 | 324.70 |  5.61 |    False |    True |  SPLUS-n02n39 |                    |             |        | ACT-CL J1331.1+0100 |                 |          |                   |
| PSZ2 G315.36+38.54 | -156.57983 | -23.30417 | 0.126 | 315.36 |  3.88 |    False |    True |  SPLUS-n18s37 |                    |  ABELL 1757 |  75132 |                     |                 |          |                   |
| PSZ2 G331.12+62.31 | -154.44977 |   2.25632 | 0.076 | 331.13 |  2.46 |    False |    True |  SPLUS-n03n41 |                    |  ABELL 1773 |  57908 |                     |                 |          |                   |
| PSZ2 G332.36+62.19 | -153.87638 |   2.38902 | 0.376 | 332.36 |  5.95 |    False |    True |  SPLUS-n03n42 |                    |             |        | ACT-CL J1344.5+0222 |                 |          |                   |
| PSZ2 G326.71+50.30 | -151.99183 |  -9.74826 | 0.202 | 326.71 |  4.04 |    False |    True |  SPLUS-n08s42 |                    |  ABELL 1807 |  66817 |                     |                 |          |                   |
| PSZ2 G340.36+60.58 | -149.74708 |   2.87076 | 0.253 | 340.37 |  9.75 |     True |   False |  SPLUS-n03n45 |          Abell1835 |  ABELL 1835 |  53349 | ACT-CL J1401.0+0252 |                 |          |                   |
| PSZ2 G331.10+40.81 | -145.17048 | -17.20447 | 0.299 | 331.11 |  5.99 |    False |    True |  SPLUS-n14s47 |                    |             |  71021 |                     |                 |          |                   |
| PSZ2 G341.69+50.67 | -143.66512 |  -4.99490 | 0.330 | 341.70 |  5.46 |    False |    True |  SPLUS-n05s50 |                    |             |        |                     |                 |          |                   |
| PSZ2 G327.53+25.88 | -140.95370 | -31.93316 | 0.304 | 327.53 |  5.52 |    False |    True |               |                    |             |        |                     |                 |          |                   |
| PSZ2 G355.07+55.32 | -140.38598 |   3.68090 | 0.219 | 355.07 |  4.28 |    False |    True |  SPLUS-n04n52 |                    |  ABELL 1942 |  53527 |                     |                 |          |                   |
| PSZ2 G350.12+45.29 | -135.88744 |  -5.81764 | 0.220 | 350.13 |  5.31 |    False |    True |  SPLUS-n05s55 |                    |  ABELL 1994 |  62687 |                     |                 |          |                   |
| PSZ2 G340.94+35.07 | -135.10612 | -18.17281 | 0.236 | 340.94 |  7.80 |    False |    True |  SPLUS-n15s53 |         AbellS0780 | ABELL S0780 |  71158 |                     |                 |          |                   |
| PSZ2 G341.16+34.81 | -134.78849 | -18.27528 | 0.390 | 341.17 |  7.42 |    False |    True |               |         AbellS0780 | ABELL S0783 |        |                     |                 |          |                   |
| PSZ2 G355.07+46.20 | -133.97733 |  -2.79844 | 0.215 | 355.07 |  6.67 |    False |    True |               |   RXC J1504.1-0248 |             |  58190 | ACT-CL J1504.1-0248 |                 |          |                   |
| PSZ2 G346.61+35.06 | -131.24758 | -15.35660 | 0.223 | 346.62 |  8.86 |     True |   False |               |   RXC J1514.9-1523 |             |  71139 |                     |                 |          |                   |
| PSZ2 G000.04+45.13 | -130.80949 |  -1.01722 | 0.120 |   0.04 |  3.96 |    False |    True |               |                    |  ABELL 2051 |  58230 |                     |                 |          |                   |
| PSZ2 G004.04+42.23 | -126.72666 |  -0.67542 | 0.151 |   4.05 |  3.59 |    False |    True |               |                    |             |  58293 |                     |                 |          |                   |
| PSZ2 G002.82+39.23 | -124.98482 |  -3.28514 | 0.153 |   2.83 |  5.74 |    False |    True |               |                    |  ABELL 2104 |        | ACT-CL J1540.1-0318 |                 |          |                   |
| PSZ2 G356.53+28.66 | -120.38680 | -14.16067 | 0.097 | 356.54 |  2.95 |    False |    True |               |                    |             |        |                     | RXCJ1558.3-1410 |          |                   |
| PSZ2 G014.09+38.38 | -119.14386 |   3.32237 | 0.222 |  14.10 |  4.73 |    False |    True |               |                    |             |  53709 | ACT-CL J1603.3+0317 |                 |          |                   |
| PSZ2 G006.76+30.45 | -116.04512 |  -6.15236 | 0.203 |   6.77 | 16.12 |     True |   False |               |                    |  ABELL 2163 |  62929 |                     |                 |    A2163 |                   |
| PSZ2 G006.05+29.43 | -115.59388 |  -7.26247 | 0.252 |   6.05 |  5.52 |    False |    True |               |                    |             |        |                     |                 |          |                   |
| PSZ2 G019.12+31.23 | -110.87727 |   3.14764 | 0.280 |  19.13 |  6.65 |    False |    True |               |                    |             |  53826 | ACT-CL J1636.4+0308 |                 |          |                   |
| PSZ2 G018.73+23.56 | -104.42246 |  -1.02403 | 0.089 |  18.73 |  3.97 |     True |   False |               |                    |             |        |                     |                 |          |                   |
| PSZ2 G018.84+22.43 | -103.39331 |  -1.50328 | 0.091 |  18.85 |  3.60 |    False |    True |               |                    |             |        |                     |                 |          |                   |
| PSZ2 G024.44+22.76 | -101.16483 |   3.17182 | 0.165 |  24.44 |  4.51 |    False |    True |               |                    |             |        | ACT-CL J1715.1+0309 |                 |          |                   |
| PSZ2 G328.58-25.25 |  -75.98227 | -66.94046 | 0.180 | 328.59 |  3.82 |    False |    True |               |                    |             | 101226 |                     |                 |          |                   |
| PSZ2 G319.41-27.54 |  -71.69644 | -75.36198 | 0.073 | 319.42 |  2.25 |    False |    True |               |                    | ABELL S0810 |        |                     |                 |          |                   |
| PSZ2 G337.14-25.98 |  -71.38062 | -59.47221 | 0.260 | 337.14 |  6.58 |    False |    True |               |                    |             |  99041 | ACT-CL J1914.6-5928 |                 |          |                   |
| PSZ2 G348.43-25.50 |  -68.75949 | -49.40846 | 0.250 | 348.43 |  5.81 |    False |    True |               |                    |             |  93718 |                     |                 |          |                   |
| PSZ2 G012.59-20.10 |  -67.02177 | -26.56664 | 0.352 |  12.59 |  6.97 |    False |    True |               |  MACS J1931.8-2638 |             |        | ACT-CL J1931.8-2634 |                 |          |                   |
| PSZ2 G347.17-27.36 |  -66.27703 | -50.87800 | 0.237 | 347.18 |  7.19 |    False |    True |               | PSZ2 G347.17-27.36 | ABELL S0821 |  93773 | ACT-CL J1934.9-5050 |                 |          |                   |
| PSZ2 G318.14-29.57 |  -63.22429 | -76.40337 | 0.217 | 318.14 |  5.89 |    False |    True |               |                    |             |        |                     |                 |          |                   |
| PSZ2 G346.30-30.35 |  -61.68998 | -52.06647 | 0.107 | 346.30 |  2.95 |    False |    True |               |                    |  ABELL 3653 |        |                     |                 |          |                   |
| PSZ2 G005.91-28.26 |  -60.19313 | -34.89178 | 0.173 |   5.91 |  4.29 |    False |    True |               |                    |  ABELL 3654 |        |                     |                 |          |                   |
| PSZ2 G018.54-25.69 |  -59.13443 | -23.39151 | 0.317 |  18.54 |  8.99 |     True |   False |               |                    |             |        | ACT-CL J2003.5-2323 |                 |          |                   |
| PSZ2 G359.07-32.12 |  -56.98110 | -41.48688 | 0.150 | 359.07 |  4.72 |    False |    True |               |                    |  ABELL 3668 |  87290 | ACT-CL J2011.9-4129 |                 |          |                   |
| PSZ2 G015.75-28.66 |  -56.92282 | -26.70543 | 0.149 |  15.75 |  3.26 |    False |    True |               |                    |             |        |                     |                 |          |                   |
| PSZ2 G018.32-28.50 |  -56.29965 | -24.51051 | 0.161 |  18.32 |  5.09 |    False |    True |               |                    |             |        | ACT-CL J2014.8-2430 |                 |          |                   |
| PSZ2 G342.33-34.93 |  -54.14674 | -55.57511 | 0.232 | 342.34 |  6.68 |    False |    True |               | PSZ2 G342.33-34.93 |             |  96552 | ACT-CL J2023.3-5535 |                 |          | MCXC J2023.4-5535 |
