|               name |         ra |       dec |     z |  gal_l |  mass | complete | lowmass |        S-PLUS |            CHANCES |       Abell |  CODEX |             ACT-DR5 |         LoVoCCS | HIFLUGCS |           MeerKAT |
| PSZ2 G175.69-85.98 |   16.37598 | -24.65484 | 0.230 | 175.69 |  5.67 |    False |    True |  SPLUS-s19s12 |                    |  ABELL 0141 |  72680 | ACT-CL J0105.5-2438 |                 |          |                   |
| PSZ2 G299.38-57.32 |   16.65120 | -59.70053 | 0.348 | 299.39 |  4.36 |    False |    True |  SPLUS-s46s07 |                    |             |        | ACT-CL J0106.4-5942 |                 |          |                   |
| PSZ2 G285.87-74.93 |   18.69567 | -41.41344 | 0.213 | 285.87 |  4.50 |    False |    True |  SPLUS-s32s11 |                    |             |  84277 | ACT-CL J0114.7-4123 |                 |          |                   |
| PSZ2 G212.82-84.04 |   19.54850 | -26.95876 | 0.228 | 212.83 |  5.68 |    False |    True |  SPLUS-s21s14 |                    |  ABELL 2895 |  76905 | ACT-CL J0118.2-2658 |                 |          | MCXC J0118.1-2658 |
| PSZ2 G295.19-56.99 |   21.20583 | -59.63250 | 0.217 | 295.19 |  3.85 |    False |   False |  SPLUS-s46s09 |                    | ABELL S0157 |  96952 | ACT-CL J0124.7-5937 |                 |          |                   |
| PSZ2 G296.27-52.05 |   22.41213 | -64.57923 | 0.326 | 296.28 |  5.31 |    False |    True |               |                    |             |  96941 |                     |                 |          |                   |
| PSZ2 G159.91-73.50 |   22.98088 | -13.61399 | 0.206 | 159.92 |  8.46 |     True |   False |               |         Abell 0209 |  ABELL 0209 |  64532 | ACT-CL J0131.8-1336 |                 |          | MCXC J0131.8-1336 |
| PSZ2 G295.63-51.96 |   23.35873 | -64.56788 | 0.333 | 295.64 |  6.09 |    False |    True |               |                    |             |  97000 |                     |                 |          |                   |
| PSZ2 G209.17-80.38 |   23.55604 | -26.09296 | 0.160 | 209.17 |  3.17 |    False |   False |  SPLUS-s20s17 |                    |  ABELL 0214 |        | ACT-CL J0134.4-2606 |                 |          |                   |
| PSZ2 G251.13-78.15 |   24.07704 | -34.00304 | 0.304 | 251.13 |  4.17 |    False |    True |  SPLUS-s26s16 |                    |             |        | ACT-CL J0136.2-3359 |                 |          |                   |
| PSZ2 G162.49-71.98 |   24.50997 | -12.79744 | 0.211 | 162.49 |  4.64 |    False |    True |               |                    |  ABELL 0223 |  64520 |                     |                 |          |                   |
| PSZ2 G285.52-62.23 |   26.26237 | -53.04050 | 0.117 | 285.52 |  3.64 |    False |    True |  SPLUS-s41s13 |                    |  ABELL 2941 |  91401 | ACT-CL J0144.9-5301 |           A2941 |          | MCXC J0145.0-5300 |
| PSZ2 G291.34-55.31 |   26.31629 | -60.58803 | 0.181 | 291.35 |  3.69 |    False |   False |               |                    |             |  97021 |                     |                 |          | MCXC J0145.2-6033 |
| PSZ2 G273.69-68.38 |   27.66509 | -45.23682 | 0.320 | 273.69 |  3.61 |    False |   False |  SPLUS-s35s16 |                    |             |        | ACT-CL J0150.6-4511 |                 |          |                   |
