|               name |        ra |       dec |     z |  gal_l |  mass | complete | lowmass |        S-PLUS |                    CHANCES |       Abell |  CODEX |             ACT-DR5 |         LoVoCCS | HIFLUGCS |           MeerKAT |  m200 | c200 | r200 |  d200 |
| PSZ2 G252.95-41.35 |  70.23231 | -46.95804 | 0.350 | 252.95 |  5.83 |    False |    True |  SPLUS-s36s37 |                            |             |        | ACT-CL J0440.9-4658 |                 |          |                   |  8.34 | 4.18 | 1.75 |  5.73 |
| PSZ2 G250.43-41.42 |  70.24581 | -45.07032 | 0.150 | 250.44 |  3.56 |    False |   False |  SPLUS-s35s38 |                            |  ABELL 3284 |  88539 |                     |                 |          |                   |  5.13 | 4.04 | 1.61 |  9.91 |
| PSZ2 G219.45-35.90 |  72.04702 | -20.44462 | 0.072 | 219.46 |  3.33 |    False |    True |               |                            |  ABELL 0514 |  73371 |                     |            A514 |          |                   |  4.80 | 4.06 | 1.61 | 18.98 |
| PSZ2 G249.91-39.86 |  72.44709 | -44.68982 | 0.150 | 249.92 |  4.87 |    False |    True |  SPLUS-s34s40 |                            |  ABELL 3292 |  88534 | ACT-CL J0449.9-4440 |                 |          | MCXC J0449.9-4440 |  7.01 | 4.04 | 1.78 | 10.99 |
| PSZ2 G200.95-28.16 |  72.58349 |  -3.00734 | 0.220 | 200.96 |  7.15 |    False |    True |               |                            |             |        | ACT-CL J0450.3-0256 |                 |          |  PLCK G200.9-28.2 | 10.27 | 4.14 | 1.97 |  8.97 |
| PSZ2 G208.80-30.67 |  73.52095 | -10.22628 | 0.248 | 208.81 |  9.79 |    False |    True |               |                  Abell0521 |  ABELL 0521 |  65130 | ACT-CL J0454.1-1013 |                 |          | MCXC J0454.1-1014 | 13.95 | 4.29 | 2.16 |  9.00 |
| PSZ2 G195.75-24.32 |  73.52666 |   2.96225 | 0.203 | 195.76 | 10.52 |     True |   False |               |         PSZ2 G195.75-24.32 |  ABELL 0520 |  51504 | ACT-CL J0454.1+0255 |                 |          |                   | 15.02 | 4.27 | 2.25 | 10.90 |
| PSZ2 G287.96-32.99 |  74.84916 | -75.80179 | 0.250 | 287.97 |  8.34 |    False |    True |               |                            |             | 101808 |                     |                 |          |                   | 11.92 | 4.22 | 2.05 |  8.47 |
| PSZ2 G198.47-23.69 |  75.34242 |   1.15538 | 0.125 | 198.48 |  4.90 |    False |    True |               |                            |             |  56036 | ACT-CL J0501.4+0110 |                 |          |                   |  7.05 | 4.04 | 1.80 | 12.99 |
| PSZ2 G271.28-36.11 |  76.39199 | -61.74105 | 0.250 | 271.29 |  5.14 |    False |   False |               |                            |             |  97361 |                     |                 |          |                   |  7.40 | 4.09 | 1.75 |  7.23 |
| PSZ2 G270.63-35.67 |  77.48085 | -61.28753 | 0.313 | 270.63 |  7.21 |    False |    True |               |                            |             |        |                     |                 |          |                   | 10.30 | 4.23 | 1.91 |  6.72 |
| PSZ2 G250.89-36.24 |  77.59810 | -45.32916 | 0.200 | 250.90 |  7.74 |    False |    True |               |                            |  ABELL 3322 |  88650 | ACT-CL J0510.3-4519 |                 |          | MCXC J0510.2-4519 | 11.12 | 4.15 | 2.04 |  9.99 |
| PSZ2 G208.60-26.00 |  77.68686 |  -8.02020 | 0.220 | 208.60 | 10.45 |     True |   False |               |         PSZ2 G208.60-26.00 |             |  60710 | ACT-CL J0510.7-0801 |                 |          | MCXC J0510.7-0801 | 14.91 | 4.29 | 2.24 | 10.18 |
| PSZ2 G246.49-35.31 |  78.44051 | -41.69126 | 0.081 | 246.50 |  1.96 |    False |   False |               |                            |             |        |                     |                 |          |                   |  2.81 | 4.18 | 1.35 | 14.21 |
| PSZ2 G255.52-35.66 |  78.70656 | -49.04580 | 0.091 | 255.53 |  2.88 |    False |    True |               |                            |  ABELL 3330 |  91897 |                     |                 |          |                   |  4.15 | 4.08 | 1.53 | 14.50 |
| PSZ2 G262.27-35.38 |  79.14697 | -54.53433 | 0.295 | 262.27 | 11.82 |     True |   False |               |         PSZ2 G262.27-35.38 | ABELL S0520 |  94804 | ACT-CL J0516.6-5430 |                 |          | MCXC J0516.6-5430 | 16.71 | 4.46 | 2.26 |  8.28 |
| PSZ2 G224.53-30.27 |  79.26717 | -22.61290 | 0.200 | 224.54 |  5.01 |    False |    True |               |                            | ABELL S0519 |  73520 | ACT-CL J0516.9-2237 |                 |          |                   |  7.22 | 4.06 | 1.77 |  8.64 |
| PSZ2 G215.24-26.10 |  80.17580 | -13.46901 | 0.336 | 215.25 |  8.42 |    False |    True |               |                            |             |  65279 | ACT-CL J0520.7-1328 |                 |          | PSZ1 G215.29-26.0 | 11.98 | 4.32 | 1.99 |  6.68 |
| PSZ2 G245.70-33.75 |  80.38411 | -40.83413 | 0.076 | 245.70 |  2.62 |    False |    True |               |                            |  ABELL 3336 |  85026 |                     |                 |          |                   |  3.76 | 4.11 | 1.49 | 16.71 |
| PSZ2 G254.66-34.45 |  80.49158 | -48.28476 | 0.296 | 254.66 |  5.02 |    False |   False |               |                            |  ABELL 3338 |        | ACT-CL J0522.2-4818 |                 |          |                   |  7.21 | 4.10 | 1.71 |  6.24 |
| PSZ2 G253.48-33.72 |  81.46259 | -47.26231 | 0.191 | 253.49 |  6.30 |    False |    True |               |                            |  ABELL 3343 |  88679 | ACT-CL J0525.8-4715 |                 |          | MCXC J0525.8-4715 |  9.06 | 4.09 | 1.91 |  9.69 |
| PSZ2 G234.06-30.74 |  81.49206 | -30.58751 | 0.199 | 234.06 |  5.81 |    False |    True |               |                            |  ABELL 3342 |  77779 | ACT-CL J0525.8-3035 |                 |          |                   |  8.37 | 4.08 | 1.86 |  9.11 |
| PSZ2 G233.25-30.01 |  82.08003 | -29.71756 | 0.158 | 233.25 |  4.52 |    False |    True |               |                            |             |  77764 | ACT-CL J0528.2-2942 |                 |          |                   |  6.52 | 4.04 | 1.74 | 10.24 |
| PSZ2 G244.37-32.15 |  82.20119 | -39.47749 | 0.284 | 244.38 |  9.99 |    False |    True |               |         PSZ2 G244.37-32.15 |             |  85000 | ACT-CL J0528.8-3927 |                 |          | MCXC J0528.9-3927 | 14.22 | 4.34 | 2.15 |  8.09 |
| PSZ2 G225.56-27.27 |  82.65066 | -22.45935 | 0.171 | 225.57 |  4.78 |    False |    True |               |                            |  ABELL 0543 |  73516 | ACT-CL J0530.6-2227 |                 |          |                   |  6.89 | 4.05 | 1.76 |  9.77 |
| PSZ2 G286.62-31.24 |  82.84024 | -75.19310 | 0.210 | 286.62 |  7.67 |    False |    True |        MC0148 |                            |             |        |                     |                 |          |                   | 11.00 | 4.16 | 2.03 |  9.54 |
| PSZ2 G263.24-33.18 |  82.95368 | -55.35893 | 0.300 | 263.24 |  5.41 |    False |    True |               |                            |             |  94822 |                     |                 |          |                   |  7.78 | 4.12 | 1.75 |  6.33 |
| PSZ2 G214.61-22.70 |  83.10173 | -11.54308 | 0.154 | 214.61 |  7.28 |    False |    True |               |                            |  ABELL 0545 |        |                     |                 |          | MCXC J0532.3-1131 | 10.45 | 4.10 | 2.03 | 12.28 |
| PSZ2 G241.76-30.88 |  83.23167 | -37.03963 | 0.271 | 241.76 |  9.45 |    False |    True |               |         PSZ2 G241.76-30.88 |             |  84952 | ACT-CL J0532.9-3701 |                 |          |                   | 13.45 | 4.30 | 2.12 |  8.26 |
| PSZ2 G262.01-32.98 |  83.27321 | -54.32454 | 0.230 | 262.01 |  4.08 |    False |   False |               |                            |             |        |                     |                 |          |                   |  5.88 | 4.05 | 1.63 |  7.17 |
| PSZ2 G274.73-32.20 |  84.30367 | -65.05840 | 0.200 | 274.74 |  4.53 |    False |   False |        MC0016 |                            |             |        |                     |                 |          |                   |  6.53 | 4.05 | 1.71 |  8.36 |
| PSZ2 G224.38-24.95 |  84.58471 | -20.64543 | 0.091 | 224.38 |  3.42 |    False |    True |               |                            |  ABELL 3358 |  73591 | ACT-CL J0538.2-2038 |                 |          |                   |  4.93 | 4.06 | 1.62 | 15.31 |
| PSZ2 G270.95-31.78 |  85.58297 | -61.87258 | 0.140 | 270.95 |  3.17 |    False |   False |               |                            |             |  97502 |                     |                 |          |                   |  4.56 | 4.06 | 1.55 | 10.13 |
| PSZ2 G241.11-28.68 |  85.73781 | -35.98426 | 0.420 | 241.11 |  9.93 |    False |    True |               |         PSZ2 G241.11-28.68 |             |  81661 | ACT-CL J0542.9-3559 |                 |          |                   | 14.00 | 4.54 | 2.03 |  5.92 |
| PSZ2 G260.76-31.27 |  86.07246 | -53.18054 | 0.250 | 260.77 |  4.18 |    False |   False |               |                            |             |  92085 |                     |                 |          |                   |  6.03 | 4.06 | 1.63 |  6.75 |
| PSZ2 G254.73-30.52 |  86.35552 | -47.95765 | 0.125 | 254.74 |  3.07 |    False |   False |               |                            |  ABELL 3363 |  88689 | ACT-CL J0546.1-4752 |                 |          | MCXC J0545.5-4756 |  4.43 | 4.06 | 1.54 | 11.07 |
| PSZ2 G244.74-28.59 |  86.79434 | -39.06452 | 0.319 | 244.75 |  6.68 |    False |    True |               |                            |             |        | ACT-CL J0546.9-3904 |                 |          |                   |  9.56 | 4.20 | 1.86 |  6.46 |
| PSZ2 G236.92-26.65 |  86.90073 | -31.87297 | 0.148 | 236.93 |  6.60 |    False |    True |               |                            |  ABELL 3364 |  81557 | ACT-CL J0547.6-3152 |                 |          |                   |  9.50 | 4.08 | 1.97 | 12.30 |
| PSZ2 G271.18-30.95 |  87.34604 | -62.07272 | 0.370 | 271.18 |  9.95 |     True |   False |               |         PSZ2 G271.18-30.95 |             |        |                     |                 |          |                   | 14.06 | 4.46 | 2.07 |  6.53 |
| PSZ2 G265.49-30.50 |  87.91245 | -57.17215 | 0.423 | 265.49 |  5.56 |    False |    True |               |                            | ABELL S0552 |  94980 | ACT-CL J0551.6-5709 |                 |          |                   |  7.94 | 4.22 | 1.68 |  4.88 |
| PSZ2 G226.16-21.95 |  88.21371 | -21.06502 | 0.099 | 226.16 |  5.22 |    False |    True |               |                            |  ABELL 0550 |  73599 | ACT-CL J0552.9-2103 |                 |          |                   |  7.53 | 4.03 | 1.86 | 16.41 |
| PSZ2 G239.27-26.01 |  88.34853 | -33.70195 | 0.430 | 239.27 | 11.83 |     True |   False |               |          MACS J0553.4-3342 |             |  81601 | ACT-CL J0553.4-3342 |                 |          |                   | 16.58 | 4.70 | 2.14 |  6.15 |
| PSZ2 G223.04-20.27 |  88.67915 | -17.73825 | 0.190 | 223.05 |  5.30 |    False |    True |               |                            |  ABELL 0551 |  69545 |                     |                 |          |                   |  7.64 | 4.06 | 1.81 |  9.21 |
| PSZ2 G273.54-30.28 |  88.84752 | -64.10518 | 0.345 | 273.55 |  7.60 |    False |    True |        MC0018 |                            |             |        |                     |                 |          |                   | 10.85 | 4.28 | 1.92 |  6.32 |
| PSZ2 G247.99-26.37 |  90.49739 | -41.35134 | 0.230 | 248.00 |  4.63 |    False |   False |               |                            |             |        |                     |                 |          |                   |  6.67 | 4.06 | 1.70 |  7.48 |
| PSZ2 G254.51-27.32 |  90.99444 | -47.23034 | 0.274 | 254.52 |  6.59 |    False |    True |               |                            |             |  88948 | ACT-CL J0603.9-4714 |                 |          |                   |  9.43 | 4.16 | 1.88 |  7.26 |
| PSZ2 G241.79-24.01 |  91.46955 | -35.30911 | 0.139 | 241.79 |  7.54 |     True |   False |               |                            |  ABELL 3378 |  81642 | ACT-CL J0605.7-3518 |                 |          |                   | 10.83 | 4.10 | 2.07 | 13.59 |
| PSZ2 G272.08-29.06 |  91.48696 | -62.79719 | 0.098 | 272.09 |  3.00 |    False |    True |        MC0009 |                            | ABELL S0567 |  97725 |                     |                 |          |                   |  4.32 | 4.07 | 1.54 | 13.78 |
| PSZ2 G247.69-25.06 |  92.09635 | -40.75770 | 0.344 | 247.70 |  5.83 |    False |    True |               |                            |             |  85262 |                     |                 |          |                   |  8.35 | 4.17 | 1.76 |  5.82 |
| PSZ2 G247.19-23.31 |  94.13412 | -39.83285 | 0.152 | 247.19 |  5.50 |    False |    True |               |                            | ABELL S0579 |  85242 | ACT-CL J0616.5-3947 |                 |          |                   |  7.93 | 4.05 | 1.86 | 11.33 |
| PSZ2 G255.64-25.30 |  94.23680 | -47.79069 | 0.116 | 255.65 |  3.89 |    False |    True |               |                            |             |  88833 |                     |                 |          | MCXC J0616.8-4748 |  5.60 | 4.04 | 1.67 | 12.81 |
| PSZ2 G287.56-28.32 |  94.28947 | -76.35143 | 0.363 | 287.56 |  6.47 |    False |    True |               |                            |             |        |                     |                 |          |                   |  9.23 | 4.23 | 1.80 |  5.76 |
| PSZ2 G249.87-21.65 |  97.19544 | -41.71190 | 0.176 | 249.87 |  5.18 |    False |    True |               |                            |  ABELL 3396 |  85281 | ACT-CL J0628.8-4143 |                 |          |                   |  7.47 | 4.06 | 1.80 |  9.77 |
| PSZ2 G257.32-22.19 |  99.32565 | -48.48400 | 0.203 | 257.33 |  7.16 |    False |    True |               |                            |  ABELL 3399 |  92119 | ACT-CL J0637.3-4829 |                 |          | MCXC J0637.3-4828 | 10.28 | 4.13 | 1.99 |  9.62 |
| PSZ2 G263.14-23.41 |  99.72452 | -53.98140 | 0.227 | 263.15 |  9.21 |    False |    True |               |         PSZ2 G263.14-23.41 | ABELL S0592 |  95047 | ACT-CL J0638.7-5358 |                 |          | MCXC J0638.7-5358 | 13.14 | 4.23 | 2.14 |  9.50 |
| PSZ2 G263.68-22.55 | 101.36936 | -54.22940 | 0.164 | 263.68 | 10.74 |     True |   False |               |         PSZ2 G263.68-22.55 |  ABELL 3404 |  95056 | ACT-CL J0645.4-5413 |                 |          | MCXC J0645.4-5413 | 15.33 | 4.23 | 2.30 | 13.17 |
| PSZ2 G266.04-21.25 | 104.63188 | -55.96172 | 0.296 | 266.04 | 17.67 |     True |   False |               | ClG 0657-56 Bullet cluster |             |  95199 | ACT-CL J0658.5-5557 |                 |          | MCXC J0658.5-5556 | 24.60 | 4.82 | 2.57 |  9.38 |
| PSZ2 G284.97-23.69 | 110.83945 | -73.43934 | 0.390 | 284.98 | 11.32 |     True |   False |               |         PSZ2 G284.97-23.69 |             |        |                     |                 |          |                   | 15.91 | 4.59 | 2.14 |  6.54 |
| PSZ2 G283.16-22.91 | 111.74405 | -71.62337 | 0.450 | 283.17 |  9.11 |    False |    True |               |                            |             | 102091 |                     |                 |          |                   | 12.84 | 4.52 | 1.95 |  5.46 |
| PSZ2 G287.05-23.21 | 114.58791 | -75.12340 | 0.111 | 287.06 |  2.92 |    False |   False |               |                            |             |        |                     |                 |          | MCXC J0738.1-7506 |  4.21 | 4.08 | 1.52 | 12.16 |
| PSZ2 G222.52+20.58 | 125.44952 |   1.23018 | 0.082 | 222.53 |  3.09 |    False |    True |               |                            |  ABELL 0653 |  56837 | ACT-CL J0821.8+0111 |                 |          |                   |  4.45 | 4.07 | 1.57 | 16.34 |
| PSZ2 G219.88+22.83 | 126.28130 |   4.45637 | 0.233 | 219.88 |  6.84 |    False |    True |               |                            |  ABELL 0664 |  52258 | ACT-CL J0824.9+0426 |                 |          |                   |  9.82 | 4.14 | 1.94 |  8.43 |
| PSZ2 G220.11+22.91 | 126.44772 |   4.30362 | 0.225 | 220.11 |  6.58 |    False |    True |               |                            |             |  52264 | ACT-CL J0825.9+0414 |                 |          |                   |  9.44 | 4.12 | 1.92 |  8.57 |
| PSZ2 G227.59+22.98 | 129.86034 |  -1.67893 | 0.281 | 227.59 |  6.43 |    False |    True |               |                            |             |        | ACT-CL J0839.5-0140 |                 |          |                   |  9.22 | 4.16 | 1.86 |  7.07 |
| PSZ2 G223.47+26.85 | 131.37058 |   3.47540 | 0.327 | 223.48 |  7.11 |    False |    True |               |                            |             |  52342 | ACT-CL J0845.4+0327 |                 |          |                   | 10.15 | 4.23 | 1.89 |  6.46 |
| PSZ2 G233.05+23.67 | 133.08726 |  -5.58344 | 0.192 | 233.05 |  5.01 |    False |    True |               |                            |             |  61501 |                     |                 |          |                   |  7.22 | 4.06 | 1.77 |  8.96 |
| PSZ2 G235.56+23.29 | 134.04520 |  -7.71179 | 0.374 | 235.56 |  9.14 |    False |    True |               |                            |             |  61534 |                     |                 |          |                   | 12.96 | 4.41 | 2.01 |  6.31 |
| PSZ2 G225.48+29.41 | 134.47530 |   3.17442 | 0.203 | 225.49 |  6.20 |    False |    True |               |                            |  ABELL 0732 |  52344 | ACT-CL J0857.8+0310 |                 |          |                   |  8.91 | 4.10 | 1.89 |  9.16 |
| PSZ2 G230.73+27.70 | 135.37264 |  -1.65820 | 0.294 | 230.74 |  6.69 |    False |    True |               |                            |             |  57017 | ACT-CL J0901.5-0139 |                 |          |                   |  9.58 | 4.18 | 1.88 |  6.89 |
| PSZ2 G231.79+31.48 | 139.05800 |  -0.41180 | 0.332 | 231.79 |  6.57 |    False |    True |               |                            |  ABELL 0776 |  57004 | ACT-CL J0916.1-0024 |                 |          |                   |  9.40 | 4.21 | 1.84 |  6.21 |
| PSZ2 G228.50+34.95 | 140.56057 |   3.75289 | 0.270 | 228.50 |  7.80 |    False |    True |               |                            |             |  52413 | ACT-CL J0922.1+0346 |                 |          |                   | 11.17 | 4.22 | 1.99 |  7.78 |
| PSZ2 G250.04+24.14 | 143.06493 | -17.67143 | 0.400 | 250.05 |  8.97 |    False |    True |               |                            |             |  70167 |                     |                 |          |                   | 12.68 | 4.43 | 1.98 |  5.95 |
| PSZ2 G233.68+36.14 | 143.81963 |   0.81845 | 0.357 | 233.69 |  7.39 |    False |    True |               |                            |             |  57070 | ACT-CL J0935.2+0048 |                 |          |                   | 10.55 | 4.28 | 1.89 |  6.11 |
| PSZ2 G232.84+38.13 | 145.11100 |   2.47193 | 0.151 | 232.85 |  4.63 |    False |    True |               |                            |  ABELL 0847 |  57043 |                     |                 |          |                   |  6.67 | 4.04 | 1.75 | 10.77 |
| PSZ2 G244.71+32.50 | 146.38223 |  -8.64106 | 0.154 | 244.71 |  7.05 |    False |    True |               |                            |  ABELL 0868 |  66012 |                     |                 |          |                   | 10.15 | 4.09 | 2.01 | 12.19 |
| PSZ2 G247.97+33.52 | 148.98719 | -10.02959 | 0.163 | 247.98 |  4.34 |    False |    True |               |                  Abell0901 |  ABELL 0901 |  66116 |                     |                 |          |                   |  6.26 | 4.04 | 1.71 |  9.82 |
| PSZ2 G249.38+33.26 | 149.60178 | -11.06901 | 0.167 | 249.38 |  7.29 |    False |    True |  SPLUS-n09s01 |                  Abell0907 |  ABELL 0907 |  66133 |                     |                 |          |                   | 10.47 | 4.11 | 2.03 | 11.45 |
| PSZ2 G253.21+34.25 | 152.60279 | -12.64400 | 0.306 | 253.21 |  6.67 |    False |    True |  SPLUS-n10s02 |                            |             |  66237 |                     |                 |          |                   |  9.55 | 4.19 | 1.87 |  6.67 |
| PSZ2 G262.83+25.77 | 153.25770 | -24.50361 | 0.180 | 262.83 |  5.03 |    False |    True |    HYDRA_0013 |                            |  ABELL 0955 |  74549 |                     |                 |          |                   |  7.25 | 4.05 | 1.78 |  9.48 |
| PSZ2 G254.90+33.92 | 153.41402 | -13.84736 | 0.152 | 254.90 |  4.29 |    False |    True |  SPLUS-n11s03 |                            |             |  66249 |                     |                 |          |                   |  6.19 | 4.04 | 1.71 | 10.45 |
| PSZ2 G256.24+34.83 | 154.88686 | -13.92839 | 0.153 | 256.25 |  5.52 |    False |    True |  SPLUS-n11s04 |                            |  ABELL 0976 |  66251 |                     |                 |          |                   |  7.95 | 4.05 | 1.86 | 11.29 |
| PSZ2 G250.68+40.76 | 155.78638 |  -6.60545 | 0.254 | 250.69 |  5.51 |    False |    True |  SPLUS-n06s05 |                            |  ABELL 1001 |  61854 |                     |                 |          |                   |  7.92 | 4.10 | 1.79 |  7.29 |
| PSZ2 G239.43+47.95 | 155.92402 |   4.16626 | 0.285 | 239.43 |  8.80 |    False |    True |  SPLUS-n04n05 |           ZwCl 1021.0+0426 |             |  52661 | ACT-CL J1023.6+0411 |                 |          |                   | 12.56 | 4.28 | 2.06 |  7.74 |
| PSZ2 G269.02+22.27 | 155.95669 | -30.70581 | 0.357 | 269.02 |  6.86 |    False |    True |    HYDRA_0062 |                            |             |  78704 |                     |                 |          |                   |  9.79 | 4.25 | 1.84 |  5.95 |
| PSZ2 G266.83+25.08 | 155.97147 | -27.25218 | 0.254 | 266.83 |  9.94 |    False |    True |    HYDRA_0034 |         PSZ2 G266.83+25.08 |  ABELL 3444 |  78664 |                     |                 |          |                   | 14.14 | 4.30 | 2.17 |  8.84 |
| PSZ2 G262.23+34.48 | 158.59145 | -17.34417 | 0.210 | 262.24 |  5.07 |    False |    True |  SPLUS-n14s07 |                            |             |  70405 |                     |                 |          |                   |  7.31 | 4.07 | 1.77 |  8.33 |
| PSZ2 G241.79+50.30 | 158.73378 |   4.38237 | 0.152 | 241.80 |  4.05 |    False |   False |  SPLUS-n04n07 |                            |  ABELL 1047 |  52716 | ACT-CL J1034.8+0424 |                 |          |                   |  5.83 | 4.04 | 1.68 | 10.20 |
| PSZ2 G268.30+28.89 | 159.59889 | -24.88419 | 0.123 | 268.30 |  3.82 |    False |    True |    HYDRA_0026 |                            |             |  74623 |                     |                 |          |                   |  5.51 | 4.04 | 1.66 | 12.12 |
| PSZ2 G256.38+44.04 | 161.13657 |  -7.05995 | 0.134 | 256.38 |  4.30 |    False |    True |  SPLUS-n06s09 |                            |  ABELL 1084 |  61933 |                     |                 |          |                   |  6.19 | 4.04 | 1.72 | 11.65 |
| PSZ2 G255.51+49.96 | 164.56971 |  -2.19055 | 0.340 | 255.52 |  6.73 |    False |    True |  SPLUS-n03s11 |                            |             |        | ACT-CL J1058.3-0210 |                 |          |                   |  9.62 | 4.22 | 1.85 |  6.15 |
| PSZ2 G272.16+33.47 | 165.30661 | -22.72895 | 0.142 | 272.17 |  5.16 |    False |    True |  SPLUS-n18s11 |                            |  ABELL 1146 |  74668 |                     |                 |          |                   |  7.43 | 4.04 | 1.82 | 11.81 |
| PSZ2 G262.95+45.74 | 165.89668 |  -8.58646 | 0.154 | 262.96 |  4.48 |    False |    True |  SPLUS-n07s12 |                            |             |  61948 |                     |                 |          |                   |  6.46 | 4.04 | 1.73 | 10.46 |
| PSZ2 G255.07+54.84 | 167.57596 |   1.65955 | 0.089 | 255.08 |  2.91 |    False |    True |  SPLUS-n02n13 |                            |             |        | ACT-CL J1110.3+0143 |                 |          |                   |  4.19 | 4.08 | 1.53 | 14.92 |
| PSZ2 G254.96+55.88 | 168.21725 |   2.48375 | 0.078 | 254.96 |  3.13 |    False |    True |  SPLUS-n03n14 |                            |  ABELL 1205 |  57368 | ACT-CL J1112.8+0229 |           A1205 |          |                   |  4.51 | 4.07 | 1.58 | 17.24 |
| PSZ2 G282.67+20.83 | 168.54960 | -38.18372 | 0.131 | 282.68 |  6.00 |    False |    True |               |                            |             |  86086 |                     |                 |          |                   |  8.64 | 4.06 | 1.92 | 13.34 |
| PSZ2 G253.13+57.49 | 168.55488 |   4.35088 | 0.229 | 253.14 |  6.53 |    False |    True |  SPLUS-n04n14 |                            |  ABELL 1208 |  52787 | ACT-CL J1114.1+0420 |                 |          |                   |  9.37 | 4.13 | 1.91 |  8.40 |
| PSZ2 G269.03+44.22 | 168.72467 | -12.20323 | 0.191 | 269.04 |  5.68 |    False |    True |  SPLUS-n10s14 |                            |  ABELL 1211 |  66445 |                     |                 |          |                   |  8.18 | 4.08 | 1.85 |  9.37 |
| PSZ2 G257.09+55.61 | 168.94930 |   1.49612 | 0.350 | 257.09 |  9.26 |    False |    True |  SPLUS-n02n14 |          MACS J1115.9+0129 |             |  57482 | ACT-CL J1115.8+0129 |                 |          |                   | 13.13 | 4.39 | 2.04 |  6.67 |
| PSZ2 G278.58+39.16 | 172.98557 | -19.91442 | 0.308 | 278.58 | 12.10 |     True |   False |  SPLUS-n16s16 |                  Abell1300 |  ABELL 1300 |  74775 |                     |                 |          |                   | 17.09 | 4.50 | 2.26 |  8.07 |
| PSZ2 G272.85+48.79 | 173.30359 |  -9.45942 | 0.420 | 272.85 |  7.76 |    False |    True |  SPLUS-n08s17 |                            |             |        |                     |                 |          |                   | 11.01 | 4.38 | 1.87 |  5.47 |
| PSZ2 G279.79+39.09 | 173.87955 | -20.34029 | 0.290 | 279.79 |  8.25 |    False |    True |  SPLUS-n16s17 |                            |             |  74780 |                     |                 |          |                   | 11.78 | 4.26 | 2.01 |  7.47 |
| PSZ2 G286.68+23.18 | 173.99956 | -37.29209 | 0.300 | 286.69 |  6.80 |    False |    True |               |                            |             |  86128 |                     |                 |          |                   |  9.74 | 4.19 | 1.88 |  6.82 |
| PSZ2 G277.38+47.07 | 175.36749 | -12.29897 | 0.119 | 277.39 |  3.79 |    False |    True |  SPLUS-n10s19 |                            |  ABELL 1348 |        |                     |           A1348 |          |                   |  5.46 | 4.04 | 1.66 | 12.40 |
| PSZ2 G282.14+38.29 | 175.40513 | -21.74557 | 0.327 | 282.14 |  6.53 |    False |    True |  SPLUS-n17s18 |                            |             |        |                     |                 |          |                   |  9.36 | 4.20 | 1.84 |  6.28 |
| PSZ2 G280.17+47.83 | 177.44691 | -12.29657 | 0.156 | 280.18 |  8.17 |    False |    True |  SPLUS-n10s20 |                            |  ABELL 1391 |  66531 |                     |                 |          |                   | 11.73 | 4.13 | 2.11 | 12.64 |
| PSZ2 G286.98+32.90 | 177.70615 | -28.08548 | 0.390 | 286.99 | 19.82 |     True |   False |               |         PSZ2 G286.98+32.90 |             |        |                     |                 |          |                   | 27.25 | 5.18 | 2.56 |  7.82 |
| PSZ2 G287.25+34.96 | 178.57339 | -26.16398 | 0.349 | 287.25 |  7.31 |    False |    True |  SPLUS-n20s10 |                            |             |        |                     |                 |          |                   | 10.44 | 4.27 | 1.89 |  6.19 |
| PSZ2 G273.59+63.27 | 180.10910 |   3.34847 | 0.134 | 273.59 |  7.47 |     True |   False |  SPLUS-n03n23 |                            |  ABELL 1437 |  52985 |                     |                 |          |                   | 10.75 | 4.09 | 2.07 | 14.03 |
| PSZ2 G292.56+21.97 | 180.29998 | -39.88369 | 0.300 | 292.57 | 10.69 |     True |   False |               |                            |             |  86157 |                     |                 |          |                   | 15.17 | 4.41 | 2.18 |  7.91 |
| PSZ2 G282.12+54.04 | 180.72976 |  -6.85829 | 0.127 | 282.12 |  6.28 |    False |    True |  SPLUS-n06s24 |                            |  ABELL 1448 |  62255 |                     |                 |          |                   |  9.05 | 4.06 | 1.96 | 13.91 |
| PSZ2 G288.27+39.97 | 180.82543 | -21.52479 | 0.199 | 288.27 |  9.66 |    False |    True |  SPLUS-n17s22 |                  Abell1451 |  ABELL 1451 |  74869 |                     |                 |          |                   | 13.81 | 4.23 | 2.20 | 10.77 |
| PSZ2 G284.41+52.45 | 181.56221 |  -8.78873 | 0.441 | 284.41 | 15.08 |     True |   False |  SPLUS-n08s23 |          MACS J1206.2-0847 |             |  66566 |                     |                 |          |                   | 20.92 | 4.97 | 2.30 |  6.52 |
| PSZ2 G292.74+33.49 | 183.18797 | -28.61211 | 0.082 | 292.75 |  2.79 |    False |    True |               |                            |  ABELL 3506 |  78939 |                     |                 |          |                   |  4.01 | 4.09 | 1.52 | 15.90 |
| PSZ2 G295.34+23.34 | 183.89083 | -38.99294 | 0.119 | 295.35 |  5.71 |    False |    True |               |                            |             |  86198 |                     | RXCJ1215.4-3900 |          |                   |  8.22 | 4.05 | 1.90 | 14.27 |
| PSZ2 G287.54+58.63 | 184.90696 |  -3.28409 | 0.305 | 287.54 |  5.70 |    False |    True |  SPLUS-n03s26 |                            |             |  62201 | ACT-CL J1219.6-0318 |                 |          |                   |  8.19 | 4.14 | 1.77 |  6.35 |
| PSZ2 G289.16+55.27 | 185.01170 |  -6.75688 | 0.410 | 289.16 |  7.25 |    False |    True |  SPLUS-n06s27 |                            |             |  62254 |                     |                 |          |                   | 10.31 | 4.33 | 1.84 |  5.45 |
