|               name |        ra |       dec |     z |  gal_l |  mass | complete | lowmass |        S-PLUS |                    CHANCES |       Abell |  CODEX |             ACT-DR5 |         LoVoCCS | HIFLUGCS |           MeerKAT |  m200 | c200 | r200 |  d200 |
| PSZ2 G311.91-78.80 |  10.65110 | -38.16416 | 0.219 | 311.91 |  4.92 |    False |   False |  SPLUS-s30s07 |                            |  ABELL 2812 |  84162 | ACT-CL J0042.4-3809 |                 |          |                   |  7.09 | 4.07 | 1.75 |  7.95 |
| PSZ2 G106.87-83.23 |  10.86618 | -20.61702 | 0.292 | 106.88 | 10.96 |     True |   False |  SPLUS-s16s09 |                            |  ABELL 2813 |  72544 | ACT-CL J0043.3-2037 |                 |          | MCXC J0043.4-2037 | 15.55 | 4.41 | 2.21 |  8.14 |
| PSZ2 G303.03-68.49 |  12.80435 | -48.63671 | 0.187 | 303.03 |  4.34 |    False |   False |  SPLUS-s38s07 |                            |  ABELL 2830 |  91247 | ACT-CL J0051.1-4834 |                 |          | MCXC J0051.1-4833 |  6.25 | 4.04 | 1.69 |  8.72 |
| PSZ2 G302.85-88.63 |  12.86147 | -28.49781 | 0.112 | 302.86 |  4.19 |    False |    True |  SPLUS-s22s09 |                            |  ABELL 2829 |  76852 |                     |                 |          |                   |  6.03 | 4.04 | 1.72 | 13.55 |
| PSZ2 G127.71-69.55 |  14.53889 |  -6.75059 | 0.119 | 127.71 |  5.48 |    False |    True |               |                            |             |        |                     |                 |          |                   |  7.89 | 4.04 | 1.87 | 14.05 |
| PSZ2 G130.21-62.60 |  16.20291 |   0.07432 | 0.277 | 130.21 |  7.70 |    False |    True | STRIPE82_0024 |                            |             |  55241 | ACT-CL J0104.9+0003 |                 |          |                   | 11.03 | 4.22 | 1.98 |  7.59 |
| PSZ2 G175.69-85.98 |  16.37598 | -24.65484 | 0.230 | 175.69 |  7.65 |    False |    True |  SPLUS-s19s12 |                            |  ABELL 0141 |  72680 | ACT-CL J0105.5-2438 |                 |          |                   | 10.96 | 4.17 | 2.01 |  8.83 |
| PSZ2 G299.38-57.32 |  16.65120 | -59.70053 | 0.348 | 299.39 |  5.89 |    False |    True |  SPLUS-s46s07 |                            |             |        | ACT-CL J0106.4-5942 |                 |          |                   |  8.43 | 4.18 | 1.76 |  5.78 |
| PSZ2 G285.87-74.93 |  18.69567 | -41.41344 | 0.213 | 285.87 |  6.06 |    False |    True |  SPLUS-s32s11 |                            |             |  84277 | ACT-CL J0114.7-4123 |                 |          |                   |  8.71 | 4.10 | 1.87 |  8.73 |
| PSZ2 G212.82-84.04 |  19.54850 | -26.95876 | 0.228 | 212.83 |  7.66 |    False |    True |  SPLUS-s21s14 |                            |  ABELL 2895 |  76905 | ACT-CL J0118.2-2658 |                 |          | MCXC J0118.1-2658 | 10.97 | 4.17 | 2.01 |  8.91 |
