|   name |         ra |       dec |     z |  gal_l |   mass | complete | lowmass |        S-PLUS | CHANCES |                   Abell |             ACT-DR5 |               PSZ2 |         LoVoCCS | HIFLUGCS |           MeerKAT | WINGS |
|  62294 | -169.20578 |  -5.50829 | 0.387 | 299.12 |  75.84 |    False |    True |  SPLUS-n05s31 |         |                         |                     |                    |                 |          |                   |       |
|  70782 | -169.07960 | -15.57100 | 0.144 | 300.18 |  48.67 |    False |   False |  SPLUS-n13s30 |         |              ABELL 1603 |                     |                    |                 |          |                   |       |
|  75004 | -169.03023 | -23.15250 | 0.144 | 300.67 |  46.35 |    False |   False |  SPLUS-n18s28 |         |              ABELL 1604 |                     |                    |                 |          |                   |       |
|  70777 | -168.39022 | -15.09606 | 0.341 | 301.14 |  79.94 |    False |    True |  SPLUS-n12s30 |         |                         |                     |                    |                 |          |                   |       |
|  57790 | -168.05051 |  -2.79133 | 0.182 | 301.11 |  74.23 |    False |    True |  SPLUS-n03s31 |         |              ABELL 1612 |                     | PSZ2 G301.11+60.05 |                 |          |                   |       |
|  86296 | -168.02606 | -41.73013 | 0.234 | 302.22 |  62.70 |    False |   False |               |         |                         |                     |                    |                 |          |                   |       |
|  82657 | -167.52894 | -36.73886 | 0.197 | 302.59 |  57.10 |    False |   False |               |         |              ABELL 3527 |                     |                    |                 |          |                   |       |
|  86238 | -167.37176 | -37.04826 | 0.196 | 302.73 |  53.35 |    False |   False |               |         |                         |                     |                    |                 |          |                   |       |
|  62361 | -167.34353 |  -6.29683 | 0.294 | 302.57 |  78.67 |    False |    True |  SPLUS-n06s32 |         |                         |                     |                    |                 |          |                   |       |
|  86299 | -167.11689 | -42.02824 | 0.231 | 302.95 |  83.36 |    False |    True |               |         |                         |                     | PSZ2 G303.00+20.86 |                 |          |                   |       |
|  62360 | -166.77182 |  -6.28907 | 0.191 | 303.60 |  47.48 |    False |   False |  SPLUS-n06s33 |         |                         |                     |                    |                 |          |                   |       |
|  79014 | -166.51083 | -26.36094 | 0.221 | 303.63 |  69.60 |    False |    True |  SPLUS-n20s20 |         |              ABELL 1633 |                     | PSZ2 G303.54+36.49 |                 |          |                   |       |
|  62369 | -166.33768 |  -6.72993 | 0.290 | 304.36 |  75.33 |    False |    True |  SPLUS-n06s33 |         |              ABELL 1634 |                     |                    |                 |          |                   |       |
|  70780 | -166.30900 | -15.44953 | 0.156 | 304.12 |  40.05 |    False |   False |  SPLUS-n12s31 |         |                         |                     |                    |                 |          |                   |       |
|  53202 | -165.89617 |   4.66927 | 0.231 | 306.18 |  70.79 |    False |    True |  SPLUS-n04n33 |         |                         | ACT-CL J1256.4+0440 |                    |                 |          |                   |       |
|  70775 | -165.70208 | -14.92246 | 0.153 | 305.01 |  39.59 |    False |   False |  SPLUS-n12s32 |         |              ABELL 1645 |                     |                    |                 |          |                   |       |
|  66713 | -165.44578 |  -9.84779 | 0.102 | 305.71 |  27.54 |    False |   False |  SPLUS-n08s33 |         |                         |                     |                    |                 |          |                   |       |
