|                name |               Cluster Name |        ra |       dec |     z |  gal_l |  mass | complete | lowmass |                    CHANCES |                   Abell | CODEX |             ACT-DR5 |               PSZ2 |         LoVoCCS | HIFLUGCS |           MeerKAT |  m200 | c200 | r200 |  d200 |
| ACT-CL J2214.5-1022 |                 ABELL 2426 | 333.62926 | -10.36875 | 0.098 |  49.68 |  4.17 |    False |    True |                            |              ABELL 2426 | 68049 | ACT-CL J2214.5-1022 | PSZ2 G049.69-49.46 |           A2426 |          |                   |  6.01 | 4.04 | 1.72 | 15.38 |
| ACT-CL J0552.9-2103 |                 ABELL 0550 |  88.23643 | -21.06312 | 0.099 | 226.17 |  4.32 |     True |   False |                            |              ABELL 0550 | 73599 | ACT-CL J0552.9-2103 | PSZ2 G226.16-21.95 |                 |          |                   |  6.22 | 4.03 | 1.74 | 15.38 |
| ACT-CL J0611.9-4451 |        ACT-CL J0611.9-4451 |  92.99585 | -44.86667 | 0.103 | 252.28 |  2.96 |    False |    True |                            |                         |       | ACT-CL J0611.9-4451 |                    |                 |          |                   |  4.27 | 4.08 | 1.54 | 13.04 |
| ACT-CL J0346.9-1321 |        ACT-CL J0346.9-1321 |  56.74584 | -13.35833 | 0.106 | 203.33 |  3.46 |    False |    True |                            |                         |       | ACT-CL J0346.9-1321 |                    |                 |          |                   |  4.99 | 4.05 | 1.62 | 13.37 |
| ACT-CL J2250.1-5140 |                 ABELL 3922 | 342.53339 | -51.67916 | 0.107 | 337.51 |  2.96 |    False |    True |                            |              ABELL 3922 |       | ACT-CL J2250.1-5140 |                    |                 |          |                   |  4.26 | 4.07 | 1.53 | 12.64 |
| ACT-CL J2321.5-4153 |                 ABELL 3998 | 350.38750 | -41.90000 | 0.107 | 348.31 |  2.14 |    False |   False |                            |              ABELL 3998 | 87769 | ACT-CL J2321.5-4153 |                    |           A3998 |          |                   |  3.08 | 4.14 | 1.38 | 11.34 |
| ACT-CL J0017.5-3511 |                 ABELL 2755 |   4.38889 | -35.18605 | 0.108 | 342.78 |  2.12 |    False |   False |                            |              ABELL 2755 | 80604 | ACT-CL J0017.5-3511 |                    |                 |          |                   |  3.05 | 4.14 | 1.37 | 11.24 |
| ACT-CL J0042.1-2832 |                  Abell2811 |  10.52881 | -28.53339 | 0.109 | 358.11 |  6.49 |     True |   False |                  Abell2811 |              ABELL 2811 | 76783 | ACT-CL J0042.1-2832 | PSZ2 G358.21-87.49 |           A2811 |          | MCXC J0042.1-2832 |  9.34 | 4.06 | 1.99 | 16.18 |
| ACT-CL J2312.2-2130 |                 ABELL 2554 | 348.07399 | -21.50402 | 0.109 |  41.52 |  4.87 |     True |   False |                            |              ABELL 2554 | 76524 | ACT-CL J2312.2-2130 | PSZ2 G041.43-66.81 |           A2554 |          |                   |  7.02 | 4.03 | 1.81 | 14.70 |
| ACT-CL J2249.9-5146 |                 ABELL 3922 | 342.48983 | -51.77998 | 0.109 | 337.39 |  2.88 |    False |    True |                            |              ABELL 3922 |       | ACT-CL J2249.9-5146 |                    |                 |          |                   |  4.15 | 4.08 | 1.52 | 12.30 |
| ACT-CL J2209.3-5147 |                 ABELL 3836 | 332.34578 | -51.79590 | 0.110 | 342.57 |  3.13 |    False |    True |                            |              ABELL 3836 | 94009 | ACT-CL J2209.3-5147 | PSZ2 G342.51-50.97 |           A3836 |          |                   |  4.51 | 4.06 | 1.56 | 12.55 |
| ACT-CL J0317.9-4420 |                 ABELL 3112 |  49.48431 | -44.34049 | 0.111 | 253.11 |  2.71 |    False |    True |                            |              ABELL 3112 |       | ACT-CL J0317.9-4420 | PSZ2 G252.99-56.09 |                 |          |                   |  3.91 | 4.09 | 1.49 | 11.89 |
| ACT-CL J0029.0-3459 |                      80677 |   7.27165 | -34.98991 | 0.111 | 332.86 |  1.52 |    False |   False |                            |                         | 80677 | ACT-CL J0029.0-3459 |                    |                 |          |                   |  2.16 | 4.24 | 1.22 |  9.74 |
| ACT-CL J0349.6-2739 |        ACT-CL J0349.6-2739 |  57.42093 | -27.66667 | 0.113 | 224.35 |  3.07 |    False |    True |                            |                         |       | ACT-CL J0349.6-2739 |                    |                 |          |                   |  4.43 | 4.07 | 1.55 | 12.16 |
| ACT-CL J0211.3-4014 |                 ABELL 2984 |  32.83747 | -40.23754 | 0.114 | 256.46 |  2.90 |    False |    True |                            |              ABELL 2984 |       | ACT-CL J0211.3-4014 |                    |                 |          |                   |  4.17 | 4.08 | 1.52 | 11.88 |
| ACT-CL J0005.9-3443 |                 ABELL 2721 |   1.49567 | -34.72494 | 0.114 | 352.18 |  2.55 |    False |    True |                            |              ABELL 2721 | 80599 | ACT-CL J0005.9-3443 | PSZ2 G352.28-77.66 |           A2721 |          |                   |  3.67 | 4.10 | 1.45 | 11.30 |
| ACT-CL J0501.4+0110 |                      56036 |  75.36250 |   1.17500 | 0.116 | 198.47 |  2.95 |    False |    True |                            |                         | 56036 | ACT-CL J0501.4+0110 | PSZ2 G198.47-23.69 |                 |          |                   |  4.26 | 4.07 | 1.53 | 11.69 |
| ACT-CL J2147.7-2107 |        ACT-CL J2147.7-2107 | 326.93333 | -21.12913 | 0.117 |  30.80 |  3.09 |    False |    True |                            |                         |       | ACT-CL J2147.7-2107 |                    |                 |          |                   |  4.46 | 4.06 | 1.55 | 11.86 |
| ACT-CL J1516.3+0005 |                 ABELL 2050 | 229.07923 |   0.08750 | 0.118 |   1.12 |  3.54 |    False |    True |                            |              ABELL 2050 | 58218 | ACT-CL J1516.3+0005 |                    |           A2050 |          |                   |  5.10 | 4.05 | 1.62 | 12.28 |
| ACT-CL J2149.0-3042 |                 ABELL 3814 | 327.27087 | -30.71008 | 0.118 |  16.58 |  4.02 |    False |    True |                            |              ABELL 3814 |       | ACT-CL J2149.0-3042 |                    |           A3814 |          |                   |  5.79 | 4.04 | 1.69 | 12.81 |
| ACT-CL J0144.9-5301 |                 ABELL 2941 |  26.24502 | -53.02204 | 0.118 | 285.52 |  4.23 |    False |    True |                            |              ABELL 2941 | 91401 | ACT-CL J0144.9-5301 | PSZ2 G285.52-62.23 |           A2941 |          | MCXC J0145.0-5300 |  6.10 | 4.04 | 1.72 | 12.99 |
| ACT-CL J0251.3-2456 |                 ABELL 0389 |  42.84581 | -24.94577 | 0.120 | 215.11 |  3.92 |    False |    True |                            |              ABELL 0389 | 73088 | ACT-CL J0251.3-2456 |                    |                 |          |                   |  5.64 | 4.04 | 1.68 | 12.49 |
| ACT-CL J2250.9-1624 |                 ABELL 2496 | 342.73360 | -16.40734 | 0.123 |  47.70 |  4.64 |    False |    True |                            |              ABELL 2496 | 72226 | ACT-CL J2250.9-1624 | PSZ2 G047.73-60.15 |                 |          |                   |  6.69 | 4.04 | 1.77 | 12.90 |
| ACT-CL J0124.3+0426 |                 ABELL 0192 |  21.07918 |   4.44167 | 0.124 | 138.29 |  2.33 |    False |   False |                            |              ABELL 0192 | 50915 | ACT-CL J0124.3+0426 |                    |                 |          |                   |  3.35 | 4.11 | 1.41 | 10.20 |
| ACT-CL J0126.7-5000 |                 ABELL 2912 |  21.68164 | -50.00332 | 0.127 | 288.82 |  2.16 |    False |   False |                            |              ABELL 2912 |       | ACT-CL J0126.7-5000 |                    |                 |          |                   |  3.10 | 4.13 | 1.37 |  9.75 |
| ACT-CL J2308.4-2034 |        ACT-CL J2308.4-2034 | 347.11759 | -20.57542 | 0.127 |  42.94 |  4.36 |    False |    True |                            |                         |       | ACT-CL J2308.4-2034 |                    |                 |          |                   |  6.28 | 4.04 | 1.73 | 12.26 |
| ACT-CL J0514.5-4448 |                 ABELL 3329 |  78.64599 | -44.81250 | 0.128 | 250.33 |  3.50 |    False |    True |                            |              ABELL 3329 |       | ACT-CL J0514.5-4448 |                    |                 |          |                   |  5.04 | 4.05 | 1.61 | 11.39 |
| ACT-CL J0155.0-0615 |                 ABELL 0274 |  28.75101 |  -6.25560 | 0.128 | 161.70 |  1.96 |    False |   False |                            |              ABELL 0274 | 60099 | ACT-CL J0155.0-0615 |                    |                 |          |                   |  2.81 | 4.15 | 1.32 |  9.33 |
| ACT-CL J2114.7+0232 |        ACT-CL J2114.7+0232 | 318.68839 |   2.53502 | 0.130 |  53.63 |  3.97 |    False |    True |                            |                         |       | ACT-CL J2114.7+0232 |                    |                 |          |                   |  5.73 | 4.04 | 1.68 | 11.68 |
| ACT-CL J0032.5-0914 |        ACT-CL J0032.5-0914 |   8.13757 |  -9.24999 | 0.130 | 108.04 |  2.80 |    False |   False |                            |                         |       | ACT-CL J0032.5-0914 |                    |                 |          |                   |  4.03 | 4.08 | 1.49 | 10.38 |
| ACT-CL J1323.6+0446 |                      53269 | 200.92493 |   4.77500 | 0.134 | 323.34 |  2.08 |    False |   False |                            |                         | 53269 | ACT-CL J1323.6+0446 |                    |                 |          |                   |  2.99 | 4.13 | 1.35 |  9.17 |
| ACT-CL J2311.2-2045 |        ACT-CL J2311.2-2045 | 347.82080 | -20.75833 | 0.135 |  43.09 |  2.94 |    False |    True |                            |                         |       | ACT-CL J2311.2-2045 |                    |                 |          |                   |  4.24 | 4.07 | 1.52 | 10.24 |
| ACT-CL J0457.3-3138 |        ACT-CL J0457.3-3138 |  74.34576 | -31.64167 | 0.135 | 233.56 |  3.14 |    False |    True |                            |                         |       | ACT-CL J0457.3-3138 |                    |                 |          |                   |  4.52 | 4.06 | 1.55 | 10.46 |
| ACT-CL J0238.0-5224 |                 ABELL 3038 |  39.50564 | -52.40735 | 0.135 | 272.00 |  2.60 |    False |   False |                            |              ABELL 3038 |       | ACT-CL J0238.0-5224 |                    |                 |          |                   |  3.75 | 4.09 | 1.45 |  9.80 |
| ACT-CL J0148.0-0544 |        ACT-CL J0148.0-0544 |  27.00282 |  -5.73601 | 0.135 | 157.64 |  2.15 |    False |   False |                            |                         |       | ACT-CL J0148.0-0544 |                    |                 |          |                   |  3.08 | 4.13 | 1.36 |  9.18 |
| ACT-CL J2243.0-2010 |                 ABELL 2474 | 340.77159 | -20.17862 | 0.136 |  39.30 |  3.69 |    False |    True |                            |              ABELL 2474 |       | ACT-CL J2243.0-2010 | PSZ2 G039.32-59.88 |                 |          |                   |  5.32 | 4.04 | 1.63 | 10.95 |
| ACT-CL J0156.8-0424 |        ACT-CL J0156.8-0424 |  29.22217 |  -4.40574 | 0.138 | 160.30 |  2.55 |    False |   False |                            |                         |       | ACT-CL J0156.8-0424 |                    |                 |          |                   |  3.68 | 4.09 | 1.44 |  9.59 |
| ACT-CL J2218.6-3853 |                 ABELL 3856 | 334.66037 | -38.89522 | 0.138 |   2.75 |  5.47 |    False |    True |                            |              ABELL 3856 | 87617 | ACT-CL J2218.6-3853 | PSZ2 G002.77-56.16 |                 |          |                   |  7.88 | 4.05 | 1.86 | 12.32 |
| ACT-CL J0214.7-0432 |                 ABELL 0329 |  33.67881 |  -4.54859 | 0.139 | 167.93 |  1.53 |    False |   False |                            |              ABELL 0329 | 60076 | ACT-CL J0214.7-0432 | PSZ2 G167.98-59.95 |                 |          |                   |  2.19 | 4.22 | 1.21 |  8.00 |
| ACT-CL J2055.9-5456 |                 ABELL 3718 | 313.99601 | -54.93669 | 0.139 | 342.60 |  4.84 |    False |    True |                            |              ABELL 3718 | 96545 | ACT-CL J2055.9-5456 | PSZ2 G342.62-39.60 |                 |          |                   |  6.97 | 4.04 | 1.79 | 11.75 |
| ACT-CL J0211.1-0453 |        ACT-CL J0211.1-0453 |  32.80000 |  -4.89570 | 0.139 | 166.99 |  2.20 |    False |   False |                            |                         |       | ACT-CL J0211.1-0453 |                    |                 |          |                   |  3.15 | 4.12 | 1.37 |  9.01 |
| ACT-CL J2318.4-3618 |                ABELL S1109 | 349.60233 | -36.31108 | 0.140 |   2.16 |  3.59 |    False |    True |                            |             ABELL S1109 | 84026 | ACT-CL J2318.4-3618 | PSZ2 G002.08-68.28 |                 |          |                   |  5.17 | 4.04 | 1.62 | 10.57 |
| ACT-CL J2103.4-4321 |                 ABELL 3736 | 315.85354 | -43.36544 | 0.140 | 357.70 |  3.12 |    False |    True |                            |              ABELL 3736 | 90851 | ACT-CL J2103.4-4321 | PSZ2 G357.75-41.77 |                 |          |                   |  4.49 | 4.06 | 1.54 | 10.06 |
| ACT-CL J2216.9-1725 |        ACT-CL J2216.9-1725 | 334.23333 | -17.42085 | 0.140 |  39.96 |  3.02 |    False |    True |                            |                         |       | ACT-CL J2216.9-1725 | PSZ2 G039.98-53.12 |                 |          |                   |  4.35 | 4.06 | 1.53 |  9.95 |
