|               name |        ra |       dec |    z |  mass |                    CHANCES |       S-PLUS |
| PSZ2 G278.58+39.16 | 172.98557 | -19.91442 | 0.31 |  8.97 |                  Abell1300 | SPLUS-n16s16 |
| PSZ2 G280.17+47.83 | 177.44691 | -12.29657 | 0.16 |  6.06 |                            | SPLUS-n10s20 |
| PSZ2 G286.98+32.90 | 177.70615 | -28.08548 | 0.39 | 14.69 |         PSZ2 G286.98+32.90 |           NO |
| PSZ2 G226.18+76.79 | 178.83229 |  23.40959 | 0.14 |  5.95 |                            |           NO |
| PSZ2 G273.59+63.27 | 180.10910 |   3.34847 | 0.13 |  5.54 |                            | SPLUS-n03n23 |
| PSZ2 G292.56+21.97 | 180.29998 | -39.88369 | 0.30 |  7.93 |                            |           NO |
| PSZ2 G229.74+77.96 | 180.32621 |  23.09581 | 0.27 |  7.49 |                            |           NO |
| PSZ2 G288.27+39.97 | 180.82543 | -21.52479 | 0.20 |  7.16 |                  Abell1451 | SPLUS-n17s22 |
| PSZ2 G284.41+52.45 | 181.56221 |  -8.78873 | 0.44 | 11.18 |          MACS J1206.2-0847 | SPLUS-n08s23 |
| PSZ2 G306.77+58.61 | 194.86732 |  -4.20094 | 0.08 |  5.07 |                  Abell1651 | SPLUS-n04s33 |
| PSZ2 G057.80+88.00 | 194.91180 |  27.95368 | 0.02 |  7.17 |                            |           NO |
| PSZ2 G313.33+61.13 | 197.86033 |  -1.33635 | 0.18 |  8.77 |                  Abell1689 | SPLUS-n02s36 |
| PSZ2 G311.98+30.71 | 201.99320 | -31.51251 | 0.05 |  4.79 |                            |           NO |
| PSZ2 G107.10+65.32 | 203.17767 |  50.51829 | 0.28 |  8.22 |                            |           NO |
| PSZ2 G092.71+73.46 | 203.80139 |  41.00040 | 0.23 |  8.13 |                            |           NO |
| PSZ2 G316.31+28.53 | 206.87248 | -32.87471 | 0.04 |  4.63 |                            |           NO |
| PSZ2 G033.81+77.18 | 207.22205 |  26.59460 | 0.06 |  4.47 |                            |           NO |
| PSZ2 G307.56-10.74 | 208.66071 | -73.04398 | 0.25 |  7.75 |                            |           NO |
| PSZ2 G314.46+13.54 | 209.67765 | -47.81163 | 0.07 |  5.29 |                            |           NO |
| PSZ2 G340.36+60.58 | 210.25292 |   2.87076 | 0.25 |  9.75 |                  Abell1835 | SPLUS-n03n45 |
| PSZ2 G314.96+10.06 | 211.90069 | -51.02096 | 0.10 |  6.83 |                            |           NO |
| PSZ2 G067.17+67.46 | 216.50321 |  37.81597 | 0.17 |  7.24 |                            |           NO |
| PSZ2 G340.94+35.07 | 224.89388 | -18.17281 | 0.24 |  7.80 |                 AbellS0780 | SPLUS-n15s53 |
