|                name |         ra |       dec |     z |  gal_l |  mass | complete | lowmass |        S-PLUS |            CHANCES |                   Abell |               PSZ2 |
| ACT-CL J0020.0+0351 |    5.01249 |   3.86246 | 0.278 | 108.00 |  2.10 |    False |   False |               |                    |                         |                    |
| ACT-CL J0020.6-2543 |    5.17490 | -25.71730 | 0.141 |  42.79 |  8.26 |     True |   False |  SPLUS-s20s04 |                    |              ABELL 0022 | PSZ2 G042.81-82.97 |
| ACT-CL J0021.0-2837 |    5.25511 | -28.62162 | 0.364 |  18.64 |  4.13 |    False |   False |  SPLUS-s22s04 |                    |                         | PSZ2 G018.64-83.11 |
| ACT-CL J0022.1-4143 |    5.53960 | -41.73208 | 0.298 | 323.39 |  2.68 |    False |   False |  SPLUS-s32s04 |                    |                         |                    |
| ACT-CL J0024.0-0444 |    6.02486 |  -4.74157 | 0.387 | 105.50 |  3.20 |    False |   False |               |                    |                         |                    |
| ACT-CL J0024.6+0001 |    6.15515 |   0.03108 | 0.374 | 108.49 |  2.86 |    False |   False | STRIPE82_0010 |                    |                         |                    |
| ACT-CL J0025.4-5034 |    6.36644 | -50.57487 | 0.365 | 313.12 |  3.80 |    False |   False |  SPLUS-s39s04 |                    |                         |                    |
| ACT-CL J0025.6-3147 |    6.42092 | -31.79167 | 0.434 | 351.63 |  2.69 |    False |   False |  SPLUS-s25s05 |                    |                         |                    |
| ACT-CL J0026.6+0442 |    6.66193 |   4.70597 | 0.262 | 111.35 |  3.32 |    False |   False |               |                    |                         |                    |
| ACT-CL J0026.7-1856 |    6.70000 | -18.94582 | 0.285 |  86.96 |  3.36 |    False |   False |  SPLUS-s15s06 |                    |                         |                    |
| ACT-CL J0026.9-4845 |    6.73077 | -48.75136 | 0.090 | 313.70 |  2.67 |    False |    True |  SPLUS-s38s04 |                    |                         |                    |
| ACT-CL J0026.9-0901 |    6.74269 |  -9.02737 | 0.338 | 104.08 |  4.68 |    False |   False |               |                    |              ABELL 0032 |                    |
| ACT-CL J0027.3-5014 |    6.83348 | -50.24587 | 0.145 | 312.60 |  3.00 |    False |   False |  SPLUS-s39s04 |                    |              ABELL 2777 | PSZ2 G312.63-66.40 |
| ACT-CL J0027.4-4650 |    6.85797 | -46.83416 | 0.343 | 314.85 |  3.30 |    False |   False |  SPLUS-s36s05 |                    |             ABELL S0050 |                    |
