|                name |         ra |       dec |     z |  gal_l |  mass | complete | lowmass |        S-PLUS |            CHANCES |                   Abell |               PSZ2 |
| ACT-CL J0210.9-0611 |   32.73739 |  -6.19352 | 0.429 | 168.60 |  2.86 |    False |   False |               |                    |                         |                    |
| ACT-CL J0211.1-2032 |   32.79543 | -20.53603 | 0.403 | 197.32 |  3.70 |    False |   False |               |                    |                         |                    |
| ACT-CL J0211.1-0453 |   32.80000 |  -4.89570 | 0.139 | 166.99 |  2.20 |    False |   False |               |                    |                         |                    |
| ACT-CL J0211.3-4014 |   32.83747 | -40.23754 | 0.114 | 256.46 |  2.90 |    False |    True |  SPLUS-s31s20 |                    |              ABELL 2984 |                    |
| ACT-CL J0211.8-1701 |   32.96393 | -17.03064 | 0.171 | 188.58 |  3.49 |    False |   False |               |                    |              ABELL 2985 | PSZ2 G188.57-68.86 |
| ACT-CL J0212.5-0037 |   33.14443 |  -0.62599 | 0.419 | 162.61 |  2.48 |    False |   False | STRIPE82_0047 |                    |                         |                    |
| ACT-CL J0212.8-1123 |   33.21663 | -11.39851 | 0.334 | 177.44 |  4.44 |    False |   False |               |                    |                         |                    |
| ACT-CL J0213.1-2758 |   33.29368 | -27.96985 | 0.323 | 220.33 |  3.34 |    False |   False |               |                    |             ABELL S0231 |                    |
| ACT-CL J0213.8-4839 |   33.45411 | -48.65833 | 0.222 | 271.90 |  2.29 |    False |   False |  SPLUS-s38s17 |                    |             ABELL S0234 |                    |
| ACT-CL J0213.9-4531 |   33.47694 | -45.52369 | 0.438 | 266.65 |  3.24 |    False |   False |  SPLUS-s35s19 |                    |                         |                    |
| ACT-CL J0214.0-3349 |   33.52297 | -33.82841 | 0.238 | 238.63 |  4.18 |    False |   False |  SPLUS-s26s22 |                    |             ABELL S0235 |                    |
| ACT-CL J0214.1-4437 |   33.53168 | -44.63007 | 0.299 | 264.94 |  2.39 |    False |   False |  SPLUS-s34s19 |                    |                         |                    |
| ACT-CL J0214.4-0628 |   33.61395 |  -6.46754 | 0.237 | 170.36 |  2.48 |    False |   False |               |                    |                         |                    |
| ACT-CL J0214.7-0432 |   33.67881 |  -4.54859 | 0.139 | 167.93 |  1.53 |    False |   False |               |                    |              ABELL 0329 | PSZ2 G167.98-59.95 |
| ACT-CL J0214.8-3632 |   33.70331 | -36.53421 | 0.248 | 246.18 |  2.87 |    False |   False |  SPLUS-s28s21 |                    |              ABELL 2993 |                    |
| ACT-CL J0214.8-4639 |   33.70402 | -46.65748 | 0.313 | 268.39 |  3.47 |    False |   False |  SPLUS-s36s18 |                    |                         |                    |
| ACT-CL J0215.3-2217 |   33.84672 | -22.29334 | 0.291 | 203.29 |  3.25 |    False |   False |               |                    |                         |                    |
| ACT-CL J0215.4-0440 |   33.86667 |  -4.67087 | 0.351 | 168.38 |  2.21 |    False |   False |               |                    |                         |                    |
| ACT-CL J0215.8-0041 |   33.95836 |  -0.69997 | 0.428 | 163.90 |  2.33 |    False |   False | STRIPE82_0049 |                    |                         |                    |
| ACT-CL J0216.2-4816 |   34.06809 | -48.27702 | 0.171 | 270.67 |  3.63 |    False |   False |  SPLUS-s37s18 |                    |              ABELL 2998 |                    |
| ACT-CL J0216.3-4830 |   34.07600 | -48.51349 | 0.434 | 271.03 |  4.40 |    False |   False |  SPLUS-s37s18 |                    |                         |                    |
| ACT-CL J0217.1-5244 |   34.29938 | -52.74482 | 0.343 | 276.82 |  3.39 |    False |   False |  SPLUS-s41s16 |                    |                         | PSZ2 G276.75-59.82 |
| ACT-CL J0217.5-3200 |   34.37913 | -32.00833 | 0.354 | 232.74 |  2.45 |    False |   False |  SPLUS-s25s23 |                    |                         |                    |
| ACT-CL J0217.8-2511 |   34.45997 | -25.18658 | 0.398 | 212.09 |  3.60 |    False |   False |               |                    |                         |                    |
| ACT-CL J0218.3-3142 |   34.58501 | -31.70339 | 0.270 | 231.75 |  6.08 |    False |    True |  SPLUS-s25s23 |                    |                         | PSZ2 G231.74-70.59 |
| ACT-CL J0219.0-2152 |   34.77500 | -21.87914 | 0.256 | 202.96 |  2.17 |    False |   False |               |                    |              ABELL 0343 |                    |
| ACT-CL J0219.9+0130 |   34.97790 |   1.50311 | 0.365 | 163.12 |  4.15 |    False |   False | STRIPE82_0052 |                    |                         |                    |
| ACT-CL J0219.9+0246 |   34.97903 |   2.78332 | 0.255 | 161.89 |  2.24 |    False |   False |               |                    |              ABELL 0342 |                    |
| ACT-CL J0220.6-3300 |   35.16465 | -33.00004 | 0.388 | 235.29 |  3.13 |    False |   False |  SPLUS-s26s23 |                    |                         |                    |
| ACT-CL J0220.9-3828 |   35.23565 | -38.48037 | 0.228 | 249.83 |  4.76 |    False |   False |  SPLUS-s30s21 |                    |                         | PSZ2 G249.80-68.11 |
| ACT-CL J0221.7-0346 |   35.43966 |  -3.77285 | 0.433 | 169.59 |  4.38 |    False |   False |               |                    |                         |                    |
| ACT-CL J0222.3-3655 |   35.58164 | -36.93005 | 0.299 | 245.67 |  2.57 |    False |   False |  SPLUS-s29s22 |                    |             ABELL S0249 |                    |
| ACT-CL J0223.4-2752 |   35.86769 | -27.87991 | 0.436 | 220.38 |  3.25 |    False |   False |               |                    |                         |                    |
| ACT-CL J0223.9-0835 |   35.99465 |  -8.59957 | 0.275 | 177.00 |  3.89 |    False |   False |               |                    |              ABELL 0348 |                    |
| ACT-CL J0224.2-3948 |   36.05333 | -39.81503 | 0.237 | 252.27 |  2.55 |    False |   False |  SPLUS-s31s22 |                    |                         |                    |
| ACT-CL J0224.2-4253 |   36.05761 | -42.89702 | 0.404 | 258.93 |  2.32 |    False |   False |  SPLUS-s33s21 |                    |                         |                    |
| ACT-CL J0224.3-4522 |   36.09875 | -45.37374 | 0.430 | 263.67 |  2.94 |    False |   False |  SPLUS-s35s20 |                    |                         |                    |
| ACT-CL J0224.5-0730 |   36.13962 |  -7.50016 | 0.277 | 175.58 |  2.39 |    False |   False |               |                    |                         |                    |
| ACT-CL J0224.8-3811 |   36.20597 | -38.19650 | 0.280 | 248.33 |  2.42 |    False |   False |  SPLUS-s30s22 |                    |                         |                    |
| ACT-CL J0225.7-3551 |   36.44434 | -35.85060 | 0.291 | 242.30 |  3.51 |    False |   False |  SPLUS-s28s23 |                    |             ABELL S0260 |                    |
| ACT-CL J0225.8-4154 |   36.46784 | -41.90901 | 0.220 | 256.50 |  3.33 |    False |   False |  SPLUS-s32s21 |                    |              ABELL 3017 | PSZ2 G256.53-65.70 |
| ACT-CL J0227.1-2851 |   36.78305 | -28.86009 | 0.214 | 223.23 |  3.15 |    False |   False |               |                    |                         | PSZ2 G223.16-68.81 |
| ACT-CL J0227.2-2059 |   36.80280 | -20.98892 | 0.234 | 202.42 |  2.85 |    False |   False |               |                    |                         |                    |
| ACT-CL J0227.3-2411 |   36.82892 | -24.19904 | 0.393 | 210.58 |  3.76 |    False |   False |               |                    |                         |                    |
| ACT-CL J0228.2-1156 |   37.06662 | -11.94370 | 0.206 | 183.90 |  3.71 |    False |   False |               |                    |              ABELL 0355 |                    |
| ACT-CL J0228.3-2426 |   37.08059 | -24.43890 | 0.304 | 211.34 |  2.96 |    False |   False |               |                    |              ABELL 3022 |                    |
| ACT-CL J0229.6-0336 |   37.41049 |  -3.61119 | 0.323 | 172.14 |  3.11 |    False |   False |               |                    |                         |                    |
| ACT-CL J0230.8-2702 |   37.71217 | -27.03730 | 0.410 | 218.43 |  4.13 |    False |   False |               |                    |                         |                    |
| ACT-CL J0230.9+0248 |   37.73213 |   2.80379 | 0.248 | 165.54 |  2.71 |    False |   False |               |                    |              ABELL 0359 |                    |
| ACT-CL J0231.7-0453 |   37.93595 |  -4.88600 | 0.185 | 174.45 |  4.07 |    False |   False |               |                    |              ABELL 0362 | PSZ2 G174.40-57.33 |
| ACT-CL J0232.2-4421 |   38.06971 | -44.35128 | 0.284 | 259.98 | 12.30 |     True |   False |  SPLUS-s34s21 | PSZ2 G259.98-63.43 |                         | PSZ2 G259.98-63.43 |
| ACT-CL J0233.2+0448 |   38.31246 |   4.80833 | 0.287 | 164.38 |  2.86 |    False |   False |               |                    |                         |                    |
| ACT-CL J0233.2-1552 |   38.32296 | -15.87480 | 0.291 | 192.68 |  3.63 |    False |   False |               |                    |                         |                    |
| ACT-CL J0233.3-5334 |   38.32634 | -53.58198 | 0.381 | 274.51 |  3.06 |    False |   False |  SPLUS-s41s18 |                    |                         |                    |
| ACT-CL J0233.6-0530 |   38.40524 |  -5.50812 | 0.434 | 175.88 |  4.01 |    False |   False |               |                    |                         |                    |
| ACT-CL J0234.1-1754 |   38.52970 | -17.90623 | 0.433 | 197.03 |  4.18 |    False |   False |               |                    |                         |                    |
| ACT-CL J0234.3-3342 |   38.57853 | -33.70501 | 0.217 | 235.78 |  2.53 |    False |   False |  SPLUS-s26s25 |                    |             ABELL S0278 |                    |
| ACT-CL J0234.3-2122 |   38.59581 | -21.37511 | 0.318 | 204.75 |  2.93 |    False |   False |               |                    |                         |                    |
| ACT-CL J0234.6-0259 |   38.66038 |  -2.99690 | 0.413 | 173.03 |  2.29 |    False |   False |               |                    |                         |                    |
| ACT-CL J0234.7-5831 |   38.67833 | -58.52132 | 0.415 | 280.27 |  6.96 |    False |    True |  SPLUS-s45s16 |                    |                         | PSZ2 G280.23-53.84 |
| ACT-CL J0235.7-5120 |   38.94935 | -51.34696 | 0.278 | 270.91 |  5.83 |    False |    True |  SPLUS-s40s19 |                    |                         | PSZ2 G270.93-58.78 |
| ACT-CL J0235.9-0951 |   38.98333 |  -9.86255 | 0.350 | 182.89 |  3.18 |    False |   False |               |                    |                         |                    |
| ACT-CL J0236.6-4450 |   39.15417 | -44.84999 | 0.210 | 260.02 |  2.29 |    False |   False |  SPLUS-s34s22 |                    |             ABELL S0286 |                    |
| ACT-CL J0236.8-0944 |   39.21281 |  -9.74167 | 0.343 | 182.98 |  3.18 |    False |   False |               |                    |                         |                    |
| ACT-CL J0236.9-4937 |   39.24531 | -49.62944 | 0.334 | 268.09 |  3.56 |    False |   False |  SPLUS-s38s20 |                    |                         |                    |
| ACT-CL J0237.4-2630 |   39.36562 | -26.50899 | 0.224 | 217.52 |  7.77 |    False |    True |               |                    |              ABELL 0368 |                    |
| ACT-CL J0237.6-0423 |   39.40657 |  -4.39169 | 0.447 | 175.71 |  2.42 |    False |   False |               |                    |                         |                    |
| ACT-CL J0237.7-4151 |   39.43193 | -41.86430 | 0.408 | 253.99 |  3.44 |    False |   False |  SPLUS-s32s23 |                    |             ABELL S0289 |                    |
| ACT-CL J0238.0-5224 |   39.50564 | -52.40735 | 0.135 | 272.00 |  2.60 |    False |   False |  SPLUS-s40s19 |                    |              ABELL 3038 |                    |
| ACT-CL J0238.3-2616 |   39.58642 | -26.27281 | 0.448 | 217.01 |  3.46 |    False |   False |               |                    |                         |                    |
| ACT-CL J0238.8-1257 |   39.71393 | -12.96392 | 0.168 | 188.85 |  3.31 |    False |   False |               |                    |                         |                    |
| ACT-CL J0239.3-0332 |   39.84166 |  -3.53602 | 0.249 | 175.18 |  3.05 |    False |   False |               |                    |              ABELL 0369 |                    |
| ACT-CL J0239.8-0134 |   39.97138 |  -1.57902 | 0.375 | 173.01 |  9.24 |    False |    True | STRIPE82_0057 |          Abell0370 |              ABELL 0370 | PSZ2 G172.98-53.55 |
| ACT-CL J0239.9-2126 |   39.98571 | -21.44156 | 0.318 | 205.89 |  3.45 |    False |   False |               |                    |                         |                    |
| ACT-CL J0240.6-5946 |   40.15830 | -59.76678 | 0.400 | 280.70 |  6.38 |    False |    True |  SPLUS-s46s16 |                    |                         | PSZ2 G280.76-52.30 |
| ACT-CL J0241.3-2838 |   40.34629 | -28.64781 | 0.238 | 222.97 |  4.68 |    False |   False |               |                    |              ABELL 3041 | PSZ2 G222.99-65.70 |
| ACT-CL J0241.8-2805 |   40.45561 | -28.09525 | 0.338 | 221.65 |  4.48 |    False |   False |               |                    |                         |                    |
| ACT-CL J0243.9-5936 |   40.99170 | -59.60206 | 0.227 | 280.01 |  2.65 |    False |   False |  SPLUS-s46s17 |                    |                         |                    |
| ACT-CL J0244.3-1157 |   41.07779 | -11.95736 | 0.409 | 188.65 |  3.63 |    False |   False |               |                    |                         |                    |
| ACT-CL J0244.3-0736 |   41.09991 |  -7.60816 | 0.351 | 182.06 |  3.69 |    False |   False |               |                    |                         |                    |
| ACT-CL J0244.4-3241 |   41.11247 | -32.69165 | 0.445 | 232.64 |  3.28 |    False |   False |  SPLUS-s25s27 |                    |                         |                    |
| ACT-CL J0244.4-1550 |   41.11664 | -15.84174 | 0.394 | 195.45 |  3.84 |    False |   False |               |                    |                         |                    |
| ACT-CL J0245.4-5228 |   41.35012 | -52.47813 | 0.440 | 270.76 |  2.70 |    False |   False |  SPLUS-s40s20 |                    |                         |                    |
| ACT-CL J0245.5-5302 |   41.37533 | -53.03585 | 0.298 | 271.53 | 10.65 |     True |   False |  SPLUS-s41s20 | PSZ2 G271.53-56.57 |             ABELL S0295 | PSZ2 G271.53-56.57 |
| ACT-CL J0245.8-0042 |   41.46207 |  -0.70781 | 0.179 | 173.81 |  2.80 |    False |   False | STRIPE82_0059 |                    |              ABELL 0381 | PSZ2 G173.90-51.89 |
| ACT-CL J0245.9-2029 |   41.48734 | -20.48970 | 0.310 | 204.89 |  4.00 |    False |   False |               | PSZ2 G205.05-62.95 |              ABELL 3048 | PSZ2 G205.05-62.95 |
| ACT-CL J0246.4-2033 |   41.60235 | -20.55710 | 0.318 | 205.11 |  5.70 |    False |    True |               | PSZ2 G205.05-62.95 |              ABELL 3048 | PSZ2 G205.05-62.95 |
| ACT-CL J0246.4+0429 |   41.62229 |   4.49448 | 0.420 | 168.63 |  3.12 |    False |   False |               |                    |                         |                    |
| ACT-CL J0246.8-1725 |   41.70418 | -17.42916 | 0.431 | 198.96 |  3.88 |    False |   False |               |                    |                         |                    |
| ACT-CL J0247.3-0156 |   41.84762 |  -1.93760 | 0.239 | 175.66 |  2.59 |    False |   False |               |                    |                         |                    |
| ACT-CL J0247.9-3648 |   41.98371 | -36.80695 | 0.362 | 241.74 |  3.47 |    False |   False |  SPLUS-s28s26 |                    |                         |                    |
| ACT-CL J0248.0-0331 |   42.01589 |  -3.53220 | 0.191 | 177.76 |  4.95 |    False |    True |               |                    |              ABELL 0383 |                    |
| ACT-CL J0248.2-0216 |   42.05680 |  -2.26836 | 0.238 | 176.29 |  9.85 |    False |    True |               |                    |              ABELL 0384 | PSZ2 G176.25-52.57 |
| ACT-CL J0248.3-0337 |   42.08896 |  -3.62214 | 0.180 | 177.96 |  2.12 |    False |   False |               |                    |              ABELL 0383 |                    |
| ACT-CL J0251.3-2055 |   42.83094 | -20.93236 | 0.325 | 206.70 |  3.80 |    False |   False |               |                    |                         |                    |
| ACT-CL J0251.3-2456 |   42.84581 | -24.94577 | 0.120 | 215.11 |  3.92 |    False |    True |               |                    |              ABELL 0389 |                    |
| ACT-CL J0251.8-1325 |   42.97496 | -13.43332 | 0.295 | 193.01 |  3.89 |    False |   False |               |                    |                         |                    |
| ACT-CL J0252.5-4648 |   43.14582 | -46.80833 | 0.383 | 260.63 |  2.20 |    False |   False |  SPLUS-s36s23 |                    |                         |                    |
| ACT-CL J0252.7-4824 |   43.19108 | -48.41204 | 0.421 | 263.28 |  4.79 |    False |   False |  SPLUS-s37s23 |                    |                         |                    |
| ACT-CL J0252.9-5101 |   43.24278 | -51.03168 | 0.444 | 267.35 |  3.87 |    False |   False |  SPLUS-s39s22 |                    |                         |                    |
| ACT-CL J0253.1-3328 |   43.28292 | -33.47078 | 0.245 | 234.01 |  2.93 |    False |   False |  SPLUS-s26s28 |                    |              ABELL 3064 |                    |
| ACT-CL J0253.2-3818 |   43.30701 | -38.30381 | 0.443 | 244.38 |  4.65 |    False |   False |  SPLUS-s30s26 |                    |                         |                    |
| ACT-CL J0254.3-5857 |   43.58138 | -58.95064 | 0.438 | 277.75 |  8.00 |    False |    True |  SPLUS-s45s18 | PSZ2 G277.76-51.74 |                         | PSZ2 G277.76-51.74 |
| ACT-CL J0255.9-4655 |   43.98348 | -46.92919 | 0.393 | 260.31 |  2.65 |    False |   False |  SPLUS-s36s23 |                    |                         |                    |
| ACT-CL J0255.9-4635 |   43.98889 | -46.59444 | 0.313 | 259.74 |  2.15 |    False |   False |  SPLUS-s36s23 |                    |                         |                    |
| ACT-CL J0256.5+0006 |   44.13294 |   0.10488 | 0.363 | 175.92 |  5.63 |    False |    True | STRIPE82_0064 |                    |                         |                    |
| ACT-CL J0256.9-4736 |   44.24091 | -47.60954 | 0.212 | 261.29 |  2.40 |    False |   False |  SPLUS-s37s23 |                    |              ABELL 3072 |                    |
| ACT-CL J0257.5-5842 |   44.38506 | -58.70816 | 0.433 | 277.01 |  4.16 |    False |   False |  SPLUS-s45s19 |                    |                         |                    |
| ACT-CL J0257.7-2209 |   44.42674 | -22.15370 | 0.322 | 210.07 |  8.10 |    False |    True |               |                    |              ABELL 0402 | PSZ2 G210.08-60.96 |
| ACT-CL J0258.1-3453 |   44.52784 | -34.89911 | 0.353 | 236.84 |  3.22 |    False |   False |  SPLUS-s27s28 |                    |                         |                    |
| ACT-CL J0258.5-3859 |   44.64587 | -38.99167 | 0.450 | 245.22 |  2.50 |    False |   False |  SPLUS-s30s27 |                    |                         |                    |
| ACT-CL J0258.9-1938 |   44.74062 | -19.64620 | 0.265 | 205.44 |  3.96 |    False |   False |               |                    |              ABELL 0406 |                    |
| ACT-CL J0259.0-0659 |   44.76996 |  -6.99067 | 0.421 | 185.20 |  8.07 |    False |    True |               |                    |                         | PSZ2 G185.16-53.63 |
| ACT-CL J0259.1-5128 |   44.77782 | -51.47230 | 0.374 | 267.04 |  2.87 |    False |   False |  SPLUS-s40s22 |                    |              ABELL 3077 |                    |
| ACT-CL J0259.5-2807 |   44.89584 | -28.12087 | 0.256 | 222.47 |  3.13 |    False |   False |               |                    |                         |                    |
| ACT-CL J0259.6-4555 |   44.90014 | -45.92940 | 0.434 | 258.06 |  2.89 |    False |   False |  SPLUS-s36s24 |                    |                         |                    |
| ACT-CL J0259.9-1023 |   44.98616 | -10.39441 | 0.399 | 190.19 |  3.78 |    False |   False |               |                    |                         |                    |
| ACT-CL J0301.4-0514 |   45.37500 |  -5.23747 | 0.347 | 183.53 |  2.83 |    False |   False |               |                    |                         |                    |
| ACT-CL J0301.6+0155 |   45.40678 |   1.92102 | 0.170 | 175.34 |  5.36 |    False |    True |               |                    |                         |                    |
| ACT-CL J0302.1-2805 |   45.53376 | -28.09272 | 0.294 | 222.52 |  4.24 |    False |   False |               |                    |                         |                    |
| ACT-CL J0302.5-0908 |   45.64043 |  -9.13459 | 0.422 | 189.00 |  3.75 |    False |   False |               |                    |                         |                    |
| ACT-CL J0302.8-3209 |   45.70421 | -32.15173 | 0.327 | 230.94 |  2.79 |    False |   False |  SPLUS-s25s30 |                    |             ABELL S0319 |                    |
| ACT-CL J0303.3-2736 |   45.82507 | -27.60824 | 0.269 | 221.59 |  3.96 |    False |   False |               |                    |              ABELL 3082 |                    |
| ACT-CL J0303.3+0155 |   45.83451 |   1.92257 | 0.153 | 175.78 |  3.87 |    False |    True |               |                    |              ABELL 0409 |                    |
| ACT-CL J0304.0-3656 |   46.01935 | -36.94451 | 0.219 | 240.67 |  5.18 |    False |    True |  SPLUS-s29s28 |                    |              ABELL 3084 | PSZ2 G240.61-60.40 |
| ACT-CL J0304.2-4921 |   46.06105 | -49.35760 | 0.392 | 263.05 |  6.91 |    False |    True |  SPLUS-s38s24 |                    |                         | PSZ2 G263.03-56.19 |
| ACT-CL J0305.8-2946 |   46.45417 | -29.78333 | 0.255 | 226.11 |  2.60 |    False |   False |               |                    |              ABELL 3087 |                    |
| ACT-CL J0306.0-1739 |   46.52106 | -17.65833 | 0.198 | 203.09 |  3.25 |    False |   False |               |                    |                         |                    |
| ACT-CL J0306.8-2643 |   46.72223 | -26.71941 | 0.324 | 220.03 |  3.30 |    False |   False |               |                    |                         |                    |
| ACT-CL J0307.0-2840 |   46.75820 | -28.66700 | 0.253 | 223.90 |  8.60 |    False |    True |               | PSZ2 G223.93-60.10 |              ABELL 3088 | PSZ2 G223.93-60.10 |
| ACT-CL J0307.0-0628 |   46.76665 |  -6.47912 | 0.347 | 186.49 |  4.13 |    False |   False |               |                    |                         |                    |
| ACT-CL J0307.3-1640 |   46.84336 | -16.66684 | 0.297 | 201.64 |  4.80 |    False |   False |               |                    |              ABELL 0416 |                    |
| ACT-CL J0308.5-0021 |   47.13156 |  -0.35343 | 0.372 | 179.53 |  3.81 |    False |   False | STRIPE82_0067 |                    |                         |                    |
| ACT-CL J0309.3-0000 |   47.34551 |  -0.01138 | 0.398 | 179.37 |  3.89 |    False |   False | STRIPE82_0067 |                    |                         |                    |
| ACT-CL J0312.4-1552 |   48.11191 | -15.86911 | 0.285 | 201.25 |  4.16 |    False |   False |               |                    |                         |                    |
| ACT-CL J0313.5-4436 |   48.39333 | -44.60509 | 0.423 | 254.02 |  2.63 |    False |   False |  SPLUS-s34s27 |                    |              ABELL 3102 |                    |
| ACT-CL J0314.1-2908 |   48.54576 | -29.14577 | 0.363 | 225.11 |  3.82 |    False |   False |               |                    |                         |                    |
| ACT-CL J0314.4-4524 |   48.60288 | -45.41662 | 0.072 | 255.31 |  2.78 |    False |    True |  SPLUS-s35s27 |                    |              ABELL 3104 | PSZ2 G255.32-56.27 |
| ACT-CL J0314.6-2454 |   48.67171 | -24.90515 | 0.412 | 217.18 |  3.86 |    False |   False |               |                    |                         |                    |
| ACT-CL J0316.3-1137 |   49.08446 | -11.62835 | 0.400 | 195.58 |  4.54 |    False |   False |               |                    |              ABELL 0425 |                    |
| ACT-CL J0316.4-2047 |   49.10750 | -20.78747 | 0.236 | 210.04 |  3.56 |    False |   False |               |                    |                         | PSZ2 G210.02-56.38 |
| ACT-CL J0317.8-4849 |   49.46149 | -48.82859 | 0.164 | 260.47 |  2.08 |    False |   False |  SPLUS-s38s25 |                    |              ABELL 3113 | PSZ2 G260.52-54.50 |
| ACT-CL J0317.9-4420 |   49.48431 | -44.34049 | 0.111 | 253.11 |  2.71 |    False |   False |  SPLUS-s34s28 |                    |              ABELL 3112 | PSZ2 G252.99-56.09 |
| ACT-CL J0318.5-0303 |   49.63340 |  -3.05009 | 0.370 | 184.97 |  4.41 |    False |   False |               |                    |                         |                    |
| ACT-CL J0319.3+0205 |   49.82872 |   2.08982 | 0.408 | 179.52 |  5.95 |    False |    True |               |                    |                         | PSZ2 G179.45-43.92 |
| ACT-CL J0319.7-3344 |   49.93438 | -33.74279 | 0.411 | 233.87 |  3.28 |    False |   False |  SPLUS-s26s32 |                    |                         |                    |
| ACT-CL J0319.8-2853 |   49.96506 | -28.89491 | 0.355 | 224.87 |  5.35 |    False |    True |               |                    |                         |                    |
| ACT-CL J0320.5+0032 |   50.13598 |   0.53348 | 0.385 | 181.43 |  4.05 |    False |   False | STRIPE82_0072 |                    |                         | PSZ2 G181.44-44.76 |
| ACT-CL J0321.1+0025 |   50.29584 |   0.43333 | 0.302 | 181.69 |  2.57 |    False |   False | STRIPE82_0072 |                    |                         |                    |
| ACT-CL J0323.1-2916 |   50.78056 | -29.27078 | 0.295 | 225.69 |  4.45 |    False |   False |               |                    |             ABELL S0347 |                    |
| ACT-CL J0326.8-0043 |   51.71250 |  -0.73132 | 0.447 | 184.21 |  6.41 |    False |    True | STRIPE82_0073 |                    |                         |                    |
| ACT-CL J0326.9-5004 |   51.72994 | -50.06831 | 0.272 | 261.39 |  2.45 |    False |   False |  SPLUS-s39s26 |                    |                         |                    |
| ACT-CL J0328.0-2055 |   52.00415 | -20.92332 | 0.376 | 211.72 |  2.71 |    False |   False |               |                    |                         |                    |
| ACT-CL J0328.4-1147 |   52.10559 | -11.78888 | 0.082 | 198.11 |  3.62 |    False |    True |               |                    |                         |                    |
| ACT-CL J0328.6-5541 |   52.17045 | -55.69047 | 0.086 | 269.27 |  4.89 |     True |   False |  SPLUS-s43s23 |                    |              ABELL 3126 | PSZ2 G269.31-49.87 |
| ACT-CL J0329.1-3630 |   52.28156 | -36.50532 | 0.360 | 238.69 |  2.58 |    False |   False |  SPLUS-s28s32 |                    |                         |                    |
| ACT-CL J0330.2-3650 |   52.55418 | -36.84436 | 0.368 | 239.26 |  2.71 |    False |   False |  SPLUS-s29s32 |                    |                         |                    |
| ACT-CL J0330.9-5228 |   52.72849 | -52.46980 | 0.442 | 264.53 |  5.81 |    False |    True |  SPLUS-s40s25 |                    |                         | PSZ2 G264.60-51.07 |
| ACT-CL J0331.1-2100 |   52.78039 | -21.00727 | 0.188 | 212.22 |  5.03 |    False |    True |               |                    |                         | PSZ2 G212.25-53.20 |
| ACT-CL J0331.9-2003 |   52.98333 | -20.06252 | 0.363 | 210.83 |  3.30 |    False |   False |               |                    |                         |                    |
| ACT-CL J0333.2-5842 |   53.32050 | -58.70502 | 0.390 | 272.78 |  3.25 |    False |   False |  SPLUS-s45s22 |                    |                         |                    |
| ACT-CL J0334.0-3129 |   53.52377 | -31.49045 | 0.359 | 229.94 |  3.24 |    False |   False |  SPLUS-s24s35 |                    |                         |                    |
| ACT-CL J0336.0+0434 |   54.02113 |   4.58017 | 0.410 | 180.73 |  3.70 |    False |   False |               |                    |                         |                    |
| ACT-CL J0336.2-4037 |   54.07018 | -40.62824 | 0.173 | 245.48 |  7.53 |    False |    True |  SPLUS-s31s32 |                    |              ABELL 3140 | PSZ2 G245.47-53.62 |
| ACT-CL J0336.6-2340 |   54.16667 | -23.67087 | 0.256 | 217.06 |  3.19 |    False |   False |               |                    |              ABELL 3139 |                    |
| ACT-CL J0336.7-3144 |   54.18333 | -31.74172 | 0.417 | 230.43 |  2.92 |    False |   False |  SPLUS-s25s35 |                    |                         |                    |
| ACT-CL J0336.8-3929 |   54.20868 | -39.49421 | 0.397 | 243.56 |  6.20 |    False |    True |  SPLUS-s31s32 |                    |                         |                    |
| ACT-CL J0337.6-3030 |   54.41241 | -30.50418 | 0.417 | 228.36 |  3.28 |    False |   False |  SPLUS-s24s36 |                    |                         |                    |
| ACT-CL J0338.3-5118 |   54.59389 | -51.30992 | 0.220 | 262.13 |  2.57 |    False |   False |  SPLUS-s40s26 |                    |                         |                    |
| ACT-CL J0339.4-3313 |   54.85827 | -33.22935 | 0.285 | 232.98 |  3.06 |    False |   False |  SPLUS-s26s35 |                    |              ABELL 3150 |                    |
| ACT-CL J0339.4-4747 |   54.86254 | -47.80000 | 0.443 | 256.77 |  2.86 |    False |   False |  SPLUS-s37s28 |                    |                         |                    |
| ACT-CL J0339.6-2205 |   54.91945 | -22.09079 | 0.255 | 214.87 |  2.95 |    False |   False |               |                    |                         |                    |
| ACT-CL J0341.7-3909 |   55.43345 | -39.15440 | 0.405 | 242.82 |  3.74 |    False |   False |  SPLUS-s30s33 |                    |                         |                    |
| ACT-CL J0341.9-1007 |   55.47837 | -10.13158 | 0.189 | 198.32 |  3.46 |    False |   False |               |                    |                         |                    |
| ACT-CL J0342.7-0017 |   55.68054 |  -0.29444 | 0.307 | 187.04 |  3.12 |    False |   False | STRIPE82_0079 |                    |                         |                    |
| ACT-CL J0342.8-3931 |   55.70276 | -39.53245 | 0.319 | 243.41 |  2.77 |    False |   False |  SPLUS-s31s33 |                    |                         |                    |
| ACT-CL J0342.9-4102 |   55.73332 | -41.04589 | 0.381 | 245.87 |  3.45 |    False |   False |  SPLUS-s32s32 |                    |                         |                    |
| ACT-CL J0345.0-3401 |   56.25426 | -34.03333 | 0.249 | 234.37 |  2.40 |    False |   False |  SPLUS-s26s36 |                    |                         |                    |
| ACT-CL J0345.3-2044 |   56.35000 | -20.74335 | 0.195 | 213.45 |  2.83 |    False |   False |               |                    |              ABELL 0456 |                    |
