|               name |        ra |       dec |    z |  mass |        S-PLUS |                    CHANCES |        Abell |
| PSZ2 G075.71+13.51 | 290.28986 |  43.97486 | 0.06 |  8.74 |            NO |                            |   ABELL 2319 |
| PSZ2 G347.17-27.36 | 293.72297 | -50.87800 | 0.24 |  7.19 |            NO |         PSZ2 G347.17-27.36 |  ABELL S0821 |
| PSZ2 G018.54-25.69 | 300.86557 | -23.39151 | 0.32 |  8.99 |            NO |                            |              |
| PSZ2 G340.88-33.36 | 303.08392 | -56.81479 | 0.06 |  7.04 |            NO |                            |   ABELL 3667 |
| PSZ2 G006.68-35.55 | 308.70593 | -35.82508 | 0.09 |  4.17 |            NO |                            |   ABELL 3695 |
| PSZ2 G335.58-46.44 | 328.52843 | -57.86301 | 0.08 |  4.19 |  SPLUS-s45s36 |                            |   ABELL 3822 |
| PSZ2 G332.23-46.37 | 330.46907 | -59.93991 | 0.10 |  5.77 |  SPLUS-s46s36 |                  Abell3827 |   ABELL 3827 |
| PSZ2 G046.47-49.44 | 332.56931 | -12.17772 | 0.08 |  4.39 |  SPLUS-s10s07 |                            |   ABELL 2420 |
| PSZ2 G057.25-45.34 | 332.93076 |  -3.82923 | 0.40 | 10.50 |  SPLUS-s04s07 |                            |              |
| PSZ2 G003.93-59.41 | 338.60809 | -37.74132 | 0.15 |  7.19 |  SPLUS-s29s59 |                            |   ABELL 3888 |
| PSZ2 G056.93-55.08 | 340.83410 |  -9.59510 | 0.45 |  9.99 |  SPLUS-s08s13 |                            |              |
| PSZ2 G336.60-55.43 | 341.57173 | -52.72214 | 0.10 |  4.28 |  SPLUS-s41s47 |                            |   ABELL 3911 |
| PSZ2 G349.46-59.95 | 342.21532 | -44.52599 | 0.35 | 11.36 |  SPLUS-s34s56 |           RXC J2248.7-4431 |  ABELL S1063 |
| PSZ2 G033.97-76.61 | 357.92736 | -26.09530 | 0.23 |  7.56 |  SPLUS-s20s51 |                            |   ABELL 2667 |
