|     name |         Cluster Name |     z | d200 (arcmin) | N(<5r200) |                                                                                       Separations (arcmin) |                                                      Fraction of r200 included |                                                                                                   redshifts |                                                                                                                                        Names |
| 93290701 |             93290701 | 0.022 |         37.92 |         1 |                                                                                                      176.6 |                                                                            0.7 |                                                                                                       0.036 |                                                                                                                                     93290801 |
| 93220701 |        IC 1860 GROUP | 0.022 |         34.21 |         1 |                                                                                                        7.2 |                                                                            3.9 |                                                                                                       0.023 |                                                                                                                                        81011 |
| 93170801 |             93170801 | 0.022 |         35.09 |         1 |                                                                                                      172.3 |                                                                            0.0 |                                                                                                       0.003 |                                                                                                                                     93170802 |
| 93163302 |           ABELL 1463 | 0.023 |         30.63 |         1 |                                                                                                      125.6 |                                                                            0.6 |                                                                                                       0.021 |                                                                                                                                     93173309 |
| 93223508 |                A3581 | 0.023 |         45.72 |         7 |                                                                    2.3,150.8,193.5,194.6,194.7,196.5,201.5 |                                                    3.3,2.4,1.5,1.6,1.7,1.0,1.1 |                                                                   0.022,0.023,0.038,0.049,0.037,0.038,0.048 |                                                                                              79221,93223516,75203,79172,93213601,75206,79173 |
|    81011 |        IC 1860 GROUP | 0.023 |         42.39 |         1 |                                                                                                        7.2 |                                                                            6.0 |                                                                                                       0.022 |                                                                                                                                     93220701 |
|    87995 |           ABELL 2870 | 0.023 |         54.86 |         5 |                                                                                   5.9,62.9,63.9,64.3,246.6 |                                                            9.1,4.0,5.2,5.6,1.6 |                                                                               0.022,0.024,0.023,0.023,0.054 |                                                                                                          93250303,87980,87978,93250301,87943 |
| 93271023 |             93271023 | 0.023 |         38.16 |         1 |                                                                                                      118.0 |                                                                            2.9 |                                                                                                       0.061 |                                                                                                                                        94980 |
| 93223516 |          ABELL S0761 | 0.023 |          31.8 |         2 |                                                                                                150.8,153.1 |                                                                        0.2,0.1 |                                                                                                 0.023,0.022 |                                                                                                                               93223508,79221 |
| 93250301 |                A2877 | 0.023 |         37.53 |         4 |                                                                                         0.3,12.2,61.1,64.3 |                                                                4.6,3.3,4.3,2.2 |                                                                                     0.023,0.024,0.022,0.023 |                                                                                                                   87978,87980,93250303,87995 |
|    87978 |                A2877 | 0.023 |         40.31 |         5 |                                                                                   0.3,12.1,60.7,63.9,193.7 |                                                            5.4,3.6,4.8,2.5,0.4 |                                                                               0.023,0.024,0.022,0.023,0.054 |                                                                                                          93250301,87980,93250303,87995,87943 |
|    87980 |                A2877 | 0.024 |         53.16 |         5 |                                                                                  12.1,12.2,58.8,62.9,203.1 |                                                            6.3,6.8,7.0,3.7,3.6 |                                                                               0.023,0.023,0.022,0.023,0.054 |                                                                                                          87978,93250301,93250303,87995,87943 |
| 93203611 |           ABELL 1725 | 0.024 |         30.65 |         2 |                                                                                                105.0,112.5 |                                                                        1.1,0.3 |                                                                                                 0.009,0.007 |                                                                                                                            93203505,93203508 |
| 93176202 |             93176202 | 0.024 |         31.29 |         0 |                                                                                                            |                                                                                |                                                                                                             |                                                                                                                                              |
| 93224801 |             93224801 | 0.024 |         30.26 |         0 |                                                                                                            |                                                                                |                                                                                                             |                                                                                                                                              |
| 93213307 |             93213307 | 0.024 |         28.19 |         1 |                                                                                                      139.4 |                                                                            0.1 |                                                                                                       0.042 |                                                                                                                                        75025 |
| 93260205 |             93260205 | 0.025 |         24.73 |         0 |                                                                                                            |                                                                                |                                                                                                             |                                                                                                                                              |
| 93183111 |             93183111 | 0.026 |         22.21 |         0 |                                                                                                            |                                                                                |                                                                                                             |                                                                                                                                              |
| 93170432 |             93170432 | 0.026 |         26.48 |         4 |                                                                                     60.4,129.4,131.7,132.3 |                                                                1.8,0.1,0.0,0.0 |                                                                                     0.017,0.045,0.044,0.045 |                                                                                                                93170401,55327,93170421,55320 |
|   100115 |           ABELL 3389 | 0.027 |         36.84 |         5 |                                                                                18.4,92.5,123.9,141.0,179.5 |                                                            5.2,3.3,3.8,1.9,0.2 |                                                                               0.028,0.037,0.046,0.027,0.036 |                                                                                                 93280903,93290819,93280911,93280906,93290801 |
| 93270218 |           ABELL 2806 | 0.027 |         27.22 |         1 |                                                                                                        2.6 |                                                                            4.3 |                                                                                                       0.028 |                                                                                                                                        94265 |
| 93280906 |             93280906 | 0.027 |         23.05 |         1 |                                                                                                       78.2 |                                                                            2.3 |                                                                                                       0.046 |                                                                                                                                     93280911 |
| 93215311 |          ABELL S0891 | 0.027 |         26.18 |         0 |                                                                                                            |                                                                                |                                                                                                             |                                                                                                                                              |
| 93195701 |             93195701 | 0.027 |         27.22 |         2 |                                                                                                  74.3,76.5 |                                                                        2.3,2.0 |                                                                                                 0.029,0.028 |                                                                                                                               93195703,67881 |
|    53529 |                 MKW8 | 0.027 |         38.41 |         3 |                                                                                             2.9,97.3,155.7 |                                                                    5.8,3.7,0.5 |                                                                                           0.028,0.031,0.006 |                                                                                                                   93164001,93163901,93164021 |
| 93193015 |   PSZ2 G264.92+44.70 | 0.028 |         21.47 |         0 |                                                                                                            |                                                                                |                                                                                                             |                                                                                                                                              |
| 93225827 |                A4038 | 0.028 |         44.73 |         1 |                                                                                                        1.0 |                                                                            4.0 |                                                                                                       0.029 |                                                                                                                                        80518 |
| 93245003 |          ABELL S1065 | 0.028 |          23.0 |         0 |                                                                                                            |                                                                                |                                                                                                             |                                                                                                                                              |
|    67881 |                67881 | 0.028 |         30.54 |         2 |                                                                                                   3.1,76.5 |                                                                        5.6,2.8 |                                                                                                 0.029,0.027 |                                                                                                                            93195703,93195701 |
|    90911 |           ABELL 3783 | 0.028 |         28.32 |         0 |                                                                                                            |                                                                                |                                                                                                             |                                                                                                                                              |
|    94265 |           ABELL 2806 | 0.028 |         31.11 |         1 |                                                                                                        2.6 |                                                                            5.6 |                                                                                                       0.027 |                                                                                                                                     93270218 |
| 93280903 |          ABELL S0585 | 0.028 |         31.63 |         4 |                                                                                     18.4,105.2,126.8,133.2 |                                                                3.8,1.9,2.0,1.1 |                                                                                     0.027,0.037,0.046,0.027 |                                                                                                            100115,93290819,93280911,93280906 |
| 93164001 |                 MKW8 | 0.028 |         32.84 |         3 |                                                                                            2.9,100.2,152.8 |                                                                    4.2,2.5,0.2 |                                                                                           0.027,0.031,0.006 |                                                                                                                      53529,93163901,93164021 |
| 93195703 |             93195703 | 0.029 |         26.65 |         2 |                                                                                                   3.1,74.3 |                                                                        4.3,2.2 |                                                                                                 0.028,0.027 |                                                                                                                               67881,93195701 |
| 93192905 |             93192905 | 0.029 |         21.47 |         2 |                                                                                                  67.7,90.2 |                                                                        2.1,1.0 |                                                                                                 0.065,0.053 |                                                                                                                                  66256,66274 |
|    80518 |                A4038 | 0.029 |         56.21 |         2 |                                                                                                  1.0,253.0 |                                                                        6.3,1.8 |                                                                                                 0.028,0.047 |                                                                                                                            93225827,93216101 |
| 93270401 |             93270401 | 0.029 |         23.54 |         0 |                                                                                                            |                                                                                |                                                                                                             |                                                                                                                                              |
| 93232809 |           ABELL 3494 | 0.029 |         27.95 |         1 |                                                                                                       65.1 |                                                                            3.8 |                                                                                                       0.068 |                                                                                                                                        82560 |
| 93171313 |             93171313 |  0.03 |          24.3 |         1 |                                                                                                      104.8 |                                                                            0.3 |                                                                                                       0.014 |                                                                                                                                     93171413 |
| 93201404 |             93201404 |  0.03 |         19.08 |         1 |                                                                                                       69.5 |                                                                            1.3 |                                                                                                       0.032 |                                                                                                                                     93211309 |
| 93174603 |             93174603 | 0.031 |         27.08 |         0 |                                                                                                            |                                                                                |                                                                                                             |                                                                                                                                              |
| 93163901 |             93163901 | 0.031 |         25.44 |         2 |                                                                                                 97.3,100.2 |                                                                        0.8,0.8 |                                                                                                 0.027,0.028 |                                                                                                                               53529,93164001 |
| 93202709 |           ABELL 0911 | 0.031 |         24.03 |         1 |                                                                                                       70.2 |                                                                            1.8 |                                                                                                       0.017 |                                                                                                                                     93202718 |
|    70226 |                70226 | 0.031 |         29.92 |         2 |                                                                                                  4.1,138.2 |                                                                        5.9,0.5 |                                                                                                 0.033,0.031 |                                                                                                                            93202606,93202709 |
| 93241407 |           ABELL 3390 | 0.031 |         25.45 |         0 |                                                                                                            |                                                                                |                                                                                                             |                                                                                                                                              |
| 93174301 |             93174301 | 0.032 |         22.98 |         0 |                                                                                                            |                                                                                |                                                                                                             |                                                                                                                                              |
| 93215615 |          ABELL S0963 | 0.032 |         25.96 |         0 |                                                                                                            |                                                                                |                                                                                                             |                                                                                                                                              |
| 93211309 |             93211309 | 0.032 |         19.19 |         1 |                                                                                                       69.5 |                                                                            1.4 |                                                                                                       0.030 |                                                                                                                                     93201404 |
|    61803 |                61803 | 0.032 |         24.12 |         3 |                                                                                           46.6,107.3,110.5 |                                                                    3.4,0.8,0.6 |                                                                                           0.038,0.064,0.063 |                                                                                                                         61798,93172804,57284 |
| 93162315 |           ABELL 0664 | 0.032 |         29.54 |         0 |                                                                                                            |                                                                                |                                                                                                             |                                                                                                                                              |
| 93281010 |    MCXC J0712.0-6030 | 0.033 |         23.28 |         0 |                                                                                                            |                                                                                |                                                                                                             |                                                                                                                                              |
| 93191301 |                A0496 | 0.033 |         45.03 |         1 |                                                                                                        0.8 |                                                                            3.7 |                                                                                                       0.034 |                                                                                                                                        65085 |
| 93181101 |             93181101 | 0.033 |         22.07 |         0 |                                                                                                            |                                                                                |                                                                                                             |                                                                                                                                              |
| 93202606 |             93202606 | 0.033 |         24.63 |         1 |                                                                                                        4.1 |                                                                            4.0 |                                                                                                       0.031 |                                                                                                                                        70226 |
| 93190806 |             93190806 | 0.033 |         23.87 |         0 |                                                                                                            |                                                                                |                                                                                                             |                                                                                                                                              |
| 93251022 |          ABELL S0497 | 0.034 |         21.55 |         0 |                                                                                                            |                                                                                |                                                                                                             |                                                                                                                                              |
|    65085 |                A0496 | 0.034 |         61.33 |         3 |                                                                                            0.8,229.2,230.1 |                                                                    6.8,2.7,2.9 |                                                                                           0.033,0.037,0.036 |                                                                                                                      93191301,69260,93201303 |
|    74392 |          ABELL S0617 | 0.034 |         26.84 |         2 |                                                                                                   1.9,54.4 |                                                                        5.7,4.5 |                                                                                                 0.035,0.036 |                                                                                                                            93212503,93212505 |
| 93260109 |             93260109 | 0.034 |         21.88 |         0 |                                                                                                            |                                                                                |                                                                                                             |                                                                                                                                              |
| 93203701 |          ABELL S0752 | 0.034 |         15.39 |         0 |                                                                                                            |                                                                                |                                                                                                             |                                                                                                                                              |
|    70916 |          ABELL S0741 | 0.035 |         23.34 |         0 |                                                                                                            |                                                                                |                                                                                                             |                                                                                                                                              |
| 93211401 |             93211401 | 0.035 |         20.78 |         1 |                                                                                                        4.4 |                                                                            4.3 |                                                                                                       0.035 |                                                                                                                                        73559 |
| 93212503 |          ABELL S0617 | 0.035 |         23.26 |         2 |                                                                                                   1.9,54.0 |                                                                        4.3,3.5 |                                                                                                 0.034,0.036 |                                                                                                                               74392,93212505 |
| 93232703 |          ABELL S0665 | 0.035 |         21.89 |         0 |                                                                                                            |                                                                                |                                                                                                             |                                                                                                                                              |
|    57189 |                57189 | 0.035 |          21.7 |         0 |                                                                                                            |                                                                                |                                                                                                             |                                                                                                                                              |
|    73559 |                73559 | 0.035 |         23.13 |         1 |                                                                                                        4.4 |                                                                            5.4 |                                                                                                       0.035 |                                                                                                                                     93211401 |
|    66875 |                66875 | 0.035 |         26.98 |         2 |                                                                                                   0.5,86.0 |                                                                        6.1,1.9 |                                                                                                 0.038,0.037 |                                                                                                                               93193803,66889 |
| 93273701 |             93273701 | 0.035 |         20.16 |         0 |                                                                                                            |                                                                                |                                                                                                             |                                                                                                                                              |
| 93201002 |             93201002 | 0.035 |         16.51 |         0 |                                                                                                            |                                                                                |                                                                                                             |                                                                                                                                              |
| 93211311 |   PSZ2 G219.89-34.39 | 0.035 |         20.04 |         4 |                                                                                         4.2,10.8,60.8,96.4 |                                                                4.4,4.6,2.4,0.2 |                                                                                     0.056,0.044,0.065,0.069 |                                                                                                                      73376,73374,73375,73371 |
| 93215409 |             93215409 | 0.036 |         23.25 |         0 |                                                                                                            |                                                                                |                                                                                                             |                                                                                                                                              |
| 93221403 |          ABELL S0536 | 0.036 |         22.43 |         0 |                                                                                                            |                                                                                |                                                                                                             |                                                                                                                                              |
| 93201303 |             93201303 | 0.036 |         25.97 |         1 |                                                                                                        1.0 |                                                                            4.4 |                                                                                                       0.037 |                                                                                                                                        69260 |
| 93212505 |             93212505 | 0.036 |         17.66 |         2 |                                                                                                  54.0,54.4 |                                                                        1.5,1.3 |                                                                                                 0.035,0.034 |                                                                                                                               93212503,74392 |
| 93290801 |             93290801 | 0.036 |         19.05 |         0 |                                                                                                            |                                                                                |                                                                                                             |                                                                                                                                              |
|    92184 |          ABELL S0580 | 0.037 |         22.32 |         0 |                                                                                                            |                                                                                |                                                                                                             |                                                                                                                                              |
|    55691 |           ABELL 0451 | 0.037 |         29.21 |         1 |                                                                                                      123.1 |                                                                            0.5 |                                                                                                       0.013 |                                                                                                                                     93181005 |
|    66889 |                66889 | 0.037 |         26.26 |         4 |                                                                                        70.2,86.0,86.1,86.2 |                                                                3.0,1.7,2.0,2.2 |                                                                                     0.062,0.035,0.038,0.040 |                                                                                                                   66902,66875,93193803,66907 |
| 93280989 |             93280989 | 0.037 |         19.35 |         2 |                                                                                                  85.4,86.6 |                                                                        0.5,0.4 |                                                                                                 0.038,0.037 |                                                                                                                               93271006,95010 |
| 93290819 |   PSZ2 G275.45-28.87 | 0.037 |         27.56 |         5 |                                                                                70.6,92.5,105.2,122.3,136.5 |                                                            4.2,1.2,1.0,0.8,0.1 |                                                                               0.046,0.027,0.028,0.036,0.027 |                                                                                                   93280911,100115,93280903,93290801,93280906 |
| 93213601 |             93213601 | 0.037 |         20.51 |         2 |                                                                                                   5.4,10.9 |                                                                        4.1,3.0 |                                                                                                 0.038,0.038 |                                                                                                                                  75203,75206 |
|    85141 | ESO 306- G 017 GROUP | 0.037 |         34.24 |         0 |                                                                                                            |                                                                                |                                                                                                             |                                                                                                                                              |
|    69260 |                69260 | 0.037 |         29.09 |         1 |                                                                                                        1.0 |                                                                            5.6 |                                                                                                       0.036 |                                                                                                                                     93201303 |
| 93231308 |           ABELL 3341 | 0.037 |         27.37 |         2 |                                                                                                  1.9,126.3 |                                                                        4.3,0.5 |                                                                                                 0.037,0.036 |                                                                                                                               81439,93221403 |
|    81439 |           ABELL 3341 | 0.037 |         31.38 |         2 |                                                                                                  1.9,125.5 |                                                                        5.7,1.4 |                                                                                                 0.037,0.036 |                                                                                                                            93231308,93221403 |
|    95010 |                S0560 | 0.037 |         24.55 |         3 |                                                                                             3.0,86.6,110.2 |                                                                    5.8,1.9,0.5 |                                                                                           0.038,0.037,0.061 |                                                                                                                      93271006,93280989,94980 |
| 93231413 |          ABELL S0546 | 0.037 |         17.78 |         0 |                                                                                                            |                                                                                |                                                                                                             |                                                                                                                                              |
| 93215401 |           ABELL 3744 | 0.038 |         22.68 |         0 |                                                                                                            |                                                                                |                                                                                                             |                                                                                                                                              |
