zbin,name,ra,dec,z,gal_l,mass,complete,lowmass,r200,d200,N_SPLUS,f_SPLUS,S-PLUS,CHANCES,Abell,WINGS,ACT-DR5,PSZ2,LoVoCCS,HIFLUGCS,MeerKAT
2,93201631,88.66778,-17.74127,0.011,223.05,0.24,False,False,0.61,44.82,0,0.0,,,ABELL 0551,,,PSZ2 G223.04-20.27,,,
2,93280906,91.27726,-63.4893,0.027,272.87,0.49,False,False,0.77,23.05,5,10.8,MC0009,,,,,,,,
2,93300707,101.22639,-74.54915,0.021,285.62,0.51,False,False,0.78,29.71,2,2.6,,,ABELL 3405,,,PSZ2 G285.80-26.46,,,
2,93162401,134.5583,3.23956,0.013,225.47,0.37,False,False,0.7,41.96,0,0.0,,,ABELL 0732,,ACT-CL J0857.8+0310,PSZ2 G225.48+29.41,,,
2,93192606,141.40188,-12.46681,0.014,244.52,0.18,False,False,0.55,31.27,1,1.2,,,,,,PSZ2 G244.12+26.12,,,
2,93192605,144.1946,-11.51425,0.019,245.65,0.32,False,False,0.67,27.74,0,0.0,,,,,,,,,
2,93182708,147.37211,-5.18916,0.022,242.25,0.54,False,False,0.79,28.63,0,0.0,,,,,,,,,
2,93222510,149.54521,-26.97233,0.01,261.77,0.19,False,False,0.57,45.75,10,5.5,HYDRA_0030,NGC3078,,,,,,,
2,93202701,150.47119,-19.47187,0.014,256.95,0.38,False,False,0.7,38.58,10,7.7,SPLUS-n15s01,,ABELL S0623,,,,,,
2,93202718,151.64981,-15.94998,0.017,255.13,0.2,False,False,0.57,27.07,8,12.5,SPLUS-n13s02,,,,,,,,
2,93192905,161.0612,-8.84413,0.029,257.88,0.49,False,False,0.76,21.47,5,12.4,SPLUS-n08s08,,,,,,,,
2,93193015,166.44223,-9.9632,0.028,264.7,0.44,False,False,0.74,21.47,5,12.4,SPLUS-n08s12,,,,,PSZ2 G264.92+44.70,,,
2,93183111,170.69251,-7.72019,0.026,268.13,0.4,False,False,0.72,22.21,7,16.3,SPLUS-n07s16,,,,,,,,
2,93193215,174.75591,-9.32429,0.021,274.73,0.33,False,False,0.67,25.52,7,12.3,SPLUS-n08s18,,ABELL 1332,,,,,,
2,93232809,179.20102,-32.24817,0.029,289.7,1.14,False,False,1.01,27.95,0,0.0,,,ABELL 3494,,,,,,
