zbin,name,Cluster Name,ra,dec,z,gal_l,mass,complete,lowmass,r200,d200,N_SPLUS,f_SPLUS,S-PLUS,CHANCES,WINGS,Abell,PSZ2,LoVoCCS,HIFLUGCS,MeerKAT
4,66215,A0970,154.14847,-10.62652,0.059,252.83,3.32,False,True,1.43,20.12,5,0.57,SPLUS-n09s04,A0970,,ABELL 0970,PSZ2 G253.04+36.83,,,
4,93184319,93184319,-121.97194,-5.53021,0.059,3.04,2.02,False,True,1.21,17.13,0,0.0,,,,,,,,
4,66739,66739,-166.07065,-12.65566,0.059,304.56,2.27,False,True,1.26,17.77,4,0.58,SPLUS-n10s32,,,,,,,
4,66214,A0970,154.33512,-10.68245,0.06,253.04,6.08,False,True,1.75,24.55,7,0.53,SPLUS-n09s04,A0970,A0970,ABELL 0970,PSZ2 G253.04+36.83,,,
4,93735,ABELL S0811,-70.45435,-52.47832,0.06,344.86,2.95,False,True,1.38,19.27,0,0.0,,,,ABELL S0811,,,,
4,77311,A3223,62.05766,-30.91464,0.06,230.18,3.77,False,True,1.5,20.76,4,0.43,A3223_main,A3223,,ABELL 3223,PSZ2 G230.29-47.13,,,
4,68020,68020,-31.68213,-13.55376,0.06,41.88,5.68,False,True,1.71,23.74,7,0.57,SPLUS-s11s03,,,,,,,
4,76711,A2734,2.82934,-28.84798,0.061,19.61,6.12,False,True,1.76,23.93,7,0.56,SPLUS-s22s03,,A2734,ABELL 2734,PSZ2 G019.48-80.97,A2734,A2734,
4,94980,ABELL S0552,88.05572,-57.15341,0.061,265.48,6.82,False,True,1.82,24.88,1,0.07,S0560_2022B,,,ABELL S0552,PSZ2 G265.49-30.50,,,
4,96489,A3651,-61.92342,-55.05654,0.061,342.83,4.44,False,True,1.58,21.62,1,0.1,A3651_2022B,A3651,,ABELL 3651,PSZ2 G342.82-30.48,,,
4,77099,ABELL S0258,36.28497,-29.47317,0.061,224.94,3.47,False,True,1.45,20.04,1,0.11,SPLUS-s24s24,,,ABELL S0258,,,,MCXC J0225.1-2928
4,93220122,A2734,2.81095,-28.85968,0.061,19.55,3.89,False,True,1.51,20.65,5,0.54,SPLUS-s22s03,,A2734,ABELL 2734,PSZ2 G019.48-80.97,A2734,A2734,
4,66902,ABELL 1837,-149.59859,-11.13212,0.062,329.23,4.0,False,True,1.52,20.71,5,0.53,SPLUS-n09s45,,,ABELL 1837,,,,
4,74741,ABELL S0651,166.83642,-22.99425,0.062,273.81,3.23,False,True,1.42,19.19,5,0.62,SPLUS-n18s12,,,ABELL S0651,,,,
4,90951,ABELL S0974,-33.02787,-46.00519,0.062,352.84,3.76,False,True,1.49,20.13,5,0.57,SPLUS-s36s46,,,ABELL S0974,,,,
4,90926,A3809,-33.25913,-43.91091,0.062,356.06,4.77,False,True,1.62,21.64,7,0.69,SPLUS-s34s48,A3809,A3809,ABELL 3809,PSZ2 G356.04-49.50,,,
4,79282,ABELL 3605,-141.26421,-28.34396,0.063,329.04,2.54,False,True,1.31,17.39,0,0.0,,,,ABELL 3605,PSZ2 G329.29+29.18,,,
4,88079,ABELL S0239,34.17164,-47.81799,0.064,269.82,2.63,False,True,1.32,17.45,4,0.6,SPLUS-s37s18,,,ABELL S0239,,,,MCXC J0216.3-4816
4,74717,ABELL 1163,166.37774,-21.09375,0.064,272.25,2.71,False,True,1.34,17.56,4,0.59,SPLUS-n17s12,,,ABELL 1163,,,,
4,55182,PSZ2 G113.02-64.68,8.55185,-2.12715,0.065,112.83,2.9,False,True,1.37,17.75,1,0.15,STRIPE82_0013,,,,PSZ2 G113.02-64.68,RXCJ0034.2-0204,,
4,66256,A1069,159.93188,-8.68339,0.065,256.59,3.74,False,True,1.49,19.1,4,0.5,SPLUS-n07s08,A1069,A1069,ABELL 1069,PSZ2 G256.67+42.05,,,
4,82560,A3497,-179.98697,-31.41105,0.068,290.25,4.43,False,True,1.57,19.4,0,0.0,,A3497,A3497,ABELL 3497,PSZ2 G290.19+30.16,,,
4,73371,ABELL 0514,72.0632,-20.47419,0.069,219.5,5.04,False,True,1.64,20.14,0,0.0,,,,ABELL 0514,PSZ2 G219.45-35.90,A514,,
4,60520,ABELL 0484,63.83919,-7.64152,0.069,200.75,7.3,False,True,1.86,22.79,0,0.0,,,,ABELL 0484,,,,
4,82540,A3490,176.32998,-34.42533,0.069,287.73,5.18,False,True,1.66,20.18,1,0.11,A3490_2022B,A3490,A3490,ABELL 3490,PSZ2 G287.72+26.46,,,
