zbin,name,Cluster Name,ra,dec,z,gal_l,mass,complete,lowmass,r200,d200,N_SPLUS,f_SPLUS,S-PLUS,CHANCES,WINGS,Abell,PSZ2,LoVoCCS,HIFLUGCS,MeerKAT
2,93220701,IC 1860 GROUP,42.39926,-31.07239,0.022,228.74,0.95,False,True,0.96,34.21,11,0.43,SPLUS-s24s28,,,IC 1860 GROUP,,,,
2,93170801,93170801,43.2359,-1.27971,0.022,176.48,1.04,False,True,0.99,35.09,8,0.3,STRIPE82_0063,,,,,,,
2,93271023,93271023,85.63154,-55.71497,0.023,263.71,1.5,False,True,1.11,38.16,0,0.0,,,,,,,,
2,93223508,A3581,-148.09122,-27.0272,0.023,323.18,2.36,False,True,1.3,45.72,10,0.22,SPLUS-n20s33,A3581,,ABELL 3581,,,A3581,
2,81011,IC 1860 GROUP,42.39088,-31.19179,0.023,229.01,1.93,False,True,1.21,42.39,14,0.36,SPLUS-s24s28,,,IC 1860 GROUP,,,,
2,87995,ABELL 2870,16.93338,-46.90089,0.023,294.78,4.22,False,True,1.57,54.86,39,0.59,SPLUS-s36s10,,,ABELL 2870,,,,
2,93250301,A2877,17.4704,-45.8958,0.023,293.1,1.45,False,True,1.1,37.53,18,0.59,A2877_need,A2877,,ABELL 2877,PSZ2 G293.12-70.85,,A2877,
2,87978,A2877,17.46842,-45.90129,0.023,293.11,1.81,False,True,1.18,40.31,21,0.59,A2877_need,A2877,,ABELL 2877,PSZ2 G293.12-70.85,,A2877,
2,87980,A2877,17.71872,-46.0029,0.024,292.66,4.19,False,True,1.57,53.16,35,0.57,A2877_need,A2877,,ABELL 2877,PSZ2 G293.12-70.85,,A2877,
2,100115,ABELL 3389,95.45526,-64.98077,0.027,274.72,1.98,False,True,1.22,36.84,9,0.3,MC0020,,,ABELL 3389,,,,
2,53529,MKW8,-139.83716,3.47273,0.027,355.49,2.48,False,True,1.31,38.41,18,0.56,MKW8_need,MKW8,,,PSZ2 G355.50+54.72,,MKW8,
2,94265,ABELL 2806,10.06388,-56.16244,0.028,306.13,1.41,False,True,1.09,31.11,13,0.62,SPLUS-s43s05,,,ABELL 2806,,,,
2,93280903,ABELL S0585,95.56809,-64.67731,0.028,274.38,1.48,False,True,1.11,31.63,8,0.37,MC0020,,,ABELL S0585,,,,
2,93225827,A4038,-3.0819,-28.14218,0.028,25.14,4.06,False,True,1.55,44.73,23,0.53,A4038_needs,A4038,,ABELL 4038,PSZ2 G025.13-75.88,A4038,A4038,MCXC J2347.7-2808
2,67881,67881,-44.60548,-13.27813,0.028,35.32,1.32,False,True,1.07,30.54,0,0.0,,,,,,,,
2,93164001,MKW8,-139.78973,3.46729,0.028,355.55,1.66,False,True,1.15,32.84,14,0.59,MKW8_need,MKW8,,,PSZ2 G355.50+54.72,,MKW8,
3,93174603,93174603,-105.58286,-1.92457,0.031,17.24,1.2,False,True,1.03,27.08,0,0.0,,,,,,,,
3,70226,70226,148.31393,-15.97305,0.031,252.5,1.73,False,True,1.16,29.92,2,0.1,SPLUS-n13s01,,,,,,,
3,93162315,ABELL 0664,125.99993,4.37471,0.032,219.82,1.77,False,True,1.17,29.54,0,0.0,,,,ABELL 0664,PSZ2 G219.88+22.83,,,
3,74392,ABELL S0617,144.50162,-20.35771,0.034,253.21,1.55,False,True,1.12,26.84,0,0.0,,,,ABELL S0617,,,,
3,66875,66875,-147.96703,-9.08363,0.035,332.75,1.76,False,True,1.17,26.98,8,0.5,SPLUS-n08s45,,,,,,,
