zbin,name,ra,dec,z,gal_l,mass,complete,lowmass,S-PLUS,CHANCES,Abell,CODEX,ACT-DR5,LoVoCCS,HIFLUGCS,MeerKAT,m200,c200,r200,d200
2,PSZ2 G200.95-28.16,72.58349,-3.00734,0.22,200.96,7.15,False,True,,,,,ACT-CL J0450.3-0256,,,PLCK G200.9-28.2,10.27,4.14,1.97,8.97
2,PSZ2 G208.80-30.67,73.52095,-10.22628,0.248,208.81,9.79,False,True,,Abell0521,ABELL 0521,65130,ACT-CL J0454.1-1013,,,MCXC J0454.1-1014,13.95,4.29,2.16,9.0
2,PSZ2 G250.89-36.24,77.5981,-45.32916,0.2,250.9,7.74,False,True,,,ABELL 3322,88650,ACT-CL J0510.3-4519,,,MCXC J0510.2-4519,11.12,4.15,2.04,9.99
2,PSZ2 G253.48-33.72,81.46259,-47.26231,0.191,253.49,6.3,False,True,,,ABELL 3343,88679,ACT-CL J0525.8-4715,,,MCXC J0525.8-4715,9.06,4.09,1.91,9.69
2,PSZ2 G214.61-22.70,83.10173,-11.54308,0.154,214.61,7.28,False,True,,,ABELL 0545,,,,,MCXC J0532.3-1131,10.45,4.1,2.03,12.28
2,PSZ2 G257.32-22.19,99.32565,-48.484,0.203,257.33,7.16,False,True,,,ABELL 3399,92119,ACT-CL J0637.3-4829,,,MCXC J0637.3-4828,10.28,4.13,1.99,9.62
2,PSZ2 G263.14-23.41,99.72452,-53.9814,0.227,263.15,9.21,False,True,,PSZ2 G263.14-23.41,ABELL S0592,95047,ACT-CL J0638.7-5358,,,MCXC J0638.7-5358,13.14,4.23,2.14,9.5
2,PSZ2 G247.97+33.52,148.98719,-10.02959,0.163,247.98,4.34,False,True,,Abell0901,ABELL 0901,66116,,,,,6.26,4.04,1.71,9.82
2,PSZ2 G249.38+33.26,149.60178,-11.06901,0.167,249.38,7.29,False,True,SPLUS-n09s01,Abell0907,ABELL 0907,66133,,,,,10.47,4.11,2.03,11.45
2,PSZ2 G288.27+39.97,180.82543,-21.52479,0.199,288.27,9.66,False,True,SPLUS-n17s22,Abell1451,ABELL 1451,74869,,,,,13.81,4.23,2.2,10.77
2,PSZ2 G309.49+37.31,198.63127,-25.26572,0.244,309.5,9.06,False,True,SPLUS-n20s24,RXC J1314.4-2515,,75021,,,,MCXC J1314.4-2515,12.93,4.25,2.11,8.88
2,PSZ2 G355.07+46.20,226.02267,-2.79844,0.215,355.07,8.99,False,True,,RXC J1504.1-0248,,58190,ACT-CL J1504.1-0248,,,,12.88,4.22,2.13,9.85
2,PSZ2 G347.17-27.36,293.72297,-50.878,0.237,347.18,9.69,False,True,,PSZ2 G347.17-27.36,ABELL S0821,93773,ACT-CL J1934.9-5050,,,,13.84,4.27,2.17,9.3
2,PSZ2 G342.33-34.93,305.85326,-55.57511,0.232,342.34,9.01,False,True,,PSZ2 G342.33-34.93,,96552,ACT-CL J2023.3-5535,,,MCXC J2023.4-5535,12.86,4.23,2.12,9.24
2,PSZ2 G047.71-59.47,342.1206,-16.10844,0.247,47.72,6.22,False,True,SPLUS-s13s42,,ABELL 2485,,ACT-CL J2248.5-1606,,,MCXC J2248.5-1606,8.93,4.13,1.87,7.77
2,PSZ2 G057.08-74.45,357.7826,-19.9825,0.248,57.09,6.35,False,True,SPLUS-s16s51,,,,ACT-CL J2351.1-1957,,,RXC J2351.0-1954,9.12,4.13,1.88,7.8
3,PSZ2 G276.75-59.82,34.32938,-52.71826,0.343,276.76,6.05,False,True,SPLUS-s41s16,,,91480,ACT-CL J0217.1-5244,,,MCXC J0217.2-5244,8.66,4.19,1.78,5.9
3,PSZ2 G259.98-63.43,38.07817,-44.36122,0.284,259.99,10.17,False,True,SPLUS-s34s21,PSZ2 G259.98-63.43,,88216,ACT-CL J0232.2-4421,,,MCXC J0232.2-4420,14.47,4.35,2.16,8.15
