zbin,name,Cluster Name,ra,dec,z,gal_l,mass,complete,lowmass,CHANCES,Abell,CODEX,ACT-DR5,PSZ2,LoVoCCS,HIFLUGCS,MeerKAT,m200,c200,r200,d200
3,PSZ2 G266.04-21.25,ClG 0657-56 Bullet cluster,104.63188,-55.96172,0.296,266.04,17.67,True,False,ClG 0657-56 Bullet cluster,,95199,ACT-CL J0658.5-5557,PSZ2 G266.04-21.25,,,MCXC J0658.5-5556,24.6,4.82,2.57,9.38
3,PSZ2 G292.56+21.97,86157,180.29998,-39.88369,0.3,292.57,10.69,True,False,,,86157,,PSZ2 G292.56+21.97,,,,15.17,4.41,2.18,7.91
3,PSZ2 G008.94-81.22,Abell2744,3.55906,-30.38762,0.307,8.95,13.27,True,False,Abell2744,ABELL 2744,76737,ACT-CL J0014.3-3022,PSZ2 G008.94-81.22,,,MCXC J0014.3-3023,18.68,4.57,2.33,8.33
3,PSZ2 G278.58+39.16,Abell1300,172.98557,-19.91442,0.308,278.58,12.1,True,False,Abell1300,ABELL 1300,74775,,PSZ2 G278.58+39.16,,,,17.09,4.5,2.26,8.07
3,PSZ2 G205.05-62.95,PSZ2 G205.05-62.95,41.60763,-20.52687,0.31,205.05,10.3,True,False,PSZ2 G205.05-62.95,ABELL 3048,73036,ACT-CL J0246.4-2033,PSZ2 G205.05-62.95,,,,14.61,4.4,2.15,7.61
3,PSZ2 G008.31-64.74,PSZ1 G008.31-64.31,344.67823,-34.78825,0.312,8.32,10.45,True,False,PSZ1 G008.31-64.31,ABELL S1077,,ACT-CL J2258.8-3447,PSZ2 G008.31-64.74,,,,14.82,4.41,2.15,7.61
3,PSZ2 G018.54-25.69,ACT-CL J2003.5-2323,300.86557,-23.39151,0.317,18.54,12.13,True,False,,,,ACT-CL J2003.5-2323,PSZ2 G018.54-25.69,,,,17.1,4.52,2.26,7.87
3,PSZ2 G053.44-36.25,59236,323.79916,-1.04485,0.33,53.44,10.06,True,False,,,59236,ACT-CL J2135.1-0103,PSZ2 G053.44-36.25,,,,14.26,4.41,2.11,7.18
3,PSZ2 G349.46-59.95,RXC J2248.7-4431,342.21532,-44.52599,0.347,349.47,15.32,True,False,RXC J2248.7-4431,ABELL S1063,91063,ACT-CL J2248.8-4431,PSZ2 G349.46-59.95,,,MCXC J2248.7-4431,21.4,4.79,2.4,7.89
4,PSZ2 G271.18-30.95,PSZ2 G271.18-30.95,87.34604,-62.07272,0.37,271.18,9.95,True,False,PSZ2 G271.18-30.95,,,,PSZ2 G271.18-30.95,,,,14.06,4.46,2.07,6.53
4,PSZ2 G172.98-53.55,Abell0370,39.96505,-1.56808,0.373,172.99,10.31,True,False,Abell0370,ABELL 0370,,ACT-CL J0239.8-0134,PSZ2 G172.98-53.55,,,ZwCl 0237.2-0146,14.58,4.49,2.09,6.57
4,PSZ2 G284.97-23.69,PSZ2 G284.97-23.69,110.83945,-73.43934,0.39,284.98,11.32,True,False,PSZ2 G284.97-23.69,,,,PSZ2 G284.97-23.69,,,,15.91,4.59,2.14,6.54
4,PSZ2 G341.16+34.81,AbellS0780,225.21151,-18.27528,0.39,341.17,10.01,True,False,AbellS0780,ABELL S0783,,,PSZ2 G341.16+34.81,,,,14.16,4.5,2.06,6.29
4,PSZ2 G286.98+32.90,PSZ2 G286.98+32.90,177.70615,-28.08548,0.39,286.99,19.82,True,False,PSZ2 G286.98+32.90,,,,PSZ2 G286.98+32.90,,,,27.25,5.18,2.56,7.82
4,PSZ2 G057.25-45.34,RXC J2211.7-0350,332.93076,-3.82923,0.397,57.25,14.17,True,False,RXC J2211.7-0350,,63810,ACT-CL J2211.7-0349,PSZ2 G057.25-45.34,,,,19.76,4.81,2.29,6.93
4,PSZ2 G243.15-73.84,PSZ2 G243.15-73.84,29.76292,-34.23511,0.41,243.15,10.91,True,False,PSZ2 G243.15-73.84,,80876,ACT-CL J0159.0-3413,PSZ2 G243.15-73.84,,,,15.33,4.59,2.1,6.22
4,PSZ2 G304.84-41.40,PSZ2 G304.84-41.40,7.06987,-75.63401,0.41,304.84,10.31,True,False,PSZ2 G304.84-41.40,,,,PSZ2 G304.84-41.40,,,,14.54,4.55,2.06,6.11
4,PSZ2 G239.27-26.01,MACS J0553.4-3342,88.34853,-33.70195,0.43,239.27,11.83,True,False,MACS J0553.4-3342,,81601,ACT-CL J0553.4-3342,PSZ2 G239.27-26.01,,,,16.58,4.7,2.14,6.15
4,PSZ2 G277.76-51.74,PSZ2 G277.76-51.74,43.56849,-58.96076,0.438,277.76,13.07,True,False,PSZ2 G277.76-51.74,,94481,ACT-CL J0254.3-5857,PSZ2 G277.76-51.74,,,,18.23,4.81,2.2,6.26
4,PSZ2 G284.41+52.45,MACS J1206.2-0847,181.56221,-8.78873,0.441,284.41,15.08,True,False,MACS J1206.2-0847,,66566,,PSZ2 G284.41+52.45,,,,20.92,4.97,2.3,6.52
4,PSZ2 G205.93-39.46,PSZ2 G205.93-39.46,64.40636,-11.89587,0.443,205.94,16.53,True,False,PSZ2 G205.93-39.46,,64990,ACT-CL J0417.5-1154,PSZ2 G205.93-39.46,,,MCXC J0417.5-1154,22.79,5.08,2.36,6.69
4,PSZ2 G056.93-55.08,68101,340.8341,-9.5951,0.447,56.94,13.48,True,False,,,68101,ACT-CL J2243.3-0935,PSZ2 G056.93-55.08,,,,18.77,4.86,2.21,6.23
