zbin,name,Cluster Name,ra,dec,z,gal_l,mass,complete,lowmass,CHANCES,Abell,CODEX,ACT-DR5,PSZ2,LoVoCCS,HIFLUGCS,MeerKAT,m200,c200,r200,d200
1,PSZ2 G224.38-24.95,ABELL 3358,84.58471,-20.64543,0.091,224.38,3.42,False,True,,ABELL 3358,73591,ACT-CL J0538.2-2038,PSZ2 G224.38-24.95,,,,4.93,4.06,1.62,15.31
1,PSZ2 G018.84+22.43,PSZ2 G018.84+22.43,256.60669,-1.50328,0.091,18.85,4.86,False,True,,,,,PSZ2 G018.84+22.43,,,,7.01,4.03,1.82,17.27
1,PSZ2 G255.52-35.66,ABELL 3330,78.70656,-49.0458,0.091,255.53,2.88,False,True,,ABELL 3330,91897,,PSZ2 G255.52-35.66,,,,4.15,4.08,1.53,14.5
1,PSZ2 G200.63-64.71,ABELL 0367,39.10859,-19.34895,0.091,200.63,3.34,False,True,,ABELL 0367,68918,,PSZ2 G200.63-64.71,,,,4.82,4.06,1.61,15.32
1,PSZ2 G062.44-46.43,ABELL 2440,335.98567,-1.61691,0.091,62.44,4.68,False,True,,ABELL 2440,59380,,PSZ2 G062.44-46.43,A2440,,,6.75,4.03,1.8,17.15
1,PSZ2 G099.57-58.64,ABELL 2700,0.94506,2.05365,0.092,99.58,3.02,False,True,,ABELL 2700,55038,ACT-CL J0003.8+0203,PSZ2 G099.57-58.64,,,,4.35,4.08,1.55,14.55
1,PSZ2 G008.80-35.18,ABELL 3694,308.65951,-34.06151,0.094,8.81,4.01,False,True,,ABELL 3694,83605,,PSZ2 G008.80-35.18,,,,5.78,4.04,1.71,15.81
1,PSZ2 G072.40-78.45,ABELL 0013,3.43054,-19.48619,0.094,72.4,3.72,False,True,,ABELL 0013,,,PSZ2 G072.40-78.45,A13,,MCXC J0013.6-1930,5.36,4.05,1.66,15.35
1,PSZ2 G324.54-44.97,101367,334.50479,-65.177,0.095,324.54,4.05,False,True,,,101367,,PSZ2 G324.54-44.97,RBS1847,,,5.84,4.04,1.71,15.63
1,PSZ2 G358.94-70.57,ABELL 4010,352.78031,-36.54981,0.096,358.94,3.4,False,True,,ABELL 4010,,ACT-CL J2331.2-3630,PSZ2 G358.94-70.57,A4010,,,4.9,4.06,1.61,14.66
1,PSZ2 G356.53+28.66,PSZ2 G356.53+28.66,239.6132,-14.16067,0.097,356.54,3.98,False,True,,,,,PSZ2 G356.53+28.66,RXCJ1558.3-1410,,,5.73,4.04,1.7,15.25
1,PSZ2 G272.08-29.06,ABELL S0567,91.48696,-62.79719,0.098,272.09,3.0,False,True,,ABELL S0567,97725,,PSZ2 G272.08-29.06,,,,4.32,4.07,1.54,13.78
1,PSZ2 G049.69-49.46,ABELL 2426,333.61761,-10.35244,0.098,49.7,4.9,False,True,,ABELL 2426,68049,ACT-CL J2214.5-1022,PSZ2 G049.69-49.46,A2426,,,7.07,4.03,1.82,16.2
1,PSZ2 G314.26-55.35,ABELL 4067,359.70648,-60.59652,0.099,314.27,3.05,False,True,,ABELL 4067,,,PSZ2 G314.26-55.35,A4067,,,4.39,4.07,1.55,13.71
1,PSZ2 G226.16-21.95,ABELL 0550,88.21371,-21.06502,0.099,226.16,5.22,False,True,,ABELL 0550,73599,ACT-CL J0552.9-2103,PSZ2 G226.16-21.95,,,,7.53,4.03,1.86,16.41
1,PSZ2 G340.46-52.20,ABELL 3864,335.08023,-52.45181,0.102,340.46,3.42,False,True,,ABELL 3864,94020,,PSZ2 G340.46-52.20,,,,4.93,4.05,1.61,13.85
1,PSZ2 G244.11-53.59,ABELL 3142,54.24953,-39.8299,0.103,244.12,3.73,False,True,,ABELL 3142,,,PSZ2 G244.11-53.59,,,,5.38,4.04,1.66,14.13
1,PSZ2 G342.51-50.97,ABELL 3836,332.38257,-51.82283,0.106,342.52,3.2,False,True,,ABELL 3836,94009,ACT-CL J2209.3-5147,PSZ2 G342.51-50.97,A3836,,,4.6,4.06,1.57,13.01
1,PSZ2 G346.30-30.35,ABELL 3653,298.31002,-52.06647,0.107,346.3,3.98,False,True,,ABELL 3653,,,PSZ2 G346.30-30.35,,,,5.73,4.04,1.69,13.95
1,PSZ2 G358.21-87.49,Abell2811,10.51932,-28.53339,0.108,358.21,4.92,False,True,Abell2811,ABELL 2811,76783,ACT-CL J0042.1-2832,PSZ2 G358.21-87.49,A2811,,MCXC J0042.1-2832,7.09,4.03,1.82,14.81
1,PSZ2 G041.43-66.81,ABELL 2554,348.10844,-21.55073,0.111,41.44,3.66,False,True,,ABELL 2554,76524,ACT-CL J2312.2-2130,PSZ2 G041.43-66.81,A2554,,,5.27,4.05,1.64,13.13
1,PSZ2 G065.81-83.77,ABELL 0042,7.15038,-23.63187,0.112,65.81,3.82,False,True,,ABELL 0042,72590,,PSZ2 G065.81-83.77,A42,,,5.5,4.04,1.67,13.19
1,PSZ2 G302.85-88.63,ABELL 2829,12.86147,-28.49781,0.112,302.86,4.19,False,True,,ABELL 2829,76852,,PSZ2 G302.85-88.63,,,,6.03,4.04,1.72,13.55
1,PSZ2 G045.50-37.21,63703,321.31991,-6.97814,0.115,45.51,3.79,False,True,,,63703,,PSZ2 G045.50-37.21,RXCJ2125.2-0657,,,5.46,4.04,1.66,12.81
1,PSZ2 G352.28-77.66,ABELL 2721,1.48968,-34.70146,0.115,352.28,5.4,False,True,,ABELL 2721,80599,ACT-CL J0005.9-3443,PSZ2 G352.28-77.66,A2721,,,7.78,4.04,1.87,14.48
1,PSZ2 G255.64-25.30,88833,94.2368,-47.79069,0.116,255.65,3.89,False,True,,,88833,,PSZ2 G255.64-25.30,,,MCXC J0616.8-4748,5.6,4.04,1.67,12.81
1,PSZ2 G285.52-62.23,ABELL 2941,26.26237,-53.0405,0.117,285.52,4.9,False,True,,ABELL 2941,91401,ACT-CL J0144.9-5301,PSZ2 G285.52-62.23,A2941,,MCXC J0145.0-5300,7.07,4.04,1.81,13.8
1,PSZ2 G295.34+23.34,86198,183.89083,-38.99294,0.119,295.35,5.71,False,True,,,86198,,PSZ2 G295.34+23.34,RXCJ1215.4-3900,,,8.22,4.05,1.9,14.27
1,PSZ2 G127.71-69.55,PSZ2 G127.71-69.55,14.53889,-6.75059,0.119,127.71,5.48,False,True,,,,,PSZ2 G127.71-69.55,,,,7.89,4.04,1.87,14.05
1,PSZ2 G277.38+47.07,ABELL 1348,175.36749,-12.29897,0.119,277.39,3.79,False,True,,ABELL 1348,,,PSZ2 G277.38+47.07,A1348,,,5.46,4.04,1.66,12.4
1,PSZ2 G000.04+45.13,ABELL 2051,229.19051,-1.01722,0.12,0.04,5.35,False,True,,ABELL 2051,58230,,PSZ2 G000.04+45.13,,,,7.7,4.04,1.86,13.88
1,PSZ2 G278.33-41.53,ABELL 3216,60.93188,-65.24202,0.12,278.33,4.53,False,True,,ABELL 3216,99654,,PSZ2 G278.33-41.53,,,,6.53,4.04,1.76,13.12
1,PSZ2 G346.36-77.71,ABELL 2730,2.48662,-35.66487,0.12,346.37,3.32,False,True,,ABELL 2730,80611,,PSZ2 G346.36-77.71,,,,4.79,4.05,1.59,11.82
1,PSZ2 G047.73-60.15,ABELL 2496,342.75837,-16.40015,0.122,47.74,4.54,False,True,,ABELL 2496,72226,ACT-CL J2250.9-1624,PSZ2 G047.73-60.15,,,,6.54,4.04,1.76,12.92
1,PSZ2 G268.30+28.89,74623,159.59889,-24.88419,0.123,268.3,3.82,False,True,,,74623,,PSZ2 G268.30+28.89,,,,5.51,4.04,1.66,12.12
