zbin,name,ra,dec,z,gal_l,mass,complete,lowmass,S-PLUS,CHANCES,Abell,WINGS,ACT-DR5,PSZ2,LoVoCCS,HIFLUGCS,MeerKAT
3,93244601,-44.69494,-41.17962,0.048,0.61,1.58,False,True,SPLUS-s32s43,,ABELL S0915,,,,,,
3,93225109,-44.5722,-28.03629,0.039,17.76,1.5,False,True,SPLUS-s22s21,,ABELL 3733,,,,,,
3,93244623,-44.49832,-38.59012,0.044,4.06,1.73,False,True,SPLUS-s30s45,,ABELL S0917,,,,,,
3,93263802,-43.80732,-51.87012,0.048,346.34,2.68,False,True,SPLUS-s40s36,,,,,,,,
3,93215401,-43.16545,-25.40061,0.038,21.49,1.27,False,True,SPLUS-s20s23,,ABELL 3744,,,,,,
3,59097,-41.51287,2.55329,0.048,53.52,4.37,False,True,,,,IIZW108,ACT-CL J2114.7+0232,PSZ2 G053.55-29.85,,IIZw108,
3,55264,13.59327,-1.4314,0.044,124.62,1.48,False,True,STRIPE82_0021,A0119,,,,PSZ2 G125.68-64.12,,,
3,55260,14.08043,-1.23728,0.044,125.73,5.61,False,True,STRIPE82_0021,A0119,ABELL 0119,A0119,,PSZ2 G125.68-64.12,A119,A0119,
3,93170301,14.09652,-1.2869,0.043,125.77,5.09,False,True,STRIPE82_0021,A0119,ABELL 0119,A0119,,PSZ2 G125.68-64.12,A119,A0119,
3,93170303,17.03786,2.21866,0.043,131.4,1.32,False,True,,A0147,ABELL 0147,A0147,,,,,
3,55215,17.04143,2.16859,0.044,131.42,2.16,False,True,,A0147,ABELL 0147,A0147,,,,,
3,55327,18.6285,0.00887,0.045,135.42,1.62,False,True,STRIPE82_0028,A0168,ABELL 0168,,,PSZ2 G135.76-62.03,,,MCXC J0115.2+0019
3,93170421,18.77347,0.32037,0.044,135.6,2.21,False,True,STRIPE82_0028,A0168,ABELL 0168,A0168,,PSZ2 G135.76-62.03,,,MCXC J0115.2+0019
3,55320,18.77653,0.34097,0.045,135.59,2.89,False,True,STRIPE82_0028,A0168,ABELL 0168,A0168,,PSZ2 G135.76-62.03,,,MCXC J0115.2+0019
3,68612,19.05526,-15.92544,0.044,151.36,1.72,False,True,SPLUS-s13s15,,,,,,,,
3,55502,30.57455,-1.11818,0.043,159.05,1.73,False,True,STRIPE82_0045,,ABELL 0295,,ACT-CL J0203.2-0123,,,,
3,85141,85.02079,-40.83635,0.037,246.41,4.2,False,True,,,ESO 306- G 017 GROUP,,,PSZ2 G246.36-30.27,,S540,MCXC J0540.1-4050
3,93221446,85.48569,-26.13328,0.039,230.41,1.58,False,True,,A0548W,,,,,,,
3,77698,85.53684,-26.12276,0.039,230.41,2.37,False,True,,A0548W,,,,,,,
3,77699,86.05548,-26.11417,0.041,230.57,1.66,False,True,,A0548W,,,,,,A0548w,
3,77694,86.36978,-25.93235,0.042,230.49,1.55,False,True,,A0548W,ABELL 0548,A0548b,,,,A0548w,Abell 548
3,73569,87.15959,-25.46585,0.04,230.27,2.95,False,True,,A0548E,ABELL 0548,,,PSZ2 G230.28-24.42,,A0548e,Abell 548
3,77800,87.3773,-25.56728,0.04,230.44,2.94,False,True,,A0548E,,,,PSZ2 G230.28-24.42,,A0548e,
3,95010,90.22685,-58.58243,0.037,267.22,1.59,False,True,S0560_2022B,S0560,ABELL S0560,,ACT-CL J0600.7-5836,,,,MCXC J0600.8-5835
3,93241301,90.37129,-40.00258,0.047,246.51,3.82,False,True,,A3376,ABELL 3376,A3376,,PSZ2 G246.50-26.09,,A3376,MCXC J0601.7-3959
3,85130,90.41714,-39.99367,0.046,246.51,4.82,False,True,,A3376,ABELL 3376,,,PSZ2 G246.50-26.09,,A3376,MCXC J0601.7-3959
3,93290819,92.22059,-65.72745,0.037,275.45,2.17,False,True,MC0027,,,,,PSZ2 G275.45-28.87,,,
3,93290803,94.03913,-69.84442,0.038,280.17,1.37,False,True,MC0068,,,,,,,,
3,93271105,96.80732,-54.49082,0.049,263.27,4.89,False,True,A3391_2022B,A3395,ABELL 3395,A3395,,PSZ2 G263.19-25.19,A3395,A3395n,MCXC J0627.2-5428
3,57263,153.44499,-0.91254,0.045,242.92,3.12,False,True,SPLUS-n02s03,A0957,ABELL 0957,A0957,ACT-CL J1015.2-0105,PSZ2 G243.02+42.87,,,
3,93172809,153.4519,-0.91429,0.046,242.93,2.28,False,True,SPLUS-n02s03,A0957,ABELL 0957,A0957,ACT-CL J1015.2-0105,PSZ2 G243.02+42.87,,,
3,57380,164.60129,1.5955,0.039,251.45,1.56,False,True,SPLUS-n02n11,,ABELL 1139,,,,,,
3,52808,170.40958,2.84169,0.049,257.58,2.65,False,True,SPLUS-n03n15,,,,,PSZ2 G257.51+57.54,,,
4,82560,-179.98697,-31.41105,0.068,290.25,4.43,False,True,,A3497,ABELL 3497,A3497,,PSZ2 G290.19+30.16,,,
4,66739,-166.07065,-12.65566,0.059,304.56,2.27,False,True,SPLUS-n10s32,,,,,,,,
4,66902,-149.59859,-11.13212,0.062,329.23,4.0,False,True,SPLUS-n09s45,,ABELL 1837,,,,,,
4,58066,-145.55832,2.04068,0.054,346.09,1.82,False,True,SPLUS-n03n48,,,,,,,,
4,96489,-61.92342,-55.05654,0.061,342.83,4.44,False,True,A3651_2022B,A3651,ABELL 3651,,,PSZ2 G342.82-30.48,,,
4,96490,-60.47062,-55.16389,0.058,342.78,2.53,False,True,A3651_2022B,A3651,,,ACT-CL J1956.9-5502,,,,
4,93244637,-43.25065,-39.63121,0.05,2.75,1.46,False,True,SPLUS-s31s44,,ABELL S0922,,,,,,
4,99149,-40.7884,-59.49832,0.058,335.93,3.51,False,True,SPLUS-s46s31,,ABELL S0927,,,,,,
4,93283002,-40.69255,-59.51056,0.058,335.89,2.28,False,True,SPLUS-s46s32,,ABELL S0927,,,,,,
4,93944,-33.63595,-51.612,0.056,344.79,2.28,False,True,SPLUS-s40s40,,ABELL S0968,,,,,,
4,90926,-33.25913,-43.91091,0.062,356.06,4.77,False,True,SPLUS-s34s48,A3809,ABELL 3809,A3809,,PSZ2 G356.04-49.50,,,
4,90951,-33.02787,-46.00519,0.062,352.84,3.76,False,True,SPLUS-s36s46,,ABELL S0974,,,,,,
4,68020,-31.68213,-13.55376,0.06,41.88,5.68,False,True,SPLUS-s11s03,,,,ACT-CL J2154.8-1322,,,,
4,63788,-30.62511,-7.83683,0.058,49.78,3.3,False,True,SPLUS-s07s05,A2399,ABELL 2399,A2399,,,,,
4,63763,-28.58566,-5.59461,0.058,53.97,5.65,False,True,SPLUS-s05s06,,ABELL 2415,A2415,,PSZ2 G053.99-45.06,A2415,,
4,59360,-22.78201,-0.01331,0.058,65.37,5.51,False,True,STRIPE82_0139,,,,,,,,
4,59400,-21.07966,1.50616,0.058,68.67,5.26,False,True,STRIPE82_0142,,ABELL 2457,A2457,,PSZ2 G068.61-46.60,,,
4,87774,-10.23329,-42.09974,0.057,348.49,2.4,False,True,SPLUS-s32s62,,ABELL S1111,,,,ACOS1111,,
4,84067,-2.13681,-34.47595,0.057,359.52,1.89,False,True,SPLUS-s27s73,,ABELL S1157,,,,,,
4,80613,0.8068,-35.92607,0.05,349.32,3.87,False,True,SPLUS-s28s01,A2717,ABELL 2717,A2717,,,,,
4,93220122,2.81095,-28.85968,0.061,19.55,3.89,False,True,SPLUS-s22s03,,ABELL 2734,A2734,,PSZ2 G019.48-80.97,A2734,A2734,
4,76711,2.82934,-28.84798,0.061,19.61,6.12,False,True,SPLUS-s22s03,,ABELL 2734,A2734,,PSZ2 G019.48-80.97,A2734,A2734,
