zbin,name,ra,dec,z,gal_l,mass,complete,lowmass,S-PLUS,CHANCES,Abell,WINGS,ACT-DR5,PSZ2,LoVoCCS,HIFLUGCS,MeerKAT
3,93281010,108.00673,-60.54771,0.033,271.3,0.91,False,False,,,,,,,,,MCXC J0712.0-6030
3,93202709,150.61341,-15.34033,0.031,253.8,0.88,False,False,SPLUS-n12s01,,ABELL 0911,,,,,,
3,57189,151.53602,-1.56867,0.035,241.98,0.9,False,False,SPLUS-n02s02,,,,ACT-CL J1004.8-0137,,,,
3,61823,155.15424,-4.56865,0.042,248.16,0.9,False,False,SPLUS-n04s04,,,,,,,,
3,61803,156.77106,-3.31906,0.032,248.43,0.94,False,False,SPLUS-n03s05,,,,,,,,
3,61798,157.5288,-3.14367,0.038,248.98,1.16,False,False,SPLUS-n03s06,,,,ACT-CL J1031.7-0302,,,,
3,93173009,164.65051,1.60502,0.04,251.5,1.14,False,False,SPLUS-n02n11,,ABELL 1139,,,,,,
4,66986,-138.35882,-8.79709,0.065,344.79,2.63,False,False,SPLUS-n07s53,,ABELL 1964,,,,,,
4,63702,-34.32133,-6.83267,0.053,48.42,1.23,False,False,SPLUS-s06s02,,ABELL 2366,,,,,,
4,63778,-31.89284,-7.01187,0.06,49.87,1.31,False,False,SPLUS-s06s04,,,,,,,,
4,76356,-29.5559,-22.43558,0.069,30.31,3.31,False,False,SPLUS-s18s32,,ABELL S0987,,,,,,
4,84174,9.34682,-39.11816,0.063,315.78,1.82,False,False,SPLUS-s30s06,,ABELL 2799,,,,,,
4,64216,10.49399,-9.81745,0.055,115.14,1.13,False,False,,A0085,ABELL 0087,,,PSZ2 G115.25-72.07,,,
4,64217,10.78993,-9.85979,0.055,116.09,1.14,False,False,,A0085,ABELL 0087,,,PSZ2 G116.24-72.94,,,
4,77107,36.49013,-29.56372,0.06,225.19,1.19,False,False,,,ABELL S0258,,,,,,MCXC J0225.1-2928
4,77232,47.86198,-26.9204,0.068,220.72,2.8,False,False,,A3094,ABELL 3094,,,PSZ2 G220.74-58.91,,,
4,73318,69.72095,-22.11313,0.068,220.57,4.27,False,False,,A0500,ABELL 0500,A0500,,PSZ2 G220.53-38.55,,,
4,65983,139.5993,-12.38769,0.055,243.23,1.41,False,False,,A0780,ABELL 0780,,,,A780,HYDRA-A,
4,61754,151.68805,-6.36779,0.061,246.84,1.31,False,False,SPLUS-n06s02,,,,,,,,
4,93172804,155.11964,-2.62678,0.064,246.19,2.25,False,False,SPLUS-n03s04,,,,,,,,
4,57284,155.13706,-2.4641,0.063,246.04,2.27,False,False,SPLUS-n03s04,,,,,,,,
4,61827,155.45397,-4.88726,0.054,248.74,1.31,False,False,SPLUS-n05s05,,ABELL 0993,,,,,,
