| index |                name | index_PSZ |        hms |       dms |     z | m500 | m500lo | m500hi |    hms_PSZ |   dms_PSZ | z_PSZ | m500_PSZ | m500lo_PSZ | m500hi_PSZ | index_ACT |            ACT_name |    hms_ACT |   dms_ACT | z_ACT | m500_ACT | m500lo_ACT | m500hi_ACT |
|    23 |  PSZ2 G253.04+36.83 |       332 | 10:17:18.3 | -10:41:37 | 0.059 | 2.30 |   0.21 |   0.19 | 10:17:18.3 | -10:41:37 |  0.06 |     2.30 |       0.21 |       0.19 |           |                     |            |           |       |          |            |            |
|    24 |  PSZ2 G256.67+42.05 |       359 | 10:39:58.2 | -08:42:45 | 0.065 | 1.80 |   0.29 |   0.24 | 10:39:58.2 | -08:42:45 |  0.06 |     1.80 |       0.29 |       0.24 |           |                     |            |           |       |          |            |            |
|    25 |  PSZ2 G280.21+14.57 |       361 | 10:48:52.2 | -42:49:49 | 0.058 | 1.78 |   0.24 |   0.24 | 10:48:52.2 | -42:49:49 |  0.06 |     1.78 |       0.24 |       0.24 |           |                     |            |           |       |          |            |            |
|    26 |  PSZ2 G257.51+57.54 |       372 | 11:21:27.0 | +02:50:31 | 0.047 | 1.52 |   0.19 |   0.19 | 11:21:27.0 | +02:50:31 |  0.05 |     1.52 |       0.19 |       0.19 |           |                     |            |           |       |          |            |            |
|    27 |  PSZ2 G287.72+26.46 |       314 | 11:45:16.8 | -34:26:33 | 0.070 | 2.58 |   0.23 |   0.23 | 11:45:16.8 | -34:26:33 |  0.07 |     2.58 |       0.23 |       0.23 |           |                     |            |           |       |          |            |            |
|    28 |  PSZ2 G290.19+30.16 |       337 | 11:59:48.6 | -31:25:36 | 0.068 | 2.25 |   0.21 |   0.22 | 11:59:48.6 | -31:25:36 |  0.07 |     2.25 |       0.21 |       0.22 |           |                     |            |           |       |          |            |            |
|    29 |  PSZ2 G303.56+47.54 |       365 | 12:53:12.6 | -15:19:19 | 0.046 | 1.70 |   0.20 |   0.20 | 12:53:12.6 | -15:19:19 |  0.05 |     1.70 |       0.20 |       0.20 |           |                     |            |           |       |          |            |            |
|    30 |  PSZ2 G303.75+33.70 |       307 | 12:54:34.1 | -29:09:43 | 0.054 | 2.87 |   0.17 |   0.19 | 12:54:34.1 | -29:09:43 |  0.05 |     2.87 |       0.17 |       0.19 |           |                     |            |           |       |          |            |            |
|    31 |  PSZ2 G304.91+45.43 |       259 | 12:57:16.2 | -17:24:38 | 0.047 | 3.69 |   0.17 |   0.16 | 12:57:16.2 | -17:24:38 |  0.05 |     3.69 |       0.17 |       0.16 |           |                     |            |           |       |          |            |            |
|    32 |  PSZ2 G304.44+32.48 |       272 | 12:57:21.8 | -30:22:00 | 0.055 | 3.45 |   0.20 |   0.19 | 12:57:21.8 | -30:22:00 |  0.06 |     3.45 |       0.20 |       0.19 |           |                     |            |           |       |          |            |            |
|    33 |  PSZ2 G312.62+35.05 |       304 | 13:27:04.8 | -27:08:59 | 0.046 | 2.89 |   0.17 |   0.17 | 13:27:04.8 | -27:08:59 |  0.05 |     2.89 |       0.17 |       0.17 |           |                     |            |           |       |          |            |            |
|    34 |  PSZ2 G311.98+30.71 |       180 | 13:27:58.3 | -31:30:45 | 0.048 | 4.79 |   0.17 |   0.17 | 13:27:58.3 | -31:30:45 |  0.05 |     4.79 |       0.17 |       0.17 |           |                     |            |           |       |          |            |            |
|    35 |  PSZ2 G313.33+30.29 |       326 | 13:33:40.2 | -31:43:04 | 0.049 | 2.44 |   0.24 |   0.21 | 13:33:40.2 | -31:43:04 |  0.05 |     2.44 |       0.24 |       0.21 |           |                     |            |           |       |          |            |            |
|    36 |  PSZ2 G316.31+28.53 |       189 | 13:47:29.3 | -32:52:28 | 0.039 | 4.63 |   0.15 |   0.14 | 13:47:29.3 | -32:52:28 |  0.04 |     4.63 |       0.15 |       0.14 |           |                     |            |           |       |          |            |            |
|    37 |  PSZ2 G326.01+17.21 |       345 | 14:49:07.2 | -40:19:39 | 0.062 | 2.12 |   0.26 |   0.24 | 14:49:07.2 | -40:19:39 |  0.06 |     2.12 |       0.26 |       0.24 |           |                     |            |           |       |          |            |            |
|    38 |  PSZ2 G324.59-11.52 |        20 | 16:38:18.9 | -64:21:33 | 0.051 | 7.94 |   0.16 |   0.15 | 16:38:18.9 | -64:21:33 |  0.05 |     7.94 |       0.16 |       0.15 |           |                     |            |           |       |          |            |            |
|    39 |  PSZ2 G317.58-17.82 |       348 | 16:45:29.5 | -73:35:32 | 0.069 | 2.06 |   0.25 |   0.27 | 16:45:29.5 | -73:35:32 |  0.07 |     2.06 |       0.25 |       0.27 |           |                     |            |           |       |          |            |            |
|    40 |  PSZ2 G342.82-30.48 |       283 | 19:52:11.9 | -55:03:48 | 0.060 | 3.24 |   0.20 |   0.18 | 19:52:11.9 | -55:03:48 |  0.06 |     3.24 |       0.20 |       0.18 |           |                     |            |           |       |          |            |            |
|    41 |  PSZ2 G340.88-33.36 |        44 | 20:12:26.5 | -56:49:51 | 0.055 | 5.67 |   1.56 |   2.03 | 20:12:20.1 | -56:48:53 |  0.06 |     7.04 |       0.05 |       0.05 |       130 | ACT-CL J2012.4-5649 | 20:12:26.5 | -56:49:51 |  0.06 |     5.67 |       1.56 |       2.03 |
|    42 |  PSZ2 G345.82-34.29 |       356 | 20:18:49.0 | -52:42:54 | 0.051 | 1.84 |   0.16 |   0.21 | 20:18:49.0 | -52:42:54 |  0.05 |     1.84 |       0.16 |       0.21 |           |                     |            |           |       |          |            |            |
|    43 |  PSZ2 G345.38-39.32 |       358 | 20:52:13.1 | -52:50:11 | 0.045 | 1.81 |   0.18 |   0.18 | 20:52:13.1 | -52:50:11 |  0.04 |     1.81 |       0.18 |       0.18 |           |                     |            |           |       |          |            |            |
|    44 |  PSZ2 G357.75-41.77 |       368 | 21:03:43.0 | -43:19:33 | 0.049 | 1.55 |   0.23 |   0.22 | 21:03:43.0 | -43:19:33 |  0.05 |     1.55 |       0.23 |       0.22 |           |                     |            |           |       |          |            |            |
|    45 |  PSZ2 G356.04-49.50 |       367 | 21:46:50.9 | -43:55:26 | 0.062 | 1.67 |   0.26 |   0.23 | 21:46:50.9 | -43:55:26 |  0.06 |     1.67 |       0.26 |       0.23 |           |                     |            |           |       |          |            |            |
|    46 |  PSZ2 G348.46-64.83 |       373 | 23:13:58.1 | -42:43:46 | 0.056 | 3.39 |   1.02 |   1.38 | 23:13:54.7 | -42:40:21 |  0.06 |     1.46 |       0.22 |       0.22 |       592 | ACT-CL J2313.9-4243 | 23:13:58.1 | -42:43:46 |  0.06 |     3.39 |       1.02 |       1.38 |
|    47 |  PSZ2 G356.25-76.07 |       323 | 23:57:01.3 | -34:45:10 | 0.050 | 4.26 |   1.16 |   1.51 | 23:57:03.3 | -34:47:17 |  0.05 |     2.47 |       0.15 |       0.16 |       284 | ACT-CL J2357.0-3445 | 23:57:01.3 | -34:45:10 |  0.05 |     4.26 |       1.16 |       1.51 |
