#priorities: MENeaCS CoMaLit AXES-2MRS(0.00-0.04) AXES-LEGACY(0.00-0.04) ACT-DR5 SPT-ECS SPT-SZ WINGS MCXC PSZ2 CODEX AXES-2MRS(0.04-1.00) AXES-LEGACY(0.04-1.00)
#masscols: PSZ2:MSZ ACT-DR5:M500cCal SPT-ECS:M500 SPT-SZ:M500 MCXC:M500 CODEX:M200c CoMaLit:M200c AXES-2MRS:M200c AXES-LEGACY:M200c MENeaCS:m200 LoCuSS:M200 eRASS1:M500 WINGS:m200
#factors: PSZ2:1.09 ACT-DR5:1 SPT-ECS:1 SPT-SZ:1 MCXC:1.37 CODEX:0.69 CoMaLit:1 AXES-2MRS:0.86 AXES-LEGACY:0.86 MENeaCS:1 LoCuSS:1 eRASS1:1 WINGS:0.76
name,ra,dec,z,m200_listed,r200 (arcmin),S-PLUS,S-PLUS catalogues,Merged Cats,Target Lists,Jan25 upload,Targets June2023,Targets Sept2023,PSZ2_idx,PSZ2,ACT-DR5_idx,ACT-DR5,SPT-ECS_idx,SPT-ECS,SPT-SZ_idx,SPT-SZ,eRASS1_idx,eRASS1,MCXC_idx,MCXC,redMaPPer_idx,redMaPPer,CODEX_idx,CODEX,CODEX_M200c,AXES-2MRS_idx,AXES-2MRS,AXES-LEGACY_idx,AXES-LEGACY,CoMaLit_idx,CoMaLit,DECam,MeerKAT_idx,MeerKAT,MKDiffuse_idx,MKDiffuse,XMM_idx,XMM,HIFLUGCS_idx,HIFLUGCS,MENeaCS_idx,MENeaCS,LoCuSS_idx,LoCuSS,LoVoCCS_idx,LoVoCCS,CLASH-VLT_idx,CLASH-VLT,WINGS_idx,WINGS,PSZ2_MSZ,m200_PSZ2,r200_PSZ2,ACT-DR5_M500cCal,m200_ACT-DR5,r200_ACT-DR5,SPT-ECS_M500,m200_SPT-ECS,r200_SPT-ECS,SPT-SZ_M500,m200_SPT-SZ,r200_SPT-SZ,MCXC_M500,m200_MCXC,r200_MCXC,m200_CODEX,r200_CODEX,CoMaLit_M200c,m200_CoMaLit,r200_CoMaLit,AXES-2MRS_M200c,m200_AXES-2MRS,r200_AXES-2MRS,AXES-LEGACY_M200c,m200_AXES-LEGACY,r200_AXES-LEGACY,MENeaCS_m200,m200_MENeaCS,r200_MENeaCS,LoCuSS_M200,m200_LoCuSS,r200_LoCuSS,eRASS1_M500,m200_eRASS1,r200_eRASS1,WINGS_m200,m200_WINGS,r200_WINGS,source,m200,r200,d200,N_first,N_tgss,N_spec,N_spec_z,5d200(deg),hms,dms
Abell 2457,338.9200,1.5060,0.0580,5.59e+14,24.09,YES,NO,TRUE,TRUE,FALSE,5637,0,22,PSZ2 G068.61-46.60,-99,,-99,,-99,,-99,,321,J2235.6+0128,-99,,1334,113312,5.48e+14,-99,,613,93176102,-99,,DR10,-99,,-99,,-99,,-99,,-99,,-99,,-99,,-99,,26,A2457,1.93e+14,3.01e+14,1.39,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.00,1.82e+14,3.57e+14,1.47,3.78e+14,1.50,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.00,3.78e+14,3.25e+14,1.42,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.00,2.70e+14,2.06e+14,1.22,WINGS,2.06e+14,1.22,17.53,527,125,13777,1396,1.46,22:35:40.8,+01:30:21.6
Abell 2717,0.8040,-35.9330,0.0500,3.80e+14,24.8,YES,80% to 5r200,TRUE,TRUE,TRUE,4922,4922,-99,,-99,,-99,,-99,,4,1eRASS J000313.1-355607,1,J0003.2-3555,-99,,2610,131889,4.19e+14,-99,,422,93230102,-99,,DR10,-99,,-99,,-99,,-99,,-99,,-99,,-99,,-99,,34,A2717,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.00,1.20e+14,2.31e+14,1.27,2.89e+14,1.37,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.00,2.66e+14,2.29e+14,1.27,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.00,2.28e+14,3.29e+14,1.43,1.91e+14,1.45e+14,1.09,WINGS,1.45e+14,1.09,18.00,0,138,6674,804,1.50,00:03:13.0,-35:55:58.8
Abell 2734,2.8360,-28.8550,0.0610,6.19e+14,23.77,YES,50% to 5r200,TRUE,TRUE,FALSE,4443,0,5,PSZ2 G019.48-80.97,-99,,-99,,-99,,-99,,4,J0011.3-2851,-99,,2426,128504,6.09e+14,416,93220122,286,93220122,-99,,DR10,-99,,-99,,22,RXCJ0011.3-2851,-99,,-99,,-99,,93,A2734,-99,,35,A2734,2.61e+14,4.11e+14,1.54,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.00,2.06e+14,4.08e+14,1.53,4.20e+14,1.55,-1.00e+00,-1.00e+00,-1.00,3.89e+14,3.35e+14,1.44,3.91e+14,3.37e+14,1.44,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.00,3.17e+14,2.41e+14,1.29,WINGS,2.41e+14,1.29,17.62,0,122,7315,1670,1.47,00:11:20.6,-28:51:18.0
Abell 2870,16.9330,-46.9000,0.0230,6.59e+14,60.67,YES,70% to 5r200,TRUE,TRUE,FALSE,13195,3447,-99,,-99,,-99,,-99,,42,1eRASS J010756.6-465217,-99,,-99,,2852,138237,6.48e+14,-99,,-99,,-99,,DR10,-99,,-99,,-99,,-99,,-99,,-99,,-99,,-99,,-99,,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.00,4.47e+14,1.59,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.00,5.01e+13,7.03e+13,0.86,-1.00e+00,-1.00e+00,-1.00,CODEX,4.47e+14,1.59,55.14,0,1045,10395,1256,4.60,01:07:43.9,-46:54:00.0
Abell 2877,17.5010,-45.9230,0.0240,3.19e+14,47.65,YES,NO,TRUE,TRUE,FALSE,0,0,83,PSZ2 G293.12-70.85,-99,,-99,,-99,,43,1eRASS J010954.3-455544,23,J0110.0-4555,-99,,2850,138224,3.09e+14,175,93250301,282,93250301,-99,,DR10,-99,,-99,,15,IC 1633,-99,,-99,,-99,,-99,,-99,,-99,,1.14e+14,1.75e+14,1.17,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.00,7.10e+13,1.37e+14,1.08,2.13e+14,1.24,-1.00e+00,-1.00e+00,-1.00,1.45e+14,1.25e+14,1.05,1.47e+14,1.27e+14,1.05,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.00,1.34e+14,1.88e+14,1.20,-1.00e+00,-1.00e+00,-1.00,AXES-2MRS,1.25e+14,1.05,34.83,0,436,5222,846,2.90,01:10:00.2,-45:55:22.8
Abell 3223,62.0670,-30.8940,0.0600,4.21e+14,21.56,YES,YES,TRUE,TRUE,TRUE,3044,0,-99,,-99,,-99,,-99,,291,1eRASS J040815.9-305724,73,J0408.2-3053,-99,,2513,129034,4.10e+14,-99,,257,93231018,-99,,DR10,-99,,-99,,-99,,-99,,-99,,-99,,-99,,-99,,-99,,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.00,1.53e+14,2.99e+14,1.38,2.83e+14,1.36,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.00,2.85e+14,2.45e+14,1.29,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.00,2.62e+14,3.79e+14,1.50,-1.00e+00,-1.00e+00,-1.00,MCXC,2.99e+14,1.38,19.25,0,178,1144,433,1.60,04:08:16.1,-30:53:38.4
Abell 3266,67.8040,-61.4500,0.0540,1.63e+15,37.47,NO,YES,TRUE,TRUE,TRUE,7174,0,75,PSZ2 G272.08-40.16,-99,,-99,,65,SPT-CLJ0431-6126,360,1eRASS J043116.2-612720,79,J0431.4-6126,-99,,3113,146114,1.64e+15,-99,,4,93280732,-99,,DR10,63,MCXC J0431.4-6126,75,J0431.4-6126,-99,,16,A3266,-99,,-99,,5,A3266,-99,,40,A3266,6.64e+14,1.05e+15,2.10,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.00,4.84e+14,7.00e+14,1.84,4.56e+14,9.03e+14,2.00,1.13e+15,2.15,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.00,9.83e+14,8.45e+14,1.96,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.00,5.85e+14,8.46e+14,1.96,1.48e+15,1.13e+15,2.15,SPT-SZ,7.00e+14,1.84,28.21,0,0,3579,1919,2.35,04:31:13.0,-61:27:00.0
Abell 3301,75.1940,-38.6780,0.0540,4.41e+14,24.21,YES,NO,TRUE,TRUE,FALSE,3359,0,51,PSZ2 G242.41-37.40,-99,,-99,,-99,,443,1eRASS J050049.6-384032,87,J0500.7-3840,-99,,2696,135635,4.31e+14,459,93241110,389,93241110,-99,,DR10,-99,,-99,,-99,,-99,,-99,,-99,,-99,,-99,,-99,,1.75e+14,2.74e+14,1.35,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.00,1.27e+14,2.44e+14,1.30,2.97e+14,1.38,-1.00e+00,-1.00e+00,-1.00,2.52e+14,2.16e+14,1.24,2.50e+14,2.15e+14,1.24,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.00,2.68e+14,3.87e+14,1.51,-1.00e+00,-1.00e+00,-1.00,MCXC,2.44e+14,1.30,19.89,0,72,900,385,1.66,05:00:46.6,-38:40:40.8
Abell 3341,81.3920,-31.5950,0.0374,4.01e+14,32.88,NO,NO,TRUE,TRUE,FALSE,6537,3870,-99,,-99,,-99,,-99,,506,1eRASS J052535.9-313610,92,J0525.5-3135,-99,,2518,132603,3.91e+14,154,93231308,205,93231308,-99,,DR10,-99,,-99,,-99,,-99,,-99,,-99,,-99,,-99,,-99,,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.00,1.09e+14,2.10e+14,1.24,2.70e+14,1.34,-1.00e+00,-1.00e+00,-1.00,2.19e+14,1.89e+14,1.20,2.17e+14,1.86e+14,1.19,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.00,1.80e+14,2.57e+14,1.33,-1.00e+00,-1.00e+00,-1.00,AXES-2MRS,1.89e+14,1.20,25.96,0,272,10249,679,2.16,05:25:34.1,-31:35:42.0
Abell 3376,90.1700,-40.0330,0.0460,4.80e+14,29.04,NO,90% to 5r200,TRUE,TRUE,TRUE,4172,0,-99,,-99,,-99,,-99,,603,1eRASS J060034.8-395934,-99,,-99,,-99,,-1.00e+00,-99,,-99,,-99,,DR10,-99,,-99,,-99,,-99,,-99,,-99,,-99,,-99,,41,A3376,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.00,7.88e+13,1.11e+14,1.00,5.34e+14,4.06e+14,1.54,WINGS,4.06e+14,1.54,27.46,0,254,7412,1161,2.29,06:00:40.8,-40:01:58.8
Abell 3391,96.5950,-53.6970,0.0510,6.52e+14,27.83,NO,YES,TRUE,TRUE,TRUE,5191,0,66,PSZ2 G262.36-25.15,-99,,-99,,-99,,653,1eRASS J062621.1-534126,110,J0626.3-5341,-99,,-99,,-1.00e+00,-99,,39,93271104,-99,,DR10,79,MCXC J0626.3-5341,-99,,-99,,19,A3391,-99,,-99,,-99,,-99,,-99,,2.82e+14,4.44e+14,1.58,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.00,2.16e+14,4.28e+14,1.56,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.00,5.03e+14,4.32e+14,1.57,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.00,4.36e+14,6.31e+14,1.78,-1.00e+00,-1.00e+00,-1.00,MCXC,4.28e+14,1.56,25.32,0,49,2814,1310,2.11,06:26:22.8,-53:41:49.2
Abell 3395,96.9000,-54.4330,0.0500,7.28e+14,30.81,NO,YES,TRUE,TRUE,TRUE,5191,0,67,PSZ2 G263.19-25.19,-99,,-99,,-99,,657,1eRASS J062737.6-542715,112,J0627.2-5428,-99,,-99,,-1.00e+00,77,93271105,26,93271105,-99,,DR10,80,MCXC J0627.2-5428,82,J0627.2-5428,-99,,-99,,-99,,-99,,69,A3395,-99,,42,A3395,3.21e+14,5.06e+14,1.65,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.00,2.40e+14,4.75e+14,1.62,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.00,4.89e+14,4.20e+14,1.56,5.09e+14,4.38e+14,1.58,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.00,3.42e+14,4.95e+14,1.64,2.51e+15,1.91e+15,2.57,PSZ2,5.06e+14,1.65,27.28,0,20,2994,1446,2.27,06:27:36.0,-54:25:58.8
Abell 3490,176.3330,-34.3330,0.0690,5.20e+14,20.0,NO,YES,TRUE,TRUE,FALSE,4588,0,-99,,-99,,-99,,-99,,-99,,-99,,-99,,-99,,-1.00e+00,-99,,744,93232702,-99,,DR10,-99,,-99,,-99,,-99,,-99,,-99,,-99,,-99,,-99,,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.00,3.51e+14,3.01e+14,1.38,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.00,AXES-LEGACY,3.01e+14,1.38,16.91,0,96,6602,1319,1.41,11:45:19.9,-34:19:58.8
Abell 3497,180.0160,-31.3830,0.0680,4.35e+14,21.46,NO,60% to 5r200,TRUE,TRUE,FALSE,3855,0,81,PSZ2 G290.19+30.16,-99,,-99,,-99,,860,1eRASS J120006.5-312322,156,J1200.0-3124,-99,,2530,133582,4.24e+14,-99,,-99,,-99,,DR10,-99,,-99,,-99,,-99,,-99,,-99,,-99,,-99,,44,A3497,2.25e+14,3.55e+14,1.46,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.00,1.56e+14,3.06e+14,1.39,2.92e+14,1.37,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.00,2.25e+14,3.26e+14,1.42,4.06e+14,3.09e+14,1.39,WINGS,3.09e+14,1.39,17.28,0,79,6773,1192,1.44,12:00:03.8,-31:22:58.8
Abell 3526,192.1990,-41.3080,0.0110,2.55e+14,95.37,NO,NO,FALSE,FALSE,FALSE,33827,0,84,PSZ2 G302.41+21.60,-99,,-99,,-99,,909,1eRASS J124849.7-411839,168,J1248.7-4118,-99,,-99,,-1.00e+00,5,93242801,-99,,-99,,DR10,99,MCXC J1248.7-4118,-99,,-99,,29,A3526,-99,,-99,,-99,,-99,,-99,,1.32e+14,2.03e+14,1.24,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.00,1.62e+14,3.17e+14,1.43,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.00,3.25e+14,2.79e+14,1.37,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.00,2.70e+14,3.90e+14,1.54,-1.00e+00,-1.00e+00,-1.00,AXES-2MRS,2.79e+14,1.37,98.26,0,3669,22047,2340,8.19,12:48:47.8,-41:18:28.8
Abell 3565,204.0190,-34.2250,0.0130,2.10e+14,75.75,NO,NO,FALSE,FALSE,FALSE,0,0,-99,,-99,,-99,,-99,,-99,,-99,,-99,,-99,,-1.00e+00,117,93233201,-99,,-99,,DR10,-99,,-99,,-99,,-99,,-99,,-99,,-99,,-99,,-99,,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.00,2.15e+14,1.85e+14,1.20,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.00,AXES-2MRS,1.85e+14,1.20,72.58,0,1861,19495,2920,6.05,13:36:04.6,-34:13:30.0
Abell 3571,206.8680,-32.8490,0.0390,1.44e+15,49.13,NO,NO,TRUE,TRUE,FALSE,0,0,100,PSZ2 G316.31+28.53,-99,,-99,,-99,,1024,1eRASS J134729.0-325207,208,J1347.4-3250,-99,,-99,,-1.00e+00,34,93233220,18,93233220,-99,,DR10,-99,,-99,,-99,,38,A3571,-99,,-99,,8,A3571,-99,,-99,,4.63e+14,7.29e+14,1.88,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.00,4.51e+14,8.93e+14,2.01,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.00,1.01e+15,8.69e+14,1.99,1.01e+15,8.65e+14,1.99,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.00,6.65e+14,9.62e+14,2.06,-1.00e+00,-1.00e+00,-1.00,AXES-2MRS,8.69e+14,1.99,41.49,0,505,5433,2852,3.46,13:47:28.3,-32:50:56.4
Abell 3574,207.2780,-30.3260,0.0160,6.40e+13,41.61,NO,NO,FALSE,FALSE,FALSE,0,0,-99,,-99,,-99,,-99,,1025,1eRASS J134905.3-301743,209,J1349.3-3018,-99,,-99,,-1.00e+00,12,93223401,37,93223401,-99,,DR10,-99,,-99,,-99,,-99,,-99,,-99,,-99,,-99,,-99,,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.00,3.03e+13,5.66e+13,0.81,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.00,3.16e+14,2.72e+14,1.36,2.79e+14,2.40e+14,1.31,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.00,-1.00e+13,nan,nan,-1.00e+00,-1.00e+00,-1.00,AXES-2MRS,2.72e+14,1.36,67.25,0,1315,15879,3801,5.60,13:49:06.7,-30:19:33.6
Abell 3581,211.8670,-27.0150,0.0230,7.31e+14,65.48,NO,NO,FALSE,FALSE,FALSE,16635,0,-99,,-99,,-99,,-99,,1045,1eRASS J140729.6-270101,214,J1407.4-2700,-99,,2418,130695,7.20e+14,40,93223508,130,93223508,-99,,DR10,-99,,-99,,-99,,40,A3581,-99,,-99,,-99,,-99,,-99,,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.00,1.08e+14,2.08e+14,1.24,4.97e+14,1.66,-1.00e+00,-1.00e+00,-1.00,2.36e+14,2.03e+14,1.23,2.25e+14,1.94e+14,1.21,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.00,2.30e+14,3.33e+14,1.45,-1.00e+00,-1.00e+00,-1.00,AXES-2MRS,2.03e+14,1.23,42.74,0,464,3675,1101,3.56,14:07:28.1,-27:00:54.0
Abell 3651,298.0680,-55.0620,0.0600,4.71e+14,22.39,NO,"6 tiles, <5r200",TRUE,TRUE,TRUE,4634,4634,120,PSZ2 G342.82-30.48,-99,,-99,,-99,,1117,1eRASS J195206.2-550350,257,J1952.2-5503,-99,,3016,145370,4.61e+14,-99,,845,93273308,-99,,DR10,-99,,-99,,-99,,-99,,-99,,-99,,-99,,-99,,-99,,3.24e+14,5.11e+14,1.66,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.00,1.47e+14,2.88e+14,1.37,3.18e+14,1.41,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.00,3.80e+14,3.27e+14,1.42,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.00,3.75e+14,5.42e+14,1.69,-1.00e+00,-1.00e+00,-1.00,MCXC,2.88e+14,1.37,19.01,0,0,921,542,1.58,19:52:16.3,-55:03:43.2
Abell 3667,303.1120,-56.8160,0.0530,1.47e+15,36.84,NO,YES,TRUE,TRUE,TRUE,5908,5908,119,PSZ2 G340.88-33.36,18,ACT-CL J2012.4-5649,-99,,111,SPT-CLJ2012-5649,1128,1eRASS J201227.0-565008,261,J2012.5-5649,-99,,-99,,-1.00e+00,468,93273325,106,93273325,-99,,DR10,25,MCXC J2012.5-5649,27,Abell 3667,-99,,55,A3667,-99,,-99,,3,A3667,-99,,51,A3667,7.04e+14,1.11e+15,2.15,5.67e+14,8.19e+14,1.94,-1.00e+00,-1.00e+00,-1.00,4.85e+14,7.01e+14,1.84,5.17e+14,1.02e+15,2.09,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.00,1.03e+15,8.88e+14,1.99,1.03e+15,8.89e+14,1.99,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.00,7.60e+14,1.10e+15,2.14,1.31e+15,9.97e+14,2.07,ACT-DR5,8.19e+14,1.94,30.28,0,0,3176,1435,2.52,20:12:26.9,-56:48:57.6
Abell 3716,312.8750,-52.7160,0.0450,4.00e+14,27.91,NO,NO,TRUE,TRUE,FALSE,0,3967,-99,,-99,,-99,,-99,,-99,,-99,,-99,,-99,,-1.00e+00,-99,,-99,,-99,,DR10,-99,,-99,,-99,,-99,,-99,,-99,,-99,,-99,,52,A3716,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.00,6.05e+14,4.60e+14,1.60,WINGS,4.60e+14,1.60,29.22,0,150,3091,1466,2.44,20:51:30.0,-52:42:57.6
Abell 3809,326.7450,-43.8830,0.0630,5.59e+14,22.64,YES,YES,TRUE,TRUE,TRUE,4118,3003,127,PSZ2 G356.04-49.50,-99,,-99,,-99,,1158,1eRASS J214658.9-435353,289,J2146.9-4354,-99,,2812,140639,5.49e+14,-99,,365,93254410,-99,,DR10,-99,,-99,,-99,,-99,,-99,,-99,,-99,,-99,,54,A3809,1.67e+14,2.60e+14,1.32,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.00,1.73e+14,3.38e+14,1.44,3.79e+14,1.49,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.00,3.63e+14,3.12e+14,1.40,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.00,3.26e+14,4.71e+14,1.61,1.36e+14,1.03e+14,0.97,WINGS,1.03e+14,0.97,12.89,0,23,1566,603,1.07,21:46:58.8,-43:52:58.8
Abell 4059,359.2500,-34.7590,0.0480,1.27e+15,38.52,YES,NO,TRUE,TRUE,TRUE,7135,7135,128,PSZ2 G356.25-76.07,29,ACT-CL J2357.0-3445,23,SPT-CLJ2357-3446,-99,,1229,1eRASS J235700.8-344530,348,J2357.0-3445,-99,,2579,134924,1.26e+15,-99,,95,93235501,-99,,DR10,-99,,-99,,-99,,62,A4059,-99,,-99,,50,A4059,-99,,56,A4059,2.47e+14,3.89e+14,1.52,4.26e+14,6.17e+14,1.77,5.37e+14,7.77e+14,1.91,-1.00e+00,-1.00e+00,-1.00,2.67e+14,5.28e+14,1.68,8.72e+14,1.98,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.00,5.50e+14,4.73e+14,1.62,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.00,4.69e+14,6.78e+14,1.82,4.70e+14,3.57e+14,1.47,ACT-DR5,6.17e+14,1.77,30.28,0,213,13584,2281,2.52,23:57:00.0,-34:45:32.4
Abell S560,90.2010,-58.5870,0.0370,2.11e+14,27.25,NO,YES,TRUE,TRUE,FALSE,4949,3407,-99,,11,ACT-CL J0600.7-5836,-99,,-99,,604,1eRASS J060048.9-583533,104,J0600.8-5835,-99,,3066,144145,2.09e+14,464,93271006,264,93271006,-99,,DR10,74,MCXC J0600.8-5835,-99,,-99,,-99,,-99,,-99,,-99,,-99,,-99,,-1.00e+00,-1.00e+00,-1.00,5.67e+14,8.19e+14,1.95,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.00,4.32e+13,8.31e+13,0.91,1.44e+14,1.09,-1.00e+00,-1.00e+00,-1.00,9.58e+13,8.24e+13,0.91,9.50e+13,8.17e+13,0.91,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.00,1.06e+14,1.48e+14,1.10,-1.00e+00,-1.00e+00,-1.00,AXES-2MRS,8.24e+13,0.91,19.90,0,0,695,223,1.66,06:00:48.2,-58:35:13.2
