#priorities: MENeaCS CoMaLit AXES-2MRS(0.00-0.04) AXES-LEGACY(0.00-0.04) ACT-DR5 SPT-ECS SPT-SZ WINGS MCXC PSZ2 CODEX AXES-2MRS(0.04-1.00) AXES-LEGACY(0.04-1.00)
#masscols: PSZ2:MSZ ACT-DR5:M500cCal SPT-ECS:M500 SPT-SZ:M500 MCXC:M500 CODEX:M200c CoMaLit:M200c AXES-2MRS:M200c AXES-LEGACY:M200c MENeaCS:m200 LoCuSS:M200 eRASS1:M500 WINGS:m200
#factors: PSZ2:1.09 ACT-DR5:1 SPT-ECS:1 SPT-SZ:1 MCXC:1.37 CODEX:0.69 CoMaLit:1 AXES-2MRS:0.86 AXES-LEGACY:0.86 MENeaCS:1 LoCuSS:1 eRASS1:1 WINGS:0.76
name,ra,dec,z,m200_listed,r200 (arcmin),S-PLUS,S-PLUS catalogues,Merged Cats,Target Lists,Jan25 upload,Targets June2023,Targets Sept2023,PSZ2_idx,PSZ2,ACT-DR5_idx,ACT-DR5,SPT-ECS_idx,SPT-ECS,SPT-SZ_idx,SPT-SZ,eRASS1_idx,eRASS1,MCXC_idx,MCXC,redMaPPer_idx,redMaPPer,CODEX_idx,CODEX,CODEX_M200c,AXES-2MRS_idx,AXES-2MRS,AXES-LEGACY_idx,AXES-LEGACY,CoMaLit_idx,CoMaLit,DECam,MeerKAT_idx,MeerKAT,MKDiffuse_idx,MKDiffuse,XMM_idx,XMM,HIFLUGCS_idx,HIFLUGCS,MENeaCS_idx,MENeaCS,LoCuSS_idx,LoCuSS,LoVoCCS_idx,LoVoCCS,CLASH-VLT_idx,CLASH-VLT,WINGS_idx,WINGS,PSZ2_MSZ,m200_PSZ2,r200_PSZ2,ACT-DR5_M500cCal,m200_ACT-DR5,r200_ACT-DR5,SPT-ECS_M500,m200_SPT-ECS,r200_SPT-ECS,SPT-SZ_M500,m200_SPT-SZ,r200_SPT-SZ,MCXC_M500,m200_MCXC,r200_MCXC,m200_CODEX,r200_CODEX,CoMaLit_M200c,m200_CoMaLit,r200_CoMaLit,AXES-2MRS_M200c,m200_AXES-2MRS,r200_AXES-2MRS,AXES-LEGACY_M200c,m200_AXES-LEGACY,r200_AXES-LEGACY,MENeaCS_m200,m200_MENeaCS,r200_MENeaCS,LoCuSS_M200,m200_LoCuSS,r200_LoCuSS,eRASS1_M500,m200_eRASS1,r200_eRASS1,WINGS_m200,m200_WINGS,r200_WINGS,source,m200,r200,d200,N_first,N_tgss,N_spec,N_spec_z,5d200(deg),hms,dms
Abell 0754,137.1330,-9.6160,0.0540,1.07e+15,32.54,NO,"7 tiles, <5r200",TRUE,TRUE,TRUE,5692,0,-99,,-99,,-99,,-99,,-99,,-99,,-99,,-99,,-1.00e+00,-99,,-99,,-99,,DR10,-99,,-99,,-99,,-99,,70,A754,-99,,-99,,-99,,-99,,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.00,1.49e+15,1.49e+15,2.37,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.00,MENeaCS,1.49e+15,2.37,36.33,327,559,3540,1531,3.03,09:08:31.9,-09:36:57.6
Abell 0780,139.5250,-12.0830,0.0570,2.69e+15,42.03,NO,"7 tiles, <5r200",TRUE,TRUE,TRUE,5487,0,-99,,-99,,-99,,-99,,758,1eRASS J091805.8-120538,130,J0918.1-1205,-99,,1907,119122,2.82e+15,-99,,43,93192518,208,Hydra A,DR10,-99,,-99,,-99,,23,HYDRA-A,71,A780,-99,,22,A780,-99,,-99,,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.00,3.62e+14,7.18e+14,1.86,1.95e+15,2.58,1.98e+15,1.98e+15,2.60,-1.00e+00,-1.00e+00,-1.00,1.18e+15,1.02e+15,2.07,6.50e+14,6.50e+14,1.80,-1.00e+00,-1.00e+00,-1.00,7.03e+14,1.02e+15,2.08,-1.00e+00,-1.00e+00,-1.00,MENeaCS,6.50e+14,1.80,26.20,0,91,1232,449,2.18,09:18:06.0,-12:04:58.8
Abell 0957,153.4080,-0.9160,0.0450,3.44e+14,26.55,YES,YES,TRUE,TRUE,TRUE,6525,2769,-99,,-99,,-99,,-99,,781,1eRASS J101337.4-005534,136,J1013.6-0054,-99,,1420,111440,3.34e+14,497,93172809,311,93172809,-99,,DR10,-99,,-99,,-99,,-99,,-99,,-99,,-99,,-99,,-99,,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.00,1.14e+14,2.19e+14,1.25,2.31e+14,1.27,-1.00e+00,-1.00e+00,-1.00,2.28e+14,1.96e+14,1.21,2.24e+14,1.93e+14,1.20,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.00,2.00e+14,2.90e+14,1.38,-1.00e+00,-1.00e+00,-1.00,MCXC,2.19e+14,1.25,22.83,980,257,18752,3183,1.90,10:13:37.9,-00:54:57.6
Abell 0970,154.3910,-10.6660,0.0590,7.48e+14,26.54,YES,YES,TRUE,TRUE,TRUE,4759,0,59,PSZ2 G253.04+36.83,-99,,-99,,-99,,786,1eRASS J101723.1-104201,138,J1017.3-1040,-99,,1863,119328,7.39e+14,-99,,-99,,-99,,DR10,-99,,-99,,-99,,-99,,-99,,-99,,-99,,-99,,-99,,2.30e+14,3.63e+14,1.48,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.00,1.85e+14,3.63e+14,1.48,5.10e+14,1.65,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.00,3.55e+14,5.13e+14,1.66,-1.00e+00,-1.00e+00,-1.00,MCXC,3.63e+14,1.48,20.85,0,197,1300,728,1.74,10:17:33.8,-10:39:57.6
Abell 1069,159.9290,-8.6830,0.0620,3.72e+14,20.07,YES,~80% to 5r200,TRUE,TRUE,TRUE,4095,3581,64,PSZ2 G256.67+42.05,-99,,-99,,-99,,803,1eRASS J103943.5-084115,142,J1039.7-0841,-99,,1758,119364,3.62e+14,-99,,564,93192904,-99,,DR10,-99,,-99,,-99,,-99,,-99,,-99,,-99,,-99,,0,A1069,1.80e+14,2.81e+14,1.35,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.00,1.46e+14,2.86e+14,1.36,2.50e+14,1.30,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.00,2.67e+14,2.30e+14,1.27,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.00,2.69e+14,3.89e+14,1.51,1.99e+14,1.51e+14,1.10,WINGS,1.51e+14,1.10,14.84,83,90,923,401,1.24,10:39:43.0,-08:40:58.8
Abell 1520,184.8320,-13.2600,0.0680,3.53e+14,18.07,YES,NO,TRUE,TRUE,FALSE,2646,0,-99,,-99,,-99,,-99,,878,1eRASS J121927.6-131335,161,J1219.3-1315,-99,,1979,119688,3.44e+14,-99,,-99,,-99,,DR10,-99,,-99,,-99,,-99,,-99,,-99,,-99,,-99,,-99,,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.00,1.87e+14,3.67e+14,1.48,2.37e+14,1.27,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.00,8.24e+13,1.16e+14,1.01,-1.00e+00,-1.00e+00,-1.00,MCXC,3.67e+14,1.48,18.29,0,153,1320,487,1.52,12:19:19.7,-13:15:36.0
Abell 1631,193.2160,-15.4000,0.0470,3.40e+14,25.88,YES,YES,TRUE,TRUE,TRUE,0,0,-99,,-99,,-99,,-99,,916,1eRASS J125252.5-152450,-99,,-99,,-99,,-1.00e+00,-99,,-99,,-99,,DR10,-99,,-99,,-99,,-99,,-99,,-99,,-99,,-99,,7,A1631a,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.00,1.37e+14,1.93e+14,1.21,3.19e+14,2.43e+14,1.30,WINGS,2.43e+14,1.30,22.66,0,172,2380,1074,1.89,12:52:51.8,-15:24:00.0
Abell 1644,194.2950,-17.4000,0.0480,8.62e+14,33.88,YES,YES,TRUE,TRUE,TRUE,9076,0,89,PSZ2 G304.91+45.43,-99,,-99,,-99,,929,1eRASS J125710.6-172444,177,J1257.1-1724,-99,,2119,123337,8.53e+14,163,93203419,104,93203419,-99,,DR10,-99,,-99,,13,Abell 1644,30,A1644,-99,,-99,,35,A1644,-99,,8,A1644,3.69e+14,5.81e+14,1.73,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.00,2.93e+14,5.80e+14,1.73,5.88e+14,1.74,-1.00e+00,-1.00e+00,-1.00,6.29e+14,5.41e+14,1.69,6.02e+14,5.18e+14,1.67,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.00,3.85e+14,5.57e+14,1.71,8.03e+14,6.10e+14,1.76,WINGS,6.10e+14,1.76,30.21,0,315,3356,1666,2.52,12:57:10.8,-17:24:00.0
Abell 2399,329.3420,-7.8110,0.0580,3.30e+14,20.54,YES,YES,TRUE,TRUE,TRUE,4976,4310,-99,,-99,,-99,,-99,,-99,,297,J2157.4-0747,-99,,1785,117223,3.20e+14,-99,,692,93185904,-99,,DR10,-99,,-99,,-99,,-99,,-99,,-99,,-99,,-99,,24,A2399,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.00,1.20e+14,2.31e+14,1.27,2.21e+14,1.25,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.00,2.48e+14,2.13e+14,1.24,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.00,4.48e+14,3.40e+14,1.45,WINGS,3.40e+14,1.45,20.75,1036,156,10271,2161,1.73,21:57:22.1,-07:48:39.6
Abell 2415,331.4140,-5.5940,0.0580,6.21e+14,25.36,YES,80% to 5r200,TRUE,TRUE,FALSE,5525,0,18,PSZ2 G053.99-45.06,-99,,-99,,-99,,-99,,305,J2205.6-0535,-99,,1690,117200,6.11e+14,-99,,498,93185914,-99,,DR10,-99,,-99,,-99,,-99,,-99,,-99,,88,A2415,-99,,25,A2415,1.78e+14,2.78e+14,1.35,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.00,2.09e+14,4.15e+14,1.54,4.21e+14,1.55,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.00,3.68e+14,3.16e+14,1.41,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.00,2.03e+14,1.54e+14,1.11,WINGS,1.54e+14,1.11,15.93,500,75,4335,757,1.33,22:05:39.4,-05:35:38.4
