#priorities: MENeaCS CoMaLit AXES-2MRS(0.00-0.04) AXES-LEGACY(0.00-0.04) ACT-DR5 SPT-ECS SPT-SZ WINGS MCXC PSZ2 CODEX AXES-2MRS(0.04-1.00) AXES-LEGACY(0.04-1.00)
#masscols: PSZ2:MSZ ACT-DR5:M500cCal SPT-ECS:M500 SPT-SZ:M500 MCXC:M500 CODEX:M200c CoMaLit:M200c AXES-2MRS:M200c AXES-LEGACY:M200c MENeaCS:m200 LoCuSS:M200 eRASS1:M500 WINGS:m200
#factors: PSZ2:1.1 ACT-DR5:1 SPT-ECS:1 SPT-SZ:1 MCXC:1.41 CODEX:0.7 CoMaLit:1 AXES-2MRS:0.88 AXES-LEGACY:0.88 MENeaCS:1 LoCuSS:1 eRASS1:1 WINGS:0.76
|          name |       ra |      dec |      z | m200_listed | r200 (arcmin) | S-PLUS | S-PLUS catalogues | Merged Cats | Target Lists | Jan25 upload | Targets June2023 | Targets Sept2023 | PSZ2_idx |               PSZ2 | ACT-DR5_idx |             ACT-DR5 | SPT-ECS_idx |          SPT-ECS | SPT-SZ_idx |           SPT-SZ | eRASS1_idx |                  eRASS1 | MCXC_idx |         MCXC | redMaPPer_idx | redMaPPer | CODEX_idx |  CODEX | CODEX_M200c | AXES-2MRS_idx | AXES-2MRS | AXES-LEGACY_idx | AXES-LEGACY | CoMaLit_idx |  CoMaLit | DECam | MeerKAT_idx |           MeerKAT | MKDiffuse_idx |          MKDiffuse | XMM_idx |             XMM | HIFLUGCS_idx | HIFLUGCS | MENeaCS_idx | MENeaCS | LoCuSS_idx |     LoCuSS | LoVoCCS_idx | LoVoCCS | CLASH-VLT_idx | CLASH-VLT | WINGS_idx |   WINGS |          PSZ2_MSZ | m200_PSZ2 | r200_PSZ2 | ACT-DR5_M500cCal | m200_ACT-DR5 | r200_ACT-DR5 | SPT-ECS_M500 | m200_SPT-ECS | r200_SPT-ECS | SPT-SZ_M500 | m200_SPT-SZ | r200_SPT-SZ | MCXC_M500 | m200_MCXC | r200_MCXC | m200_CODEX | r200_CODEX | CoMaLit_M200c | m200_CoMaLit | r200_CoMaLit | AXES-2MRS_M200c | m200_AXES-2MRS | r200_AXES-2MRS | AXES-LEGACY_M200c | m200_AXES-LEGACY | r200_AXES-LEGACY | MENeaCS_m200 | m200_MENeaCS | r200_MENeaCS | LoCuSS_M200 | m200_LoCuSS | r200_LoCuSS | eRASS1_M500 | m200_eRASS1 | r200_eRASS1 | WINGS_m200 | m200_WINGS | r200_WINGS |      source |     m200 | r200 |   d200 | N_first | N_tgss | N_spec | N_spec_z | 5d200(deg) |        hms |         dms |
|    Abell 0754 | 137.1330 |  -9.6160 | 0.0540 |    1.07e+15 |         32.54 |     NO |   7 tiles, <5r200 |        TRUE |         TRUE |         TRUE |             5692 |                0 |      -99 |                    |         -99 |                     |         -99 |                  |        -99 |                  |        -99 |                         |      -99 |              |           -99 |           |       -99 |        |   -1.00e+00 |           -99 |           |             -99 |             |         -99 |          |  DR10 |         -99 |                   |           -99 |                    |     -99 |                 |          -99 |          |          70 |    A754 |        -99 |            |         -99 |         |           -99 |           |       -99 |         |              -1.0 | -1.00e+00 |     -1.00 |        -1.00e+00 |    -1.00e+00 |        -1.00 |    -1.00e+00 |    -1.00e+00 |        -1.00 |   -1.00e+00 |   -1.00e+00 |       -1.00 | -1.00e+00 | -1.00e+00 |     -1.00 |  -1.00e+00 |      -1.00 |     -1.00e+00 |    -1.00e+00 |        -1.00 |       -1.00e+00 |      -1.00e+00 |          -1.00 |         -1.00e+00 |        -1.00e+00 |            -1.00 |     1.49e+15 |     1.49e+15 |         2.37 |   -1.00e+00 |   -1.00e+00 |       -1.00 |   -1.00e+00 |   -1.00e+00 |       -1.00 |  -1.00e+00 |  -1.00e+00 |      -1.00 |     MENeaCS | 1.49e+15 | 2.37 |  36.33 |     327 |    559 |   3540 |     1531 |       3.03 | 09:08:31.9 | -09:36:57.6 |
|    Abell 0780 | 139.5250 | -12.0830 | 0.0570 |    2.69e+15 |         42.03 |     NO |   7 tiles, <5r200 |        TRUE |         TRUE |         TRUE |             5487 |                0 |      -99 |                    |         -99 |                     |         -99 |                  |        -99 |                  |        758 | 1eRASS J091805.8-120538 |      130 | J0918.1-1205 |           -99 |           |      1907 | 119122 |    2.82e+15 |           -99 |           |              43 |    93192518 |         208 |  Hydra A |  DR10 |         -99 |                   |           -99 |                    |     -99 |                 |           23 |  HYDRA-A |          71 |    A780 |        -99 |            |          22 |    A780 |           -99 |           |       -99 |         |              -1.0 | -1.00e+00 |     -1.00 |        -1.00e+00 |    -1.00e+00 |        -1.00 |    -1.00e+00 |    -1.00e+00 |        -1.00 |   -1.00e+00 |   -1.00e+00 |       -1.00 |  3.62e+14 |  7.39e+14 |      1.88 |   1.97e+15 |       2.59 |      1.98e+15 |     1.98e+15 |         2.60 |       -1.00e+00 |      -1.00e+00 |          -1.00 |          1.18e+15 |         1.04e+15 |             2.09 |     6.50e+14 |     6.50e+14 |         1.80 |   -1.00e+00 |   -1.00e+00 |       -1.00 |    7.03e+14 |    1.02e+15 |        2.08 |  -1.00e+00 |  -1.00e+00 |      -1.00 |     MENeaCS | 6.50e+14 | 1.80 |  26.20 |       0 |     91 |   1232 |      449 |       2.18 | 09:18:06.0 | -12:04:58.8 |
|    Abell 0957 | 153.4080 |  -0.9160 | 0.0450 |    3.44e+14 |         26.55 |    YES |               YES |        TRUE |         TRUE |         TRUE |             6525 |             2769 |      -99 |                    |         -99 |                     |         -99 |                  |        -99 |                  |        781 | 1eRASS J101337.4-005534 |      136 | J1013.6-0054 |           -99 |           |      1420 | 111440 |    3.34e+14 |           497 |  93172809 |             311 |    93172809 |         -99 |          |  DR10 |         -99 |                   |           -99 |                    |     -99 |                 |          -99 |          |         -99 |         |        -99 |            |         -99 |         |           -99 |           |       -99 |         |              -1.0 | -1.00e+00 |     -1.00 |        -1.00e+00 |    -1.00e+00 |        -1.00 |    -1.00e+00 |    -1.00e+00 |        -1.00 |   -1.00e+00 |   -1.00e+00 |       -1.00 |  1.14e+14 |  2.25e+14 |      1.27 |   2.34e+14 |       1.28 |     -1.00e+00 |    -1.00e+00 |        -1.00 |        2.28e+14 |       2.00e+14 |           1.22 |          2.24e+14 |         1.98e+14 |             1.21 |    -1.00e+00 |    -1.00e+00 |        -1.00 |   -1.00e+00 |   -1.00e+00 |       -1.00 |    2.00e+14 |    2.90e+14 |        1.38 |  -1.00e+00 |  -1.00e+00 |      -1.00 |        MCXC | 2.25e+14 | 1.27 |  23.05 |     999 |    264 |  19062 |     3236 |       1.92 | 10:13:37.9 | -00:54:57.6 |
|    Abell 0970 | 154.3910 | -10.6660 | 0.0590 |    7.48e+14 |         26.54 |    YES |               YES |        TRUE |         TRUE |         TRUE |             4759 |                0 |       59 | PSZ2 G253.04+36.83 |         -99 |                     |         -99 |                  |        -99 |                  |        786 | 1eRASS J101723.1-104201 |      138 | J1017.3-1040 |           -99 |           |      1863 | 119328 |    7.39e+14 |           -99 |           |             -99 |             |         -99 |          |  DR10 |         -99 |                   |           -99 |                    |     -99 |                 |          -99 |          |         -99 |         |        -99 |            |         -99 |         |           -99 |           |       -99 |         | 230306095300608.0 |  3.66e+14 |      1.48 |        -1.00e+00 |    -1.00e+00 |        -1.00 |    -1.00e+00 |    -1.00e+00 |        -1.00 |   -1.00e+00 |   -1.00e+00 |       -1.00 |  1.85e+14 |  3.73e+14 |      1.49 |   5.17e+14 |       1.65 |     -1.00e+00 |    -1.00e+00 |        -1.00 |       -1.00e+00 |      -1.00e+00 |          -1.00 |         -1.00e+00 |        -1.00e+00 |            -1.00 |    -1.00e+00 |    -1.00e+00 |        -1.00 |   -1.00e+00 |   -1.00e+00 |       -1.00 |    3.55e+14 |    5.13e+14 |        1.66 |  -1.00e+00 |  -1.00e+00 |      -1.00 |        MCXC | 3.73e+14 | 1.49 |  21.06 |       0 |    202 |   1304 |      730 |       1.75 | 10:17:33.8 | -10:39:57.6 |
|    Abell 1069 | 159.9290 |  -8.6830 | 0.0620 |    3.72e+14 |         20.07 |    YES |     ~80% to 5r200 |        TRUE |         TRUE |         TRUE |             4095 |             3581 |       64 | PSZ2 G256.67+42.05 |         -99 |                     |         -99 |                  |        -99 |                  |        803 | 1eRASS J103943.5-084115 |      142 | J1039.7-0841 |           -99 |           |      1758 | 119364 |    3.62e+14 |           -99 |           |             564 |    93192904 |         -99 |          |  DR10 |         -99 |                   |           -99 |                    |     -99 |                 |          -99 |          |         -99 |         |        -99 |            |         -99 |         |           -99 |           |         0 |   A1069 | 180215166795776.0 |  2.84e+14 |      1.36 |        -1.00e+00 |    -1.00e+00 |        -1.00 |    -1.00e+00 |    -1.00e+00 |        -1.00 |   -1.00e+00 |   -1.00e+00 |       -1.00 |  1.46e+14 |  2.94e+14 |      1.37 |   2.53e+14 |       1.31 |     -1.00e+00 |    -1.00e+00 |        -1.00 |       -1.00e+00 |      -1.00e+00 |          -1.00 |          2.67e+14 |         2.35e+14 |             1.27 |    -1.00e+00 |    -1.00e+00 |        -1.00 |   -1.00e+00 |   -1.00e+00 |       -1.00 |    2.69e+14 |    3.89e+14 |        1.51 |   1.99e+14 |   1.51e+14 |       1.10 |       WINGS | 1.51e+14 | 1.10 |  14.84 |      83 |     90 |    923 |      401 |       1.24 | 10:39:43.0 | -08:40:58.8 |
|    Abell 1520 | 184.8320 | -13.2600 | 0.0680 |    3.53e+14 |         18.07 |    YES |                NO |        TRUE |         TRUE |        FALSE |             2646 |                0 |      -99 |                    |         -99 |                     |         -99 |                  |        -99 |                  |        878 | 1eRASS J121927.6-131335 |      161 | J1219.3-1315 |           -99 |           |      1979 | 119688 |    3.44e+14 |           -99 |           |             -99 |             |         -99 |          |  DR10 |         -99 |                   |           -99 |                    |     -99 |                 |          -99 |          |         -99 |         |        -99 |            |         -99 |         |           -99 |           |       -99 |         |              -1.0 | -1.00e+00 |     -1.00 |        -1.00e+00 |    -1.00e+00 |        -1.00 |    -1.00e+00 |    -1.00e+00 |        -1.00 |   -1.00e+00 |   -1.00e+00 |       -1.00 |  1.87e+14 |  3.77e+14 |      1.49 |   2.40e+14 |       1.28 |     -1.00e+00 |    -1.00e+00 |        -1.00 |       -1.00e+00 |      -1.00e+00 |          -1.00 |         -1.00e+00 |        -1.00e+00 |            -1.00 |    -1.00e+00 |    -1.00e+00 |        -1.00 |   -1.00e+00 |   -1.00e+00 |       -1.00 |    8.24e+13 |    1.16e+14 |        1.01 |  -1.00e+00 |  -1.00e+00 |      -1.00 |        MCXC | 3.77e+14 | 1.49 |  18.47 |       0 |    156 |   1331 |      494 |       1.54 | 12:19:19.7 | -13:15:36.0 |
|    Abell 1631 | 193.2160 | -15.4000 | 0.0470 |    3.40e+14 |         25.88 |    YES |               YES |        TRUE |         TRUE |         TRUE |                0 |                0 |      -99 |                    |         -99 |                     |         -99 |                  |        -99 |                  |        916 | 1eRASS J125252.5-152450 |      -99 |              |           -99 |           |       -99 |        |   -1.00e+00 |           -99 |           |             -99 |             |         -99 |          |  DR10 |         -99 |                   |           -99 |                    |     -99 |                 |          -99 |          |         -99 |         |        -99 |            |         -99 |         |           -99 |           |         7 |  A1631a |              -1.0 | -1.00e+00 |     -1.00 |        -1.00e+00 |    -1.00e+00 |        -1.00 |    -1.00e+00 |    -1.00e+00 |        -1.00 |   -1.00e+00 |   -1.00e+00 |       -1.00 | -1.00e+00 | -1.00e+00 |     -1.00 |  -1.00e+00 |      -1.00 |     -1.00e+00 |    -1.00e+00 |        -1.00 |       -1.00e+00 |      -1.00e+00 |          -1.00 |         -1.00e+00 |        -1.00e+00 |            -1.00 |    -1.00e+00 |    -1.00e+00 |        -1.00 |   -1.00e+00 |   -1.00e+00 |       -1.00 |    1.37e+14 |    1.93e+14 |        1.21 |   3.19e+14 |   2.43e+14 |       1.30 |       WINGS | 2.43e+14 | 1.30 |  22.66 |       0 |    172 |   2380 |     1074 |       1.89 | 12:52:51.8 | -15:24:00.0 |
|    Abell 1644 | 194.2950 | -17.4000 | 0.0480 |    8.62e+14 |         33.88 |    YES |               YES |        TRUE |         TRUE |         TRUE |             9076 |                0 |       89 | PSZ2 G304.91+45.43 |         -99 |                     |         -99 |                  |        -99 |                  |        929 | 1eRASS J125710.6-172444 |      177 | J1257.1-1724 |           -99 |           |      2119 | 123337 |    8.53e+14 |           163 |  93203419 |             104 |    93203419 |         -99 |          |  DR10 |         -99 |                   |           -99 |                    |      13 |      Abell 1644 |           30 |    A1644 |         -99 |         |        -99 |            |          35 |   A1644 |           -99 |           |         8 |   A1644 | 368871823376384.0 |  5.87e+14 |      1.74 |        -1.00e+00 |    -1.00e+00 |        -1.00 |    -1.00e+00 |    -1.00e+00 |        -1.00 |   -1.00e+00 |   -1.00e+00 |       -1.00 |  2.93e+14 |  5.96e+14 |      1.75 |   5.97e+14 |       1.75 |     -1.00e+00 |    -1.00e+00 |        -1.00 |        6.29e+14 |       5.54e+14 |           1.71 |          6.02e+14 |         5.30e+14 |             1.68 |    -1.00e+00 |    -1.00e+00 |        -1.00 |   -1.00e+00 |   -1.00e+00 |       -1.00 |    3.85e+14 |    5.57e+14 |        1.71 |   8.03e+14 |   6.10e+14 |       1.76 |       WINGS | 6.10e+14 | 1.76 |  30.21 |       0 |    315 |   3356 |     1666 |       2.52 | 12:57:10.8 | -17:24:00.0 |
|    Abell 2399 | 329.3420 |  -7.8110 | 0.0580 |    3.30e+14 |         20.54 |    YES |               YES |        TRUE |         TRUE |         TRUE |             4976 |             4310 |      -99 |                    |         -99 |                     |         -99 |                  |        -99 |                  |        -99 |                         |      297 | J2157.4-0747 |           -99 |           |      1785 | 117223 |    3.20e+14 |           -99 |           |             692 |    93185904 |         -99 |          |  DR10 |         -99 |                   |           -99 |                    |     -99 |                 |          -99 |          |         -99 |         |        -99 |            |         -99 |         |           -99 |           |        24 |   A2399 |              -1.0 | -1.00e+00 |     -1.00 |        -1.00e+00 |    -1.00e+00 |        -1.00 |    -1.00e+00 |    -1.00e+00 |        -1.00 |   -1.00e+00 |   -1.00e+00 |       -1.00 |  1.20e+14 |  2.38e+14 |      1.28 |   2.24e+14 |       1.26 |     -1.00e+00 |    -1.00e+00 |        -1.00 |       -1.00e+00 |      -1.00e+00 |          -1.00 |          2.48e+14 |         2.18e+14 |             1.25 |    -1.00e+00 |    -1.00e+00 |        -1.00 |   -1.00e+00 |   -1.00e+00 |       -1.00 |   -1.00e+00 |   -1.00e+00 |       -1.00 |   4.48e+14 |   3.40e+14 |       1.45 |       WINGS | 3.40e+14 | 1.45 |  20.75 |    1036 |    156 |  10271 |     2161 |       1.73 | 21:57:22.1 | -07:48:39.6 |
|    Abell 2415 | 331.4140 |  -5.5940 | 0.0580 |    6.21e+14 |         25.36 |    YES |      80% to 5r200 |        TRUE |         TRUE |        FALSE |             5525 |                0 |       18 | PSZ2 G053.99-45.06 |         -99 |                     |         -99 |                  |        -99 |                  |        -99 |                         |      305 | J2205.6-0535 |           -99 |           |      1690 | 117200 |    6.11e+14 |           -99 |           |             498 |    93185914 |         -99 |          |  DR10 |         -99 |                   |           -99 |                    |     -99 |                 |          -99 |          |         -99 |         |        -99 |            |          88 |   A2415 |           -99 |           |        25 |   A2415 | 178375310180352.0 |  2.81e+14 |      1.36 |        -1.00e+00 |    -1.00e+00 |        -1.00 |    -1.00e+00 |    -1.00e+00 |        -1.00 |   -1.00e+00 |   -1.00e+00 |       -1.00 |  2.09e+14 |  4.27e+14 |      1.56 |   4.28e+14 |       1.56 |     -1.00e+00 |    -1.00e+00 |        -1.00 |       -1.00e+00 |      -1.00e+00 |          -1.00 |          3.68e+14 |         3.24e+14 |             1.42 |    -1.00e+00 |    -1.00e+00 |        -1.00 |   -1.00e+00 |   -1.00e+00 |       -1.00 |   -1.00e+00 |   -1.00e+00 |       -1.00 |   2.03e+14 |   1.54e+14 |       1.11 |       WINGS | 1.54e+14 | 1.11 |  15.93 |     500 |     75 |   4335 |      757 |       1.33 | 22:05:39.4 | -05:35:38.4 |
|    Abell 2457 | 338.9200 |   1.5060 | 0.0580 |    5.59e+14 |         24.09 |    YES |                NO |        TRUE |         TRUE |        FALSE |             5637 |                0 |       22 | PSZ2 G068.61-46.60 |         -99 |                     |         -99 |                  |        -99 |                  |        -99 |                         |      321 | J2235.6+0128 |           -99 |           |      1334 | 113312 |    5.48e+14 |           -99 |           |             613 |    93176102 |         -99 |          |  DR10 |         -99 |                   |           -99 |                    |     -99 |                 |          -99 |          |         -99 |         |        -99 |            |         -99 |         |           -99 |           |        26 |   A2457 | 192904429568000.0 |  3.03e+14 |      1.39 |        -1.00e+00 |    -1.00e+00 |        -1.00 |    -1.00e+00 |    -1.00e+00 |        -1.00 |   -1.00e+00 |   -1.00e+00 |       -1.00 |  1.82e+14 |  3.67e+14 |      1.48 |   3.84e+14 |       1.50 |     -1.00e+00 |    -1.00e+00 |        -1.00 |       -1.00e+00 |      -1.00e+00 |          -1.00 |          3.78e+14 |         3.32e+14 |             1.43 |    -1.00e+00 |    -1.00e+00 |        -1.00 |   -1.00e+00 |   -1.00e+00 |       -1.00 |   -1.00e+00 |   -1.00e+00 |       -1.00 |   2.70e+14 |   2.06e+14 |       1.22 |       WINGS | 2.06e+14 | 1.22 |  17.53 |     527 |    125 |  13777 |     1396 |       1.46 | 22:35:40.8 | +01:30:21.6 |
|    Abell 2717 |   0.8040 | -35.9330 | 0.0500 |    3.80e+14 |          24.8 |    YES |      80% to 5r200 |        TRUE |         TRUE |         TRUE |             4922 |             4922 |      -99 |                    |         -99 |                     |         -99 |                  |        -99 |                  |          4 | 1eRASS J000313.1-355607 |        1 | J0003.2-3555 |           -99 |           |      2610 | 131889 |    4.19e+14 |           -99 |           |             422 |    93230102 |         -99 |          |  DR10 |         -99 |                   |           -99 |                    |     -99 |                 |          -99 |          |         -99 |         |        -99 |            |         -99 |         |           -99 |           |        34 |   A2717 |              -1.0 | -1.00e+00 |     -1.00 |        -1.00e+00 |    -1.00e+00 |        -1.00 |    -1.00e+00 |    -1.00e+00 |        -1.00 |   -1.00e+00 |   -1.00e+00 |       -1.00 |  1.20e+14 |  2.38e+14 |      1.29 |   2.93e+14 |       1.38 |     -1.00e+00 |    -1.00e+00 |        -1.00 |       -1.00e+00 |      -1.00e+00 |          -1.00 |          2.66e+14 |         2.34e+14 |             1.28 |    -1.00e+00 |    -1.00e+00 |        -1.00 |   -1.00e+00 |   -1.00e+00 |       -1.00 |    2.28e+14 |    3.29e+14 |        1.43 |   1.91e+14 |   1.45e+14 |       1.09 |       WINGS | 1.45e+14 | 1.09 |  18.00 |       0 |    138 |   6674 |      804 |       1.50 | 00:03:13.0 | -35:55:58.8 |
|    Abell 2734 |   2.8360 | -28.8550 | 0.0610 |    6.19e+14 |         23.77 |    YES |      50% to 5r200 |        TRUE |         TRUE |        FALSE |             4443 |                0 |        5 | PSZ2 G019.48-80.97 |         -99 |                     |         -99 |                  |        -99 |                  |        -99 |                         |        4 | J0011.3-2851 |           -99 |           |      2426 | 128504 |    6.09e+14 |           416 |  93220122 |             286 |    93220122 |         -99 |          |  DR10 |         -99 |                   |           -99 |                    |      22 | RXCJ0011.3-2851 |          -99 |          |         -99 |         |        -99 |            |          93 |   A2734 |           -99 |           |        35 |   A2734 | 260636919463936.0 |  4.15e+14 |      1.54 |        -1.00e+00 |    -1.00e+00 |        -1.00 |    -1.00e+00 |    -1.00e+00 |        -1.00 |   -1.00e+00 |   -1.00e+00 |       -1.00 |  2.06e+14 |  4.20e+14 |      1.55 |   4.26e+14 |       1.56 |     -1.00e+00 |    -1.00e+00 |        -1.00 |        3.89e+14 |       3.43e+14 |           1.45 |          3.91e+14 |         3.44e+14 |             1.45 |    -1.00e+00 |    -1.00e+00 |        -1.00 |   -1.00e+00 |   -1.00e+00 |       -1.00 |   -1.00e+00 |   -1.00e+00 |       -1.00 |   3.17e+14 |   2.41e+14 |       1.29 |       WINGS | 2.41e+14 | 1.29 |  17.62 |       0 |    122 |   7315 |     1670 |       1.47 | 00:11:20.6 | -28:51:18.0 |
|    Abell 2870 |  16.9330 | -46.9000 | 0.0230 |    6.59e+14 |         60.67 |    YES |      70% to 5r200 |        TRUE |         TRUE |        FALSE |            13195 |             3447 |      -99 |                    |         -99 |                     |         -99 |                  |        -99 |                  |         42 | 1eRASS J010756.6-465217 |      -99 |              |           -99 |           |      2852 | 138237 |    6.48e+14 |           -99 |           |             -99 |             |         -99 |          |  DR10 |         -99 |                   |           -99 |                    |     -99 |                 |          -99 |          |         -99 |         |        -99 |            |         -99 |         |           -99 |           |       -99 |         |              -1.0 | -1.00e+00 |     -1.00 |        -1.00e+00 |    -1.00e+00 |        -1.00 |    -1.00e+00 |    -1.00e+00 |        -1.00 |   -1.00e+00 |   -1.00e+00 |       -1.00 | -1.00e+00 | -1.00e+00 |     -1.00 |   4.54e+14 |       1.60 |     -1.00e+00 |    -1.00e+00 |        -1.00 |       -1.00e+00 |      -1.00e+00 |          -1.00 |         -1.00e+00 |        -1.00e+00 |            -1.00 |    -1.00e+00 |    -1.00e+00 |        -1.00 |   -1.00e+00 |   -1.00e+00 |       -1.00 |    5.01e+13 |    7.03e+13 |        0.86 |  -1.00e+00 |  -1.00e+00 |      -1.00 |       CODEX | 4.54e+14 | 1.60 |  55.41 |       0 |   1049 |  10472 |     1262 |       4.62 | 01:07:43.9 | -46:54:00.0 |
|    Abell 2877 |  17.5010 | -45.9230 | 0.0240 |    3.19e+14 |         47.65 |    YES |                NO |        TRUE |         TRUE |        FALSE |                0 |                0 |       83 | PSZ2 G293.12-70.85 |         -99 |                     |         -99 |                  |        -99 |                  |         43 | 1eRASS J010954.3-455544 |       23 | J0110.0-4555 |           -99 |           |      2850 | 138224 |    3.09e+14 |           175 |  93250301 |             282 |    93250301 |         -99 |          |  DR10 |         -99 |                   |           -99 |                    |      15 |         IC 1633 |          -99 |          |         -99 |         |        -99 |            |         -99 |         |           -99 |           |       -99 |         | 114380456853504.0 |  1.77e+14 |      1.18 |        -1.00e+00 |    -1.00e+00 |        -1.00 |    -1.00e+00 |    -1.00e+00 |        -1.00 |   -1.00e+00 |   -1.00e+00 |       -1.00 |  7.10e+13 |  1.41e+14 |      1.09 |   2.17e+14 |       1.25 |     -1.00e+00 |    -1.00e+00 |        -1.00 |        1.45e+14 |       1.27e+14 |           1.05 |          1.47e+14 |         1.30e+14 |             1.06 |    -1.00e+00 |    -1.00e+00 |        -1.00 |   -1.00e+00 |   -1.00e+00 |       -1.00 |    1.34e+14 |    1.88e+14 |        1.20 |  -1.00e+00 |  -1.00e+00 |      -1.00 |   AXES-2MRS | 1.27e+14 | 1.05 |  35.09 |       0 |    440 |   5279 |      857 |       2.92 | 01:10:00.2 | -45:55:22.8 |
|    Abell 3223 |  62.0670 | -30.8940 | 0.0600 |    4.21e+14 |         21.56 |    YES |               YES |        TRUE |         TRUE |         TRUE |             3044 |                0 |      -99 |                    |         -99 |                     |         -99 |                  |        -99 |                  |        291 | 1eRASS J040815.9-305724 |       73 | J0408.2-3053 |           -99 |           |      2513 | 129034 |    4.10e+14 |           -99 |           |             257 |    93231018 |         -99 |          |  DR10 |         -99 |                   |           -99 |                    |     -99 |                 |          -99 |          |         -99 |         |        -99 |            |         -99 |         |           -99 |           |       -99 |         |              -1.0 | -1.00e+00 |     -1.00 |        -1.00e+00 |    -1.00e+00 |        -1.00 |    -1.00e+00 |    -1.00e+00 |        -1.00 |   -1.00e+00 |   -1.00e+00 |       -1.00 |  1.53e+14 |  3.08e+14 |      1.40 |   2.87e+14 |       1.36 |     -1.00e+00 |    -1.00e+00 |        -1.00 |       -1.00e+00 |      -1.00e+00 |          -1.00 |          2.85e+14 |         2.51e+14 |             1.30 |    -1.00e+00 |    -1.00e+00 |        -1.00 |   -1.00e+00 |   -1.00e+00 |       -1.00 |    2.62e+14 |    3.79e+14 |        1.50 |  -1.00e+00 |  -1.00e+00 |      -1.00 |        MCXC | 3.08e+14 | 1.40 |  19.44 |       0 |    180 |   1159 |      436 |       1.62 | 04:08:16.1 | -30:53:38.4 |
|    Abell 3266 |  67.8040 | -61.4500 | 0.0540 |    1.63e+15 |         37.47 |     NO |               YES |        TRUE |         TRUE |         TRUE |             7174 |                0 |       75 | PSZ2 G272.08-40.16 |         -99 |                     |         -99 |                  |         65 | SPT-CLJ0431-6126 |        360 | 1eRASS J043116.2-612720 |       79 | J0431.4-6126 |           -99 |           |      3113 | 146114 |    1.64e+15 |           -99 |           |               4 |    93280732 |         -99 |          |  DR10 |          63 | MCXC J0431.4-6126 |            75 | J0431.4-6126       |     -99 |                 |           16 |    A3266 |         -99 |         |        -99 |            |           5 |   A3266 |           -99 |           |        40 |   A3266 | 663699417202688.0 |  1.06e+15 |      2.11 |        -1.00e+00 |    -1.00e+00 |        -1.00 |    -1.00e+00 |    -1.00e+00 |        -1.00 |    4.84e+14 |    7.00e+14 |        1.84 |  4.56e+14 |  9.29e+14 |      2.02 |   1.15e+15 |       2.16 |     -1.00e+00 |    -1.00e+00 |        -1.00 |       -1.00e+00 |      -1.00e+00 |          -1.00 |          9.83e+14 |         8.65e+14 |             1.97 |    -1.00e+00 |    -1.00e+00 |        -1.00 |   -1.00e+00 |   -1.00e+00 |       -1.00 |    5.85e+14 |    8.46e+14 |        1.96 |   1.48e+15 |   1.13e+15 |       2.15 |      SPT-SZ | 7.00e+14 | 1.84 |  28.21 |       0 |      0 |   3579 |     1919 |       2.35 | 04:31:13.0 | -61:27:00.0 |
|    Abell 3301 |  75.1940 | -38.6780 | 0.0540 |    4.41e+14 |         24.21 |    YES |                NO |        TRUE |         TRUE |        FALSE |             3359 |                0 |       51 | PSZ2 G242.41-37.40 |         -99 |                     |         -99 |                  |        -99 |                  |        443 | 1eRASS J050049.6-384032 |       87 | J0500.7-3840 |           -99 |           |      2696 | 135635 |    4.31e+14 |           459 |  93241110 |             389 |    93241110 |         -99 |          |  DR10 |         -99 |                   |           -99 |                    |     -99 |                 |          -99 |          |         -99 |         |        -99 |            |         -99 |         |           -99 |           |       -99 |         | 175443810451456.0 |  2.76e+14 |      1.35 |        -1.00e+00 |    -1.00e+00 |        -1.00 |    -1.00e+00 |    -1.00e+00 |        -1.00 |   -1.00e+00 |   -1.00e+00 |       -1.00 |  1.27e+14 |  2.51e+14 |      1.31 |   3.01e+14 |       1.38 |     -1.00e+00 |    -1.00e+00 |        -1.00 |        2.52e+14 |       2.21e+14 |           1.25 |          2.50e+14 |         2.20e+14 |             1.25 |    -1.00e+00 |    -1.00e+00 |        -1.00 |   -1.00e+00 |   -1.00e+00 |       -1.00 |    2.68e+14 |    3.87e+14 |        1.51 |  -1.00e+00 |  -1.00e+00 |      -1.00 |        MCXC | 2.51e+14 | 1.31 |  20.08 |       0 |     77 |    919 |      393 |       1.67 | 05:00:46.6 | -38:40:40.8 |
