Cluster Name,RA_J2000,Dec_J2000,z,m200,MergedCat,TargetList,Jan25upload,PSZ2_idx,PSZ2,ACT-DR5_idx,ACT-DR5,SPT-SZ_idx,SPT-SZ,MCXC_idx,MCXC,DECam,S-PLUS,CODEX-DECALS_idx,CODEX-DECALS,MeerKAT_idx,MeerKAT,MKDiffuse_idx,MKDiffuse,XMM_idx,XMM,HIFLUGCS_idx,HIFLUGCS,MENeaCS_idx,MENeaCS,LoVoCCS_idx,LoVoCCS,CLASH-VLT_idx,CLASH-VLT,m500_PSZ2,m500_PSZ2_corr,m500_ACT,m500_SPT,m500_MCXC,m500_MCXC_corr,m500_CODEX,m500,c200,r200,d200,N_first,N_tgss,N_spec,N_spec_z,5d200
PSZ2 G208.60-26.00,77.699,-8.029,0.219,13.01,True,True,False,133,PSZ2 G208.60-26.00,571,ACT-CL J0510.7-0801,-99,,189,J0510.7-0801,DR10,NO,1002,114478,37,MCXC J0510.7-0801,47,RXC J0510.7-0801,-99,,-99,,-99,,-99,,-99,,7.74,10.45,9.10,-1.00,6.08,9.21,10.26,9.10,4.22,2.14,9.74,0,48,1896,624,0.81
PSZ2 G262.27-35.38,79.153,-54.52,0.295,8.83,True,True,False,253,PSZ2 G262.27-35.38,574,ACT-CL J0516.6-5430,98,SPT-CL J0516-5430,191,J0516.6-5430,DR10,NO,1789,143963,66,MCXC J0516.6-5430,78,J0516.6-5430,-99,,-99,,-99,,-99,,-99,,8.76,11.82,6.16,7.10,7.72,11.69,11.38,6.16,4.16,1.83,6.69,0,0,604,355,0.56
PSZ2 G241.11-28.68,85.738,-35.984,0.42,10.13,True,True,True,190,PSZ2 G241.11-28.68,602,ACT-CL J0542.9-3559,-99,,-99,,DR10,NO,1548,132802,-99,,-99,,-99,,-99,,-99,,-99,,-99,,7.36,9.93,7.12,-1.00,-1.00,-1.00,8.88,7.12,4.33,1.82,5.32,0,20,363,3,0.44
PSZ2 G271.18-30.95,87.326,-62.083,0.3755,17.43,True,True,True,277,PSZ2 G271.18-30.95,-99,,105,SPT-CL J0549-6205,-99,,DR10,NO,-99,,-99,,-99,,-99,,-99,,-99,,-99,,-99,,7.37,9.95,-1.00,12.40,-1.00,-1.00,-1.00,12.40,4.64,2.22,6.94,0,0,180,34,0.58
MACS J0553.4-3342,88.363,-33.715,0.43,21.37,True,True,True,184,PSZ2 G239.27-26.01,617,ACT-CL J0553.4-3342,-99,,-99,,DR10,NO,1507,132747,-99,,-99,,-99,,-99,,-99,,-99,,-99,,8.77,11.83,15.40,-1.00,-1.00,-1.00,14.07,15.40,4.97,2.32,6.70,0,15,772,8,0.56
Abell3378,91.469,-35.309,0.139,10.83,True,True,False,192,PSZ2 G241.79-24.01,-99,,-99,,217,J0605.8-3518,DR10,NO,1549,132785,-99,,-99,,-99,,-99,,-99,,-99,,-99,,5.59,7.54,-1.00,-1.00,4.48,6.77,11.76,7.54,4.10,2.07,13.60,0,84,3389,964,1.13
Abell3404,101.372,-54.219,0.1644,15.96,True,True,False,260,PSZ2 G263.68-22.55,636,ACT-CL J0645.4-5413,121,SPT-CL J0645-5413,230,J0645.4-5413,DR10,NO,1774,144181,84,MCXC J0645.4-5413,87,J0645.4-5413,-99,,-99,,-99,,-99,,-99,,7.96,10.74,11.18,10.55,5.82,8.80,10.85,11.18,4.25,2.33,13.35,0,0,336,118,1.11
Bullet,104.629,-55.947,0.2965,22.47,True,True,True,265,PSZ2 G266.04-21.25,640,ACT-CL J0658.5-5557,128,SPT-CL J0658-5556,231,J0658.5-5556,DR10,NO,1808,144305,85,MCXC J0658.5-5556,33,Bullet,-99,,-99,,-99,,-99,,-99,,13.10,17.67,16.06,16.86,10.36,15.68,19.97,16.06,4.73,2.49,9.10,0,0,575,329,0.76
SMACS J0723.3-7327,110.839,-73.439,0.39,15.91,True,True,True,303,PSZ2 G284.97-23.69,-99,,-99,,-99,,DR10,NO,-99,,-99,,-99,,-99,,-99,,-99,,-99,,-99,,8.39,11.32,-1.00,-1.00,-1.00,-1.00,-1.00,11.32,4.59,2.14,6.54,0,0,109,28,0.54
Abell3444,155.962,-27.259,0.2542,14.14,True,True,False,266,PSZ2 G266.83+25.08,-99,,-99,,265,J1023.8-2715,DR10,YES,1415,130222,-99,,-99,,-99,,-99,,-99,,-99,,-99,,7.37,9.94,-1.00,-1.00,7.71,11.67,17.32,9.94,4.30,2.17,8.84,0,40,158,17,0.74
