|    name |      ra |     dec |     z | m200_listed | MergedCats | TargetLists | Jan25upload |          coords | PSZ2_idx |               PSZ2 | ACT-DR5_idx |             ACT-DR5 | SPT-SZ_idx |            SPT-SZ | MCXC_idx |         MCXC | DECam | S-PLUS | CODEX3-LSDR10_idx | CODEX3-LSDR10 | MeerKAT_idx |           MeerKAT | MKDiffuse_idx |          MKDiffuse | XMM_idx |             XMM | HIFLUGCS_idx | HIFLUGCS | MENeaCS_idx | MENeaCS | LoVoCCS_idx | LoVoCCS | CLASH-VLT_idx | CLASH-VLT | m500_PSZ2 | m500_PSZ2_corr | m500_ACT | m500_SPT | m500_MCXC | m500_MCXC_corr | m500_CODEX3 |  m500 |  m200 |  c200 | r200 |  d200 | N_first | N_tgss | N_spec | N_spec_z | 5d200(deg) |
|   A4038 | 356.929 | -28.142 | 0.028 |         8.8 |       TRUE |        TRUE |       FALSE | 356.929,-28.142 |        1 | PSZ2 G025.13-75.88 |         -99 |                     |        -99 |                   |      226 | J2347.7-2808 |  DR10 |    YES |               399 |      93225827 |          26 | MCXC J2347.7-2808 |            29 | Abell 4038         |       8 |      Abell 4038 |           61 |    A4038 |         -99 |         |         100 |   A4038 |           -99 |           |      1.48 |           2.00 |    -1.00 |    -1.00 |      2.04 |           3.09 |        4.30 |  4.30 |  6.19 |  4.04 | 1.16 | 33.34 |       0 |    409 |  23166 |     2366 |       2.78 |
|   A4059 |  359.25 | -34.759 | 0.048 |        10.9 |       TRUE |        TRUE |        TRUE |  359.25,-34.759 |       67 | PSZ2 G356.25-76.07 |           7 | ACT-CL J2357.0-3445 |        -99 |                   |      227 | J2357.0-3445 |  DR10 |    YES |               422 |      93235501 |         -99 |                   |           -99 |                    |     -99 |                 |           62 |    A4059 |         -99 |         |          50 |   A4059 |           -99 |           |      2.47 |           3.33 |     4.26 |    -1.00 |      2.67 |           4.03 |        5.58 |  5.58 |  8.06 |  4.03 | 1.26 | 21.59 |       0 |    119 |   8113 |     1543 |       1.80 |
|  AM2002 |   42.39 |  -31.19 | 0.023 |         0.7 |       TRUE |        TRUE |       FALSE |    42.39,-31.19 |      -99 |                    |         -99 |                     |        -99 |                   |       29 | J0249.6-3111 |  DR10 |    YES |               403 |      93230704 |         -99 |                   |           -99 |                    |     -99 |                 |          -99 |          |         -99 |         |         -99 |         |           -99 |           |     -1.00 |          -1.00 |    -1.00 |    -1.00 |      0.45 |           0.68 |        1.12 |  1.12 |  1.58 |  4.44 | 0.74 | 25.82 |       0 |    251 |   5461 |      806 |       2.15 |
|   AS560 |  90.201 | -58.587 | 0.037 |         1.4 |       TRUE |        TRUE |       FALSE |  90.201,-58.587 |      -99 |                    |           4 | ACT-CL J0600.7-5836 |        -99 |                   |       72 | J0600.8-5835 |  DR10 |     NO |               524 |      93271006 |          74 | MCXC J0600.8-5835 |           -99 |                    |     -99 |                 |          -99 |          |         -99 |         |         -99 |         |           -99 |           |     -1.00 |          -1.00 |     5.67 |    -1.00 |      0.43 |           0.65 |        1.06 |  1.06 |  1.50 |  4.45 | 0.73 | 15.94 |       0 |      0 |    443 |      147 |       1.33 |
|  Antlia | 157.514 | -35.323 | 0.012 |         1.0 |      FALSE |       FALSE |       FALSE | 157.514,-35.323 |       37 | PSZ2 G272.88+19.14 |         -99 |                     |        -99 |                   |      -99 |              |    NO |    YES |               -99 |               |         -99 |                   |           -99 |                    |     -99 |                 |          -99 |          |         -99 |         |         -99 |         |           -99 |           |      0.83 |           1.11 |    -1.00 |    -1.00 |     -1.00 |          -1.00 |       -1.00 |  1.11 |  1.58 |  4.46 | 0.75 | 48.91 |       0 |    834 |   3834 |      657 |       4.08 |
|  Fornax |  54.616 | -35.448 | 0.005 |        0.67 |       TRUE |        TRUE |        TRUE |  54.616,-35.448 |      -99 |                    |         -99 |                     |        -99 |                   |       41 | J0338.4-3526 |  DR10 |    YES |               -99 |               |         -99 |                   |           -99 |                    |     -99 |                 |          -99 |          |         -99 |         |         -99 |         |           -99 |           |     -1.00 |          -1.00 |    -1.00 |    -1.00 |      0.19 |           0.28 |       -1.00 |  0.19 |  0.25 |  5.50 | 0.41 | 64.16 |       0 |   1304 |  16359 |      761 |       5.35 |
|   Hydra | 159.174 | -27.524 | 0.012 |        2.52 |       TRUE |        TRUE |        TRUE | 159.174,-27.524 |      -99 |                    |         -99 |                     |        -99 |                   |       98 | J1036.6-2731 |  DR10 |    YES |               -99 |               |         -99 |                   |           -99 |                    |       0 |      ABELL 1060 |           24 |    A1060 |         -99 |         |         -99 |         |           -99 |           |     -1.00 |          -1.00 |    -1.00 |    -1.00 |      0.99 |           1.51 |       -1.00 |  0.99 |  1.40 |  4.51 | 0.72 | 47.08 |       0 |    885 |   4307 |      928 |       3.92 |
| IIZw108 | 318.483 |   2.565 | 0.049 |         4.8 |       TRUE |        TRUE |       FALSE |   318.483,2.565 |        3 | PSZ2 G053.55-29.85 |         -99 |                     |        -99 |                   |      196 | J2113.8+0233 |  DR10 |     NO |               206 |      93175729 |         -99 |                   |           -99 |                    |     -99 |                 |          -99 |          |         -99 |         |         -99 |         |           -99 |           |      1.80 |           2.42 |    -1.00 |    -1.00 |      1.64 |           2.48 |        3.44 |  3.44 |  4.96 |  4.07 | 1.07 | 18.02 |     461 |    126 |   9766 |      952 |       1.50 |
|    MKW4 | 181.115 |   1.895 |  0.02 |         1.6 |       TRUE |        TRUE |       FALSE |   181.115,1.895 |      -99 |                    |         -99 |                     |        -99 |                   |      109 | J1204.4+0154 |  DR10 |    YES |               -99 |               |         -99 |                   |           -99 |                    |       5 |            MKW4 |           26 |     MKW4 |         -99 |         |         -99 |         |           -99 |           |     -1.00 |          -1.00 |    -1.00 |    -1.00 |      0.68 |           1.02 |       -1.00 |  0.68 |  0.95 |  4.69 | 0.63 | 25.04 |    1204 |    241 |  25667 |     7808 |       2.09 |
|    MKW8 | 220.176 |   3.472 | 0.027 |         1.7 |       TRUE |        Ture |       FALSE |   220.176,3.472 |       65 | PSZ2 G355.50+54.72 |         -99 |                     |        -99 |                   |      155 | J1440.6+0328 |  DR10 |    YES |               196 |      93164001 |         -99 |                   |           -99 |                    |       4 |            MKW8 |           41 |     MKW8 |         -99 |         |         -99 |         |           -99 |           |      1.10 |           1.49 |    -1.00 |    -1.00 |      0.74 |           1.11 |        1.71 |  1.71 |  2.45 |  4.27 | 0.86 | 25.43 |    1223 |    218 |  25074 |     5424 |       2.12 |
| MZ00407 | 329.633 | -28.617 | 0.022 |         0.3 |       TRUE |        TRUE |       FALSE | 329.633,-28.617 |      -99 |                    |         -99 |                     |        -99 |                   |      -99 |              |  DR10 |    YES |               -99 |               |         -99 |                   |           -99 |                    |     -99 |                 |          -99 |          |         -99 |         |         -99 |         |           -99 |           |     -1.00 |          -1.00 |    -1.00 |    -1.00 |     -1.00 |          -1.00 |       -1.00 | -1.00 |  0.30 | -0.79 | 0.65 | 23.59 |       0 |    217 |   5444 |      749 |       1.97 |
