|    name |      ra |     dec |     z | m200_listed | MergedCats | TargetLists | Jan25upload |          coords | PSZ2_idx |               PSZ2 | ACT-DR5_idx |             ACT-DR5 | SPT-SZ_idx |            SPT-SZ | MCXC_idx |         MCXC | DECam | S-PLUS | CODEX3-LSDR10_idx | CODEX3-LSDR10 | MeerKAT_idx |           MeerKAT | MKDiffuse_idx |          MKDiffuse | XMM_idx |             XMM | HIFLUGCS_idx | HIFLUGCS | MENeaCS_idx | MENeaCS | LoVoCCS_idx | LoVoCCS | CLASH-VLT_idx | CLASH-VLT | m500_PSZ2 | m500_PSZ2_corr | m500_ACT | m500_SPT | m500_MCXC | m500_MCXC_corr | m500_CODEX3 |  m500 |  m200 |  c200 | r200 |  d200 | N_first | N_tgss | N_spec | N_spec_z | 5d200(deg) |
|   A0970 | 154.391 | -10.666 | 0.059 |         6.1 |       TRUE |        TRUE |        TRUE | 154.391,-10.666 |       26 | PSZ2 G253.04+36.83 |         -99 |                     |        -99 |                   |       96 | J1017.3-1040 |  DR10 |    YES |               -99 |               |         -99 |                   |           -99 |                    |     -99 |                 |          -99 |          |         -99 |         |         -99 |         |           -99 |           |      2.30 |           3.11 |    -1.00 |    -1.00 |      1.85 |           2.80 |       -1.00 |  3.11 |  4.48 |  4.08 | 1.03 | 14.59 |       0 |     89 |    855 |      540 |       1.22 |
|   A1069 | 159.929 |  -8.683 | 0.062 |         3.7 |       TRUE |        TRUE |        TRUE |  159.929,-8.683 |       27 | PSZ2 G256.67+42.05 |         -99 |                     |        -99 |                   |       99 | J1039.7-0841 |  DR10 |    YES |               276 |      93192904 |         -99 |                   |           -99 |                    |     -99 |                 |          -99 |          |         -99 |         |         -99 |         |           -99 |           |      1.80 |           2.43 |    -1.00 |    -1.00 |      1.46 |           2.21 |        2.76 |  2.76 |  3.97 |  4.10 | 0.99 | 13.39 |      54 |     76 |    859 |      377 |       1.12 |
|   A1520 | 184.832 |  -13.26 | 0.068 |         3.2 |       TRUE |        TRUE |       FALSE |  184.832,-13.26 |      -99 |                    |         -99 |                     |        -99 |                   |      112 | J1219.3-1315 |  DR10 |    YES |               -99 |               |         -99 |                   |           -99 |                    |     -99 |                 |          -99 |          |         -99 |         |         -99 |         |           -99 |           |     -1.00 |          -1.00 |    -1.00 |    -1.00 |      1.87 |           2.83 |       -1.00 |  1.87 |  2.68 |  4.20 | 0.87 | 10.78 |       0 |     46 |    414 |      243 |       0.90 |
|   A1631 | 193.216 |   -15.4 | 0.046 |         3.4 |       TRUE |        TRUE |        TRUE |   193.216,-15.4 |      -99 |                    |         -99 |                     |        -99 |                   |      -99 |              |  DR10 |    YES |               -99 |               |         -99 |                   |           -99 |                    |     -99 |                 |          -99 |          |         -99 |         |         -99 |         |           -99 |           |     -1.00 |          -1.00 |    -1.00 |    -1.00 |     -1.00 |          -1.00 |       -1.00 | -1.00 |  3.40 | -0.79 | 1.45 | 25.88 |       0 |    225 |   2921 |     1330 |       2.16 |
|   A1644 | 194.295 |   -17.4 | 0.048 |         8.7 |       TRUE |        TRUE |        TRUE |   194.295,-17.4 |       47 | PSZ2 G304.91+45.43 |         -99 |                     |        -99 |                   |      125 | J1257.1-1724 |  DR10 |    YES |               343 |      93203419 |         -99 |                   |           -99 |                    |      13 |      Abell 1644 |           30 |    A1644 |         -99 |         |          35 |   A1644 |           -99 |           |      3.69 |           4.98 |    -1.00 |    -1.00 |      2.93 |           4.43 |        6.09 |  6.09 |  8.79 |  4.03 | 1.30 | 22.24 |       0 |    172 |   1722 |      929 |       1.85 |
|   A2399 | 329.342 |  -7.811 | 0.058 |         3.6 |       TRUE |        TRUE |        TRUE |  329.342,-7.811 |      -99 |                    |         -99 |                     |        -99 |                   |      206 | J2157.4-0747 |  DR10 |    YES |               284 |      93185904 |         -99 |                   |           -99 |                    |     -99 |                 |          -99 |          |         -99 |         |         -99 |         |           -99 |           |     -1.00 |          -1.00 |    -1.00 |    -1.00 |      1.20 |           1.82 |        2.54 |  2.54 |  3.65 |  4.12 | 0.97 | 13.87 |     513 |     70 |   5126 |     1286 |       1.16 |
|   A2415 | 331.414 |  -5.594 | 0.058 |         5.6 |       TRUE |        TRUE |       FALSE |  331.414,-5.594 |        4 | PSZ2 G053.99-45.06 |         -99 |                     |        -99 |                   |      209 | J2205.6-0535 |  DR10 |    YES |               267 |      93185914 |         -99 |                   |           -99 |                    |     -99 |                 |          -99 |          |         -99 |         |          88 |   A2415 |           -99 |           |      1.78 |           2.41 |    -1.00 |    -1.00 |      2.09 |           3.17 |        3.76 |  3.76 |  5.42 |  4.05 | 1.10 | 15.81 |     495 |     73 |   4286 |      754 |       1.32 |
|   A2457 |  338.92 |   1.506 | 0.059 |         5.3 |       TRUE |        TRUE |       FALSE |    338.92,1.506 |        5 | PSZ2 G068.61-46.60 |         -99 |                     |        -99 |                   |      214 | J2235.6+0128 |  DR10 |    YES |               207 |      93176102 |         -99 |                   |           -99 |                    |     -99 |                 |          -99 |          |         -99 |         |         -99 |         |           -99 |           |      1.93 |           2.60 |    -1.00 |    -1.00 |      1.82 |           2.75 |        3.90 |  3.90 |  5.61 |  4.04 | 1.11 | 15.74 |     446 |    105 |  11357 |     1243 |       1.31 |
|   A2717 |   804.0 | -35.933 |  0.05 |         3.8 |       TRUE |        TRUE |        TRUE |    84.0,-35.933 |      -99 |                    |         -99 |                     |        -99 |                   |      -99 |              |  DR10 |     NO |               -99 |               |         -99 |                   |           -99 |                    |     -99 |                 |          -99 |          |         -99 |         |         -99 |         |           -99 |           |     -1.00 |          -1.00 |    -1.00 |    -1.00 |     -1.00 |          -1.00 |       -1.00 | -1.00 |  3.80 | -0.79 | 1.50 | 24.80 |       0 |      0 |      0 |        0 |       2.07 |
|   A2734 |   2.836 | -28.855 | 0.062 |         6.1 |       TRUE |        TRUE |       FALSE |   2.836,-28.855 |        0 | PSZ2 G019.48-80.97 |         -99 |                     |        -99 |                   |        3 | J0011.3-2851 |  DR10 |    YES |               390 |      93220122 |         -99 |                   |           -99 |                    |      22 | RXCJ0011.3-2851 |          -99 |          |         -99 |         |          93 |   A2734 |           -99 |           |      2.61 |           3.52 |    -1.00 |    -1.00 |      2.06 |           3.12 |        4.01 |  4.01 |  5.77 |  4.04 | 1.12 | 15.15 |       0 |     89 |   5502 |     1378 |       1.26 |
