|       Cluster Name | RA_J2000 | Dec_J2000 |     z | Gal_Long | Gal_Lat |    Lx | VST | AAOzs |     DECam |         SPLUS |                      SPLUS comments |                                                   Comments |          coords | PSZ2_idx |               PSZ2 | ACT-DR5_idx |             ACT-DR5 | MCXC_idx |         MCXC | MeerKAT_idx |           MeerKAT | MKDiffuse_idx |          MKDiffuse | XMM_idx |                  XMM | m500_PSZ2 | m500_PSZ2_corr | m500_ACT | m500_MCXC | m500_MCXC_corr |  m500 |  m200 | c200 | r200 |   d200 |  Nspec | Nspec_z |
| PSZ2 G326.01+17.21 |   222.28 |   -40.327 | 0.062 |   326.01 |   17.21 |   0.0 |   N |     0 |        NO |            NO |                                     |                                                            |  222.28,-40.327 |     1536 | PSZ2 G326.01+17.21 |         -99 |                     |      -99 |              |         -99 |                   |           -99 |                    |     -99 |                      |      2.12 |           2.86 |    -1.00 |     -1.00 |          -1.00 |  2.86 |  4.11 | 4.09 | 1.54 |  20.75 |   1089 |     620 |
| PSZ2 G324.59-11.52 |  249.579 |   -62.359 | 0.051 |   324.59 |  -11.52 |   0.0 |   N |     0 |        NO |            NO |  Cristobal Sifón SPLUS 2022B target |                                                            | 249.579,-62.359 |      -99 |                    |         -99 |                     |      -99 |              |         -99 |                   |           -99 |                    |     -99 |                      |     -1.00 |          -1.00 |    -1.00 |     -1.00 |          -1.00 | -1.00 |  1.41 | 4.46 | 1.08 |  17.50 |    668 |     256 |
|              A3651 |  298.068 |   -55.062 |  0.06 |  342.826 | -30.498 | 0.683 |   N |     0 |      DR10 |            NO |  Cristobal Sifón SPLUS 2022B target |                                                            | 298.068,-55.062 |     1603 | PSZ2 G342.82-30.48 |         -99 |                     |     1469 | J1952.2-5503 |         -99 |                   |           -99 |                    |     -99 |                      |      3.24 |           4.38 |    -1.00 |      1.47 |           2.23 |  4.38 |  6.31 | 4.03 | 1.77 |  24.68 |   1368 |     738 |
| PSZ2 G345.38-39.32 |  313.054 |   -52.836 | 0.045 |   345.38 |  -39.32 |   0.0 |   N |     0 |       DR9 |            NO |                                     |                                                            | 313.054,-52.836 |     1611 | PSZ2 G345.38-39.32 |         -99 |                     |      -99 |              |         -99 |                   |           -99 |                    |     -99 |                      |      1.81 |           2.44 |    -1.00 |     -1.00 |          -1.00 |  2.44 |  3.50 | 4.14 | 1.47 |  26.70 |   2683 |    1342 |
|        Abell S1101 |  348.494 |   -42.734 | 0.056 |  348.329 | -64.811 | 1.988 |   N |     0 |       DR9 | SPLUS not obs |                                     | Detected in ACT, overlaps NGC 7582 group, LoVoCCS HIFLUGCS | 348.494,-42.734 |     1622 | PSZ2 G348.46-64.83 |        3922 | ACT-CL J2313.9-4243 |     1674 | J2313.9-4244 |         -99 |                   |           -99 |                    |      17 |             A S 1101 |      1.46 |           1.98 |     3.39 |      2.83 |           4.28 |  3.39 |  4.88 | 4.07 | 1.63 |  24.19 |   2452 |     845 |
|              A4038 |  356.929 |   -28.142 | 0.028 |   25.136 | -75.861 | 1.127 |   N |     0 |      DR10 | SPLUS partial |   1 SPLUS-main tile needs observing |                                           MeerKAT HIFLUGCS | 356.929,-28.142 |       82 | PSZ2 G025.13-75.88 |         -99 |                     |     1725 | J2347.7-2808 |          26 | MCXC J2347.7-2808 |            29 | Abell 4038         |       8 |           Abell 4038 |      1.48 |           2.00 |    -1.00 |      2.04 |           3.09 |  2.00 |  2.86 | 4.21 | 1.38 |  39.51 |  30448 |    2925 |
|              A2877 |   17.501 |   -45.923 | 0.024 |  293.051 | -70.867 | 0.195 |   N |     0 |       DR9 | SPLUS not obs |  10 SPLUS-main tiles need observing |                                                            |  17.501,-45.923 |     1377 | PSZ2 G293.12-70.85 |         -99 |                     |      101 | J0110.0-4555 |         -99 |                   |           -99 |                    |      15 |              IC 1633 |      1.14 |           1.54 |    -1.00 |      0.71 |           1.08 |  1.54 |  2.20 | 4.31 | 1.26 |  42.06 |   7118 |    1041 |
|             Fornax |   54.616 |   -35.448 | 0.005 |  236.712 | -53.639 | 0.016 |   N |     0 |       DR9 |     SPLUS obs |                                     |                                          PGC13418 HIFLUGCS |  54.616,-35.448 |      -99 |                    |         -99 |                     |      284 | J0338.4-3526 |         -99 |                   |           -99 |                    |     -99 |                      |     -1.00 |          -1.00 |    -1.00 |      0.19 |           0.28 |  0.28 |  0.39 | 5.23 | 0.71 | 111.17 | 151183 |    2888 |
|            NGC1453 |   56.613 |    -3.968 | 0.013 |  191.776 | -42.289 |   0.0 |   N |     0 |       DR9 |            NO |                                     |                                                            |   56.613,-3.968 |      -99 |                    |         -99 |                     |      -99 |              |         -99 |                   |           -99 |                    |     -99 |                      |     -1.00 |          -1.00 |    -1.00 |     -1.00 |          -1.00 | -1.00 |  1.41 | 4.50 | 1.09 |  66.33 |  91782 |   16125 |
|            NGC1550 |   64.908 |     2.409 | 0.012 |  190.977 | -31.848 | 0.754 |   N |     0 |      DR10 |            NO |                                     |                                                   HIFLUGCS |    64.908,2.409 |      -99 |                    |         -99 |                     |      323 | J0419.6+0224 |         -99 |                   |           -99 |                    |     -99 |                      |     -1.00 |          -1.00 |    -1.00 |      0.70 |           1.06 |  1.06 |  1.50 | 4.48 | 1.12 |  73.37 |  86607 |   36819 |
|             Antlia |  157.514 |   -35.323 | 0.012 |  272.948 |  19.187 |  0.08 |   N |     0 |        NO |     SPLUS obs |                                     |                                                Abell S0636 | 157.514,-35.323 |     1271 | PSZ2 G272.88+19.14 |         -99 |                     |      -99 |              |         -99 |                   |           -99 |                    |     -99 |                      |      0.83 |           1.11 |    -1.00 |     -1.00 |          -1.00 |  1.11 |  1.58 | 4.46 | 1.14 |  74.51 |   9364 |    1329 |
|              Hydra |  159.174 |   -27.524 | 0.012 |  269.596 |  26.488 | 0.334 |   N |     0 |      DR10 |     SPLUS obs |                                     |                           A1060 cluster(PGC31478) HIFLUGCS | 159.174,-27.524 |      -99 |                    |         -99 |                     |      688 | J1036.6-2731 |         -99 |                   |           -99 |                    |       0 |           ABELL 1060 |     -1.00 |          -1.00 |    -1.00 |      0.99 |           1.51 |  1.51 |  2.14 | 4.33 | 1.26 |  82.53 |  10977 |    1538 |
|               MKW4 |  181.115 |     1.895 |  0.02 |  276.914 |  62.369 | 0.975 |   N |     0 |       DR9 |    SPLUS obs? |   3 SPLUS-main tiles need observing |                                                   HIFLUGCS |   181.115,1.895 |      -99 |                    |         -99 |                     |      831 | J1204.4+0154 |         -99 |                   |           -99 |                    |       5 |                 MKW4 |     -1.00 |          -1.00 |    -1.00 |      0.68 |           1.02 |  1.02 |  1.45 | 4.49 | 1.10 |  43.79 |  75430 |   20977 |
|              A3526 |  192.199 |   -41.308 | 0.011 |  302.399 |  21.561 | 0.751 |   N |     0 |      DR10 |            NO |                                     |               Centaurus cluster(PGC43296) HIFLUGCS MeerKAT | 192.199,-41.308 |     1419 | PSZ2 G302.41+21.60 |         -99 |                     |      914 | J1248.7-4118 |          99 | MCXC J1248.7-4118 |           -99 |                    |     -99 |                      |      1.32 |           1.79 |    -1.00 |      1.62 |           2.45 |  1.79 |  2.55 | 4.26 | 1.33 |  95.34 |  19848 |    2255 |
|            NGC5044 |   198.85 |   -16.389 | 0.009 |  311.233 |  46.095 |  0.11 |   N |     0 |      DR10 |     SPLUS obs |                                     |                                          PGC46247 HIFLUGCS |  198.85,-16.389 |      -99 |                    |         -99 |                     |      977 | J1315.3-1623 |         -99 |                   |           -99 |                    |       2 |             NGC 5044 |     -1.00 |          -1.00 |    -1.00 |      0.51 |           0.78 |  0.78 |  1.09 | 4.64 | 1.01 |  87.72 |  17170 |    2668 |
|            NGC5084 |  199.392 |   -21.565 | 0.006 |  311.753 |  40.549 |   0.0 |   N |     0 |      DR10 | SPLUS not obs |   4 SPLUS-main tiles need observing |                                                            | 199.392,-21.565 |      -99 |                    |         -99 |                     |      -99 |              |         -99 |                   |           -99 |                    |     -99 |                      |     -1.00 |          -1.00 |    -1.00 |     -1.00 |          -1.00 | -1.00 |  1.41 | 4.51 | 1.10 | 142.79 |  55596 |    5690 |
|            NGC5153 |  201.976 |   -29.618 | 0.014 |  312.341 |  32.586 |   0.0 |   N |     0 |      DR10 |       Shapley |                                     |                                                            | 201.976,-29.618 |      -99 |                    |         -99 |                     |      -99 |              |         -99 |                   |           -99 |                    |     -99 |                      |     -1.00 |          -1.00 |    -1.00 |     -1.00 |          -1.00 | -1.00 |  1.41 | 4.51 | 1.09 |  61.67 |  17186 |    2595 |
|              A3565 |  204.019 |   -34.225 | 0.013 |  313.567 |  28.098 |   0.0 |   N |     0 |      DR10 |       Shapley |                                     |                                                            | 204.019,-34.225 |      -99 |                    |         -99 |                     |      -99 |              |         -99 |                   |           -99 |                    |     -99 |                      |     -1.00 |          -1.00 |    -1.00 |     -1.00 |          -1.00 | -1.00 |  1.41 | 4.50 | 1.09 |  66.33 |  17735 |    2663 |
|              A3581 |  211.867 |   -27.015 | 0.023 |  323.138 |  32.855 | 0.381 |   N |     0 |      DR10 |            NO |                                     |                                                   HIFLUGCS | 211.867,-27.015 |      -99 |                    |         -99 |                     |     1077 | J1407.4-2700 |         -99 |                   |           -99 |                    |     -99 |                      |     -1.00 |          -1.00 |    -1.00 |      1.08 |           1.64 |  1.64 |  2.33 | 4.29 | 1.29 |  44.73 |   3960 |    1179 |
|               MKW8 |  220.176 |     3.472 | 0.027 |  355.509 |  54.776 | 1.974 |   N |     0 |       DR9 | SPLUS not obs |   7 SPLUS-main tiles need observing |                                                   HIFLUGCS |   220.176,3.472 |     1636 | PSZ2 G355.50+54.72 |         -99 |                     |     1122 | J1440.6+0328 |         -99 |                   |           -99 |                    |       4 |                 MKW8 |      1.10 |           1.49 |    -1.00 |      0.74 |           1.11 |  1.49 |  2.12 | 4.32 | 1.25 |  37.04 |  57019 |   11167 |
|            NGC1407 |   55.049 |    -18.58 | 0.006 |  209.635 | -50.384 |   0.0 |   N |     0 |       DR9 |            NO |                                     |                                               PGC13505 BCG |   55.049,-18.58 |      -99 |                    |         -99 |                     |      288 | J0340.1-1835 |         -99 |                   |           -99 |                    |     -99 |                      |     -1.00 |          -1.00 |    -1.00 |      0.06 |           0.09 |  0.09 |  0.12 | 6.05 | 0.48 |  61.97 |   9496 |     630 |
|             Dorado |   64.266 |   -56.128 | 0.003 |  266.044 | -43.472 |   0.0 |   N |     0 |       DR9 |     SPLUS obs |                                     |                                 WALLABY HI group(PGC14765) |  64.266,-56.128 |      -99 |                    |         -99 |                     |      -99 |              |         -99 |                   |           -99 |                    |     -99 |                      |     -1.00 |          -1.00 |    -1.00 |     -1.00 |          -1.00 | -1.00 |  1.41 | 4.52 | 1.10 | 284.80 | 196594 |    6958 |
|            NGC3078 |  149.602 |   -26.927 | 0.008 |  261.781 |  21.802 |   0.0 |   N |     0 |      DR10 |            NO |                                     |                                                   PGC28806 | 149.602,-26.927 |      -99 |                    |         -99 |                     |      -99 |              |         -99 |                   |           -99 |                    |     -99 |                      |     -1.00 |          -1.00 |    -1.00 |     -1.00 |          -1.00 | -1.00 |  1.41 | 4.51 | 1.10 | 107.29 |  21083 |    2422 |
|            NGC4636 |  190.709 |     2.692 | 0.004 |  297.752 |  65.477 | 0.058 |   N |     0 |       DR9 | SPLUS not obs |                                     |                                               BCG HIFLUGCS |   190.709,2.692 |      -99 |                    |         -99 |                     |      905 | J1242.8+0241 |         -99 |                   |           -99 |                    |     -99 |                      |     -1.00 |          -1.00 |    -1.00 |      0.12 |           0.19 |  0.19 |  0.25 | 5.50 | 0.62 | 120.71 | 319072 |   95410 |
|            NGC5128 |  201.365 |   -43.019 | 0.002 |  309.516 |  19.417 |   0.0 |   N |     0 |        NO |            NO |                                     |                                Centaurus A group(PGC46957) | 201.365,-43.019 |      -99 |                    |         -99 |                     |      -99 |              |         -99 |                   |           -99 |                    |     -99 |                      |     -1.00 |          -1.00 |    -1.00 |     -1.00 |          -1.00 | -1.00 |  1.41 | 4.52 | 1.10 | 426.80 | 355626 |   22133 |
|                M83 |  204.254 |   -29.865 | 0.002 |  314.584 |  31.973 |   0.0 |   N |     0 |      DR10 |       Shapley |                                     |                                 WALLABY HI group(PGC48082) | 204.254,-29.865 |      -99 |                    |         -99 |                     |      -99 |              |         -99 |                   |           -99 |                    |     -99 |                      |     -1.00 |          -1.00 |    -1.00 |     -1.00 |          -1.00 | -1.00 |  1.41 | 4.52 | 1.10 | 426.80 | 894111 |  165377 |
|            NGC7162 |  329.913 |   -43.306 | 0.007 |  356.381 |  -51.89 |   0.0 |   N |     0 |       DR9 | SPLUS not obs |                                     |                                           WALLABY HI group | 329.913,-43.306 |      -99 |                    |         -99 |                     |      -99 |              |         -99 |                   |           -99 |                    |     -99 |                      |     -1.00 |          -1.00 |    -1.00 |     -1.00 |          -1.00 | -1.00 |  1.41 | 4.51 | 1.10 | 122.50 |  56745 |    3609 |
|            NGC7232 |  333.908 |    -45.85 | 0.006 |  351.127 | -54.025 |   0.0 |   N |     0 |       DR9 | SPLUS not obs |                                     |                                           WALLABY HI group |  333.908,-45.85 |      -99 |                    |         -99 |                     |      -99 |              |         -99 |                   |           -99 |                    |     -99 |                      |     -1.00 |          -1.00 |    -1.00 |     -1.00 |          -1.00 | -1.00 |  1.41 | 4.51 | 1.10 | 142.79 |  73432 |    3864 |
