|       Cluster Name | RA_J2000 | Dec_J2000 |     z | Gal_Long | Gal_Lat |    Lx | VST | AAOzs |     DECam |         SPLUS |                      SPLUS comments |                                                   Comments |          coords | PSZ2_idx |               PSZ2 | ACT-DR5_idx |             ACT-DR5 | MCXC_idx |         MCXC | MeerKAT_idx |           MeerKAT | MKDiffuse_idx |          MKDiffuse | XMM_idx |                  XMM | m500_PSZ2 | m500_PSZ2_corr | m500_ACT | m500_MCXC | m500_MCXC_corr |  m500 |  m200 | c200 | r200 |   d200 |  Nspec | Nspec_z |
|              A2717 |    0.804 |   -35.933 |  0.05 |  349.301 | -76.488 |  0.52 |   Y |   610 |       DR9 | SPLUS partial |   2 SPLUS-main tiles need observing |                                                            |   0.804,-35.933 |      -99 |                    |         -99 |                     |        5 | J0003.2-3555 |         -99 |                   |           -99 |                    |     -99 |                      |     -1.00 |          -1.00 |    -1.00 |      1.20 |           1.82 |  1.82 |  2.60 | 4.23 | 1.33 |  21.85 |   8876 |    1000 |
|              A3128 |   52.562 |   -52.533 | 0.059 |  264.685 | -51.117 |  1.08 |   Y |   584 |       DR9 |     SPLUS obs |                                     |                                                    LoVoCCS |  52.562,-52.533 |     1221 | PSZ2 G264.60-51.07 |         -99 |                     |      270 | J0330.0-5235 |         -99 |                   |           -99 |                    |      20 |               A 3128 |      6.93 |           9.35 |    -1.00 |      2.08 |           3.15 |  9.35 | 13.47 | 4.09 | 2.29 |  32.29 |   5878 |    3506 |
|              A3158 |   55.787 |    -53.65 | 0.059 |   265.05 | -48.894 |  2.71 |   Y |   621 |       DR9 |     SPLUS obs |                                     |                ACT-detected LoVoCCS MeerKAT X-COP HIFLUGCS |   55.787,-53.65 |     1224 | PSZ2 G265.02-48.96 |        1422 | ACT-CL J0342.9-5337 |      295 | J0342.8-5338 |          58 | MCXC J0342.8-5338 |            68 | J0342.8-5338       |     -99 |                      |      4.22 |           5.70 |     4.53 |      3.65 |           5.53 |  4.53 |  6.53 | 4.03 | 1.80 |  25.37 |   3591 |    2082 |
|              A3164 |   56.454 |   -57.033 | 0.061 |  269.436 | -47.164 |  0.75 |   N |     0 |       DR9 |     SPLUS obs |                                     |                                                            |  56.454,-57.033 |     1246 | PSZ2 G269.36-47.20 |         -99 |                     |      298 | J0346.1-5702 |         -99 |                   |           -99 |                    |     -99 |                      |      1.53 |           2.07 |    -1.00 |      1.35 |           2.04 |  2.07 |  2.96 | 4.18 | 1.38 |  18.89 |   1057 |     510 |
|              A3266 |   67.804 |    -61.45 | 0.054 |  272.143 | -40.153 |  3.14 |   Y |   877 |       DR9 |         2021B |                                     |                       ASKAP LoVoCCS MeerKAT X-COP HIFLUGCS |   67.804,-61.45 |     1266 | PSZ2 G272.08-40.16 |         -99 |                     |      333 | J0431.4-6126 |          63 | MCXC J0431.4-6126 |            75 | J0431.4-6126       |     -99 |                      |      6.64 |           8.95 |    -1.00 |      4.56 |           6.90 |  8.95 | 12.90 | 4.07 | 2.26 |  34.63 |   4708 |    2287 |
|              A3376 |    90.17 |   -40.033 | 0.046 |  246.505 | -26.294 |  1.27 |   Y |   519 |       DR9 |         2020B |                                     |                                           MeerKAT HIFLUGCS |   90.17,-40.033 |      -99 |                    |         -99 |                     |      -99 |              |         -99 |                   |           -99 |                    |     -99 |                      |     -1.00 |          -1.00 |    -1.00 |     -1.00 |          -1.00 | -1.00 |  1.41 | 4.47 | 1.08 |  19.32 |   4824 |     856 |
|              A3395 |     96.9 |   -54.433 |  0.05 |  263.215 | -25.129 |  1.43 |   Y |   652 |       DR9 |         2021B |                                     |                                   LoVoCCS MeerKAT HIFLUGCS |    96.9,-54.433 |     1214 | PSZ2 G263.19-25.19 |         -99 |                     |      437 | J0627.2-5428 |          80 | MCXC J0627.2-5428 |            82 | J0627.2-5428       |     -99 |                      |      3.21 |           4.33 |    -1.00 |      2.40 |           3.63 |  4.33 |  6.24 | 4.03 | 1.77 |  29.26 |   3158 |    1515 |
|              A3490 |  176.333 |   -34.433 |  0.07 |  287.736 |   26.48 |  0.88 |   N |     0 |      DR10 |            NO |  Cristobal Sifón SPLUS 2022B target |                                                            | 176.333,-34.433 |     1349 | PSZ2 G287.72+26.46 |         -99 |                     |      793 | J1145.3-3425 |         -99 |                   |           -99 |                    |     -99 |                      |      2.58 |           3.48 |    -1.00 |      1.64 |           2.48 |  3.48 |  5.01 | 4.06 | 1.64 |  19.76 |   8750 |    1702 |
|              A3497 |  180.016 |   -31.383 | 0.061 |  290.246 |  30.219 |  0.74 |   N |     0 |      DR10 |            NO |                                     |                                                            | 180.016,-31.383 |     1362 | PSZ2 G290.19+30.16 |         -99 |                     |      815 | J1200.0-3124 |         -99 |                   |           -99 |                    |     -99 |                      |      2.25 |           3.04 |    -1.00 |      1.56 |           2.37 |  3.04 |  4.38 | 4.08 | 1.57 |  21.51 |  10077 |    1436 |
|             A3528S |  193.645 |   -29.383 | 0.053 |  303.753 |  33.483 |  0.68 |   Y |   627 |      DR10 |       Shapley |                                     |                                                    LoVoCCS | 193.645,-29.383 |      -99 |                    |         -99 |                     |      -99 |              |         -99 |                   |           -99 |                    |     -99 |                      |     -1.00 |          -1.00 |    -1.00 |     -1.00 |          -1.00 | -1.00 |  1.41 | 4.46 | 1.08 |  16.87 |   3352 |    1639 |
