Cluster Name,RA_J2000,Dec_J2000,z,Gal_Long,Gal_Lat,PSZ2,M_500,ACT name,ACTDR5,M500Cal,VISTA,DECam,SPLUS,Comments,coords,PSZ2_idx,ACT-DR5_idx,ACT-DR5,MCXC_idx,MCXC,MeerKAT_idx,MeerKAT,MKDiffuse_idx,MKDiffuse,XMM_idx,XMM,m500_PSZ2,m500_PSZ2_corr,m500_ACT,m500_MCXC,m500_MCXC_corr,m500,m200,c200,r200,d200,Nspec,Nspec_z
MACS J2140.2-2339,325.062,-23.661,0.313,26.489,-46.937,,0.0,J2140.2-2339,3586,5.282,P107,DR10,SPLUS obs,Outside eROSITA CLASH-VLT,"325.062,-23.661",-99,3585,ACT-CL J2140.2-2339,1558,J2140.2-2339,-99,,-99,,-99,,-1.00,-1.00,5.28,4.70,7.11,5.28,7.59,4.12,1.72,6.07,254,49
RXC J2031.8-4037,307.965,-40.621,0.341,0.775,-35.699,PSZ2 G000.77-35.69,10.487,J2031.8-4037,3415,10.487,P107,DR9,,SMACS J2031.8 Outside eROSITA MUSE,"307.965,-40.621",3,3414,ACT-CL J2031.8-4037,1497,J2031.8-4037,-99,,-99,,-99,,6.33,8.54,10.49,6.62,10.03,10.49,14.83,4.45,2.13,7.09,311,67
PSZ2 G337.12-66.02,353.774,-45.709,0.547,337.118,-66.024,PSZ2 G337.12-66.02,7.121,J2335.1-4544,4042,6.0,P107,DR9,SPLUS obs,,"353.774,-45.709",1571,4041,ACT-CL J2335.1-4544,-99,,-99,,-99,,-99,,7.12,9.61,6.00,-1.00,-1.00,6.00,8.51,4.38,1.63,4.13,74,41
MACS J0329.7-0211,52.423,-2.196,0.45,186.444,-44.675,,5.56,J0329.6-0211,1348,7.837,P108,DR9,,CLASH-VLT,"52.423,-2.196",-99,1347,ACT-CL J0329.6-0211,269,J0329.6-0211,-99,,-99,,-99,,-1.00,-1.00,7.84,4.46,6.75,7.84,11.12,4.42,1.85,5.21,705,63
PSZ2 G205.93-39.46,64.406,-11.896,0.443,205.937,-39.462,PSZ2 G205.93-39.46,12.25,J0417.5-1154,1560,15.765,P108,DR9,,"MeerKAT, MUSE, JWST","64.406,-11.896",930,1559,ACT-CL J0417.5-1154,322,J0417.5-1154,34,MCXC J0417.5-1154,44,MACS J0417.5-1154,-99,,12.25,16.53,15.77,22.10,33.45,15.77,21.81,5.03,2.33,6.59,690,23
PSZ2 G262.73-40.92,69.579,-54.318,0.421,262.729,-40.938,PSZ2 G262.73-40.92,7.461,J0438.2-5419,1620,10.655,P108,DR9,SPLUS obs,,"69.579,-54.318",1209,1619,ACT-CL J0438.2-5419,-99,,-99,,-99,,-99,,7.46,10.07,10.65,-1.00,-1.00,10.65,14.97,4.59,2.07,6.04,174,95
PSZ2 G241.11-28.68,85.738,-35.984,0.42,241.112,-28.681,PSZ2 G241.11-28.68,7.361,J0542.9-3559,1807,7.122,P108,DR9,,,"85.738,-35.984",1088,1806,ACT-CL J0542.9-3559,-99,,-99,,-99,,-99,,7.36,9.93,7.12,-1.00,-1.00,7.12,10.13,4.33,1.82,5.32,363,3
PSZ2 G271.18-30.95,87.326,-62.083,0.3755,271.192,-30.964,PSZ2 G271.18-30.95,7.373,Outside ACT,0,,P108,DR10,,MUSE,"87.326,-62.083",1259,-99,,-99,,-99,,-99,,-99,,7.37,9.95,-1.00,-1.00,-1.00,9.95,14.06,4.47,2.07,6.46,165,33
ClG 0657-56 Bullet cluster,104.629,-55.947,0.2965,266.025,-21.247,PSZ2 G266.04-21.25,13.1,J0658.5-5557,1901,16.061,P108,DR10,,MeerKAT Foex+2017,"104.629,-55.947",1231,1900,ACT-CL J0658.5-5557,455,J0658.5-5556,85,MCXC J0658.5-5556,33,Bullet,-99,,13.10,17.67,16.06,10.36,15.68,16.06,22.47,4.73,2.49,9.10,575,329
PSZ2 G243.15-73.84,29.763,-34.235,0.41,243.15,-73.848,PSZ2 G243.15-73.84,8.086,J0159.0-3413,745,9.063,P109,DR9,SPLUS obs,"WAVES, MUSE","29.763,-34.235",1101,744,ACT-CL J0159.0-3413,-99,,-99,,-99,,-99,,8.09,10.91,9.06,-1.00,-1.00,9.06,12.82,4.46,1.98,5.85,388,4
