name,ra,dec,z,Gal_Long,Gal_Lat,PSZ2,M_500,ACT name,ACTDR5,M500Cal,VISTA**,DECam,SPLUS,Comments,Complete sample,Low-mass sample,Below low-mass,Missing altogether,coords,PSZ2_idx,ACT-DR5_idx,ACT-DR5,SPT-SZ_idx,SPT-SZ,MCXC_idx,MCXC,S-PLUS,CODEX-DECALS_idx,CODEX-DECALS,MeerKAT_idx,MeerKAT,MKDiffuse_idx,MKDiffuse,XMM_idx,XMM,HIFLUGCS_idx,HIFLUGCS,MENeaCS_idx,MENeaCS,LoVoCCS_idx,LoVoCCS,CLASH-VLT_idx,CLASH-VLT,m500_PSZ2,m500_PSZ2_corr,m500_ACT,m500_SPT,m500_MCXC,m500_MCXC_corr,m500_CODEX,m500,m200,c200,r200,d200,N_first,N_tgss,N_spec,N_spec_z,5d200
MACS J1206.2-0847,181.551,-8.8,0.44,284.398,52.436,PSZ2 G284.41+52.45,11.176,Outside ACT,0,,P109,DR9,SPLUS obs,CLASH-VLT and MUSE,"PSZ, CODEX",,,ACT,"181.551,-8.8",302,-99,,-99,,298,J1206.2-0848,YES,1068,119638,-99,,-99,,-99,,-99,,-99,,-99,,9,MACSJ1206-08,11.18,15.08,-1.00,-1.00,8.40,12.72,14.06,15.08,20.92,4.97,2.30,6.54,0,6,1236,853,0.54
RXC J1212.3-1816,183.079,-18.279,0.269,290.059,43.613,,0.0,Outside ACT,0,,HiLx,DR10,SPLUS obs,,,,,,"183.079,-18.279",-99,-99,,-99,,300,J1212.3-1816,YES,-99,,-99,,-99,,-99,,-99,,-99,,-99,,-99,,-1.00,-1.00,-1.00,-1.00,4.83,7.31,-1.00,7.31,10.47,4.19,1.95,7.64,0,17,78,8,0.64
Abell1650,194.675,-1.759,0.0845,306.683,61.059,PSZ2 G306.66+61.06,4.446,J1258.7-0145,2633,8.051,VHS,DR9,SPLUS obs,LoVoCCS,"ACT, PSZ",CODEX,,,"194.675,-1.759",343,724,ACT-CL J1258.7-0145,-99,,318,J1258.6-0145,YES,858,111941,-99,,-99,,-99,,31,A1650,19,A1650,12,A1650,-99,,4.45,6.00,8.05,-1.00,4.12,6.24,11.08,8.05,11.60,4.07,2.16,21.92,907,188,14705,4431,1.83
Abell1651,194.843,-4.196,0.0845,306.733,58.617,PSZ2 G306.77+58.61,5.074,J1259.3-0410,2636,6.384,VHS,DR9,SPLUS obs,LoVoCCS,"ACT, PSZ",CODEX,,,"194.843,-4.196",344,726,ACT-CL J1259.3-0410,-99,,320,J1259.3-0411,YES,953,115913,-99,,-99,,-99,,32,A1651,20,A1651,6,A1651,-99,,5.07,6.84,6.38,-1.00,4.39,6.65,11.40,6.38,9.20,4.04,2.00,20.29,753,147,7706,3025,1.69
MACS J1311.0-0311,197.758,-3.177,0.494,312.553,59.329,,3.51,J1311.0-0310,2672,4.948,P109,DR9,SPLUS obs,CLASH-VLT,,,,,"197.758,-3.177",-99,-99,,-99,,-99,,YES,-99,,-99,,-99,,-99,,-99,,-99,,-99,,12,MACSJ1311-03,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,0,0,0,0,-0.08
Abell1689,197.875,-1.335,0.1832,313.361,61.129,PSZ2 G313.33+61.13,8.769,J1311.5-0119,2676,14.062,HiLx,DR9,SPLUS obs,WAVES,"ACT, PSZ, CODEX",,,,"197.875,-1.335",356,731,ACT-CL J1311.5-0119,-99,,326,J1311.5-0120,YES,859,111986,-99,,-99,,-99,,-99,,54,A1689,-99,,-99,,8.77,11.83,14.06,-1.00,8.39,12.70,21.73,14.06,19.95,4.41,2.50,13.09,321,76,6588,1171,1.09
RXC J1314.4-2515,198.617,-25.261,0.244,309.482,37.317,PSZ2 G309.49+37.31,6.717,Outside ACT,0,,P109,DR10,SPLUS obs,MeerKAT Golovich+2019,,"PSZ, CODEX",,ACT,"198.617,-25.261",351,-99,,-99,,328,J1314.4-2515,YES,1372,127032,39,MCXC J1314.4-2515,51,RXC J1314.4-2525,-99,,-99,,-99,,-99,,-99,,6.72,9.06,-1.00,-1.00,6.94,10.50,11.02,9.06,12.93,4.25,2.11,8.88,0,35,495,220,0.74
RXC J1347.5-1144,206.877,-11.753,0.4516,324.037,48.808,,11.029,outside ACT,0,,GCAV,DR10,SPLUS obs,CLASH-VLT Foex+2017,,,,*Outside redshift range,"206.877,-11.753",-99,-99,,-99,,-99,,YES,-99,,-99,,-99,,-99,,-99,,96,RXJ1347,-99,,11,RXJ1347-1145,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,0,0,0,0,-0.08
Abell1835,210.218,2.878,0.252,340.366,60.582,PSZ2 G340.36+60.58,9.75,J1401.0+0252,2854,15.231,HiLx,DR9,SPLUS obs,WAVES,"ACT, PSZ, CODEX",,,,"210.218,2.878",400,761,ACT-CL J1401.0+0252,-99,,345,J1401.0+0252,YES,761,107933,-99,,-99,,-99,,-99,,83,A1835,-99,,-99,,9.75,13.15,15.23,-1.00,10.50,15.89,20.78,15.23,21.40,4.59,2.49,10.23,167,37,2621,366,0.85
PSZ2 G325.70+17.34,221.861,-40.346,0.3155,325.707,17.34,PSZ2 G325.70+17.34,7.57,Outside ACT,0,,P109,NO,,,,,,,"221.861,-40.346",378,-99,,-99,,-99,,NO,-99,,-99,,-99,,-99,,-99,,-99,,-99,,-99,,7.57,10.21,-1.00,-1.00,-1.00,-1.00,-1.00,10.21,14.49,4.40,2.14,7.48,0,32,264,3,0.62
AbellS0780,224.872,-18.187,0.236,340.91,35.074,PSZ2 G340.94+35.07,7.796,Outside ACT,0,,P109,DR10,,MUSE,,,,,"224.872,-18.187",402,-99,,-99,,363,J1459.4-1811,YES,1243,123653,-99,,-99,,-99,,-99,,-99,,-99,,-99,,7.80,10.52,-1.00,-1.00,8.62,13.04,13.27,10.52,14.96,4.31,2.22,9.59,0,29,70,17,0.80
RXC J1504.1-0248,226.031,-2.804,0.215,355.076,46.199,PSZ2 G355.07+46.20,6.666,J1504.1-0248,3062,11.274,HiLx,DR9,,MUSE,,,,,"226.031,-2.804",423,782,ACT-CL J1504.1-0248,-99,,365,J1504.1-0248,NO,901,112271,-99,,-99,,-99,,-99,,-99,,-99,,-99,,6.67,8.99,11.27,-1.00,12.47,18.88,21.41,11.27,16.04,4.32,2.29,10.61,226,35,1601,110,0.88
RXC J1514.9-1523,228.742,-15.386,0.2226,346.584,35.048,PSZ2 G346.61+35.06,8.861,outside ACT,0,,GCAV,DR10,,,,,,,"228.742,-15.386",413,-99,,-99,,369,J1514.9-1523,NO,1220,123638,-99,,-99,,-99,,-99,,-99,,-99,,-99,,8.86,11.95,-1.00,-1.00,5.42,8.21,10.38,11.95,16.96,4.36,2.33,10.50,0,41,109,25,0.87
PSZ2 G313.88-17.11,240.455,-75.754,0.153,313.88,-17.11,PSZ2 G313.88-17.11,7.858,Outside ACT,0,,VHS,NO,,,,,,,"240.455,-75.754",359,-99,,-99,,378,J1601.7-7544,NO,-99,,106,MCXC J1601.7-7544,95,J1601.7-7544,-99,,-99,,-99,,-99,,-99,,8.03,10.83,-1.00,-1.00,6.88,10.41,-1.00,10.83,15.48,4.22,2.32,14.07,0,0,420,169,1.17
Abell2163,243.955,-6.152,0.206,6.768,30.454,PSZ2 G006.76+30.45,16.116,outside ACT,0,,GCAV,DR10,,"Maurogordato+2007, Golovich+2019","PSZ, CODEX",,,ACT,"243.955,-6.152",12,-99,,-99,,379,J1615.7-0608,NO,987,116445,-99,,-99,,-99,,49,A2163,88,A2163,-99,,-99,,16.12,21.74,-1.00,-1.00,11.05,16.73,21.70,21.74,30.27,4.84,2.85,13.60,0,101,768,489,1.13
MACS J1931.8-2638,292.957,-26.576,0.352,12.576,-20.093,PSZ2 G012.59-20.10,6.97,J1931.8-2634,3376,4.955,P107,DR10 edge,,Outside eROSITA CLASH-VLT,,PSZ,ACT,CODEX,"292.957,-26.576",22,812,ACT-CL J1931.8-2634,-99,,407,J1931.8-2634,NO,-99,,-99,,-99,,-99,,-99,,-99,,-99,,6,MACSJ1931-26,6.97,9.41,4.95,-1.00,5.92,8.97,-1.00,4.95,7.12,4.13,1.66,5.41,0,4,200,112,0.45
PSZ2 G347.17-27.36,293.723,-50.878,0.2371,347.176,-27.361,PSZ2 G347.17-27.36,7.185,J1934.9-5050,3377,5.333,VHS,DR10,,,,,,,"293.723,-50.878",415,813,ACT-CL J1934.9-5050,-99,,408,J1934.7-5053,NO,1754,143091,-99,,-99,,-99,,-99,,-99,,-99,,-99,,7.19,9.69,5.33,-1.00,4.97,7.52,8.40,5.33,7.68,4.09,1.78,7.65,0,18,61,13,0.64
PSZ2 G342.33-34.93,305.853,-55.575,0.232,342.337,-34.936,PSZ2 G342.33-34.93,6.678,J2023.3-5535,3398,9.497,VHS,DR9,,MeerKAT,,"ACT, PSZ, CODEX",,,"305.853,-55.575",407,824,ACT-CL J2023.3-5535,137,SPT-CL J2023-5535,423,J2023.4-5535,NO,1812,145429,111,MCXC J2023.4-5535,97,J2023.4-5535,-99,,-99,,-99,,-99,,-99,,6.68,9.01,9.50,7.86,4.40,6.65,8.18,9.50,13.56,4.25,2.16,9.41,0,0,217,25,0.78
RXC J2031.8-4037,307.965,-40.621,0.341,0.775,-35.699,PSZ2 G000.77-35.69,10.487,J2031.8-4037,3415,10.487,P107,DR9,,SMACS J2031.8 Outside eROSITA MUSE,,,,,"307.965,-40.621",2,833,ACT-CL J2031.8-4037,141,SPT-CL J2031-4037,425,J2031.8-4037,NO,1640,137700,-99,,-99,,-99,,-99,,-99,,-99,,-99,,6.33,8.54,10.49,9.83,6.62,10.03,12.89,10.49,14.83,4.45,2.13,7.09,0,14,311,67,0.59
MACS J2140.2-2339,325.062,-23.661,0.313,26.489,-46.937,,0.0,J2140.2-2339,3586,5.282,P107,DR10,SPLUS obs,Outside eROSITA CLASH-VLT,,ACT,,"PSZ, CODEX","325.062,-23.661",-99,890,ACT-CL J2140.2-2339,-99,,460,J2140.2-2339,YES,-99,,-99,,-99,,-99,,-99,,-99,,-99,,3,MS2137-2353,-1.00,-1.00,5.28,-1.00,4.70,7.11,-1.00,5.28,7.59,4.12,1.72,6.07,0,20,254,49,0.51
Abell3827,330.469,-59.939,0.098,332.239,-46.378,PSZ2 G332.23-46.37,5.771,J2201.8-5956,3650,8.672,VHS,DR9,,LoVoCCS,"ACT, PSZ",,,CODEX,"330.469,-59.939",391,909,ACT-CL J2201.8-5956,157,SPT-CL J2201-5956,474,J2201.9-5956,YES,-99,,-99,,-99,,-99,,-99,,-99,,4,A3827,-99,,5.77,7.78,8.67,9.62,4.59,6.95,-1.00,8.67,12.46,4.10,2.20,19.57,0,0,1557,948,1.63
Abell2420,332.582,-12.176,0.0848,46.485,-49.494,PSZ2 G046.47-49.44,4.39,J2210.3-1209,3671,6.092,VHS,DR9,SPLUS main,LoVoCCS,"ACT, PSZ, CODEX",,,,"332.582,-12.176",56,918,ACT-CL J2210.3-1209,-99,,479,J2210.3-1210,YES,1141,120960,-99,,-99,,-99,,-99,,33,A2420,23,A2420,-99,,4.39,5.92,6.09,-1.00,3.51,5.32,8.81,6.09,8.78,4.04,1.97,19.91,0,141,6866,1557,1.66
RXC J2211.7-0350,332.931,-3.829,0.397,57.254,-45.35,PSZ2 G057.25-45.34,10.5,J2211.7-0349,3676,17.336,GCAV,DR10,SPLUS part,,,,,,"332.931,-3.829",74,923,ACT-CL J2211.7-0349,-99,,480,J2211.7-0349,YES,935,117239,-99,,-99,,-99,,-99,,-99,,-99,,-99,,10.50,14.17,17.34,-1.00,18.10,27.40,15.10,17.34,23.98,5.03,2.45,7.39,108,13,841,35,0.62
Abell3911,341.577,-52.729,0.0965,336.589,-55.433,PSZ2 G336.60-55.43,4.279,,,,VHS,DR9,SPLUS main,LoVoCCS,PSZ,,,"ACT, CODEX","341.577,-52.729",397,-99,,-99,,512,J2246.3-5243,YES,-99,,-99,,-99,,-99,,-99,,-99,,25,A3911,-99,,4.28,5.77,-1.00,-1.00,3.40,5.14,-1.00,5.77,8.32,4.04,1.92,17.35,0,34,929,552,1.45
RXC J2248.7-4431,342.181,-44.529,0.3475,349.483,-59.933,PSZ2 G349.46-59.95,11.359,J2248.8-4431,3808,18.973,GCAV,DR9,,CLASH-VLT MeerKAT Frontier Field,"ACT, PSZ",CODEX,,,"342.181,-44.529",420,973,ACT-CL J2248.8-4431,166,SPT-CL J2248-4431,515,J2248.7-4431,YES,1688,140758,28,MCXC J2248.7-4431,31,Abell S1063,-99,,-99,,-99,,-99,,4,RXJ2248-4431,11.36,15.32,18.97,17.27,11.83,17.91,19.63,18.97,26.25,5.02,2.57,8.45,0,34,371,107,0.70
PSZ1 G008.31-64.31,344.678,-34.788,0.312,8.318,-64.747,PSZ2 G008.31-64.74,7.746,J2258.8-3447,3854,5.597,P109,DR10,SPLUS obs,Outside eROSITA,,,,,"344.678,-34.788",15,990,ACT-CL J2258.8-3447,-99,,-99,,YES,-99,,-99,,-99,,-99,,-99,,-99,,-99,,-99,,7.75,10.45,5.60,-1.00,-1.00,-1.00,-1.00,5.60,8.04,4.14,1.76,6.20,0,13,751,335,0.52
PSZ2 G348.90-67.37,351.304,-41.208,0.358,348.894,-67.388,PSZ2 G348.90-67.37,7.194,J2325.2-4111,3990,7.619,P109,DR9,SPLUS obs,MeerKAT SPT-CL J2325-4111 Ruel+2014,CODEX,"ACT, PSZ",,,"351.304,-41.208",419,1043,ACT-CL J2325.2-4111,176,SPT-CL J2325-4111,-99,,YES,1624,138055,29,PSZ2 G348.90-67.3,32,Abell S1121,-99,,-99,,-99,,-99,,-99,,7.19,9.70,7.62,7.55,-1.00,-1.00,10.21,7.62,10.84,4.29,1.91,6.15,0,13,147,45,0.51
PSZ2 G337.12-66.02,353.774,-45.709,0.547,337.118,-66.024,,7.121,J2335.1-4544,4042,6.0,P107,DR9,SPLUS obs,,,,,,"353.774,-45.709",-99,-99,,-99,,-99,,YES,-99,,-99,,-99,,-99,,-99,,-99,,-99,,-99,,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,0,0,0,0,-0.08
