name,ra,dec,z,Gal_Long,Gal_Lat,PSZ2,M_500,ACT name,ACTDR5,M500Cal,VISTA**,DECam,SPLUS,Comments,Complete sample,Low-mass sample,Below low-mass,Missing altogether,coords,PSZ2_idx,ACT-DR5_idx,ACT-DR5,SPT-SZ_idx,SPT-SZ,MCXC_idx,MCXC,S-PLUS,CODEX-DECALS_idx,CODEX-DECALS,MeerKAT_idx,MeerKAT,MKDiffuse_idx,MKDiffuse,XMM_idx,XMM,HIFLUGCS_idx,HIFLUGCS,MENeaCS_idx,MENeaCS,LoVoCCS_idx,LoVoCCS,CLASH-VLT_idx,CLASH-VLT,m500_PSZ2,m500_PSZ2_corr,m500_ACT,m500_SPT,m500_MCXC,m500_MCXC_corr,m500_CODEX,m500,m200,c200,r200,d200,N_first,N_tgss,N_spec,N_spec_z,5d200
PSZ2 G223.93-60.10,46.753,-28.684,0.2537,223.936,-60.107,PSZ2 G223.93-60.10,6.96,J0307.0-2840,1245,8.601,VHS,DR9,,Abell 3088 MUSE,,,,,"46.753,-28.684",155,399,ACT-CL J0307.0-2840,-99,,124,J0307.0-2840,NO,1439,128993,-99,,-99,,-99,,-99,,-99,,-99,,-99,,6.96,9.39,8.60,-1.00,5.21,7.88,9.70,8.60,12.28,4.23,2.07,8.45,0,19,654,73,0.70
Abell3112,49.495,-44.236,0.075,252.929,-56.077,PSZ2 G252.99-56.09,2.927,J0317.9-4420,1296,2.714,VHS,DR9,SPLUS obs,SPLUS,,,,,"49.495,-44.236",224,-99,,-99,,128,J0317.9-4414,YES,1673,138511,55,MCXC J0317.9-4414,-99,,-99,,8,A3112,-99,,9,A3112,-99,,2.93,3.95,-1.00,-1.00,4.39,6.65,14.82,3.95,5.69,4.04,1.71,19.32,0,114,1777,996,1.61
MACS J0329.7-0211,52.423,-2.196,0.45,186.444,-44.675,,5.56,J0329.6-0211,1348,7.837,P108,DR9,,CLASH-VLT,CODEX,,ACT,PSZ,"52.423,-2.196",-99,-99,,-99,,-99,,NO,883,110101,-99,,-99,,-99,,-99,,-99,,-99,,10,MACSJ0329-02,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,12.34,-1.00,-1.00,-1.00,-1.00,-1.00,0,0,0,0,-0.08
MACS J0416.1-2403,64.041,-24.066,0.397,221.087,-44.054,,0.0,J0416.1-2404,1556,10.524,GCAV,DR9,,"CLASH-VLT, HST Frontier Field, JWST",,ACT,,"PSZ, CODEX","64.041,-24.066",-99,505,ACT-CL J0416.1-2404,-99,,-99,,NO,-99,,-99,,-99,,-99,,-99,,-99,,-99,,7,MACSJ0416-24,-1.00,-1.00,10.52,-1.00,-1.00,-1.00,-1.00,10.52,14.83,4.54,2.09,6.30,0,21,5028,1454,0.53
PSZ2 G205.93-39.46,64.406,-11.896,0.443,205.937,-39.462,PSZ2 G205.93-39.46,12.25,J0417.5-1154,1560,15.765,P108,DR9,,"MeerKAT, MUSE, JWST","ACT, PSZ, CODEX",,,,"64.406,-11.896",132,507,ACT-CL J0417.5-1154,-99,,162,J0417.5-1154,NO,1123,118246,34,MCXC J0417.5-1154,44,MACS J0417.5-1154,-99,,-99,,-99,,-99,,-99,,12.25,16.53,15.77,-1.00,22.10,33.45,16.72,15.77,21.81,5.03,2.33,6.59,0,20,690,23,0.55
PSZ2 G262.73-40.92,69.579,-54.318,0.421,262.729,-40.938,PSZ2 G262.73-40.92,7.461,J0438.2-5419,1620,10.655,P108,DR9,SPLUS obs,SPT-CL J0438-5419 Ruel+2014,,,,,"69.579,-54.318",254,535,ACT-CL J0438.2-5419,79,SPT-CL J0438-5419,-99,,YES,-99,,-99,,-99,,-99,,-99,,-99,,-99,,-99,,7.46,10.07,10.65,10.80,-1.00,-1.00,-1.00,10.65,14.97,4.59,2.07,6.04,0,0,174,95,0.50
PSZ2 G195.75-24.32,73.527,2.962,0.203,195.758,-24.321,PSZ2 G195.75-24.32,7.8,J0454.1+0255,1674,9.044,VHS,DR10,,Abell520 MUSE,CODEX,"ACT, PSZ",,,"73.527,2.962",126,553,ACT-CL J0454.1+0255,-99,,179,J0454.1+0255,NO,709,106276,-99,,-99,,-99,,-99,,73,A520,-99,,-99,,7.80,10.52,9.04,-1.00,6.44,9.74,10.96,9.04,12.95,4.20,2.15,10.37,0,41,3214,1062,0.86
Abell0521,73.538,-10.239,0.2475,208.829,-30.66,PSZ2 G208.80-30.67,7.255,J0454.1-1013,1675,6.612,HiLx,DR9,,MeerKAT Golovich+2019,,"ACT, PSZ, CODEX",,,"73.538,-10.239",134,554,ACT-CL J0454.1-1013,-99,,178,J0454.1-1014,NO,1094,118364,9,MCXC J0454.1-1014,7,Abell521,-99,,-99,,74,A521,-99,,-99,,7.26,9.79,6.61,-1.00,5.82,8.81,10.87,6.61,9.50,4.14,1.90,7.92,0,26,1425,606,0.66
PSZ2 G201.50-27.31,73.546,-3.015,0.5377,201.497,-27.329,,8.304,J0454.2-0300,1677,12.119,GCAV,DR9,,MS 0451,,,,,"73.546,-3.015",-99,-99,,-99,,-99,,NO,919,114407,-99,,40,PLCK G200.9-28.2,-99,,-99,,94,MS0451,-99,,-99,,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,14.20,-1.00,-1.00,-1.00,-1.00,-1.00,0,0,0,0,-0.08
PSZ2 G208.60-26.00,77.699,-8.029,0.2195,208.615,-25.999,PSZ2 G208.60-26.00,7.744,J0510.7-0801,1724,9.101,VHS,DR10,,MeerKAT MUSE,,"ACT, PSZ, CODEX",,,"77.699,-8.029",133,571,ACT-CL J0510.7-0801,-99,,189,J0510.7-0801,NO,1002,114478,37,MCXC J0510.7-0801,47,RXC J0510.7-0801,-99,,-99,,-99,,-99,,-99,,7.74,10.45,9.10,-1.00,6.08,9.21,10.26,9.10,13.01,4.22,2.14,9.72,0,48,1884,619,0.81
