|               name |      ra |     dec |     z |  MSZ |                                 coords | PSZ2_idx |               PSZ2 | ACT-DR5_idx |             ACT-DR5 | SPT-SZ_idx |            SPT-SZ | CODEX_idx |  CODEX | DECam | MCXC_idx |         MCXC | S-PLUS | CODEX-DECALS_idx | CODEX-DECALS | MeerKAT_idx |           MeerKAT | MKDiffuse_idx |          MKDiffuse | XMM_idx |                  XMM | HIFLUGCS_idx | HIFLUGCS | MENeaCS_idx | MENeaCS | LoVoCCS_idx |         LoVoCCS | CLASH-VLT_idx | CLASH-VLT | m500_PSZ2 | m500_PSZ2_corr | m500_ACT | m500_SPT | m500_MCXC | m500_MCXC_corr | m500_CODEX | m500 |  m200 | c200 | r200 |  d200 | N_first | N_tgss | N_spec | N_spec_z | 5d200 |
| PSZ2 G143.00-77.70 |  17.209 | -15.517 | 0.053 | 1.84 | 17.208529492305345,-15.516559102013685 |       10 | PSZ2 G143.00-77.70 |         -99 |                     |        -99 |                   |       -99 |        |  DR10 |      -99 |              |    YES |              -99 |              |         -99 |                   |           -99 |                    |     -99 |                      |          -99 |          |         -99 |         |         -99 |                 |           -99 |           |      1.84 |           2.49 |    -1.00 |    -1.00 |     -1.00 |          -1.00 |      -1.00 | 2.49 |  3.57 | 4.13 | 1.47 | 22.86 |       0 |    107 |  10719 |     1676 |  1.90 |
|              A0133 |  15.669 | -21.912 | 0.057 | 3.02 |  15.669114676547542,-21.91208758225162 |       11 | PSZ2 G149.63-84.19 |           1 | ACT-CL J0102.7-2153 |        -99 |                   |       -99 |        |  DR10 |       11 | J0102.7-2152 |    YES |             1293 |       124942 |           4 | MCXC J0102.7-2152 |           -99 |                    |     -99 |                      |            2 |    A0133 |           4 |    A133 |          60 |            A133 |           -99 |           |      3.02 |           4.07 |     5.46 |    -1.00 |      2.48 |           3.75 |       6.77 | 5.46 |  7.88 | 4.03 | 1.91 | 27.95 |       0 |    374 |  12910 |     1391 |  2.33 |
| PSZ2 G151.86-75.04 |  20.249 | -13.859 | 0.052 | 1.67 | 20.248899168308093,-13.859340767260269 |       12 | PSZ2 G151.86-75.04 |         -99 |                     |        -99 |                   |       -99 |        |  DR10 |       18 | J0120.9-1351 |     NO |             1147 |       117779 |         -99 |                   |           -99 |                    |     -99 |                      |          -99 |          |         -99 |         |         -99 |                 |           -99 |           |      1.67 |           2.25 |    -1.00 |    -1.00 |      1.67 |           2.53 |       3.26 | 2.25 |  3.23 | 4.16 | 1.42 | 22.68 |       0 |    156 |   7751 |      821 |  1.89 |
|              A0496 |  68.377 | -13.239 | 0.033 | 2.71 |  68.37659925821477,-13.239328809584187 |       13 | PSZ2 G209.54-36.50 |         -99 |                     |        -99 |                   |       -99 |        |  DR10 |       57 | J0433.6-1315 |     NO |             1156 |       118326 |         -99 |                   |           -99 |                    |     -99 |                      |           17 |    A0496 |         -99 |         |          38 |            A496 |           -99 |           |      2.71 |           3.66 |    -1.00 |    -1.00 |      2.91 |           4.41 |      10.96 | 3.66 |  5.27 | 4.06 | 1.69 | 41.79 |       0 |    762 |  22960 |     2065 |  3.48 |
|              A0500 |  69.646 | -22.104 | 0.067 | 2.39 |    69.6461894877795,-22.10365706805675 |       14 | PSZ2 G220.53-38.55 |         -99 |                     |        -99 |                   |       -99 |        |  DR10 |       58 | J0438.9-2206 |     NO |             1302 |       125540 |         -99 |                   |           -99 |                    |     -99 |                      |          -99 |          |         -99 |         |         -99 |                 |           -99 |           |      2.39 |           3.23 |    -1.00 |    -1.00 |      1.51 |           2.28 |       2.86 | 3.23 |  4.65 | 4.07 | 1.60 | 20.09 |       0 |    244 |   3466 |      990 |  1.67 |
| PSZ2 G220.74-58.91 |  47.867 | -26.936 | 0.068 | 1.92 |  47.86715766203277,-26.935919140055624 |       15 | PSZ2 G220.74-58.91 |         -99 |                     |        -99 |                   |       -99 |        |  DR10 |       32 | J0311.4-2653 |     NO |             1390 |       128975 |         -99 |                   |           -99 |                    |     -99 |                      |          -99 |          |         -99 |         |         -99 |                 |           -99 |           |      1.92 |           2.59 |    -1.00 |    -1.00 |      1.00 |           1.51 |       1.91 | 2.59 |  3.72 | 4.11 | 1.48 | 18.25 |       0 |    121 |   3928 |     1638 |  1.52 |
|             A0548E |  87.161 | -25.483 | 0.042 | 1.53 |  87.16091923163361,-25.483213377874133 |       16 | PSZ2 G230.28-24.42 |         -99 |                     |        -99 |                   |       -99 |        |  DR10 |       70 | J0548.6-2527 |     NO |             1399 |       125769 |         -99 |                   |           -99 |                    |     -99 |                      |          -99 |          |         -99 |         |         -99 |                 |           -99 |           |      1.53 |           2.07 |    -1.00 |    -1.00 |      1.38 |           2.09 |       2.03 | 2.07 |  2.96 | 4.19 | 1.39 | 26.97 |       0 |    373 |  13068 |     1467 |  2.25 |
| PSZ2 G230.29-47.13 |  62.096 | -30.991 | 0.060 | 1.84 |   62.09607475671106,-30.99114425005523 |       17 | PSZ2 G230.29-47.13 |         -99 |                     |        -99 |                   |       -99 |        |  DR10 |      -99 |              |    YES |             1479 |       129034 |         -99 |                   |           -99 |                    |     -99 |                      |          -99 |          |         -99 |         |         -99 |                 |           -99 |           |      1.84 |           2.49 |    -1.00 |    -1.00 |     -1.00 |          -1.00 |       2.91 | 2.49 |  3.57 | 4.13 | 1.47 | 20.42 |       0 |    196 |   1320 |      475 |  1.70 |
| PSZ2 G239.29+24.75 | 137.234 |  -9.672 | 0.054 | 6.85 |  137.23403476532428,-9.672493743095226 |       18 | PSZ2 G239.29+24.75 |         -99 |                     |        -99 |                   |       -99 |        |  DR10 |       89 | J0909.1-0939 |     NO |              -99 |              |         -99 |                   |           -99 |                    |     -99 |                      |          -99 |          |         -99 |         |           7 |            A754 |           -99 |           |      6.85 |           9.25 |    -1.00 |    -1.00 |      4.48 |           6.78 |      -1.00 | 9.25 | 13.32 | 4.08 | 2.28 | 34.88 |     284 |    517 |   3297 |     1454 |  2.91 |
|            J0413.9 |  63.495 | -38.113 | 0.050 | 1.52 |    63.49474562950309,-38.1125038584008 |       20 | PSZ2 G240.80-46.51 |         -99 |                     |        -99 |                   |       -99 |        |  DR10 |       52 | J0413.9-3805 |    YES |              -99 |              |         -99 |                   |           -99 |                    |     -99 |                      |          -99 |          |         -99 |         |         -99 |                 |           -99 |           |      1.52 |           2.05 |    -1.00 |    -1.00 |      1.62 |           2.46 |      -1.00 | 2.05 |  2.93 | 4.19 | 1.38 | 22.71 |       0 |    105 |   1967 |      881 |  1.89 |
