| Cluster Name | RA_J2000 | Dec_J2000 |      z |  m200 | MergedCats | TargetLists | Jan25upload | PSZ2_idx |               PSZ2 | ACT-DR5_idx |             ACT-DR5 | SPT-SZ_idx |            SPT-SZ | MCXC_idx |         MCXC | DECam | S-PLUS | CODEX-DECALS_idx | CODEX-DECALS | MeerKAT_idx |           MeerKAT | MKDiffuse_idx |          MKDiffuse | XMM_idx |             XMM | HIFLUGCS_idx | HIFLUGCS | MENeaCS_idx | MENeaCS | LoVoCCS_idx | LoVoCCS | CLASH-VLT_idx | CLASH-VLT | m500_PSZ2 | m500_PSZ2_corr | m500_ACT | m500_SPT | m500_MCXC | m500_MCXC_corr | m500_CODEX |  m500 |  c200 |  r200 |   d200 | N_first | N_tgss | N_spec | N_spec_z | 5d200 |
|        A0194 |    21.46 |    -1.402 |  0.017 |  0.84 |       True |        True |        True |      -99 |                    |         -99 |                     |        -99 |                   |       21 | J0125.6-0124 |  DR10 |    YES |              -99 |              |           6 | MCXC J0125.6-0124 |           -99 |                    |     -99 |                 |          -99 |          |         -99 |         |         -99 |         |           -99 |           |     -1.00 |          -1.00 |    -1.00 |    -1.00 |      0.40 |           0.60 |      -1.00 |  0.60 |  4.76 |  0.92 |  42.86 |    3614 |    794 |  78431 |    17488 |  3.57 |
|       AM2002 |    42.39 |    -31.19 |  0.022 |  2.60 |       True |        True |       False |      -99 |                    |         -99 |                     |        -99 |                   |       29 | J0249.6-3111 |  DR10 |    YES |             1476 |       132237 |         -99 |                   |           -99 |                    |     -99 |                 |          -99 |          |         -99 |         |         -99 |         |           -99 |           |     -1.00 |          -1.00 |    -1.00 |    -1.00 |      0.45 |           0.68 |       1.82 |  1.82 |  4.25 |  1.34 |  48.48 |       0 |    932 |  21053 |     2021 |  4.04 |
|       Fornax |   54.616 |   -35.448 |  0.005 |  0.39 |       True |        True |        True |      -99 |                    |         -99 |                     |        -99 |                   |       41 | J0338.4-3526 |  DR10 |    YES |              -99 |              |         -99 |                   |           -99 |                    |     -99 |                 |          -99 |          |         -99 |         |         -99 |         |           -99 |           |     -1.00 |          -1.00 |    -1.00 |    -1.00 |      0.19 |           0.28 |      -1.00 |  0.28 |  5.23 |  0.71 | 111.17 |       0 |   3883 | 151183 |     2888 |  9.26 |
|        A3223 |   62.067 |   -30.894 |   0.06 |  4.19 |       True |        True |        True |      -99 |                    |         -99 |                     |        -99 |                   |       51 | J0408.2-3053 |  DR10 |    YES |             1479 |       129034 |         -99 |                   |           -99 |                    |     -99 |                 |          -99 |          |         -99 |         |         -99 |         |           -99 |           |     -1.00 |          -1.00 |    -1.00 |    -1.00 |      1.53 |           2.32 |       2.91 |  2.91 |  4.09 |  1.55 |  21.53 |       0 |    222 |   1417 |      496 |  1.79 |
|        A3266 |   67.804 |    -61.45 |  0.054 | 16.23 |       True |        True |        True |       35 | PSZ2 G272.08-40.16 |         -99 |                     |         12 | SPT-CL J0431-6126 |       56 | J0431.4-6126 |  DR10 |     NO |             1844 |       146114 |          63 | MCXC J0431.4-6126 |            75 | J0431.4-6126       |     -99 |                 |           16 |    A3266 |         -99 |         |           5 |   A3266 |           -99 |           |      6.64 |           8.95 |    -1.00 |     4.44 |      4.56 |           6.90 |      11.30 | 11.30 |  4.13 |  2.44 |  37.39 |       0 |      0 |   5172 |     2437 |  3.12 |
|        A0496 |    68.41 |   -13.259 | 0.0337 | 15.74 |       True |        True |        True |       13 | PSZ2 G209.54-36.50 |         -99 |                     |        -99 |                   |       57 | J0433.6-1315 |  DR10 |     NO |             1156 |       118326 |         -99 |                   |           -99 |                    |     -99 |                 |           17 |    A0496 |         -99 |         |          38 |    A496 |           -99 |           |      2.71 |           3.66 |    -1.00 |    -1.00 |      2.91 |           4.41 |      10.96 | 10.96 |  4.10 |  2.43 |  58.25 |       0 |   1488 |  46616 |     3623 |  4.85 |
|        A0500 |   69.716 |     -22.1 |  0.067 |  4.12 |       True |        True |        True |       14 | PSZ2 G220.53-38.55 |         -99 |                     |        -99 |                   |       58 | J0438.9-2206 |  DR10 |     NO |             1302 |       125540 |         -99 |                   |           -99 |                    |     -99 |                 |          -99 |          |         -99 |         |         -99 |         |           -99 |           |      2.39 |           3.23 |    -1.00 |    -1.00 |      1.51 |           2.28 |       2.86 |  2.86 |  4.09 |  1.54 |  19.29 |       0 |    218 |   3313 |      968 |  1.61 |
|        A3301 |   75.194 |   -38.678 |  0.054 |  4.39 |       True |        True |       False |       21 | PSZ2 G242.41-37.40 |         -99 |                     |        -99 |                   |       62 | J0500.7-3840 |  DR10 |    YES |             1591 |       135635 |         -99 |                   |           -99 |                    |     -99 |                 |          -99 |          |         -99 |         |         -99 |         |           -99 |           |      1.75 |           2.37 |    -1.00 |    -1.00 |      1.27 |           1.92 |       3.05 |  3.05 |  4.09 |  1.58 |  24.18 |       0 |    108 |   1319 |      542 |  2.01 |
|        A3341 |   81.392 |   -31.595 | 0.0374 |  3.99 |       True |        True |       False |      -99 |                    |         -99 |                     |        -99 |                   |       64 | J0525.5-3135 |  DR10 |     NO |             1483 |       132603 |         -99 |                   |           -99 |                    |     -99 |                 |          -99 |          |         -99 |         |         -99 |         |           -99 |           |     -1.00 |          -1.00 |    -1.00 |    -1.00 |      1.09 |           1.65 |       2.78 |  2.78 |  4.11 |  1.53 |  33.32 |       0 |    465 |  15527 |     1051 |  2.78 |
|        A0548 |   87.121 |   -25.483 |  0.041 |  2.91 |       True |        True |        True |       16 | PSZ2 G230.28-24.42 |         -99 |                     |        -99 |                   |       70 | J0548.6-2527 |  DR10 |     NO |             1399 |       125769 |         -99 |                   |           -99 |                    |     -99 |                 |          -99 |          |         -99 |         |         -99 |         |           -99 |           |      1.53 |           2.07 |    -1.00 |    -1.00 |      1.38 |           2.09 |       2.03 |  2.03 |  4.20 |  1.38 |  27.46 |       0 |    388 |  13482 |     1448 |  2.29 |
