| Cluster Name | RA_J2000 | Dec_J2000 |      z |  m200 | MergedCats | TargetLists | Jan25upload | PSZ2_idx |               PSZ2 | ACT-DR5_idx |             ACT-DR5 | SPT-SZ_idx |            SPT-SZ | MCXC_idx |         MCXC | DECam | S-PLUS | CODEX-DECALS_idx | CODEX-DECALS | MeerKAT_idx |           MeerKAT | MKDiffuse_idx |          MKDiffuse | XMM_idx |             XMM | HIFLUGCS_idx | HIFLUGCS | MENeaCS_idx | MENeaCS | LoVoCCS_idx | LoVoCCS | CLASH-VLT_idx | CLASH-VLT | m500_PSZ2 | m500_PSZ2_corr | m500_ACT | m500_SPT | m500_MCXC | m500_MCXC_corr | m500_CODEX |  m500 |  c200 |  r200 |   d200 | N_first | N_tgss | N_spec | N_spec_z | 5d200 |
|         MKW8 |  220.176 |     3.472 |  0.027 |  2.21 |       True |        Ture |       False |       65 | PSZ2 G355.50+54.72 |         -99 |                     |        -99 |                   |      155 | J1440.6+0328 |  DR10 |    YES |              731 |       108093 |         -99 |                   |           -99 |                    |       4 |            MKW8 |           41 |     MKW8 |         -99 |         |         -99 |         |           -99 |           |      1.10 |           1.49 |    -1.00 |    -1.00 |      0.74 |           1.11 |       1.55 |  1.55 |  4.30 |  1.27 |  37.57 |    2581 |    446 |  58793 |    11473 |  3.13 |
|        A3651 |  298.068 |   -55.062 |   0.06 |  4.69 |       True |        True |        True |       60 | PSZ2 G342.82-30.48 |         -99 |                     |        -99 |                   |      179 | J1952.2-5503 |  DR10 |     NO |             1795 |       145370 |         -99 |                   |           -99 |                    |     -99 |                 |          -99 |          |         -99 |         |         -99 |         |           -99 |           |      3.24 |           4.38 |    -1.00 |    -1.00 |      1.47 |           2.23 |       3.26 |  3.26 |  4.07 |  1.61 |  22.36 |       0 |      0 |   1183 |      665 |  1.86 |
|        A3667 |  303.112 |   -56.816 |  0.053 |  6.44 |       True |        True |        True |       59 | PSZ2 G340.88-33.36 |           5 | ACT-CL J2012.4-5649 |         29 | SPT-CL J2012-5649 |      183 | J2012.5-5649 |  DR10 |     NO |              -99 |              |          25 | MCXC J2012.5-5649 |            27 | Abell 3667         |     -99 |                 |           55 |    A3667 |         -99 |         |           3 |   A3667 |           -99 |           |      7.04 |           9.49 |     5.67 |     4.46 |      5.17 |           7.82 |      -1.00 |  4.46 |  4.03 |  1.79 |  27.96 |       0 |      0 |   2822 |     1304 |  2.33 |
|        A3716 |  312.875 |   -52.716 |  0.045 | -1.00 |       True |        True |       False |      -99 |                    |         -99 |                     |        -99 |                   |      -99 |              |  DR10 |     NO |              -99 |              |         -99 |                   |           -99 |                    |     -99 |                 |          -99 |          |         -99 |         |         -99 |         |           -99 |           |     -1.00 |          -1.00 |    -1.00 |    -1.00 |     -1.00 |          -1.00 |      -1.00 | -1.00 | -1.00 | -1.00 |  -1.00 |       0 |      0 |      0 |        0 | -0.08 |
|      IIZw108 |  318.483 |     2.565 |  0.048 |  4.44 |       True |        True |       False |        3 | PSZ2 G053.55-29.85 |         -99 |                     |        -99 |                   |      196 | J2113.8+0233 |  DR10 |     NO |              768 |       113042 |         -99 |                   |           -99 |                    |     -99 |                 |          -99 |          |         -99 |         |         -99 |         |           -99 |           |      1.80 |           2.42 |    -1.00 |    -1.00 |      1.64 |           2.48 |       3.08 |  3.08 |  4.09 |  1.59 |  27.17 |    1144 |    285 |  23129 |     1792 |  2.26 |
|        A3809 |  326.745 |   -43.883 |  0.063 |  5.57 |       True |        True |        True |       66 | PSZ2 G356.04-49.50 |         -99 |                     |        -99 |                   |      202 | J2146.9-4354 |  DR10 |    YES |             1663 |       140639 |         -99 |                   |           -99 |                    |     -99 |                 |          -99 |          |         -99 |         |         -99 |         |           -99 |           |      1.67 |           2.25 |    -1.00 |    -1.00 |      1.73 |           2.61 |       3.87 |  3.87 |  4.05 |  1.70 |  22.61 |       0 |    105 |   2875 |      950 |  1.88 |
|        A2399 |  329.342 |    -7.811 |  0.058 |  3.28 |       True |        True |        True |      -99 |                    |         -99 |                     |        -99 |                   |      206 | J2157.4-0747 |  DR10 |    YES |             1048 |       117223 |         -99 |                   |           -99 |                    |     -99 |                 |          -99 |          |         -99 |         |         -99 |         |           -99 |           |     -1.00 |          -1.00 |    -1.00 |    -1.00 |      1.20 |           1.82 |       2.28 |  2.28 |  4.15 |  1.43 |  20.49 |    1017 |    152 |  10091 |     2143 |  1.71 |
|      MZ00407 |  329.633 |   -28.617 |  0.023 | -1.00 |       True |        True |       False |      -99 |                    |         -99 |                     |        -99 |                   |      -99 |              |  DR10 |    YES |              -99 |              |         -99 |                   |           -99 |                    |     -99 |                 |          -99 |          |         -99 |         |         -99 |         |           -99 |           |     -1.00 |          -1.00 |    -1.00 |    -1.00 |     -1.00 |          -1.00 |      -1.00 | -1.00 | -1.00 | -1.00 |  -1.00 |       0 |      0 |      0 |        0 | -0.08 |
|        A2415 |  331.414 |    -5.594 |  0.058 |  6.19 |       True |        True |       False |        4 | PSZ2 G053.99-45.06 |         -99 |                     |        -99 |                   |      209 | J2205.6-0535 |  DR10 |    YES |              991 |       117200 |         -99 |                   |           -99 |                    |     -99 |                 |          -99 |          |         -99 |         |          88 |   A2415 |           -99 |           |      1.78 |           2.41 |    -1.00 |    -1.00 |      2.09 |           3.17 |       4.29 |  4.29 |  4.04 |  1.76 |  25.32 |    1321 |    191 |  10607 |     1590 |  2.11 |
|        A2457 |   338.92 |     1.506 |  0.058 |  5.57 |       True |        True |       False |        5 | PSZ2 G068.61-46.60 |         -99 |                     |        -99 |                   |      214 | J2235.6+0128 |  DR10 |    YES |              771 |       113312 |         -99 |                   |           -99 |                    |     -99 |                 |          -99 |          |         -99 |         |         -99 |         |           -99 |           |      1.93 |           2.60 |    -1.00 |    -1.00 |      1.82 |           2.75 |       3.87 |  3.87 |  4.05 |  1.70 |  24.45 |    1072 |    252 |  25369 |     2304 |  2.04 |
|        A4038 |  356.929 |   -28.142 |  0.028 |  7.95 |       True |        True |       False |        1 | PSZ2 G025.13-75.88 |         -99 |                     |        -99 |                   |      226 | J2347.7-2808 |  DR10 |    YES |             1459 |       131798 |          26 | MCXC J2347.7-2808 |            29 | Abell 4038         |       8 |      Abell 4038 |           61 |    A4038 |         -99 |         |         100 |   A4038 |           -99 |           |      1.48 |           2.00 |    -1.00 |    -1.00 |      2.04 |           3.09 |       5.50 |  5.50 |  4.03 |  1.94 |  55.56 |       0 |    916 |  52756 |     4162 |  4.63 |
|        A4059 |   359.25 |   -34.759 |  0.048 | 12.62 |       True |        True |        True |       67 | PSZ2 G356.25-76.07 |           7 | ACT-CL J2357.0-3445 |        -99 |                   |      227 | J2357.0-3445 |  DR10 |    YES |             1517 |       134924 |         -99 |                   |           -99 |                    |     -99 |                 |           62 |    A4059 |         -99 |         |          50 |   A4059 |           -99 |           |      2.47 |           3.33 |     4.26 |    -1.00 |      2.67 |           4.03 |       8.76 |  8.76 |  4.06 |  2.25 |  38.47 |       0 |    325 |  19676 |     3062 |  3.21 |
