| index |                name |         ra |       dec |     z | Gal_Long | Gal_Latitude |    Lx | VST | AAO_redshifts |  SPLUS |           Comments |           PSZ_name |  m500 | index_PSZ |         hms |         dms | m500lo |
|    28 |               A3716 | 312.875000 | -52.71600 | 0.045 |  345.555 |      -39.233 |  0.52 |   Y |           609 |    ??? |                    | PSZ2 G345.38-39.32 |  1.81 |           |    20:51:30 | -52:42:57.6 |        |
|    29 |               A3809 | 326.745000 | -43.88300 | 0.063 |  356.096 |      -49.531 |  1.15 |   Y |           695 |  SPLUS |                    | PSZ2 G356.04-49.50 |  1.67 |           |  21:46:58.8 | -43:52:58.8 |        |
|    30 |               A4059 | 359.250000 | -34.75000 | 0.048 |  356.414 |       -76.08 |  1.58 |   Y |           686 |  SPLUS |                    | PSZ2 G356.25-76.07 |  4.26 |           |    23:57:00 |   -34:45:00 |        |
|    31 |               S1101 | 348.494000 | -42.73400 | 0.056 |  348.329 |      -64.811 | 1.988 |   N |             0 |     NO |                    | PSZ2 G348.46-64.83 |  3.39 |           | 23:13:58.56 | -42:44:02.4 |        |
|    32 |               A3391 |  96.595000 | -53.69700 | 0.051 |  262.377 |      -25.148 | 1.261 |   N |            85 | 2021B? | Merging with A3395 | PSZ2 G262.36-25.15 |  2.82 |           |   6:26:22.8 | -53:41:49.2 |        |
|    33 |               A3392 |  97.784000 | -35.48900 | 0.055 |  243.456 |      -19.963 | 0.841 |   N |             0 |     NO |                    |                 -- | -1.00 |           |  6:31:08.16 | -35:29:20.4 |        |
|    34 |               A1520 | 184.832000 | -13.26000 | 0.068 |  291.007 |       48.867 | 0.821 |   N |             0 |  SPLUS |                    |                 -- | -1.00 |           | 12:19:19.68 |   -13:15:36 |        |
|    35 |             J0413.9 |  63.487000 | -38.10000 | 0.050 |   240.79 |      -46.521 | 0.789 |   N |             0 |  SPLUS |                    | PSZ2 G240.80-46.51 |  1.52 |           |  4:13:56.88 |   -38:06:00 |        |
|    36 |               A3223 |  62.067000 | -30.89400 | 0.060 |  230.151 |      -47.144 | 0.722 |   N |             0 |  SPLUS |                    | PSZ2 G230.29-47.13 |  1.84 |           |  4:08:16.08 | -30:53:38.4 |        |
|    37 |               A3122 |  50.577000 | -41.35900 | 0.064 |  247.581 |      -56.069 | 0.642 |   N |             0 |  SPLUS |                    | PSZ2 G247.56-56.06 |  1.80 |           |  3:22:18.48 | -41:21:32.4 |        |
|    38 |               A3571 | 206.868000 | -32.84900 | 0.039 |  316.319 |       28.561 | 4.206 |   N |             0 |  Shap? |                    | PSZ2 G316.31+28.53 |  4.63 |           | 13:47:28.32 | -32:50:56.4 |        |
|    39 |               A0496 |  68.410000 | -13.25900 | 0.032 |  209.585 |      -36.485 | 2.054 |   N |             0 |     NO |                    | PSZ2 G209.54-36.50 |  2.71 |           |   4:33:38.4 | -13:15:32.4 |        |
|    40 |  PSZ2 G344.99-81.88 |   6.381250 | -33.00583 | 0.049 |          |              |       |     |               |        |                    | PSZ2 G344.99-81.88 |  1.45 |       374 |   0:25:31.5 |   -33:00:21 |   0.18 |
|    41 |  PSZ2 G220.74-58.91 |  47.867083 | -26.93583 | 0.068 |          |              |       |     |               |        |                    | PSZ2 G220.74-58.91 |  1.92 |       354 |   3:11:28.1 |   -26:56:09 |   0.28 |
|    42 |  PSZ2 G242.41-37.40 |  75.203333 | -38.67472 | 0.054 |          |              |       |     |               |        |                    | PSZ2 G242.41-37.40 |  1.75 |       362 |   5:00:48.8 |   -38:40:29 |   0.17 |
|    43 | ACT-CL J0507.6-0915 |  76.910417 |  -9.25750 | 0.040 |          |              |       |     |               |        |                    |                    |  7.30 |           |   5:07:38.5 |    -9:15:27 |   2.26 |
|    44 |  PSZ2 G246.36-30.27 |  85.037083 | -40.79333 | 0.036 |          |              |       |     |               |        |                    | PSZ2 G246.36-30.27 |  1.13 |       379 |   5:40:08.9 |   -40:47:36 |   0.17 |
|    45 |  PSZ2 G230.28-24.42 |  87.160833 | -25.48306 | 0.042 |          |              |       |     |               |        |                    | PSZ2 G230.28-24.42 |  1.53 |       370 |   5:48:38.6 |   -25:28:59 |   0.17 |
|    46 | ACT-CL J0600.7-5836 |  90.188750 | -58.60889 | 0.037 |          |              |       |     |               |        |                    |                    |  5.67 |           |   6:00:45.3 |   -58:36:32 |   1.72 |
|    47 |  PSZ2 G265.21-24.83 |  98.070833 | -56.14722 | 0.054 |          |              |       |     |               |        |                    | PSZ2 G265.21-24.83 |  1.84 |       357 |     6:32:17 |   -56:08:50 |   0.17 |
|    48 |  PSZ2 G271.60-12.50 | 123.142917 | -57.24167 | 0.062 |          |              |       |     |               |        |                    | PSZ2 G271.60-12.50 |  3.51 |       270 |   8:12:34.3 |   -57:14:30 |   0.18 |
|    49 |  PSZ2 G272.11-11.50 | 125.187917 | -57.13417 | 0.061 |          |              |       |     |               |        |                    | PSZ2 G272.11-11.50 |  2.48 |       319 |   8:20:45.1 |   -57:08:03 |   0.16 |
|    50 |  PSZ2 G243.02+42.87 | 153.505417 |  -0.95889 | 0.045 |          |              |       |     |               |        |                    | PSZ2 G243.02+42.87 |  1.71 |       364 |  10:14:01.3 |    -0:57:32 |   0.18 |
|    51 |  PSZ2 G280.21+14.57 | 162.217500 | -42.83028 | 0.058 |          |              |       |     |               |        |                    | PSZ2 G280.21+14.57 |  1.78 |       361 |  10:48:52.2 |   -42:49:49 |   0.24 |
|    52 |  PSZ2 G257.51+57.54 | 170.362500 |   2.84194 | 0.047 |          |              |       |     |               |        |                    | PSZ2 G257.51+57.54 |  1.52 |       372 |    11:21:27 |     2:50:31 |   0.19 |
|    53 |  PSZ2 G326.01+17.21 | 222.280000 | -40.32750 | 0.062 |          |              |       |     |               |        |                    | PSZ2 G326.01+17.21 |  2.12 |       345 |  14:49:07.2 |   -40:19:39 |   0.26 |
|    54 |  PSZ2 G324.59-11.52 | 249.578750 | -64.35917 | 0.051 |          |              |       |     |               |        |                    | PSZ2 G324.59-11.52 |  7.94 |        20 |  16:38:18.9 |   -64:21:33 |   0.16 |
|    55 |  PSZ2 G317.58-17.82 | 251.372917 | -73.59222 | 0.069 |          |              |       |     |               |        |                    | PSZ2 G317.58-17.82 |  2.06 |       348 |  16:45:29.5 |   -73:35:32 |   0.25 |
|    56 |  PSZ2 G342.82-30.48 | 298.049583 | -55.06333 | 0.060 |          |              |       |     |               |        |                    | PSZ2 G342.82-30.48 |  3.24 |       283 |  19:52:11.9 |   -55:03:48 |   0.20 |
|    57 |  PSZ2 G345.82-34.29 | 304.704167 | -52.71500 | 0.051 |          |              |       |     |               |        |                    | PSZ2 G345.82-34.29 |  1.84 |       356 |    20:18:49 |   -52:42:54 |   0.16 |
|    58 |  PSZ2 G357.75-41.77 | 315.929167 | -43.32583 | 0.049 |          |              |       |     |               |        |                    | PSZ2 G357.75-41.77 |  1.55 |       368 |    21:03:43 |   -43:19:33 |   0.23 |
