#priorities: LoCuSS MENeaCS CoMaLit ACT-DR5 SPT-ECS SPT-SZ PSZ2 CODEX MCXC
#masscols: PSZ2:MSZ ACT-DR5:M500cCal SPT-ECS:M500 SPT-SZ:M500 MCXC:M500 CODEX:M200c CoMaLit:M200c AXES-LEGACY:M200c MENeaCS:m200 LoCuSS:M200 eRASS1:M500
#factors: PSZ2:1.09 ACT-DR5:1 SPT-ECS:1 SPT-SZ:1 MCXC:1.37 CODEX:0.69 CoMaLit:1 AXES-LEGACY:0.86 MENeaCS:1 LoCuSS:1 eRASS1:1
name,ra,dec,z,m200_listed,PSZ2_idx,PSZ2,ACT-DR5_idx,ACT-DR5,SPT-ECS_idx,SPT-ECS,SPT-SZ_idx,SPT-SZ,eRASS1_idx,eRASS1,MCXC_idx,MCXC,redMaPPer_idx,redMaPPer,CODEX_idx,CODEX,CODEX_M200c,AXES-2MRS_idx,AXES-2MRS,AXES-LEGACY_idx,AXES-LEGACY,CoMaLit_idx,CoMaLit,S-PLUS,DECam,MeerKAT_idx,MeerKAT,MKDiffuse_idx,MKDiffuse,XMM_idx,XMM,HIFLUGCS_idx,HIFLUGCS,MENeaCS_idx,MENeaCS,LoCuSS_idx,LoCuSS,LoVoCCS_idx,LoVoCCS,CLASH-VLT_idx,CLASH-VLT,WINGS_idx,WINGS,PSZ2_MSZ,m200_PSZ2,r200_PSZ2,ACT-DR5_M500cCal,m200_ACT-DR5,r200_ACT-DR5,SPT-ECS_M500,m200_SPT-ECS,r200_SPT-ECS,SPT-SZ_M500,m200_SPT-SZ,r200_SPT-SZ,MCXC_M500,m200_MCXC,r200_MCXC,m200_CODEX,r200_CODEX,CoMaLit_M200c,m200_CoMaLit,r200_CoMaLit,AXES-2MRS_M200c,m200_AXES-2MRS,r200_AXES-2MRS,AXES-LEGACY_M200c,m200_AXES-LEGACY,r200_AXES-LEGACY,MENeaCS_m200,m200_MENeaCS,r200_MENeaCS,LoCuSS_M200,m200_LoCuSS,r200_LoCuSS,eRASS1_M500,m200_eRASS1,r200_eRASS1,WINGS_m200,m200_WINGS,r200_WINGS,source,m200,r200,d200,N_first,N_tgss,N_spec,N_spec_z,5d200(deg),hms,dms
Abell 3695,308.7060,-35.8250,0.0890,6.89e+14,11,PSZ2 G006.68-35.55,-99,,-99,,-99,,-99,,518,J2034.7-3548,-99,,-99,,-1.00e+00,-99,,358,93234801,425,ABELL 3695,NO,DR10,-99,,-99,,-99,,-99,,-99,,-99,,16,A3695,-99,,-99,,4.17e+14,6.57e+14,1.78,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.00,3.73e+14,7.39e+14,1.85,-1.00e+00,-1.00,7.54e+14,7.54e+14,1.87,-1.00e+00,-1.00e+00,-1.0,7.22e+14,6.21e+14,1.75,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.0,CoMaLit,7.54e+14,1.87,18.10,0,85,1146,658,1.51,20:34:49.4,-35:49:30.0
Abell 3822,328.5280,-57.8630,0.0760,5.65e+14,444,PSZ2 G335.58-46.44,1077,ACT-CL J2154.0-5751,-99,,-99,,7039,1eRASS J215406.4-575136,566,J2154.1-5751,-99,,3071,145542,8.88e+14,-99,,193,93273602,-99,,YES,DR10,-99,,-99,,-99,,-99,,-99,,-99,,30,A3822,-99,,-99,,4.19e+14,6.60e+14,1.79,3.69e+14,5.34e+14,1.67,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.00,3.05e+14,6.04e+14,1.74,6.13e+14,1.75,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.0,6.21e+14,5.34e+14,1.67,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.00,5.97e+14,8.63e+14,1.96,-1.00e+00,-1.00e+00,-1.0,ACT-DR5,5.34e+14,1.67,18.68,0,0,1928,1133,1.56,21:54:06.7,-57:51:46.8
Abell 3827,330.4690,-59.9390,0.0980,7.78e+14,440,PSZ2 G332.23-46.37,1086,ACT-CL J2201.8-5956,-99,,194,SPT-CLJ2201-5956,7061,1eRASS J220153.8-595644,574,J2201.9-5956,-99,,-99,,-1.00e+00,-99,,139,93283120,-99,,YES,DR10,-99,,-99,,-99,,-99,,-99,,-99,,4,A3827,-99,,-99,,5.77e+14,9.10e+14,1.98,8.67e+14,1.25e+15,2.20,-1.00e+00,-1.00e+00,-1.00,9.27e+14,1.34e+15,2.25,4.59e+14,9.09e+14,1.98,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.0,1.09e+15,9.36e+14,1.99,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.00,8.57e+14,1.24e+15,2.19,-1.00e+00,-1.00e+00,-1.0,ACT-DR5,1.25e+15,2.20,19.62,0,0,1561,949,1.63,22:01:52.6,-59:56:20.4
Abell 3888,338.6080,-37.7410,0.1510,9.71e+14,7,PSZ2 G003.93-59.41,1130,ACT-CL J2234.4-3744,102,SPT-CLJ2234-3744,-99,,-99,,605,J2234.5-3744,-99,,-99,,-1.00e+00,-99,,-99,,454,ABELL 3888,YES,DR10,-99,,-99,,-99,,-99,,-99,,-99,,-99,,-99,,-99,,7.19e+14,1.13e+15,2.09,1.35e+15,1.90e+15,2.48,1.10e+15,1.58e+15,2.34,-1.00e+00,-1.00e+00,-1.00,5.70e+14,1.13e+15,2.09,-1.00e+00,-1.00,8.64e+14,8.64e+14,1.91,-1.00e+00,-1.00e+00,-1.0,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.0,CoMaLit,8.64e+14,1.91,11.73,0,54,1637,748,0.98,22:34:25.9,-37:44:27.6
Abell 3911,341.5710,-52.7220,0.0970,5.77e+14,446,PSZ2 G336.60-55.43,-99,,-99,,-99,,7157,1eRASS J224623.3-524409,617,J2246.3-5243,-99,,-99,,-1.00e+00,-99,,283,93264101,-99,,YES,DR10,-99,,-99,,-99,,-99,,-99,,-99,,25,A3911,-99,,-99,,4.28e+14,6.75e+14,1.79,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.00,3.40e+14,6.73e+14,1.79,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.0,7.19e+14,6.18e+14,1.74,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.00,6.02e+14,8.71e+14,1.95,-1.00e+00,-1.00e+00,-1.0,PSZ2,6.75e+14,1.79,16.11,0,29,792,489,1.34,22:46:17.0,-52:43:19.2
Abell 3921,342.4560,-64.4150,0.0940,5.43e+14,416,PSZ2 G321.98-47.96,-99,,-99,,206,SPT-CLJ2249-6426,7172,1eRASS J224956.5-642532,621,J2249.9-6425,-99,,3167,147785,1.05e+15,-99,,178,93283201,-99,,NO,DR10,-99,,-99,,-99,,-99,,-99,,-99,,17,A3921,-99,,-99,,4.02e+14,6.34e+14,1.76,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.00,4.83e+14,6.99e+14,1.82,3.61e+14,7.16e+14,1.83,7.28e+14,1.84,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.0,7.93e+14,6.82e+14,1.80,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.00,5.82e+14,8.41e+14,1.93,-1.00e+00,-1.00e+00,-1.0,SPT-SZ,6.99e+14,1.82,16.77,0,0,1308,562,1.40,22:49:49.4,-64:24:54.0
Abell S780,224.8720,-18.1870,0.2360,1.05e+15,452,PSZ2 G340.94+35.07,-99,,-99,,-99,,6519,1eRASS J145928.8-181045,438,J1459.4-1811,-99,,2121,123653,1.95e+15,-99,,-99,,-99,,YES,DR10,-99,,-99,,-99,,-99,,-99,,-99,,-99,,-99,,-99,,7.80e+14,1.23e+15,2.08,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.00,8.62e+14,1.69e+15,2.32,1.35e+15,2.15,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.0,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.00,1.10e+15,1.54e+15,2.25,-1.00e+00,-1.00e+00,-1.0,PSZ2,1.23e+15,2.08,8.98,0,26,66,17,0.75,14:59:29.3,-18:11:13.2
Bullet,104.6290,-55.9470,0.2965,1.77e+15,292,PSZ2 G266.04-21.25,755,ACT-CL J0658.5-5557,-99,,154,SPT-CLJ0658-5556,4442,1eRASS J065829.9-555637,276,J0658.5-5556,-99,,3040,144305,2.98e+15,-99,,301,93271208,169,1E 0657-56,NO,DR10,85,MCXC J0658.5-5556,33,Bullet,-99,,-99,,-99,,-99,,-99,,-99,,-99,,1.31e+15,2.01e+15,2.40,1.61e+15,2.25e+15,2.49,-1.00e+00,-1.00e+00,-1.00,1.54e+15,2.16e+15,2.46,1.04e+15,1.99e+15,2.39,2.05e+15,2.42,1.43e+15,1.43e+15,2.14,-1.00e+00,-1.00e+00,-1.0,2.17e+15,1.87e+15,2.34,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.00,1.30e+15,1.84e+15,2.33,-1.00e+00,-1.00e+00,-1.0,CoMaLit,1.43e+15,2.14,7.83,0,0,533,329,0.65,06:58:31.0,-55:56:49.2
MACS J0329.7-0211,52.4230,-2.1960,0.4500,0.00e+00,-99,,507,ACT-CL J0329.6-0211,-99,,-99,,1650,1eRASS J032941.5-021149,155,J0329.6-0211,-99,,1517,110101,1.84e+15,-99,,-99,,141,MACS J0329.7-0211,NO,DR10,-99,,-99,,-99,,-99,,-99,,-99,,-99,,10,MACSJ0329-02,-99,,-1.00e+00,-1.00e+00,-1.00,7.84e+14,1.10e+15,1.84,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.00,4.46e+14,8.84e+14,1.72,1.27e+15,1.94,8.62e+14,8.62e+14,1.70,-1.00e+00,-1.00e+00,-1.0,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.00,1.07e+15,1.51e+15,2.05,-1.00e+00,-1.00e+00,-1.0,CoMaLit,8.62e+14,1.70,4.78,0,9,624,62,0.40,03:29:41.5,-02:11:45.6
MACS J0416.1-2403,64.0410,-24.0660,0.3970,1.05e+15,-99,,602,ACT-CL J0416.1-2404,53,SPT-CLJ0416-2404,-99,,2452,1eRASS J041610.3-240351,-99,,-99,,-99,,-1.00e+00,-99,,-99,,149,MACS J0416.1-2403,NO,DR10,-99,,-99,,-99,,-99,,-99,,-99,,-99,,7,MACSJ0416-24,-99,,-1.00e+00,-1.00e+00,-1.00,1.05e+15,1.48e+15,2.09,8.98e+14,1.26e+15,1.98,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00,1.07e+15,1.07e+15,1.87,-1.00e+00,-1.00e+00,-1.0,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.00,8.31e+14,1.17e+15,1.92,-1.00e+00,-1.00e+00,-1.0,CoMaLit,1.07e+15,1.87,5.65,0,16,4996,1454,0.47,04:16:09.8,-24:03:57.6
MACS J0553.4-3342,88.3630,-33.7150,0.4300,1.18e+15,198,PSZ2 G239.27-26.01,726,ACT-CL J0553.4-3342,72,SPT-CLJ0553-3342,-99,,3881,1eRASS J055325.4-334238,-99,,-99,,2563,132747,2.09e+15,-99,,-99,,-99,,NO,DR10,-99,,-99,,-99,,-99,,-99,,-99,,-99,,-99,,-99,,8.77e+14,1.34e+15,1.99,1.54e+15,2.14e+15,2.34,1.13e+15,1.59e+15,2.12,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.00,1.44e+15,2.06,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.0,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.00,1.15e+15,1.61e+15,2.12,-1.00e+00,-1.00e+00,-1.0,ACT-DR5,2.14e+15,2.34,6.75,0,16,790,9,0.56,05:53:27.1,-33:42:54.0
MACS J1206.2-0847,181.5510,-8.8000,0.4410,1.51e+15,337,PSZ2 G284.41+52.45,-99,,-99,,-99,,5485,1eRASS J120612.4-084805,355,J1206.2-0848,-99,,1819,119638,2.10e+15,-99,,-99,,296,MACS J1206.2-0847,YES,DR10,-99,,-99,,-99,,-99,,-99,,-99,,-99,,9,MACSJ1206-08,-99,,1.12e+15,1.71e+15,2.15,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.00,8.40e+14,1.62e+15,2.11,1.45e+15,2.04,1.81e+15,1.81e+15,2.19,-1.00e+00,-1.00e+00,-1.0,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.00,1.35e+15,1.90e+15,2.22,-1.00e+00,-1.00e+00,-1.0,CoMaLit,1.81e+15,2.19,6.22,0,6,1234,853,0.52,12:06:12.2,-08:48:00.0
PSZ2 G205.93-39.64,64.4060,-11.8960,0.4430,1.65e+15,141,PSZ2 G205.93-39.46,604,ACT-CL J0417.5-1154,-99,,-99,,2466,1eRASS J041734.1-115425,195,J0417.5-1154,-99,,1900,118246,2.50e+15,-99,,-99,,150,MACS J0417.5-1154,NO,DR10,34,MCXC J0417.5-1154,44,MACS J0417.5-1154,-99,,-99,,-99,,-99,,-99,,-99,,-99,,1.23e+15,1.87e+15,2.21,1.58e+15,2.18e+15,2.33,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.00,2.21e+15,4.13e+15,2.88,1.73e+15,2.17,3.06e+15,3.06e+15,2.61,-1.00e+00,-1.00e+00,-1.0,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.00,1.48e+15,2.05e+15,2.29,-1.00e+00,-1.00e+00,-1.0,CoMaLit,3.06e+15,2.61,7.38,0,25,878,24,0.62,04:17:37.4,-11:53:45.6
PSZ2 G208.60-26.00,77.6990,-8.0290,0.2190,1.04e+15,142,PSZ2 G208.60-26.00,676,ACT-CL J0510.7-0801,-99,,-99,,3342,1eRASS J051046.5-080138,225,J0510.7-0801,-99,,1707,114478,1.50e+15,-99,,-99,,-99,,NO,DR10,37,MCXC J0510.7-0801,47,RXC J0510.7-0801,-99,,-99,,-99,,-99,,-99,,-99,,-99,,7.74e+14,1.22e+15,2.09,9.10e+14,1.30e+15,2.14,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.00,6.08e+14,1.21e+15,2.08,1.03e+15,1.98,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.0,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.00,9.69e+14,1.39e+15,2.18,-1.00e+00,-1.00e+00,-1.0,ACT-DR5,1.30e+15,2.14,9.74,0,48,1897,625,0.81,05:10:47.8,-08:01:44.4
PSZ2 G241.11-28.68,85.7380,-35.9840,0.4200,9.93e+14,206,PSZ2 G241.11-28.68,709,ACT-CL J0542.9-3559,68,SPT-CLJ0542-3559,-99,,3772,1eRASS J054257.4-360000,-99,,-99,,2631,132802,1.31e+15,-99,,-99,,-99,,NO,DR10,-99,,-99,,-99,,-99,,-99,,-99,,-99,,-99,,-99,,7.36e+14,1.13e+15,1.89,7.12e+14,1.00e+15,1.82,7.92e+14,1.11e+15,1.89,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.00,9.02e+14,1.77,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.0,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.00,8.00e+14,1.12e+15,1.90,-1.00e+00,-1.00e+00,-1.0,ACT-DR5,1.00e+15,1.82,5.32,0,20,364,3,0.44,05:42:57.1,-35:59:02.4
PSZ2 G241.76-30.88,83.2333,-37.0261,0.2750,-1.00e+14,207,PSZ2 G241.76-30.88,702,ACT-CL J0532.9-3701,66,SPT-CLJ0532-3701,-99,,3660,1eRASS J053255.6-370138,241,J0532.9-3701,-99,,2663,135682,1.53e+15,-99,,-99,,-99,,NO,DR10,-99,,-99,,-99,,-99,,-99,,-99,,-99,,-99,,-99,,7.00e+14,1.10e+15,1.98,1.05e+15,1.47e+15,2.18,9.34e+14,1.33e+15,2.11,-1.00e+00,-1.00e+00,-1.00,5.11e+14,1.01e+15,1.93,1.06e+15,1.95,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.0,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.00,9.77e+14,1.37e+15,2.12,-1.00e+00,-1.00e+00,-1.0,ACT-DR5,1.47e+15,2.18,8.40,0,24,203,25,0.70,05:32:56.0,-37:01:34.0
PSZ2 G259.98-63.43,38.0780,-44.3450,0.2840,1.02e+15,268,PSZ2 G259.98-63.43,382,ACT-CL J0232.2-4421,-99,,50,SPT-CLJ0232-4421,909,1eRASS J023218.3-442048,112,J0232.2-4420,-99,,2821,138425,2.16e+15,-99,,-99,,-99,,YES,DR10,52,MCXC J0232.2-4420,63,J0232.2-4420,-99,,-99,,-99,,-99,,-99,,-99,,-99,,7.54e+14,1.18e+15,2.02,1.23e+15,1.73e+15,2.29,-1.00e+00,-1.00e+00,-1.00,1.13e+15,1.59e+15,2.23,6.13e+14,1.21e+15,2.04,1.49e+15,2.17,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.0,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.00,1.12e+15,1.57e+15,2.21,-1.00e+00,-1.00e+00,-1.0,ACT-DR5,1.73e+15,2.29,8.63,0,22,195,26,0.72,02:32:18.7,-44:20:42.0
PSZ2 G262.27-35.38,79.1530,-54.5200,0.2950,1.18e+15,275,PSZ2 G262.27-35.38,680,ACT-CL J0516.6-5430,-99,,121,SPT-CLJ0516-5430,3412,1eRASS J051636.6-543031,227,J0516.6-5430,-99,,3007,143963,1.67e+15,-99,,-99,,163,SPT-CL J0516-5430,NO,DR10,66,MCXC J0516.6-5430,78,J0516.6-5430,-99,,-99,,-99,,-99,,-99,,-99,,-99,,8.76e+14,1.36e+15,2.11,6.16e+14,8.91e+14,1.83,-1.00e+00,-1.00e+00,-1.00,7.12e+14,1.02e+15,1.91,7.72e+14,1.51e+15,2.18,1.15e+15,2.00,9.48e+14,9.48e+14,1.87,-1.00e+00,-1.00e+00,-1.0,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.00,8.53e+14,1.22e+15,2.03,-1.00e+00,-1.00e+00,-1.0,CoMaLit,9.48e+14,1.87,6.86,0,0,605,355,0.57,05:16:36.7,-54:31:12.0
PSZ2 G262.73-40.92,69.5790,-54.3180,0.4210,1.06e+15,277,PSZ2 G262.73-40.92,637,ACT-CL J0438.2-5419,-99,,102,SPT-CLJ0438-5419,2836,1eRASS J043817.8-541917,-99,,-99,,-99,,-1.00e+00,-99,,-99,,-99,,YES,DR10,-99,,-99,,-99,,-99,,-99,,-99,,-99,,-99,,-99,,7.46e+14,1.14e+15,1.89,1.07e+15,1.50e+15,2.07,-1.00e+00,-1.00e+00,-1.00,1.03e+15,1.45e+15,2.05,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.0,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.00,9.59e+14,1.35e+15,2.00,-1.00e+00,-1.00e+00,-1.0,ACT-DR5,1.50e+15,2.07,6.05,0,0,174,95,0.50,04:38:19.0,-54:19:04.8
PSZ2 G271.18-30.95,87.3260,-62.0830,0.3755,9.55e+14,306,PSZ2 G271.18-30.95,-99,,-99,,129,SPT-CLJ0549-6205,3838,1eRASS J054919.2-620514,-99,,-99,,3122,146260,2.49e+15,-99,,-99,,-99,,NO,DR10,-99,,-99,,-99,,-99,,-99,,-99,,-99,,-99,,-99,,7.37e+14,1.15e+15,1.93,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.00,1.17e+15,1.64e+15,2.18,-1.00e+00,-1.00e+00,-1.00,1.72e+15,2.21,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.0,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.00,1.09e+15,1.54e+15,2.13,-1.00e+00,-1.00e+00,-1.0,SPT-SZ,1.64e+15,2.18,6.80,0,0,175,33,0.57,05:49:18.2,-62:04:58.8
PSZ2 G277.76-51.74,43.5960,-58.9640,0.4380,1.31e+15,323,PSZ2 G277.76-51.74,443,ACT-CL J0254.3-5857,-99,,61,SPT-CLJ0254-5857,1160,1eRASS J025418.0-585646,-99,,-99,,3082,143695,1.56e+15,-99,,-99,,-99,,YES,DR10,-99,,-99,,-99,,-99,,-99,,-99,,-99,,-99,,-99,,9.69e+14,1.49e+15,2.05,8.00e+14,1.12e+15,1.87,-1.00e+00,-1.00e+00,-1.00,7.72e+14,1.08e+15,1.85,-1.00e+00,-1.00e+00,-1.00,1.08e+15,1.85,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.0,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.00,9.90e+14,1.39e+15,2.01,-1.00e+00,-1.00e+00,-1.0,ACT-DR5,1.12e+15,1.87,5.33,0,0,102,46,0.44,02:54:23.0,-58:57:50.4
PSZ2 G286.98+32.90,177.7050,-28.0770,0.3900,1.98e+15,347,PSZ2 G286.98+32.90,-99,,78,SPT-CLJ1150-2805,-99,,5375,1eRASS J115048.2-280436,-99,,-99,,-99,,-1.00e+00,-99,,-99,,285,PLCK G287.0+32.9,NO,DR10,-99,,-99,,-99,,-99,,-99,,-99,,-99,,-99,,-99,,1.47e+15,2.25e+15,2.40,-1.00e+00,-1.00e+00,-1.00,1.44e+15,2.03e+15,2.32,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00,3.10e+15,3.10e+15,2.67,-1.00e+00,-1.00e+00,-1.0,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.00,1.27e+15,1.79e+15,2.23,-1.00e+00,-1.00e+00,-1.0,CoMaLit,3.10e+15,2.67,8.17,0,41,1103,263,0.68,11:50:49.2,-28:04:37.2
PSZ2 G348.90-67.37,351.3040,-41.2080,0.3580,9.70e+14,472,PSZ2 G348.90-67.37,1234,ACT-CL J2325.2-4111,-99,,217,SPT-CLJ2325-4111,7284,1eRASS J232512.1-411150,-99,,-99,,2750,138055,1.50e+15,-99,,-99,,-99,,YES,DR10,-99,,-99,,-99,,-99,,-99,,-99,,-99,,-99,,-99,,7.19e+14,1.12e+15,1.93,7.62e+14,1.09e+15,1.91,-1.00e+00,-1.00e+00,-1.00,7.52e+14,1.07e+15,1.90,-1.00e+00,-1.00e+00,-1.00,1.04e+15,1.88,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.0,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.00,9.66e+14,1.36e+15,2.05,-1.00e+00,-1.00e+00,-1.0,ACT-DR5,1.09e+15,1.91,6.15,0,13,147,45,0.51,23:25:13.0,-41:12:28.8
RXC J0528.9-3827,82.2210,-39.4710,0.2840,-1.00e+14,216,PSZ2 G244.37-32.15,699,ACT-CL J0528.8-3927,64,SPT-CLJ0528-3927,-99,,3602,1eRASS J052852.7-392824,235,J0528.9-3927,-99,,2726,135723,2.29e+15,-99,,304,93241205,-99,,NO,DR10,68,MCXC J0528.9-3927,81,J0528.9-3927,-99,,-99,,-99,,-99,,-99,,-99,,-99,,7.41e+14,1.16e+15,2.00,8.98e+14,1.28e+15,2.07,8.75e+14,1.25e+15,2.06,-1.00e+00,-1.00e+00,-1.00,7.55e+14,1.48e+15,2.18,1.58e+15,2.22,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.0,1.66e+15,1.43e+15,2.15,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.00,9.98e+14,1.40e+15,2.14,-1.00e+00,-1.00e+00,-1.0,ACT-DR5,1.28e+15,2.07,7.81,0,37,376,243,0.65,05:28:53.0,-39:28:15.5
RXC J1314.4-2515,198.6170,-25.2610,0.2440,9.06e+14,395,PSZ2 G309.49+37.31,-99,,92,SPT-CLJ1314-2515,-99,,5875,1eRASS J131425.4-251553,397,J1314.4-2515,-99,,2334,127032,1.62e+15,-99,,800,93213401,-99,,YES,DR10,39,MCXC J1314.4-2515,51,RXC J1314.4-2525,-99,,-99,,-99,,-99,,-99,,-99,,-99,,6.72e+14,1.06e+15,1.98,-1.00e+00,-1.00e+00,-1.00,9.66e+14,1.38e+15,2.16,-1.00e+00,-1.00e+00,-1.00,6.94e+14,1.37e+15,2.16,1.11e+15,2.01,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.0,1.32e+15,1.14e+15,2.02,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.00,9.34e+14,1.34e+15,2.13,-1.00e+00,-1.00e+00,-1.0,SPT-ECS,1.38e+15,2.16,9.06,0,35,497,220,0.76,13:14:28.1,-25:15:39.6
RXC J1347.5-1144,206.8770,-11.7530,0.4516,1.10e+15,421,PSZ2 G324.04+48.79,-99,,-99,,-99,,6064,1eRASS J134730.8-114510,413,J1347.5-1144,-99,,-99,,-1.00e+00,-99,,-99,,343,RX J1347.5-1145,YES,DR10,-99,,-99,,-99,,-99,,95,RXJ1347,-99,,-99,,11,RXJ1347-1145,-99,,1.10e+15,1.69e+15,2.13,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.00,-1.00e+00,-1.00e+00,-1.00,1.32e+15,2.53e+15,2.44,-1.00e+00,-1.00,3.41e+15,3.41e+15,2.69,-1.00e+00,-1.00e+00,-1.0,-1.00e+00,-1.00e+00,-1.00,1.61e+15,1.61e+15,2.10,-1.00e+00,-1.00e+00,-1.00,1.58e+15,2.19e+15,2.32,-1.00e+00,-1.00e+00,-1.0,MENeaCS,1.61e+15,2.10,5.88,0,16,934,378,0.49,13:47:30.5,-11:45:10.8
