name,ra,dec,z,m200_listed,MergedCats,TargetLists,Jan25upload,coords,PSZ2_idx,PSZ2,ACT-DR5_idx,ACT-DR5,SPT-SZ_idx,SPT-SZ,MCXC_idx,MCXC,DECam,S-PLUS,CODEX_idx,CODEX,CODEX3-LSDR10_idx,CODEX3-LSDR10,MeerKAT_idx,MeerKAT,MKDiffuse_idx,MKDiffuse,XMM_idx,XMM,HIFLUGCS_idx,HIFLUGCS,MENeaCS_idx,MENeaCS,LoVoCCS_idx,LoVoCCS,CLASH-VLT_idx,CLASH-VLT,m500_PSZ2,m500_PSZ2_corr,m500_ACT,m500_SPT,m500_MCXC,m500_MCXC_corr,m500_CODEX,m500_CODEX3,m500_CODEX3_corr,m500,m200,c200,r200,d200,N_first,N_tgss,N_spec,N_spec_z,5d200(deg)
A0970,154.391,-10.666,0.059,6.1,TRUE,TRUE,TRUE,"154.391,-10.666",26,PSZ2 G253.04+36.83,-99,,-99,,96,J1017.3-1040,DR10,YES,1996,119328,-99,,-99,,-99,,-99,,-99,,-99,,-99,,-99,,2.30,3.11,-1.00,-1.00,1.85,2.80,5.17,-1.00,-1.00,5.17,7.46,4.03,1.22,17.29,0,132,966,614,1.44
A1069,159.929,-8.683,0.062,3.7,TRUE,TRUE,TRUE,"159.929,-8.683",27,PSZ2 G256.67+42.05,-99,,-99,,99,J1039.7-0841,DR10,YES,1880,119364,276,93192904,-99,,-99,,-99,,-99,,-99,,-99,,-99,,1.80,2.43,-1.00,-1.00,1.46,2.21,2.57,2.76,2.93,2.57,3.70,4.12,0.97,13.07,50,74,850,370,1.09
A1520,184.832,-13.26,0.068,3.2,TRUE,TRUE,FALSE,"184.832,-13.26",-99,,-99,,-99,,112,J1219.3-1315,DR10,YES,2122,119688,-99,,-99,,-99,,-99,,-99,,-99,,-99,,-99,,-1.00,-1.00,-1.00,-1.00,1.87,2.83,2.44,-1.00,-1.00,2.44,3.51,4.13,0.95,11.78,0,53,476,269,0.98
A1631,193.216,-15.4,0.046,3.4,TRUE,TRUE,TRUE,"193.216,-15.4",-99,,-99,,-99,,-99,,DR10,YES,-99,,-99,,-99,,-99,,-99,,-99,,-99,,-99,,-99,,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,3.40,-0.79,1.45,25.88,0,225,2921,1330,2.16
A1644,194.295,-17.4,0.048,8.7,TRUE,TRUE,TRUE,"194.295,-17.4",47,PSZ2 G304.91+45.43,-99,,-99,,125,J1257.1-1724,DR10,YES,2273,123337,343,93203419,-99,,-99,,13,Abell 1644,30,A1644,-99,,35,A1644,-99,,3.69,4.98,-1.00,-1.00,2.93,4.43,5.96,6.09,6.46,5.96,8.60,4.03,1.29,22.08,0,168,1691,910,1.84
A2399,329.342,-7.811,0.058,3.6,TRUE,TRUE,TRUE,"329.342,-7.811",-99,,-99,,-99,,206,J2157.4-0747,DR10,YES,1912,117223,284,93185904,-99,,-99,,-99,,-99,,-99,,-99,,-99,,-1.00,-1.00,-1.00,-1.00,1.20,1.82,2.28,2.54,2.69,2.28,3.28,4.15,0.93,13.38,487,66,4867,1246,1.12
A2415,331.414,-5.594,0.058,5.6,TRUE,TRUE,FALSE,"331.414,-5.594",4,PSZ2 G053.99-45.06,-99,,-99,,209,J2205.6-0535,DR10,YES,1809,117200,267,93185914,-99,,-99,,-99,,-99,,-99,,88,A2415,-99,,1.78,2.41,-1.00,-1.00,2.09,3.17,4.29,3.76,3.99,4.29,6.19,4.04,1.15,16.52,529,80,4632,788,1.38
A2457,338.92,1.506,0.059,5.3,TRUE,TRUE,FALSE,"338.92,1.506",5,PSZ2 G068.61-46.60,-99,,-99,,214,J2235.6+0128,DR10,YES,1421,113312,207,93176102,-99,,-99,,-99,,-99,,-99,,-99,,-99,,1.93,2.60,-1.00,-1.00,1.82,2.75,3.87,3.90,4.13,3.87,5.57,4.05,1.11,15.69,444,104,11303,1241,1.31
A2717,804.0,-35.933,0.05,3.8,TRUE,TRUE,TRUE,"84.0,-35.933",-99,,-99,,-99,,-99,,DR10,NO,-99,,-99,,-99,,-99,,-99,,-99,,-99,,-99,,-99,,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,3.80,-0.79,1.50,24.80,0,0,0,0,2.07
A2734,2.836,-28.855,0.062,6.1,TRUE,TRUE,FALSE,"2.836,-28.855",0,PSZ2 G019.48-80.97,-99,,-99,,3,J0011.3-2851,DR10,YES,2600,128504,390,93220122,-99,,-99,,22,RXCJ0011.3-2851,-99,,-99,,93,A2734,-99,,2.61,3.52,-1.00,-1.00,2.06,3.12,4.28,4.01,4.25,4.28,6.16,4.04,1.15,15.49,0,90,5755,1416,1.29
A2870,16.933,-46.9,0.024,4.2,TRUE,TRUE,FALSE,"16.933,-46.9",-99,,-99,,-99,,-99,,DR10,YES,3062,138237,-99,,-99,,-99,,-99,,-99,,-99,,-99,,-99,,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,4.56,-1.00,-1.00,4.56,6.57,4.03,1.19,39.53,0,564,6332,959,3.29
A2877,17.501,-45.923,0.024,4.1,TRUE,TRUE,FALSE,"17.501,-45.923",41,PSZ2 G293.12-70.85,-99,,-99,,14,J0110.0-4555,DR10,YES,3060,138224,478,93250301,-99,,-99,,15,IC 1633,-99,,-99,,-99,,-99,,1.14,1.54,-1.00,-1.00,0.71,1.08,2.21,1.57,1.66,2.21,3.16,4.18,0.93,31.05,0,344,4242,754,2.59
